"","trans_date","Ticker","Representative","Transaction","Amount","fivedayrets","tendayrets","fifteendayrets","thirtydayrets","tradevol","marketreturnthirty","prev30days","prev30market"
"1",2021-11-18,"A","Peter Welch","Sale",1001,0.0546521482341054,0.0411577375977823,0.0578232782529022,-0.0192214359809063,1800900,0.0323484269446783,-0.0476158917122818,-0.00145804947984485
"2",2021-02-16,"A","Peter Meijer","Sale",1001,0.00578367317806894,0.0269907108029666,0.0129085773681787,0.118883449369604,1612400,0.0918130003410138,-0.063211574236295,0.0054779027357994
"3",2020-04-09,"A","Peter Welch","Sale",1001,0.0472264592358227,0.0359187302505448,0.0663828759698843,0.212451832942574,2347400,0.1118275690803,0.0336209392727009,-0.0287693631581752
"4",2019-05-23,"A","Peter Welch","Purchase",1001,0.0283833563675093,0.0629116952545021,0.055450168502289,0.0283008055665659,2289200,0.0597845871092793,-0.0954208896836927,-0.0366536338293362
"5",2018-05-16,"A","Lamar Smith","Purchase",1001,0.0270007758821644,0.0722716144796676,0.0270007758821644,0.0187847100251506,3559200,0.0312878401300443,-0.0927093802317235,0.00448869932669416
"6",2018-04-13,"A","Lamar Smith","Purchase",1001,-0.000452254270164931,0.0375171121141422,-0.0418862460230968,-0.00964288492780241,1978600,0.0420294759086215,-0.0486534577681412,-0.0300202364084863
"7",2016-09-13,"A","James Inhofe","Sale",50001,0.00527492608814928,-0.0191972249663386,-0.0245635435734789,-0.0206996659847712,1587100,-0.00943080268401975,-0.035920832963059,-0.0137981285995099
"8",2021-10-18,"AA","Tommy Tuberville","Sale",100001,0.0455810186175905,0.083458185319923,0.0380911191953779,0.0798202225551039,9336800,0.00442596075255164,-0.0335935737136791,0.0587324003953085
"9",2021-10-15,"AA","Tommy Tuberville","Sale",1001,0.0358157481425474,0.00829877756925823,0.0465167315909629,0.0915047668598885,12864700,0.0254345680108261,-0.112035664094104,0.0158412698709915
"10",2021-07-29,"AA","Tommy Tuberville","Purchase",1001,-0.0709806742094657,-0.0582176174821089,0.0210478817936417,0.087326504764222,7674500,0.00147888730875678,0.189981391636424,0.0350925853588364
