"","symbol","date","open","high","low","close","volume","adjusted"
"1","ACIW",2016-01-04,21.18,23.200001,20.5,20.67,773100,20.67
"2","ACIW",2016-01-05,20.67,21.01,20.379999,20.6,577400,20.6
"3","ACIW",2016-01-06,20.25,20.66,20.08,20.5,726300,20.5
"4","ACIW",2016-01-07,20.139999,20.379999,19.51,19.6,528100,19.6
"5","ACIW",2016-01-08,19.65,19.9,19.139999,19.18,647800,19.18
"6","ACIW",2016-01-11,19.33,19.35,18.870001,19.18,559600,19.18
"7","ACIW",2016-01-12,19.4,19.530001,18.950001,19.43,516400,19.43
"8","ACIW",2016-01-13,19.469999,19.51,18.52,18.809999,1021700,18.809999
"9","ACIW",2016-01-14,18.969999,19.49,17.360001,19.360001,573900,19.360001
"10","ACIW",2016-01-15,18.790001,19.120001,17.23,19.040001,645600,19.040001
"11","ACIW",2016-01-19,19.110001,19.84,18.33,18.709999,665200,18.709999
"12","ACIW",2016-01-20,18.440001,19.1,18.370001,18.83,1011200,18.83
"13","ACIW",2016-01-21,18.83,18.969999,18.629999,18.700001,657300,18.700001
"14","ACIW",2016-01-22,18.940001,19.16,18.08,18.91,673000,18.91
"15","ACIW",2016-01-25,18.790001,18.790001,18.09,18.129999,503800,18.129999
"16","ACIW",2016-01-26,18.16,18.280001,17.879999,18.01,704200,18.01
"17","ACIW",2016-01-27,17.92,18.190001,17.450001,17.52,601900,17.52
"18","ACIW",2016-01-28,17.76,17.83,17.309999,17.440001,605900,17.440001
"19","ACIW",2016-01-29,17.5,17.92,17.5,17.9,950500,17.9
"20","ACIW",2016-02-01,17.719999,18.24,17.4,18.09,605400,18.09
"21","ACIW",2016-02-02,17.870001,18.16,17.629999,17.77,522000,17.77
"22","ACIW",2016-02-03,17.950001,17.969999,17.27,17.799999,559600,17.799999
"23","ACIW",2016-02-04,17.75,17.93,17.01,17.540001,348600,17.540001
"24","ACIW",2016-02-05,17.440001,17.6,16.629999,16.629999,624300,16.629999
"25","ACIW",2016-02-08,16.4,16.719999,16.049999,16.34,477200,16.34
"26","ACIW",2016-02-09,16.120001,16.440001,15.64,16.23,948800,16.23
"27","ACIW",2016-02-10,16.370001,16.860001,16.370001,16.41,462100,16.41
"28","ACIW",2016-02-11,16.110001,16.49,15.97,16.41,436400,16.41
"29","ACIW",2016-02-12,16.57,16.6,15.07,16.559999,519200,16.559999
"30","ACIW",2016-02-16,16.77,17.209999,16.49,17,480200,17
"31","ACIW",2016-02-17,17.08,17.6,17.059999,17.5,620500,17.5
"32","ACIW",2016-02-18,17.629999,18.809999,17.57,17.74,682000,17.74
"33","ACIW",2016-02-19,17.68,18.16,15.89,17.940001,384800,17.940001
"34","ACIW",2016-02-22,18.040001,18.440001,18.040001,18.389999,665500,18.389999
"35","ACIW",2016-02-23,18.27,18.51,17.639999,17.889999,970500,17.889999
"36","ACIW",2016-02-24,17.67,18.370001,17.389999,18.33,994400,18.33
"37","ACIW",2016-02-25,18.1,18.48,16.02,17.98,1509600,17.98
"38","ACIW",2016-02-26,17.940001,18.690001,17.1,18.290001,989200,18.290001
"39","ACIW",2016-02-29,18.219999,19,17.469999,18.66,944100,18.66
"40","ACIW",2016-03-01,18.76,19.73,18.690001,19.629999,1528200,19.629999
"41","ACIW",2016-03-02,19.58,19.959999,19.35,19.950001,1356200,19.950001
"42","ACIW",2016-03-03,19.879999,19.98,19.370001,19.940001,948500,19.940001
"43","ACIW",2016-03-04,20,20.209999,19.629999,20.18,643800,20.18
"44","ACIW",2016-03-07,20.139999,20.219999,19.549999,20.200001,646200,20.200001
"45","ACIW",2016-03-08,20.02,20.25,19.73,19.889999,1058900,19.889999
"46","ACIW",2016-03-09,19.959999,19.959999,19.530001,19.620001,671900,19.620001
"47","ACIW",2016-03-10,19.65,19.99,19.09,19.440001,669200,19.440001
"48","ACIW",2016-03-11,19.67,20.16,19.57,20.059999,621700,20.059999
"49","ACIW",2016-03-14,20.059999,20.32,19.98,20.1,635500,20.1
"50","ACIW",2016-03-15,20.059999,20.41,20.02,20.18,720100,20.18
