"","symbol","date","open","high","low","close","volume","adjusted"
"1","ACN",2016-01-04,102.620003,102.650002,100.970001,101.830002,2817000,92.029938
"2","ACN",2016-01-05,101.970001,102.870003,101.470001,102.360001,2409000,92.508949
"3","ACN",2016-01-06,100.809998,103.059998,100.540001,102.160004,3134200,92.328194
"4","ACN",2016-01-07,99.75,100.839996,98.839996,99.160004,3194700,89.61689
"5","ACN",2016-01-08,99.480003,99.809998,98,98.199997,2330200,88.749275
"6","ACN",2016-01-11,98.480003,99.720001,98.080002,99.230003,2734400,89.680161
"7","ACN",2016-01-12,99.959999,101.290001,99.440002,101.010002,2811000,91.288857
"8","ACN",2016-01-13,101.389999,101.75,98.739998,99.260002,3160200,89.707268
"9","ACN",2016-01-14,99.120003,102.470001,98.910004,101.879997,4285500,92.075119
"10","ACN",2016-01-15,98.739998,101.010002,98.449997,99.269997,5184300,89.716293
"11","ACN",2016-01-19,100.160004,101.949997,99.779999,101.379997,3477500,91.623245
"12","ACN",2016-01-20,99.239998,100.190002,97.139999,99.059998,5245000,89.526497
"13","ACN",2016-01-21,99.040001,99.910004,98,98.290001,4499300,88.830635
"14","ACN",2016-01-22,99.790001,102.360001,99.559998,102.239998,3609700,92.400475
"15","ACN",2016-01-25,102.209999,103.150002,101.239998,101.75,2962100,91.957649
"16","ACN",2016-01-26,101.790001,103.129997,101.449997,102.529999,2925500,92.66256
"17","ACN",2016-01-27,102.669998,103.599998,101.330002,101.959999,3044300,92.147423
"18","ACN",2016-01-28,102.839996,103.589996,101.589996,103.080002,3378800,93.159637
"19","ACN",2016-01-29,103.370003,105.650002,103.239998,105.540001,4878500,95.382896
"20","ACN",2016-02-01,104.75,106.800003,104.730003,106.279999,3693100,96.051659
"21","ACN",2016-02-02,105.269997,105.620003,103.449997,103.82,2992900,93.82843
"22","ACN",2016-02-03,104.449997,104.68,100.620003,102.099998,4535300,92.273956
"23","ACN",2016-02-04,102.220001,103.019997,101.379997,102.730003,3875400,92.843323
"24","ACN",2016-02-05,102.419998,102.589996,98.580002,98.970001,3894500,89.445183
"25","ACN",2016-02-08,96.650002,96.650002,93.349998,95.07,6681700,85.920509
"26","ACN",2016-02-09,94.010002,95.080002,91.400002,93.32,6679500,84.338928
"27","ACN",2016-02-10,94.43,95.739998,94.129997,94.209999,4649100,85.14328
"28","ACN",2016-02-11,92.540001,93.919998,92.25,93.43,4202800,84.438354
"29","ACN",2016-02-12,94.43,95,93.989998,94.699997,3122500,85.586128
"30","ACN",2016-02-16,96.239998,97.089996,95.480003,96.910004,3808300,87.583443
"31","ACN",2016-02-17,97.739998,99.910004,97.730003,99.010002,3741700,89.481339
"32","ACN",2016-02-18,99.620003,101.120003,98.309998,98.519997,2740200,89.038475
"33","ACN",2016-02-19,98.309998,99.019997,97.93,98.949997,3229400,89.427094
"34","ACN",2016-02-22,100.160004,100.589996,99.580002,100.349998,2126300,90.692375
"35","ACN",2016-02-23,100.339996,100.68,99.550003,99.650002,2359100,90.059731
"36","ACN",2016-02-24,98.650002,99.620003,97.919998,99.550003,2567800,89.96936
"37","ACN",2016-02-25,99.959999,100.93,99.160004,100.910004,2794500,91.198486
"38","ACN",2016-02-26,101.480003,102.099998,100.949997,101.120003,2109900,91.388268
"39","ACN",2016-02-29,100.68,101.730003,100.139999,100.260002,2389500,90.611031
"40","ACN",2016-03-01,101.379997,103.449997,101,103.449997,2125500,93.494019
"41","ACN",2016-03-02,103.480003,103.480003,101.980003,102.660004,2436000,92.780052
"42","ACN",2016-03-03,102.449997,102.849998,101.18,102.800003,2036200,92.906593
"43","ACN",2016-03-04,103.089996,103.550003,102.57,103.18,1581900,93.250008
"44","ACN",2016-03-07,102.440002,102.559998,101.5,102.400002,1835600,92.545067
"45","ACN",2016-03-08,101.75,102.940002,101.360001,102.620003,2330600,92.743912
"46","ACN",2016-03-09,102.93,103.419998,102.620003,103.400002,2296300,93.44883
"47","ACN",2016-03-10,103.639999,104.400002,102.099998,103.580002,2406900,93.611504
"48","ACN",2016-03-11,104.489998,105.800003,104.160004,105.68,2952700,95.509422
"49","ACN",2016-03-14,105.099998,106.699997,104.970001,106.32,2757900,96.087799
"50","ACN",2016-03-15,106.059998,107.290001,105.400002,107.07,2391000,96.765633
"51","ACN",2016-03-16,107.239998,107.919998,106.260002,107.589996,2332800,97.23558
"52","ACN",2016-03-17,107.589996,108.669998,107.190002,108.559998,2876700,98.112251
"53","ACN",2016-03-18,108.730003,108.730003,107.190002,107.769997,8616800,97.398277
"54","ACN",2016-03-21,107.330002,108.849998,107.139999,108.160004,3472200,97.750748
"55","ACN",2016-03-22,107.720001,108.43,107.290001,107.830002,2136200,97.452499
"56","ACN",2016-03-23,107.379997,108.360001,107.209999,107.660004,3193300,97.298851
"57","ACN",2016-03-24,108.790001,114.440002,108.68,114.300003,6472700,103.299835
"58","ACN",2016-03-28,114.43,115.459999,113.68,114.169998,4214700,103.18235
"59","ACN",2016-03-29,113.5,115.470001,113.449997,115.260002,4033800,104.16745
"60","ACN",2016-03-30,115.400002,116.510002,115.029999,115.370003,3182300,104.266838
"61","ACN",2016-03-31,115.099998,116,115,115.400002,2740600,104.293961
"62","ACN",2016-04-01,114.760002,116.519997,114.699997,116.349998,2019200,105.152534
"63","ACN",2016-04-04,116.080002,116.199997,114.919998,115.5,2231900,104.384338
"64","ACN",2016-04-05,114.489998,115.150002,113.900002,114.129997,2069700,103.146172
"65","ACN",2016-04-06,113.989998,114.949997,113.739998,114.669998,2918800,103.634216
"66","ACN",2016-04-07,113.730003,114.019997,111.790001,112.099998,3075900,101.311546
"67","ACN",2016-04-08,112.919998,113.230003,111.849998,112.830002,1627300,101.971306
"68","ACN",2016-04-11,112.940002,114,112.800003,113.099998,2465400,102.215309
"69","ACN",2016-04-12,113.330002,114.5,112.919998,114.389999,2715500,103.381157
"70","ACN",2016-04-13,113.870003,115.019997,113.470001,114.959999,4390500,104.90509
"71","ACN",2016-04-14,115,115.269997,114.139999,114.75,2062200,104.713463
"72","ACN",2016-04-15,114.760002,115.309998,114.339996,114.82,2299700,104.777344
"73","ACN",2016-04-18,114.269997,115.68,113.949997,115.589996,2237500,105.479996
"74","ACN",2016-04-19,115.610001,115.830002,114.379997,115.099998,1823000,105.03286
"75","ACN",2016-04-20,115.5,116.18,115.089996,115.540001,2220900,105.434372
"76","ACN",2016-04-21,115.330002,116.169998,114.440002,114.480003,2327300,104.467079
"77","ACN",2016-04-22,114,114.970001,113.639999,113.949997,2634600,103.983437
"78","ACN",2016-04-25,113.860001,114.25,113.239998,114.099998,1805900,104.120323
"79","ACN",2016-04-26,114.410004,115.059998,113.839996,114.610001,2177200,104.585709
"80","ACN",2016-04-27,114.139999,115.669998,114.139999,115.480003,1990200,105.379616
"81","ACN",2016-04-28,114.989998,116.040001,113.980003,114.330002,2028200,104.330193
"82","ACN",2016-04-29,114.190002,114.190002,112.290001,112.919998,2451100,103.043518
"83","ACN",2016-05-02,112.900002,114.699997,112.309998,114.400002,2293900,104.394081
"84","ACN",2016-05-03,113.480003,113.879997,112.25,113.300003,2031600,103.390297
"85","ACN",2016-05-04,112.260002,113.910004,112.260002,113.550003,1822100,103.618416
"86","ACN",2016-05-05,113.650002,114.43,113.470001,114.080002,1704600,104.102074
"87","ACN",2016-05-06,113.82,115.669998,113.349998,115.550003,1917600,105.443481
"88","ACN",2016-05-09,115.279999,116.230003,115,115.470001,1452900,105.370499
"89","ACN",2016-05-10,115.589996,116.949997,115.480003,116.940002,1622200,106.711914
"90","ACN",2016-05-11,116.989998,116.989998,115.860001,115.980003,1582900,105.835876
"91","ACN",2016-05-12,116.419998,116.629997,115.470001,116.360001,2114300,106.18264
"92","ACN",2016-05-13,116.220001,116.629997,115.139999,115.440002,1803400,105.343109
"93","ACN",2016-05-16,115.620003,117.589996,115.010002,117.150002,2609800,106.903564
"94","ACN",2016-05-17,117.309998,117.5,115.870003,116.220001,2136800,106.054893
"95","ACN",2016-05-18,116.059998,117.349998,115.459999,116.519997,1367300,106.328651
"96","ACN",2016-05-19,116.269997,116.269997,114.589996,116.029999,1752500,105.881516
"97","ACN",2016-05-20,116.099998,116.910004,116.099998,116.470001,1538200,106.28302
"98","ACN",2016-05-23,116.690002,116.690002,115.839996,116.18,1256200,106.018387
"99","ACN",2016-05-24,116.580002,119.209999,116.580002,119.120003,2066400,108.701248
"100","ACN",2016-05-25,119.230003,119.720001,118.470001,118.550003,2123600,108.181099
"101","ACN",2016-05-26,118.589996,119.199997,118.050003,118.410004,1435900,108.053352
"102","ACN",2016-05-27,118.839996,118.940002,117.769997,118.940002,1317400,108.537003
"103","ACN",2016-05-31,118.889999,119.150002,118.089996,118.970001,1955700,108.564384
"104","ACN",2016-06-01,118.970001,119.120003,118.110001,119.010002,1202900,108.600861
"105","ACN",2016-06-02,118.699997,119.269997,118,119.239998,1605700,108.81076
"106","ACN",2016-06-03,118.879997,119,117.910004,118.900002,1196700,108.500488
"107","ACN",2016-06-06,119,119.760002,118.519997,119.599998,1202900,109.139267
"108","ACN",2016-06-07,119.940002,120.150002,119.239998,119.650002,1317300,109.184891
"109","ACN",2016-06-08,119.589996,119.949997,118.540001,119.32,2072100,108.883743
"110","ACN",2016-06-09,118.349998,119.529999,117.800003,119.440002,1197200,108.993271
"111","ACN",2016-06-10,118.5,118.889999,117.940002,118.269997,1452100,107.925591
"112","ACN",2016-06-13,117.860001,118.940002,117.029999,117.080002,1992300,106.839668
"113","ACN",2016-06-14,117.080002,118.32,116.75,118.089996,1425300,107.761337
"114","ACN",2016-06-15,118.300003,118.389999,117.330002,117.449997,1453300,107.177315
"115","ACN",2016-06-16,116.82,118.519997,116.629997,118.300003,1568800,107.95298
"116","ACN",2016-06-17,118.089996,118.110001,116.790001,117.57,2216500,107.286804
