"","symbol","date","open","high","low","close","volume","adjusted"
"1","ACST",2016-01-04,19.200001,20.4,18.879999,19.84,2475,19.84
"2","ACST",2016-01-05,19.76,20.16,18.879999,19.280001,513,19.280001
"3","ACST",2016-01-06,19.040001,19.440001,17.68,17.84,5325,17.84
"4","ACST",2016-01-07,17.84,17.84,16.16,16.4,5888,16.4
"5","ACST",2016-01-08,16.16,16.16,14.72,14.96,4925,14.96
"6","ACST",2016-01-11,14.96,14.96,13.52,13.92,5150,13.92
"7","ACST",2016-01-12,14.4,14.4,14.08,14.08,1063,14.08
"8","ACST",2016-01-13,14.4,14.4,12.16,12.32,2413,12.32
"9","ACST",2016-01-14,12.48,14.24,12.24,13.36,2525,13.36
"10","ACST",2016-01-15,13.6,13.6,12.32,13.04,9125,13.04
"11","ACST",2016-01-19,13.44,13.44,13.12,13.2,1413,13.2
"12","ACST",2016-01-20,12.8,12.8,12,12.56,1025,12.56
"13","ACST",2016-01-21,12.96,13.12,12.32,12.96,963,12.96
"14","ACST",2016-01-22,13.28,13.68,13.28,13.6,263,13.6
"15","ACST",2016-01-25,13.52,13.84,13.2,13.44,200,13.44
"16","ACST",2016-01-26,13.2,13.6,13.12,13.6,100,13.6
"17","ACST",2016-01-27,13.44,13.44,12.88,13.28,188,13.28
"18","ACST",2016-01-28,12.8,13.36,12.16,13.36,1250,13.36
"19","ACST",2016-01-29,12.48,13.36,12.32,12.48,1363,12.48
"20","ACST",2016-02-01,12.32,12.48,12.24,12.4,400,12.4
"21","ACST",2016-02-02,10.72,12.24,10.72,11.36,2225,11.36
"22","ACST",2016-02-03,10.96,12.16,10.8,12.16,963,12.16
"23","ACST",2016-02-04,12.8,12.8,11.92,12,750,12
"24","ACST",2016-02-05,11.6,12.64,11.6,12.64,263,12.64
"25","ACST",2016-02-08,11.92,12.16,11.6,11.6,650,11.6
"26","ACST",2016-02-09,11.2,11.6,10.88,11.44,1850,11.44
"27","ACST",2016-02-10,10.88,11.12,10.88,10.88,313,10.88
"28","ACST",2016-02-11,10.4,11.44,10.4,11.44,350,11.44
"29","ACST",2016-02-12,10.96,11.36,10.48,10.8,538,10.8
"30","ACST",2016-02-16,11.2,11.44,10.96,11.36,525,11.36
"31","ACST",2016-02-17,11.28,12.24,11.12,12.24,2575,12.24
"32","ACST",2016-02-18,12.24,12.8,11.12,12.24,1538,12.24
"33","ACST",2016-02-19,12.72,12.8,12.08,12.72,2088,12.72
"34","ACST",2016-02-22,12.08,12.56,11.2,12.56,1025,12.56
"35","ACST",2016-02-23,11.36,12.88,11.2,12.8,438,12.8
"36","ACST",2016-02-24,12.8,12.88,11.52,11.52,900,11.52
"37","ACST",2016-02-25,12.08,12.16,11.92,11.92,88,11.92
"38","ACST",2016-02-26,12.08,12.08,12,12,388,12
"39","ACST",2016-02-29,12.08,12.08,12,12,250,12
"40","ACST",2016-03-01,11.52,12.08,11.52,12.08,325,12.08
"41","ACST",2016-03-02,13.04,13.76,12.4,13.28,650,13.28
"42","ACST",2016-03-03,13.76,15.04,13.76,14.4,1200,14.4
"43","ACST",2016-03-04,14.4,14.4,14,14.16,1913,14.16
"44","ACST",2016-03-07,13.84,14.4,13.84,14.32,3863,14.32
"45","ACST",2016-03-08,13.76,13.84,12.8,13.68,88,13.68
"46","ACST",2016-03-09,12.96,13.28,12.8,13.28,100,13.28
"47","ACST",2016-03-10,14.16,14.16,12.8,13.12,513,13.12
"48","ACST",2016-03-11,13.92,13.92,13.68,13.68,113,13.68
"49","ACST",2016-03-14,13.68,13.68,13.68,13.68,25,13.68
"50","ACST",2016-03-15,13.6,13.6,11.68,13.28,188,13.28
"51","ACST",2016-03-16,13.36,13.52,13.04,13.04,4563,13.04
"52","ACST",2016-03-17,12.96,13.04,12.48,13.04,88,13.04
"53","ACST",2016-03-18,13.04,13.04,13.04,13.04,0,13.04
"54","ACST",2016-03-21,12.08,12.56,12.08,12.56,225,12.56
"55","ACST",2016-03-22,12.24,12.4,12.24,12.24,263,12.24
"56","ACST",2016-03-23,12.56,12.56,12,12,100,12
"57","ACST",2016-03-24,12.16,12.16,11.76,11.76,6025,11.76
"58","ACST",2016-03-28,11.68,12.16,11.68,12.16,450,12.16
"59","ACST",2016-03-29,11.84,11.92,11.6,11.92,2600,11.92
"60","ACST",2016-03-30,12,12.08,11.68,12.08,425,12.08
"61","ACST",2016-03-31,11.6,12.4,11.36,12.16,1200,12.16
"62","ACST",2016-04-01,12.16,12.16,12,12,475,12
"63","ACST",2016-04-04,12,12.08,11.76,11.76,600,11.76
"64","ACST",2016-04-05,11.52,11.84,11.52,11.52,38,11.52
"65","ACST",2016-04-06,11.92,11.92,11.44,11.76,138,11.76
"66","ACST",2016-04-07,11.44,11.44,10.8,11.12,513,11.12
"67","ACST",2016-04-08,11.28,11.36,10.8,11.28,275,11.28
"68","ACST",2016-04-11,10.8,11.12,10.8,11.12,50,11.12
"69","ACST",2016-04-12,11.12,11.76,10.88,11.76,1188,11.76
"70","ACST",2016-04-13,11.2,11.2,10.96,10.96,38,10.96
"71","ACST",2016-04-14,10.96,11.36,10.96,11.36,138,11.36
"72","ACST",2016-04-15,11.44,11.44,10.8,10.8,388,10.8
"73","ACST",2016-04-18,10.88,11.52,10.8,11.52,200,11.52
"74","ACST",2016-04-19,11.04,11.6,11.04,11.44,288,11.44
"75","ACST",2016-04-20,11.2,11.84,11.2,11.36,150,11.36
"76","ACST",2016-04-21,11.44,11.6,11.28,11.6,225,11.6
"77","ACST",2016-04-22,11.6,11.6,11.6,11.6,0,11.6
"78","ACST",2016-04-25,11.04,11.12,10.4,11.12,738,11.12
"79","ACST",2016-04-26,11.2,11.2,11.2,11.2,13,11.2
"80","ACST",2016-04-27,11.12,11.36,10.88,10.88,1400,10.88
"81","ACST",2016-04-28,10.96,11.6,10.96,11.52,363,11.52
"82","ACST",2016-04-29,10.56,11.28,10.56,11.28,200,11.28
"83","ACST",2016-05-02,11.28,11.28,11.28,11.28,0,11.28
"84","ACST",2016-05-03,11.28,11.44,10.56,10.64,988,10.64
"85","ACST",2016-05-04,10.64,10.8,10.64,10.8,238,10.8
"86","ACST",2016-05-05,10.72,10.96,10.72,10.8,588,10.8
"87","ACST",2016-05-06,10.56,10.88,10.56,10.72,125,10.72
"88","ACST",2016-05-09,10.88,10.88,10.4,10.8,563,10.8
"89","ACST",2016-05-10,9.6,10.64,9.6,9.76,600,9.76
"90","ACST",2016-05-11,9.6,9.68,9.6,9.68,25,9.68
"91","ACST",2016-05-12,9.6,10.24,9.6,10.24,200,10.24
"92","ACST",2016-05-13,10.16,10.96,10,10.8,12213,10.8
"93","ACST",2016-05-16,10.24,11.6,10.24,11.04,875,11.04
"94","ACST",2016-05-17,11.12,11.12,10.48,10.64,363,10.64
"95","ACST",2016-05-18,11.04,11.2,11.04,11.12,213,11.12
"96","ACST",2016-05-19,10.48,10.48,10.4,10.4,125,10.4
"97","ACST",2016-05-20,10.72,10.72,10.08,10.32,238,10.32
"98","ACST",2016-05-23,10.8,11.28,10.8,10.8,488,10.8
"99","ACST",2016-05-24,10.72,11.6,10.32,11.28,3463,11.28
"100","ACST",2016-05-25,11.44,13.36,11.44,13.36,1625,13.36
"101","ACST",2016-05-26,11.36,11.92,11.28,11.92,100,11.92
"102","ACST",2016-05-27,11.92,12,11.92,12,50,12
"103","ACST",2016-05-31,12.24,13.04,12,12,1113,12
"104","ACST",2016-06-01,12.72,12.72,11.04,11.92,88,11.92
"105","ACST",2016-06-02,11.92,12,11.2,11.76,363,11.76
"106","ACST",2016-06-03,11.52,11.52,10.8,11.28,263,11.28
"107","ACST",2016-06-06,11.2,11.2,10.88,10.88,63,10.88
"108","ACST",2016-06-07,11.36,11.36,10.8,10.88,275,10.88
"109","ACST",2016-06-08,11.36,12.48,11.2,12.48,1438,12.48
"110","ACST",2016-06-09,12.88,12.88,12,12.24,125,12.24
"111","ACST",2016-06-10,12.56,12.8,12,12.24,313,12.24
"112","ACST",2016-06-13,12.24,12.24,12.24,12.24,0,12.24
"113","ACST",2016-06-14,12.24,12.24,12.24,12.24,13,12.24
"114","ACST",2016-06-15,11.76,11.76,11.68,11.76,500,11.76
"115","ACST",2016-06-16,12,12,12,12,13,12
"116","ACST",2016-06-17,12.16,12.32,11.92,12.32,100,12.32
"117","ACST",2016-06-20,12.16,12.16,12,12.08,113,12.08
"118","ACST",2016-06-21,11.76,12.8,11.68,11.76,238,11.76
"119","ACST",2016-06-22,11.68,11.68,11.68,11.68,38,11.68
"120","ACST",2016-06-23,11.68,11.68,11.68,11.68,0,11.68
"121","ACST",2016-06-24,12,12.4,10.8,10.96,500,10.96
"122","ACST",2016-06-27,10.8,10.96,10.8,10.96,375,10.96
"123","ACST",2016-06-28,11.12,11.44,11.12,11.2,1113,11.2
"124","ACST",2016-06-29,11.2,11.2,11.04,11.04,100,11.04
"125","ACST",2016-06-30,11.04,11.04,11.04,11.04,0,11.04
"126","ACST",2016-07-01,11.04,11.04,11.04,11.04,0,11.04
"127","ACST",2016-07-05,10.8,10.96,10.8,10.96,188,10.96
"128","ACST",2016-07-06,10.8,10.8,9.68,10.64,1275,10.64
"129","ACST",2016-07-07,10.32,10.56,10.32,10.56,163,10.56
"130","ACST",2016-07-08,10.56,10.56,10.24,10.4,125,10.4
"131","ACST",2016-07-11,10.4,10.4,10.4,10.4,0,10.4
"132","ACST",2016-07-12,10.48,10.72,10.24,10.72,363,10.72
"133","ACST",2016-07-13,10.72,10.72,10.56,10.56,213,10.56
"134","ACST",2016-07-14,10.56,13.84,10.32,12.48,110575,12.48
"135","ACST",2016-07-15,14.32,14.32,12,12.16,6138,12.16
"136","ACST",2016-07-18,12.48,12.88,11.76,11.76,2288,11.76
"137","ACST",2016-07-19,11.36,11.68,11.36,11.44,225,11.44
"138","ACST",2016-07-20,11.12,12.16,11.12,12,988,12
"139","ACST",2016-07-21,11.76,12.24,11.6,12.24,250,12.24
"140","ACST",2016-07-22,11.92,11.92,11.92,11.92,13,11.92
"141","ACST",2016-07-25,11.84,13.12,10.8,12.4,5925,12.4
"142","ACST",2016-07-26,12.4,12.64,11.76,12.32,725,12.32
"143","ACST",2016-07-27,12.4,13.6,11.44,12.56,15175,12.56
"144","ACST",2016-07-28,11.92,12.4,11.52,12,2338,12
"145","ACST",2016-07-29,12.8,12.8,11.2,12.4,2288,12.4
"146","ACST",2016-08-01,11.36,12.4,11.12,12.4,10213,12.4
"147","ACST",2016-08-02,12.8,12.88,12,12.16,5613,12.16
"148","ACST",2016-08-03,12.4,12.72,12,12.48,788,12.48
"149","ACST",2016-08-04,12.4,12.72,11.6,11.6,3075,11.6
"150","ACST",2016-08-05,12.56,12.56,12.08,12.4,1263,12.4
"151","ACST",2016-08-08,12.56,12.56,12.56,12.56,13,12.56
"152","ACST",2016-08-09,12.16,12.48,11.6,11.68,1150,11.68
"153","ACST",2016-08-10,11.68,11.68,11.6,11.6,150,11.6
"154","ACST",2016-08-11,11.36,11.92,11.36,11.92,313,11.92
"155","ACST",2016-08-12,11.28,11.76,11.28,11.36,488,11.36
"156","ACST",2016-08-15,11.44,11.6,11.2,11.36,13188,11.36
"157","ACST",2016-08-16,11.84,11.84,11.28,11.36,5588,11.36
"158","ACST",2016-08-17,10.96,11.6,10.8,10.8,1075,10.8
"159","ACST",2016-08-18,10.8,11.44,10.8,10.88,1175,10.88
"160","ACST",2016-08-19,10.8,11.28,10.8,11.04,1813,11.04
"161","ACST",2016-08-22,11.2,11.2,10.8,10.88,313,10.88
"162","ACST",2016-08-23,10.64,10.96,10.64,10.96,1963,10.96
"163","ACST",2016-08-24,10.96,11.2,10.48,10.48,800,10.48
