"","symbol","date","open","high","low","close","volume","adjusted"
"1","ADM",2016-01-04,36.110001,36.150002,35.400002,35.84,4040800,29.692801
"2","ADM",2016-01-05,35.82,36.27,35.41,36.240002,3863200,30.024204
"3","ADM",2016-01-06,35.720001,35.830002,35.25,35.360001,6072600,29.295139
"4","ADM",2016-01-07,34.91,35.09,34.330002,34.52,4820500,28.599216
"5","ADM",2016-01-08,34.759998,35.099998,34.310001,34.389999,4130700,28.491505
"6","ADM",2016-01-11,34.540001,34.73,33.939999,34.16,5646600,28.300959
"7","ADM",2016-01-12,34.560001,34.66,33.77,34.27,3445700,28.392097
"8","ADM",2016-01-13,34.34,34.549999,33.419998,33.470001,4468100,27.729307
"9","ADM",2016-01-14,33.419998,33.669998,32.759998,33.360001,5574600,27.638172
"10","ADM",2016-01-15,32.599998,32.619999,31.16,31.51,8763700,26.105476
"11","ADM",2016-01-19,31.940001,32.049999,30.290001,30.51,8756900,25.276997
"12","ADM",2016-01-20,30.25,31.709999,29.860001,31.290001,9252500,25.923212
"13","ADM",2016-01-21,31.26,32.48,31.200001,31.92,6085300,26.445152
"14","ADM",2016-01-22,32.52,33.369999,32.490002,33.23,5279600,27.530472
"15","ADM",2016-01-25,32.900002,33,32.360001,32.43,5783000,26.86768
"16","ADM",2016-01-26,32.880001,33.650002,32.490002,33.630001,4390800,27.86186
"17","ADM",2016-01-27,33.5,34.459999,33.419998,33.740002,5023500,27.952991
"18","ADM",2016-01-28,34.16,34.950001,33.98,34.700001,5351200,28.748333
"19","ADM",2016-01-29,34.860001,35.549999,34.75,35.349998,8608200,29.286848
"20","ADM",2016-02-01,34.77,35.639999,34.310001,35.459999,6364700,29.377985
"21","ADM",2016-02-02,33.52,33.599998,32.279999,32.360001,11075700,26.809687
"22","ADM",2016-02-03,32.560001,33.799999,32.470001,33.439999,8002400,27.704453
"23","ADM",2016-02-04,33.439999,34.689999,33.34,34.25,6612300,28.375523
"24","ADM",2016-02-05,34.279999,34.509998,33.919998,34.07,5416700,28.226393
"25","ADM",2016-02-08,34.400002,34.73,33.049999,33.299999,5061300,27.588461
"26","ADM",2016-02-09,33.439999,33.68,32.560001,33.580002,6369400,27.820438
"27","ADM",2016-02-10,33.610001,34.07,33.150002,33.18,4300700,27.489046
"28","ADM",2016-02-11,32.27,32.830002,31.5,31.629999,6931800,26.443991
"29","ADM",2016-02-12,31.690001,32.48,31.299999,32.450001,4441500,27.129553
"30","ADM",2016-02-16,32.959999,33.82,32.849998,33.619999,4068600,28.107714
"31","ADM",2016-02-17,33.740002,34.119999,33.299999,33.400002,3362300,27.92379
"32","ADM",2016-02-18,33.400002,33.990002,33.240002,33.900002,3732500,28.341805
"33","ADM",2016-02-19,33.66,33.779999,32.310001,32.650002,5502300,27.296755
"34","ADM",2016-02-22,32.889999,33.900002,32.799999,33.790001,4324400,28.249849
"35","ADM",2016-02-23,33.77,34.419998,33.369999,33.790001,3444300,28.249849
"36","ADM",2016-02-24,33.549999,33.91,33.080002,33.849998,3769600,28.300007
"37","ADM",2016-02-25,34.040001,34.740002,33.75,34.619999,3580400,28.943754
"38","ADM",2016-02-26,34.720001,35.099998,34.5,34.790001,3803200,29.085886
"39","ADM",2016-02-29,34.790001,35.41,34.549999,34.959999,5092100,29.228004
"40","ADM",2016-03-01,35.130001,35.619999,34.560001,35.48,4412900,29.66275
"41","ADM",2016-03-02,35.279999,35.91,35.189999,35.830002,3392300,29.955374
"42","ADM",2016-03-03,36.169998,36.860001,35.740002,36.830002,4054800,30.791412
"43","ADM",2016-03-04,36.900002,37.990002,36.900002,37.650002,5268800,31.476967
"44","ADM",2016-03-07,37.169998,37.290001,36.849998,37.139999,3599700,31.050573
"45","ADM",2016-03-08,37.029999,37.27,35.57,36.029999,4266900,30.122578
"46","ADM",2016-03-09,36.279999,36.439999,35.799999,36.060001,3015700,30.147657
"47","ADM",2016-03-10,36.110001,36.349998,35.360001,35.77,3242300,29.905201
"48","ADM",2016-03-11,36.169998,36.630001,36.099998,36.599998,2634400,30.599119
"49","ADM",2016-03-14,36.400002,36.889999,36.200001,36.709999,3183800,30.691082
"50","ADM",2016-03-15,36.299999,36.669998,36.139999,36.560001,2917500,30.56568
"51","ADM",2016-03-16,36.380001,37.59,36.380001,37.459999,3620100,31.31811
"52","ADM",2016-03-17,37.509998,38.759998,37.509998,38.200001,4384800,31.936779
"53","ADM",2016-03-18,38.330002,38.959999,37.91,38.07,6360700,31.828096
"54","ADM",2016-03-21,37.849998,38.279999,37.720001,38.169998,3302000,31.911701
"55","ADM",2016-03-22,37.900002,37.950001,37.549999,37.610001,2265200,31.443521
"56","ADM",2016-03-23,37.48,37.59,36.549999,36.599998,4072900,30.599119
"57","ADM",2016-03-24,36.299999,36.73,35.830002,36.470001,3465900,30.49044
"58","ADM",2016-03-28,36.599998,36.709999,36.240002,36.349998,2637300,30.390108
"59","ADM",2016-03-29,36.439999,36.98,36.220001,36.869999,2657300,30.824848
"60","ADM",2016-03-30,37.009998,37.200001,36.259998,36.619999,2871900,30.615843
"61","ADM",2016-03-31,36.689999,36.75,35.98,36.310001,3771000,30.356663
"62","ADM",2016-04-01,36.049999,36.509998,35.380001,36.470001,3167100,30.49044
"63","ADM",2016-04-04,36.330002,36.529999,35.950001,36.040001,2650500,30.130938
"64","ADM",2016-04-05,35.57,35.57,34.549999,35.110001,5541000,29.353418
"65","ADM",2016-04-06,35.09,35.549999,34.790001,35.540001,3241600,29.712912
"66","ADM",2016-04-07,35.349998,36.220001,35.290001,35.720001,3302700,29.863398
"67","ADM",2016-04-08,36.119999,36.540001,35.950001,36.09,2319000,30.172739
"68","ADM",2016-04-11,36.119999,36.650002,35.970001,36,2505600,30.097492
"69","ADM",2016-04-12,36.040001,36.900002,36.029999,36.830002,2202400,30.791412
"70","ADM",2016-04-13,37.060001,37.299999,36.98,37.139999,2756500,31.050573
"71","ADM",2016-04-14,37.02,37.110001,36.349998,36.59,2842700,30.590754
"72","ADM",2016-04-15,36.639999,37.330002,36.52,37.299999,3092200,31.184347
"73","ADM",2016-04-18,37.099998,37.82,36.880001,37.709999,3523500,31.52713
"74","ADM",2016-04-19,37.98,38.580002,37.84,38.23,3142500,31.96187
"75","ADM",2016-04-20,38.25,38.990002,38.07,38.869999,4224900,32.496929
"76","ADM",2016-04-21,39,39.16,38.200001,38.349998,3701200,32.062199
"77","ADM",2016-04-22,38.790001,39.630001,38.639999,39.619999,4194400,33.123955
"78","ADM",2016-04-25,39.369999,39.459999,38.91,39.259998,3022900,32.822994
"79","ADM",2016-04-26,39.5,40,39.189999,39.73,4037600,33.215919
"80","ADM",2016-04-27,39.740002,40.09,39.419998,39.91,3090500,33.366417
"81","ADM",2016-04-28,39.860001,40.619999,39.720001,40.07,4531700,33.500187
"82","ADM",2016-04-29,39.869999,40.110001,39.490002,39.939999,4854100,33.391495
"83","ADM",2016-05-02,39.59,40.549999,39.549999,40.259998,5965200,33.659019
"84","ADM",2016-05-03,39.950001,40.650002,39.029999,39.099998,5170800,32.689213
"85","ADM",2016-05-04,39.009998,39.369999,38.560001,38.720001,4318300,32.371529
"86","ADM",2016-05-05,38.869999,39.23,37.959999,38.080002,3934400,31.836452
"87","ADM",2016-05-06,38.049999,38.360001,37.869999,38.200001,2528600,31.936779
"88","ADM",2016-05-09,38.23,38.389999,37.360001,37.73,4166600,31.543844
