"","symbol","date","open","high","low","close","volume","adjusted"
"1","AFL",2016-01-04,29.395,29.59,29.1,29.59,4948400,25.489367
"2","AFL",2016-01-05,29.584999,29.815001,29.370001,29.549999,4100000,25.454908
"3","AFL",2016-01-06,29.165001,29.305,28.975,29.1,3727400,25.067274
"4","AFL",2016-01-07,28.559999,29,28.465,28.605,4706000,24.640869
"5","AFL",2016-01-08,28.834999,28.895,28.305,28.355,4460600,24.425516
"6","AFL",2016-01-11,28.51,28.645,28.135,28.540001,4023600,24.584879
"7","AFL",2016-01-12,28.815001,28.969999,28.51,28.9,4745000,24.894987
"8","AFL",2016-01-13,29.16,29.42,28.334999,28.455,5607400,24.51166
"9","AFL",2016-01-14,28.51,28.945,28.254999,28.66,5418800,24.688244
"10","AFL",2016-01-15,28.01,28.514999,27.940001,28.305,6893600,24.382446
"11","AFL",2016-01-19,28.540001,28.635,28.055,28.245001,5529800,24.330761
"12","AFL",2016-01-20,27.725,28.09,27.285,27.775,5915800,23.925894
"13","AFL",2016-01-21,27.870001,28.23,27.674999,27.91,4844800,24.042189
"14","AFL",2016-01-22,28.360001,28.66,28.275,28.635,4387200,24.666712
"15","AFL",2016-01-25,28.620001,28.815001,28.219999,28.275,6298600,24.356606
"16","AFL",2016-01-26,28.514999,28.905001,28.469999,28.76,3178800,24.774393
"17","AFL",2016-01-27,28.705,29.135,28.455,28.725,5026800,24.744244
"18","AFL",2016-01-28,28.945,29.245001,28.705,29.155001,4236800,25.114653
"19","AFL",2016-01-29,28.99,29.045,28.275,28.98,10378400,24.963902
"20","AFL",2016-02-01,28.68,28.780001,28.155001,28.254999,11286200,24.339382
"21","AFL",2016-02-02,28.365,29.309999,27.870001,28.639999,10005600,24.671021
"22","AFL",2016-02-03,29.200001,29.415001,28.040001,28.66,5113400,24.688244
"23","AFL",2016-02-04,28.57,29.055,28.48,29.01,4558400,24.989744
"24","AFL",2016-02-05,28.985001,29.245001,28.83,29.105,4573000,25.071579
"25","AFL",2016-02-08,28.695,29.1,28.52,29,5247000,24.981133
"26","AFL",2016-02-09,28.754999,29.18,28.525,28.965,5561200,24.950979
"27","AFL",2016-02-10,29.15,29.43,28.715,28.745001,4456800,24.761471
"28","AFL",2016-02-11,27.805,28.299999,27.620001,27.799999,6858400,24.119442
"29","AFL",2016-02-12,28.26,28.690001,28.129999,28.655001,5266200,24.861248
"30","AFL",2016-02-16,29.049999,29.18,28.674999,29.065001,5149000,25.21697
"31","AFL",2016-02-17,29.375,29.684999,29.35,29.535,4410400,25.624741
"32","AFL",2016-02-18,29.620001,29.705,29.405001,29.58,4157200,25.663778
"33","AFL",2016-02-19,29.49,29.674999,29.27,29.66,5427200,25.733192
"34","AFL",2016-02-22,29.905001,30.030001,29.715,29.85,4279000,25.898033
"35","AFL",2016-02-23,29.82,29.889999,29.625,29.684999,3166400,25.754877
"36","AFL",2016-02-24,29.365,29.91,29.23,29.815001,3366200,25.867666
"37","AFL",2016-02-25,29.860001,30.174999,29.575001,30.165001,3433400,26.171331
"38","AFL",2016-02-26,30.290001,30.385,30.01,30.084999,4168000,26.101923
"39","AFL",2016-02-29,30.09,30.219999,29.76,29.76,4156400,25.819948
"40","AFL",2016-03-01,29.959999,30.58,29.959999,30.535,4925600,26.492344
"41","AFL",2016-03-02,30.51,30.725,30.389999,30.705,4220200,26.639839
"42","AFL",2016-03-03,30.629999,30.690001,30.375,30.49,5213600,26.453302
"43","AFL",2016-03-04,30.615,30.684999,30.344999,30.514999,4131400,26.474997
"44","AFL",2016-03-07,30.290001,30.49,30.184999,30.275,5011600,26.266769
"45","AFL",2016-03-08,30.055,30.290001,29.66,30.030001,5889800,26.054201
"46","AFL",2016-03-09,30.215,30.385,29.83,30.215,5052800,26.214708
"47","AFL",2016-03-10,30.264999,30.5,29.934999,30.184999,3811600,26.188683
"48","AFL",2016-03-11,30.559999,31.174999,30.48,31.135,4915000,27.012911
"49","AFL",2016-03-14,30.92,31.040001,30.754999,30.825001,4130000,26.74395
"50","AFL",2016-03-15,30.615,30.83,30.525,30.775,3628800,26.700571
"51","AFL",2016-03-16,30.725,31.309999,30.625,31.23,5395000,27.095327
"52","AFL",2016-03-17,31.165001,31.889999,30.93,31.695,5627600,27.498768
"53","AFL",2016-03-18,31.83,31.975,31.504999,31.76,7765000,27.555161
"54","AFL",2016-03-21,31.625,31.84,31.559999,31.639999,3012400,27.45105
"55","AFL",2016-03-22,31.530001,31.865,31.424999,31.67,3564000,27.477079
"56","AFL",2016-03-23,31.73,31.834999,31.594999,31.700001,3846800,27.503111
"57","AFL",2016-03-24,31.455,31.469999,31.17,31.35,3489000,27.199446
"58","AFL",2016-03-28,31.395,31.705,31.395,31.58,3133200,27.398987
"59","AFL",2016-03-29,31.465,31.674999,31.325001,31.59,3275200,27.407671
"60","AFL",2016-03-30,31.75,32.165001,31.700001,31.865,3131600,27.646259
"61","AFL",2016-03-31,31.865,31.985001,31.540001,31.57,4653000,27.390318
"62","AFL",2016-04-01,31.5,32.084999,31.415001,32.060001,4427000,27.815451
"63","AFL",2016-04-04,32.07,32.075001,31.73,31.795,3706000,27.585529
"64","AFL",2016-04-05,31.605,32.049999,31.605,31.860001,4477000,27.641924
"65","AFL",2016-04-06,31.855,31.965,31.615,31.83,3248000,27.615896
"66","AFL",2016-04-07,31.59,31.815001,31.295,31.5,3537800,27.329586
"67","AFL",2016-04-08,31.74,32.044998,31.725,31.955,4624600,27.724342
"68","AFL",2016-04-11,32.009998,32.305,31.959999,32.02,4294000,27.780741
"69","AFL",2016-04-12,32.134998,32.799999,32.040001,32.764999,7111000,28.427105
"70","AFL",2016-04-13,32.970001,33.224998,32.875,33.224998,4878800,28.8262
"71","AFL",2016-04-14,33.400002,33.665001,33.334999,33.485001,5067000,29.051785
"72","AFL",2016-04-15,33.455002,33.615002,33.325001,33.439999,4408200,29.012733
"73","AFL",2016-04-18,33.365002,33.650002,33.209999,33.605,4058200,29.155891
"74","AFL",2016-04-19,33.625,33.814999,33.584999,33.779999,5338200,29.307722
"75","AFL",2016-04-20,33.884998,34.154999,33.814999,34.025002,5629200,29.52029
"76","AFL",2016-04-21,33.775002,34.040001,33.669998,33.700001,3930600,29.238323
"77","AFL",2016-04-22,33.755001,34.080002,33.720001,33.959999,5285200,29.463892
"78","AFL",2016-04-25,33.82,34,33.605,33.935001,3827800,29.442205
"79","AFL",2016-04-26,34.02,34.34,33.875,34,5450200,29.498598
"80","AFL",2016-04-27,33.950001,34.735001,33.91,34.66,6161600,30.071217
"81","AFL",2016-04-28,34.529999,34.799999,34.380001,34.505001,5512000,29.936741
"82","AFL",2016-04-29,34.41,34.610001,34.259998,34.485001,6065400,29.919386
"83","AFL",2016-05-02,34.235001,34.650002,34.169998,34.564999,4545800,29.988796
"84","AFL",2016-05-03,34.384998,34.52,34.130001,34.485001,5691200,29.919386
"85","AFL",2016-05-04,34.310001,34.380001,34.009998,34.215,4295200,29.685131
"86","AFL",2016-05-05,34.240002,34.490002,34.205002,34.330002,3943200,29.784904
"87","AFL",2016-05-06,34.209999,34.455002,34.095001,34.424999,3201600,29.867327
"88","AFL",2016-05-09,34.325001,34.490002,34.195,34.32,2941400,29.776241
"89","AFL",2016-05-10,34.209999,34.619999,34.115002,34.59,3834200,30.010494
"90","AFL",2016-05-11,34.369999,34.650002,34.275002,34.380001,3017800,29.828297
"91","AFL",2016-05-12,34.605,34.720001,34.384998,34.619999,5062000,30.03651
"92","AFL",2016-05-13,34.560001,34.845001,34.400002,34.435001,3847000,29.876005
"93","AFL",2016-05-16,34.279999,34.639999,34.23,34.509998,6213400,30.120392
"94","AFL",2016-05-17,34.514999,34.575001,34.130001,34.220001,4350200,29.867279
"95","AFL",2016-05-18,34.205002,34.695,34.125,34.5,6059800,30.111662
"96","AFL",2016-05-19,34.419998,34.48,34.009998,34.299999,4867000,29.937107
"97","AFL",2016-05-20,34.34,34.424999,34.215,34.365002,5036200,29.993839
"98","AFL",2016-05-23,34.235001,34.325001,34.110001,34.25,3666000,29.893465
"99","AFL",2016-05-24,34.389999,34.900002,34.389999,34.775002,6480000,30.35169
"100","AFL",2016-05-25,34.974998,35.044998,34.855,34.924999,3288600,30.482607
"101","AFL",2016-05-26,34.884998,34.950001,34.575001,34.59,4594600,30.190222
"102","AFL",2016-05-27,34.625,34.779999,34.584999,34.779999,3820600,30.356047
"103","AFL",2016-05-31,34.830002,34.93,34.450001,34.73,5246800,30.312418
"104","AFL",2016-06-01,34.505001,34.75,34.375,34.705002,3584600,30.290588
"105","AFL",2016-06-02,34.615002,34.794998,34.485001,34.790001,5340200,30.36478
"106","AFL",2016-06-03,34.485001,34.669998,34.264999,34.560001,3917000,30.164038
"107","AFL",2016-06-06,34.68,34.900002,34.435001,34.674999,3224400,30.264406
"108","AFL",2016-06-07,34.77,34.869999,34.610001,34.654999,3398000,30.246944
"109","AFL",2016-06-08,34.615002,34.98,34.544998,34.950001,3619400,30.504427
"110","AFL",2016-06-09,34.775002,34.889999,34.625,34.849998,3085400,30.417147
"111","AFL",2016-06-10,34.48,34.674999,34.400002,34.474998,3019200,30.089846
"112","AFL",2016-06-13,34.389999,34.535,34.145,34.185001,3708800,29.836729
"113","AFL",2016-06-14,34.145,34.299999,34.049999,34.154999,3077400,29.810541
"114","AFL",2016-06-15,34.255001,34.365002,34.055,34.080002,2997400,29.74509
"115","AFL",2016-06-16,33.82,34.41,33.709999,34.404999,2840200,30.028742
"116","AFL",2016-06-17,34.389999,34.544998,34.27,34.395,4496600,30.02002
"117","AFL",2016-06-20,34.875,35.105,34.84,34.889999,3710000,30.452053
"118","AFL",2016-06-21,35.025002,35.310001,34.939999,35.275002,4021800,30.788086
"119","AFL",2016-06-22,35.345001,35.529999,35.275002,35.419998,4025600,30.914639
"120","AFL",2016-06-23,35.799999,35.985001,35.630001,35.884998,4539200,31.320492
"121","AFL",2016-06-24,34.34,35.244999,34.279999,34.630001,7990200,30.225126
"122","AFL",2016-06-27,34.224998,34.294998,33.564999,33.665001,7116600,29.382877
"123","AFL",2016-06-28,34.16,34.555,33.91,34.424999,4928000,30.046198
"124","AFL",2016-06-29,34.610001,35.060001,34.535,35.040001,3987600,30.582968
"125","AFL",2016-06-30,35.095001,36.084999,35,36.080002,5148400,31.490702
"126","AFL",2016-07-01,36.095001,36.404999,36.005001,36.25,3694800,31.639071
"127","AFL",2016-07-05,35.970001,36,35.639999,35.75,4164000,31.202665
"128","AFL",2016-07-06,35.634998,36.110001,35.59,36.105,4582600,31.51251
"129","AFL",2016-07-07,36.075001,36.080002,35.509998,35.709999,3914800,31.167755
"130","AFL",2016-07-08,36.130001,36.380001,35.955002,36.244999,3451600,31.634697
"131","AFL",2016-07-11,36.25,36.529999,36.25,36.330002,3766000,31.708891
"132","AFL",2016-07-12,36.52,36.764999,36.5,36.599998,2976600,31.944548
"133","AFL",2016-07-13,36.68,36.799999,36.555,36.639999,3799800,31.979454
"134","AFL",2016-07-14,37,37.055,36.849998,36.849998,4770800,32.16275
"135","AFL",2016-07-15,36.965,37.07,36.605,36.68,5128000,32.014374
"136","AFL",2016-07-18,36.685001,36.814999,36.595001,36.605,3004600,31.94891
"137","AFL",2016-07-19,36.525002,36.759998,36.450001,36.605,2849200,31.94891
"138","AFL",2016-07-20,36.825001,36.880001,36.650002,36.724998,2679800,32.053642
