"","symbol","date","open","high","low","close","volume","adjusted"
"1","AIV",2016-01-04,5.261919,5.287249,5.221925,5.285916,8551214,3.343637
"2","AIV",2016-01-05,5.303247,5.44456,5.27925,5.420564,12694802,3.428809
"3","AIV",2016-01-06,5.381902,5.424563,5.333909,5.359239,7567824,3.390018
"4","AIV",2016-01-07,5.300581,5.345908,5.288582,5.328577,11853183,3.370622
"5","AIV",2016-01-08,5.335242,5.35524,5.215259,5.227258,6373655,3.306532
"6","AIV",2016-01-11,5.237923,5.292582,5.175265,5.260586,8757493,3.327614
"7","AIV",2016-01-12,5.288582,5.295248,5.180598,5.223258,9651620,3.304003
"8","AIV",2016-01-13,5.225925,5.264586,5.119273,5.124606,12700803,3.2416
"9","AIV",2016-01-14,5.140603,5.172599,5.033952,5.040618,13943730,3.188472
"10","AIV",2016-01-15,4.961962,5.057948,4.933966,5.040618,13354146,3.188472
"11","AIV",2016-01-19,5.087278,5.364572,5.063281,5.097943,13541673,3.224733
"12","AIV",2016-01-20,5.068614,5.128605,4.881973,4.9273,17122681,3.116792
"13","AIV",2016-01-21,4.953963,4.995291,4.867309,4.925967,12028708,3.115949
"14","AIV",2016-01-22,4.969961,5.060615,4.925967,5.033952,6629441,3.184256
"15","AIV",2016-01-25,5.028619,5.097943,4.997957,5.021954,9082290,3.176666
"16","AIV",2016-01-26,5.036618,5.163267,5.032619,5.163267,7877618,3.266055
"17","AIV",2016-01-27,5.157934,5.157934,5.064614,5.097943,10292961,3.224733
"18","AIV",2016-01-28,5.079279,5.180598,5.005956,5.080612,14553566,3.213771
"19","AIV",2016-01-29,5.135271,5.229924,5.099276,5.219259,15050137,3.301472
"20","AIV",2016-02-01,5.181931,5.339242,5.156601,5.280583,12448767,3.340263
"21","AIV",2016-02-02,5.276584,5.291249,5.196595,5.217926,11545639,3.300629
"22","AIV",2016-02-03,5.240589,5.285916,5.180598,5.281917,11556891,3.341107
"23","AIV",2016-02-04,5.248588,5.328577,5.203261,5.289915,10787282,3.346167
"24","AIV",2016-02-05,5.157934,5.247255,4.909969,4.933966,25499870,3.121009
"25","AIV",2016-02-08,4.925967,4.944631,4.662005,4.745993,21854353,3.002105
"26","AIV",2016-02-09,4.698,4.775322,4.666004,4.725996,15877504,2.989456
"27","AIV",2016-02-10,4.756658,4.928633,4.747326,4.841979,12358005,3.062822
"28","AIV",2016-02-11,4.733994,4.804651,4.728662,4.768656,10931302,3.016441
"29","AIV",2016-02-12,4.800652,4.815316,4.723329,4.805984,12571785,3.040053
"30","AIV",2016-02-16,4.847312,4.885973,4.776655,4.881973,11421122,3.08812
"31","AIV",2016-02-17,4.868642,4.903304,4.803318,4.832647,15375683,3.084717
"32","AIV",2016-02-18,4.829981,4.865976,4.799318,4.845979,11449626,3.093227
"33","AIV",2016-02-19,4.836647,4.864643,4.796652,4.823315,15984019,3.07876
"34","AIV",2016-02-22,4.855311,4.916635,4.83798,4.860643,12741309,3.102587
"35","AIV",2016-02-23,4.835313,4.928633,4.803318,4.821982,12024207,3.07791
"36","AIV",2016-02-24,4.815316,4.856644,4.727329,4.804651,13639937,3.066847
"37","AIV",2016-02-25,4.832647,4.901971,4.832647,4.881973,10785781,3.116202
"38","AIV",2016-02-26,4.885973,4.903304,4.851311,4.861976,8275175,3.103438
"39","AIV",2016-02-29,4.852644,4.95263,4.849978,4.88064,11941695,3.115351
"40","AIV",2016-03-01,4.920635,5.051283,4.897971,5.048616,8560965,3.222572
"41","AIV",2016-03-02,5.025953,5.109941,4.957963,5.108608,7090757,3.260865
"42","AIV",2016-03-03,5.119273,5.144603,5.059282,5.14327,5319005,3.28299
"43","AIV",2016-03-04,5.137937,5.148602,5.088611,5.137937,4988208,3.279586
"44","AIV",2016-03-07,5.101942,5.149935,5.093943,5.144603,5669305,3.283841
"45","AIV",2016-03-08,5.147269,5.191263,5.099276,5.107275,6448666,3.260014
"46","AIV",2016-03-09,5.11394,5.181931,5.072613,5.131271,4994959,3.275331
"47","AIV",2016-03-10,5.167266,5.187263,5.072613,5.128605,5050467,3.273629
