"","symbol","date","open","high","low","close","volume","adjusted"
"1","ALE",2016-01-04,50.419998,50.82,49.380001,49.720001,388800,40.138695
"2","ALE",2016-01-05,50.119999,50.18,49.07,49.880001,278900,40.267864
"3","ALE",2016-01-06,49.459999,50.16,49.259998,50.02,209600,40.380886
"4","ALE",2016-01-07,49.43,50.200001,49.43,49.68,486300,40.106419
"5","ALE",2016-01-08,49.759998,50.52,49.700001,49.860001,209900,40.251724
"6","ALE",2016-01-11,50.029999,50.810001,50.009998,50.66,233300,40.897556
"7","ALE",2016-01-12,50.970001,50.970001,49.720001,50.200001,193400,40.526203
"8","ALE",2016-01-13,50.200001,50.630001,49.669998,49.880001,232900,40.267864
"9","ALE",2016-01-14,49.91,50.66,49.560001,50.290001,400100,40.59885
"10","ALE",2016-01-15,49.080002,50.080002,48.790001,49.490002,346300,39.953026
"11","ALE",2016-01-19,49.889999,50.650002,49.419998,50.360001,462800,40.655365
"12","ALE",2016-01-20,50.41,50.630001,49.169998,49.799999,568400,40.203274
"13","ALE",2016-01-21,49.93,50.110001,48.259998,48.77,344300,39.371769
"14","ALE",2016-01-22,49.18,50.150002,49.02,50.02,644500,40.380886
"15","ALE",2016-01-25,49.900002,50.029999,49.290001,49.419998,241900,39.896511
"16","ALE",2016-01-26,49.68,50.57,49.669998,50.549999,197700,40.80875
"17","ALE",2016-01-27,50.400002,51.349998,50.209999,50.959999,288600,41.13974
"18","ALE",2016-01-28,51.16,52.09,50.68,51.970001,192700,41.95512
"19","ALE",2016-01-29,52.380001,53.740002,52.380001,52.900002,380500,42.705898
"20","ALE",2016-02-01,52.709999,53.790001,52.419998,53.540001,272800,43.222561
"21","ALE",2016-02-02,53.330002,54.060001,52.799999,53.950001,206500,43.553558
"22","ALE",2016-02-03,54.049999,54.959999,53.73,54.380001,406500,43.900696
"23","ALE",2016-02-04,54.400002,54.400002,53.450001,53.540001,218500,43.222561
"24","ALE",2016-02-05,53.77,54,52.91,53.450001,333000,43.149899
"25","ALE",2016-02-08,53.470001,53.830002,52.869999,53.619999,514000,43.287148
"26","ALE",2016-02-09,53.389999,54.880001,53.099998,54.650002,319000,44.118652
"27","ALE",2016-02-10,54.830002,54.880001,53.169998,53.5,398500,43.190266
"28","ALE",2016-02-11,52.549999,53.16,51.59,52.5,341800,42.798973
"29","ALE",2016-02-12,52.709999,53.389999,51.860001,52.57,201600,42.856033
"30","ALE",2016-02-16,52.75,52.91,52.259998,52.43,209600,42.741894
"31","ALE",2016-02-17,52.43,52.43,51.860001,51.939999,396800,42.342445
"32","ALE",2016-02-18,50.939999,53.599998,50.830002,53.080002,422500,43.271793
"33","ALE",2016-02-19,52.73,53.330002,52.029999,52.48,357400,42.782665
"34","ALE",2016-02-22,52.700001,53.459999,52.549999,53.040001,200600,43.239174
"35","ALE",2016-02-23,52.790001,53.299999,52.470001,53.130001,186800,43.312557
"36","ALE",2016-02-24,53.099998,54.110001,53.099998,54.099998,208500,44.10331
"37","ALE",2016-02-25,54.299999,54.41,53.830002,54.07,171500,44.078854
"38","ALE",2016-02-26,54.029999,54.029999,52.540001,52.549999,216200,42.839729
"39","ALE",2016-02-29,52.5,53.580002,52.240002,53.02,300900,43.222881
"40","ALE",2016-03-01,53.27,53.470001,52.02,52.299999,284900,42.635906
"41","ALE",2016-03-02,52.240002,53.02,51.290001,53.009998,306600,43.214729
"42","ALE",2016-03-03,53.110001,54.02,52.290001,54,319200,44.02179
"43","ALE",2016-03-04,53.740002,54.959999,53.32,54.91,299100,44.763638
"44","ALE",2016-03-07,54.740002,55.470001,54.639999,55.360001,206000,45.130489
"45","ALE",2016-03-08,55.450001,55.889999,54.98,55.560001,207000,45.293537
"46","ALE",2016-03-09,55.650002,56.240002,55.009998,56.169998,232200,45.790817
"47","ALE",2016-03-10,56,56.5,55.029999,56.389999,205500,45.970165
"48","ALE",2016-03-11,56.5,56.57,55.549999,55.830002,247000,45.513641
"49","ALE",2016-03-14,55.73,55.970001,55.330002,55.610001,130500,45.334297
"50","ALE",2016-03-15,55.580002,55.959999,55.5,55.599998,112500,45.326134
"51","ALE",2016-03-16,55.560001,56.630001,54.98,56.540001,148900,46.092445
"52","ALE",2016-03-17,56.5,57.93,56.5,57.82,253900,47.135921
"53","ALE",2016-03-18,58.18,58.34,57.240002,57.549999,443800,46.915813
"54","ALE",2016-03-21,57.25,57.560001,56.34,57.27,188100,46.687565
"55","ALE",2016-03-22,57.189999,57.369999,56.400002,56.830002,194000,46.328869
"56","ALE",2016-03-23,56.630001,57.459999,56.110001,57.209999,173400,46.638641
"57","ALE",2016-03-24,57.150002,57.709999,57.040001,57.52,133000,46.891369
"58","ALE",2016-03-28,57.57,58,56.970001,57.220001,93300,46.646801
"59","ALE",2016-03-29,55.57,57.509998,55.57,57.290001,686200,46.703861
"60","ALE",2016-03-30,57.380001,57.380001,55.709999,55.869999,572600,45.546253
"61","ALE",2016-03-31,55.93,56.5,55.93,56.07,333000,45.709297
"62","ALE",2016-04-01,56.09,56.610001,55.560001,55.990002,360700,45.644081
"63","ALE",2016-04-04,55.91,55.990002,55.419998,55.880001,205100,45.554398
"64","ALE",2016-04-05,55.869999,55.869999,53.93,53.93,258500,43.964725
"65","ALE",2016-04-06,53.860001,54.09,53.470001,53.84,398100,43.891354
"66","ALE",2016-04-07,53.77,54.419998,53.52,54.200001,465400,44.184841
"67","ALE",2016-04-08,54.450001,54.849998,54.040001,54.619999,284800,44.527229
"68","ALE",2016-04-11,54.889999,55.150002,54.639999,54.98,420800,44.820705
"69","ALE",2016-04-12,55,55.450001,54.880001,55.360001,296400,45.130489
"70","ALE",2016-04-13,55.66,55.68,54.889999,55.41,266600,45.171253
"71","ALE",2016-04-14,55.310001,55.790001,54.959999,55.549999,420100,45.285378
"72","ALE",2016-04-15,55.419998,56.169998,55.360001,56.099998,284200,45.733749
"73","ALE",2016-04-18,56.060001,56.610001,55.66,56.610001,328800,46.149509
"74","ALE",2016-04-19,56.709999,56.799999,56,56.32,350200,45.913101
"75","ALE",2016-04-20,56.18,56.459999,55.119999,55.200001,427000,45.000065
"76","ALE",2016-04-21,55.139999,55.150002,54.279999,54.419998,387300,44.364182
"77","ALE",2016-04-22,54.43,54.950001,54.330002,54.669998,286400,44.567986
"78","ALE",2016-04-25,54.459999,54.91,54.25,54.900002,257600,44.755493
"79","ALE",2016-04-26,55.02,55.389999,54.75,55.389999,200100,45.154945
"80","ALE",2016-04-27,55.529999,56.209999,54.950001,55.959999,199300,45.619621
"81","ALE",2016-04-28,55.650002,56.400002,55.369999,56.060001,234200,45.701149
"82","ALE",2016-04-29,55.98,56.330002,55.400002,56.189999,174900,45.807121
"83","ALE",2016-05-02,56.189999,57.279999,56.099998,57.009998,274700,46.475601
"84","ALE",2016-05-03,56.740002,57.400002,55.790001,57.080002,353700,46.532661
"85","ALE",2016-05-04,57.02,58.41,57,58.139999,310800,47.396793
"86","ALE",2016-05-05,58,58.490002,57.439999,57.689999,413200,47.029945
"87","ALE",2016-05-06,57.650002,57.689999,55.77,56.91,704900,46.39407
"88","ALE",2016-05-09,57.02,57.700001,56.599998,57.509998,313500,46.883202
"89","ALE",2016-05-10,57.73,57.82,57.220001,57.509998,217400,46.883202
"90","ALE",2016-05-11,57.57,57.709999,56.919998,57.459999,302900,46.842453
"91","ALE",2016-05-12,57.009998,57.689999,56.41,57.080002,189000,46.95763
"92","ALE",2016-05-13,57.060001,57.299999,56.700001,56.91,193600,46.817764
"93","ALE",2016-05-16,56.77,57.119999,56.5,56.939999,290500,46.842453
"94","ALE",2016-05-17,57.029999,57.029999,55.110001,55.450001,261400,45.616673
"95","ALE",2016-05-18,55.150002,55.799999,54.5,54.560001,323700,44.884506
"96","ALE",2016-05-19,54.43,54.880001,54.029999,54.830002,169600,45.106621
"97","ALE",2016-05-20,54.970001,55.099998,54.52,55.099998,169000,45.328739
"98","ALE",2016-05-23,55.169998,55.25,54.48,54.529999,177800,44.859833
"99","ALE",2016-05-24,54.57,55.759998,54.57,55.720001,252200,45.83881
"100","ALE",2016-05-25,56.939999,56.939999,55.580002,56.130001,260200,46.176094
"101","ALE",2016-05-26,56.25,57.110001,56.25,56.939999,213800,46.842453
"102","ALE",2016-05-27,56.970001,57.509998,56.950001,57.470001,202400,47.278454
"103","ALE",2016-05-31,57.52,57.91,57.110001,57.740002,531500,47.500576
"104","ALE",2016-06-01,57.790001,58.080002,57.630001,57.919998,144400,47.648647
"105","ALE",2016-06-02,57.75,58.080002,57.32,57.970001,233800,47.689793
"106","ALE",2016-06-03,58.470001,59.299999,58.07,59.02,218900,48.5536
"107","ALE",2016-06-06,59.189999,59.639999,59.09,59.360001,176800,48.833302
"108","ALE",2016-06-07,59.459999,59.900002,59.459999,59.82,168100,49.211716
"109","ALE",2016-06-08,59.900002,60.439999,59.700001,60.41,130900,49.697094
"110","ALE",2016-06-09,60.48,61.110001,60.23,60.990002,161800,50.174232
"111","ALE",2016-06-10,60.720001,61.360001,60.509998,60.810001,131800,50.026157
"112","ALE",2016-06-13,60.799999,61.099998,60.560001,60.759998,104500,49.985027
"113","ALE",2016-06-14,60.919998,61.41,60.41,61.41,180700,50.519756
"114","ALE",2016-06-15,61.459999,61.459999,60.48,60.540001,410400,49.804043
"115","ALE",2016-06-16,60.509998,61.16,60.189999,61.07,219200,50.240051
"116","ALE",2016-06-17,61.169998,61.169998,60.279999,61.09,460500,50.256508
"117","ALE",2016-06-20,61.450001,61.990002,60.849998,61.790001,214100,50.832371
"118","ALE",2016-06-21,61.779999,62.16,61,61.720001,152900,50.77478
"119","ALE",2016-06-22,61.779999,61.779999,61.07,61.09,232200,50.256508
"120","ALE",2016-06-23,61.189999,61.779999,60.25,61.779999,184300,50.824139
"121","ALE",2016-06-24,60.970001,62.07,60.060001,61.790001,584800,50.832371
"122","ALE",2016-06-27,61.720001,62.189999,61.599998,62.009998,338600,51.01334
"123","ALE",2016-06-28,62.25,62.860001,61.759998,62.52,272600,51.432907
"124","ALE",2016-06-29,62.77,63.259998,62.619999,63.049999,198400,51.868912
"125","ALE",2016-06-30,63.150002,64.690002,62.98,64.629997,304900,53.168728
"126","ALE",2016-07-01,65.099998,65.099998,63.939999,64.580002,152400,53.127598
"127","ALE",2016-07-05,64.720001,65.260002,64.620003,65.160004,159800,53.60474
"128","ALE",2016-07-06,65.199997,65.410004,64.589996,64.910004,127500,53.399078
"129","ALE",2016-07-07,64.720001,64.940002,63.490002,63.68,156600,52.387203
"130","ALE",2016-07-08,63.720001,64.360001,63.060001,64.300003,232900,52.897255
"131","ALE",2016-07-11,64.199997,64.419998,63.189999,64.360001,184800,52.946617
"132","ALE",2016-07-12,64.110001,64.150002,63.41,63.669998,259700,52.378971
"133","ALE",2016-07-13,63.77,64.339996,63.77,64.290001,164600,52.889023
"134","ALE",2016-07-14,64.290001,64.290001,63.450001,63.48,148900,52.222672
"135","ALE",2016-07-15,63.549999,63.919998,62.5,63.740002,144200,52.436569
"136","ALE",2016-07-18,63.68,64.379997,63.52,63.889999,106400,52.559959
"137","ALE",2016-07-19,63.900002,63.900002,63.48,63.639999,107300,52.354294
"138","ALE",2016-07-20,63.720001,63.91,63.369999,63.470001,102100,52.214447
"139","ALE",2016-07-21,63.299999,63.75,62.860001,63.48,132900,52.222672
"140","ALE",2016-07-22,63.400002,65.040001,63.209999,64.739998,207400,53.25922
"141","ALE",2016-07-25,64.779999,64.989998,64.040001,64.220001,103300,52.831444
"142","ALE",2016-07-26,64.18,64.25,63.52,63.720001,115500,52.420109
"143","ALE",2016-07-27,63.650002,63.75,62.57,63.09,145600,51.901833
"144","ALE",2016-07-28,62.880001,63.459999,62.880001,63.240002,94600,52.025234
"145","ALE",2016-07-29,63.43,64,63.040001,63.849998,183300,52.527058
"146","ALE",2016-08-01,63.669998,64.019997,63.43,64,125900,52.650455
"147","ALE",2016-08-02,63.830002,64.459999,63.720001,63.75,202200,52.44479
"148","ALE",2016-08-03,63.450001,64.300003,62.27,62.5,176400,51.416451
"149","ALE",2016-08-04,62.369999,62.98,62.139999,62.299999,180500,51.251926
"150","ALE",2016-08-05,62.18,62.450001,61.330002,61.389999,217300,50.5033
"151","ALE",2016-08-08,61.5,61.889999,61.049999,61.200001,161300,50.346992
"152","ALE",2016-08-09,61.299999,61.639999,61.189999,61.349998,132200,50.470398
"153","ALE",2016-08-10,61.459999,61.459999,61,61.369999,149000,50.486843
"154","ALE",2016-08-11,60.98,61.310001,60.77,61.290001,2e+05,50.851906
"155","ALE",2016-08-12,61.490002,61.619999,61.07,61.119999,136100,50.710861
"156","ALE",2016-08-15,61.23,61.290001,60.290001,60.34,145000,50.063705
"157","ALE",2016-08-16,60.080002,60.080002,59.220001,59.419998,299700,49.300388
"158","ALE",2016-08-17,59.18,60.119999,58.650002,59.959999,252500,49.748425
"159","ALE",2016-08-18,60.029999,61.209999,59.740002,61.189999,161700,50.768944
"160","ALE",2016-08-19,60.900002,61.240002,60.040001,60.490002,182600,50.188164
"161","ALE",2016-08-22,60.689999,61.139999,60.5,61.07,95100,50.669388
"162","ALE",2016-08-23,61.279999,61.66,60.34,60.389999,151000,50.105186
"163","ALE",2016-08-24,60.32,60.32,59.709999,59.93,221200,49.723534
"164","ALE",2016-08-25,59.990002,60.310001,59.93,60.060001,304500,49.831383
"165","ALE",2016-08-26,60.220001,60.84,58.599998,58.98,275700,48.935322
"166","ALE",2016-08-29,59.009998,59.630001,58.91,59.619999,266500,49.466324
"167","ALE",2016-08-30,59.73,60.060001,58.82,58.869999,180700,48.844059
"168","ALE",2016-08-31,58.919998,59.380001,58.66,59.299999,175900,49.200825
"169","ALE",2016-09-01,59.189999,59.52,58.91,59.43,197400,49.308689
"170","ALE",2016-09-02,59.650002,60.52,59.41,60.509998,163000,50.204742
"171","ALE",2016-09-06,60.959999,61.419998,60.639999,61.330002,190300,50.885105
"172","ALE",2016-09-07,61.240002,61.790001,60.98,61.610001,210700,51.117416
"173","ALE",2016-09-08,61.439999,61.959999,61.290001,61.810001,153900,51.28336
"174","ALE",2016-09-09,61.310001,61.310001,59.119999,59.139999,153700,49.068073
"175","ALE",2016-09-12,58.939999,59.970001,58.939999,59.779999,335800,49.599075
"176","ALE",2016-09-13,59.419998,59.599998,58.610001,58.700001,430800,48.702999
"177","ALE",2016-09-14,58.959999,59.18,58.200001,58.52,409600,48.553661
"178","ALE",2016-09-15,58.439999,59.689999,58.41,59.5,212300,49.366764
"179","ALE",2016-09-16,59.5,60.549999,58.939999,60.509998,748700,50.204742
"180","ALE",2016-09-19,60.509998,60.790001,60.139999,60.740002,166600,50.395588
"181","ALE",2016-09-20,61.110001,61.330002,60.580002,60.599998,129800,50.279423
"182","ALE",2016-09-21,60.900002,62.290001,60.48,62.189999,160600,51.59864
"183","ALE",2016-09-22,62.470001,62.700001,62.110001,62.700001,196900,52.021778
"184","ALE",2016-09-23,62.599998,62.599998,62.209999,62.220001,150400,51.623528
"185","ALE",2016-09-26,62.290001,62.290001,61.639999,61.639999,194500,51.1423
"186","ALE",2016-09-27,61.669998,61.919998,60.779999,60.919998,205100,50.544922
"187","ALE",2016-09-28,60.889999,61.110001,60.099998,60.810001,132500,50.453663
"188","ALE",2016-09-29,60.66,60.66,59.48,59.869999,103600,49.673752
"189","ALE",2016-09-30,60.189999,60.25,59.139999,59.619999,172500,49.466324
"190","ALE",2016-10-03,59.549999,59.549999,58.630001,59.220001,236000,49.134441
"191","ALE",2016-10-04,59.080002,59.279999,57.009998,57.380001,183100,47.607811
"192","ALE",2016-10-05,57.52,57.689999,56.849998,57.110001,254000,47.383801
"193","ALE",2016-10-06,56.93,57.279999,56.59,56.959999,171300,47.259342
"194","ALE",2016-10-07,57.419998,57.68,57.049999,57.060001,266000,47.342308
"195","ALE",2016-10-10,56.959999,57.77,56.939999,57.73,123000,47.898205
"196","ALE",2016-10-11,57.66,57.700001,56.57,56.810001,181900,47.134895
"197","ALE",2016-10-12,56.91,57.5,56.650002,57.459999,240700,47.674187
"198","ALE",2016-10-13,57.490002,58.580002,57.470001,58.049999,188300,48.163708
"199","ALE",2016-10-14,57.830002,58.259998,57.490002,57.580002,107300,47.773762
"200","ALE",2016-10-17,57.77,58.060001,57.720001,57.950001,122600,48.080734
"201","ALE",2016-10-18,58.18,59.009998,57.759998,58.990002,313000,48.943619
"202","ALE",2016-10-19,59.09,59.310001,58.400002,59.18,198900,49.101273
"203","ALE",2016-10-20,59.34,59.580002,58.950001,59.439999,147200,49.316982
"204","ALE",2016-10-21,59.060001,59.709999,58.98,59.560001,254900,49.41655
"205","ALE",2016-10-24,59.939999,60.040001,59.259998,59.580002,234300,49.43314
"206","ALE",2016-10-25,59.470001,60.150002,59.41,60.139999,125400,49.897766
"207","ALE",2016-10-26,60.130001,60.27,59.619999,59.84,144600,49.648869
"208","ALE",2016-10-27,59.549999,59.799999,59.099998,59.400002,138100,49.283791
"209","ALE",2016-10-28,59.419998,59.830002,58.98,59.599998,228100,49.44973
"210","ALE",2016-10-31,59.73,61.400002,59.669998,61.290001,274000,50.851906
