"","symbol","date","open","high","low","close","volume","adjusted"
"1","ALLE",2016-01-04,64.879997,64.879997,63.389999,64.529999,845000,60.845303
"2","ALLE",2016-01-05,64.57,65.400002,64.110001,64.459999,525600,60.779285
"3","ALLE",2016-01-06,63.619999,63.830002,62.389999,62.77,505500,59.185791
"4","ALLE",2016-01-07,61.630001,62.290001,60.75,60.959999,613600,57.479149
"5","ALLE",2016-01-08,61.299999,61.709999,59.619999,59.77,675700,56.357094
"6","ALLE",2016-01-11,60.02,60.450001,58.98,59.490002,562700,56.09309
"7","ALLE",2016-01-12,59.959999,60.439999,59.330002,60.110001,521100,56.677677
"8","ALLE",2016-01-13,60.529999,60.689999,58.66,58.810001,513400,55.45192
"9","ALLE",2016-01-14,59.799999,60.939999,59.040001,60.23,929400,56.790825
"10","ALLE",2016-01-15,60.419998,60.419998,56.66,58.68,1231500,55.329334
"11","ALLE",2016-01-19,60.049999,60.209999,57.279999,58.009998,1e+06,54.697586
"12","ALLE",2016-01-20,57.549999,58.040001,55.529999,57.41,1355200,54.131851
"13","ALLE",2016-01-21,57.439999,57.77,55.759998,57.209999,1152600,53.943268
"14","ALLE",2016-01-22,58.150002,60.130001,58.130001,59.959999,1086900,56.536247
"15","ALLE",2016-01-25,59.689999,60.349998,58.830002,59.189999,1114700,55.810219
"16","ALLE",2016-01-26,59.040001,60.119999,58.779999,59.939999,638000,56.517399
"17","ALLE",2016-01-27,59.68,60.57,59.369999,59.73,711800,56.319378
"18","ALLE",2016-01-28,60.060001,60.169998,58.759998,59.220001,668100,55.838505
"19","ALLE",2016-01-29,59.529999,60.650002,59.169998,60.560001,677700,57.101986
"20","ALLE",2016-02-01,60,60.740002,59.529999,60.450001,982600,56.998268
"21","ALLE",2016-02-02,59.950001,59.950001,58.310001,58.73,1217300,55.376472
"22","ALLE",2016-02-03,59.389999,59.490002,57.700001,59.380001,897500,55.989361
"23","ALLE",2016-02-04,59.32,60.970001,59.220001,59.799999,542800,56.385391
"24","ALLE",2016-02-05,59.830002,60.349998,56.009998,56.27,1627200,53.056942
