"","symbol","date","open","high","low","close","volume","adjusted"
"1","ALLY",2016-01-04,18.360001,18.74,18.33,18.65,3573500,16.416145
"2","ALLY",2016-01-05,18.68,18.99,18.34,18.620001,5501300,16.389736
"3","ALLY",2016-01-06,18.32,18.540001,18.200001,18.32,5998300,16.125668
"4","ALLY",2016-01-07,18.02,18.1,17.34,17.41,6885600,15.324668
"5","ALLY",2016-01-08,17.530001,17.6,16.799999,16.879999,5316100,14.858149
"6","ALLY",2016-01-11,16.91,16.995001,16.58,16.799999,4829500,14.787734
"7","ALLY",2016-01-12,16.940001,17.07,15.96,16.280001,6724100,14.330017
"8","ALLY",2016-01-13,16.549999,16.870001,15.73,15.9,8384700,13.995535
"9","ALLY",2016-01-14,15.93,16.379999,15.65,16.32,4407000,14.365228
"10","ALLY",2016-01-15,15.82,16.07,15.6,15.99,6607800,14.074753
"11","ALLY",2016-01-19,16.17,16.18,15.5,15.69,4613800,13.810686
"12","ALLY",2016-01-20,15.37,15.8,14.55,15.68,6695300,13.801885
"13","ALLY",2016-01-21,15.66,15.95,15.64,15.77,4312800,13.881103
"14","ALLY",2016-01-22,16.09,16.32,15.49,15.73,5216000,13.845895
"15","ALLY",2016-01-25,15.58,15.64,15.285,15.33,4519600,13.493806
"16","ALLY",2016-01-26,15.4,15.65,15.35,15.65,2249100,13.775475
"17","ALLY",2016-01-27,15.54,16.18,15.29,15.92,7609100,14.013138
"18","ALLY",2016-01-28,16.030001,16.15,14.95,15.35,9033600,13.511412
"19","ALLY",2016-01-29,15.43,15.85,15.36,15.85,4195600,13.951521
"20","ALLY",2016-02-01,15.83,16.17,15.505,16.049999,5888400,14.127564
"21","ALLY",2016-02-02,16.18,16.67,15.57,16.09,9630400,14.162775
"22","ALLY",2016-02-03,16.120001,17.200001,15.86,17.08,8841000,15.034192
"23","ALLY",2016-02-04,17.030001,17.57,16.84,17.17,6358100,15.113416
"24","ALLY",2016-02-05,17.08,17.264999,16.75,17.01,4849300,14.972581
"25","ALLY",2016-02-08,16.790001,16.815001,16.299999,16.450001,7336100,14.479655
"26","ALLY",2016-02-09,16.27,16.559999,15.87,16.200001,7552600,14.259599
"27","ALLY",2016-02-10,16.290001,17.089001,16.15,16.75,6296500,14.743721
"28","ALLY",2016-02-11,15.87,16.27,15.54,15.9,6588300,13.995535
"29","ALLY",2016-02-12,16.15,16.360001,15.91,16.34,5802300,14.382832
"30","ALLY",2016-02-16,16.57,17.07,16.434999,17.01,3612500,14.972581
"31","ALLY",2016-02-17,17.17,17.440001,17,17.07,7234500,15.025391
"32","ALLY",2016-02-18,17.09,17.309999,16.639999,17.16,4215100,15.104609
"33","ALLY",2016-02-19,16.99,17.07,16.58,16.9,2561100,14.875756
"34","ALLY",2016-02-22,17.1,17.57,17.1,17.540001,3092400,15.439099
"35","ALLY",2016-02-23,17.48,17.719999,17.02,17.110001,2398500,15.060602
"36","ALLY",2016-02-24,16.93,17.280001,16.450001,17.18,3501500,15.122222
"37","ALLY",2016-02-25,17.25,17.5,16.99,17.370001,2375900,15.289455
"38","ALLY",2016-02-26,17.49,17.790001,17.299999,17.559999,3248200,15.456697
"39","ALLY",2016-02-29,17.59,17.85,17.370001,17.58,4078100,15.474306
"40","ALLY",2016-03-01,17.66,17.889999,17.440001,17.870001,2220500,15.729574
"41","ALLY",2016-03-02,17.9,18.110001,17.790001,18.110001,3794200,15.940822
"42","ALLY",2016-03-03,18.120001,18.58,17.98,18.559999,4307900,16.336926
"43","ALLY",2016-03-04,18.66,18.85,18.441999,18.66,3535000,16.42495
"44","ALLY",2016-03-07,18.57,18.889999,18.440001,18.879999,3854400,16.618593
"45","ALLY",2016-03-08,18.76,18.76,17.98,17.99,4471100,15.835197
"46","ALLY",2016-03-09,18.1,18.254999,17.57,18,5192900,15.844001
"47","ALLY",2016-03-10,18.09,18.25,17.565001,18,3436900,15.844001
"48","ALLY",2016-03-11,18.219999,18.98,18.200001,18.26,4780800,16.072863
"49","ALLY",2016-03-14,18.26,18.469999,17.9,18.120001,2498300,15.949626
"50","ALLY",2016-03-15,17.950001,17.969999,17.51,17.719999,4283100,15.597537
"51","ALLY",2016-03-16,17.57,17.879999,17.200001,17.790001,4346100,15.659151
"52","ALLY",2016-03-17,17.809999,18.57,17.75,18.299999,3681800,16.108061
"53","ALLY",2016-03-18,18.41,18.709999,18.24,18.48,4215400,16.266506
"54","ALLY",2016-03-21,18.440001,18.700001,18.34,18.52,1840900,16.301714
"55","ALLY",2016-03-22,18.440001,18.85,18.299999,18.370001,3116600,16.169687
"56","ALLY",2016-03-23,18.34,18.559999,17.924999,18.16,2951600,15.984836
"57","ALLY",2016-03-24,17.99,18.370001,17.99,18.34,1425700,16.143278
"58","ALLY",2016-03-28,18.35,18.370001,18.15,18.209999,1849000,16.028843
"59","ALLY",2016-03-29,18.1,18.190001,17.85,18.08,3556000,15.914417
"60","ALLY",2016-03-30,18.200001,18.334999,18.063,18.23,2086900,16.046446
"61","ALLY",2016-03-31,18.24,18.75,18.18,18.719999,5316400,16.477758
"62","ALLY",2016-04-01,18.57,18.76,18.309999,18.66,1779200,16.42495
"63","ALLY",2016-04-04,18.620001,18.639999,17.98,18.190001,2424300,16.011242
"64","ALLY",2016-04-05,18.07,18.120001,17.5,17.5,4071900,15.403887
"65","ALLY",2016-04-06,17.48,17.709999,17.26,17.440001,4047100,15.351075
"66","ALLY",2016-04-07,17.360001,17.620001,17.24,17.32,5133500,15.245453
"67","ALLY",2016-04-08,17.200001,17.280001,16.93,16.959999,4080700,14.928567
"68","ALLY",2016-04-11,17.110001,17.6,17.049999,17.200001,3572000,15.139825
"69","ALLY",2016-04-12,17.18,17.27,16.98,17.209999,3872600,15.148624
"70","ALLY",2016-04-13,17.27,17.889999,17.209999,17.74,2732200,15.61514
"71","ALLY",2016-04-14,17.65,17.799999,17.415001,17.5,2056600,15.403887
"72","ALLY",2016-04-15,17.52,17.75,17.43,17.51,2359600,15.412692
"73","ALLY",2016-04-18,17.370001,17.690001,17.299999,17.639999,1770600,15.527119
"74","ALLY",2016-04-19,17.65,17.99,17.610001,17.99,3232400,15.835197
"75","ALLY",2016-04-20,18.02,18.405001,17.969999,18.35,2990000,16.152082
"76","ALLY",2016-04-21,18.42,18.66,18.24,18.290001,2407700,16.099262
"77","ALLY",2016-04-22,18.26,18.57,18.129999,18.51,3255100,16.292915
"78","ALLY",2016-04-25,18.34,18.57,18.16,18.48,3028400,16.266506
"79","ALLY",2016-04-26,18.32,18.74,18.030001,18.469999,4247300,16.257704
"80","ALLY",2016-04-27,18.32,18.379999,17.75,17.860001,5595400,15.720766
"81","ALLY",2016-04-28,17.77,18.07,17.65,17.790001,5669700,15.659151
"82","ALLY",2016-04-29,17.82,17.92,17.66,17.809999,3543000,15.676757
"83","ALLY",2016-05-02,17.889999,18.030001,17.66,17.809999,2552300,15.676757
"84","ALLY",2016-05-03,17.459999,17.469999,17.030001,17.08,10847000,15.034192
"85","ALLY",2016-05-04,17,17.205,16.530001,16.91,6603200,14.884557
"86","ALLY",2016-05-05,17.059999,17.219999,16.82,16.969999,3760400,14.93737
"87","ALLY",2016-05-06,16.84,17.200001,16.84,17.16,2799500,15.104609
"88","ALLY",2016-05-09,17.08,17.26,16.92,17,4206500,14.963778
"89","ALLY",2016-05-10,17.059999,17.32,16.959999,17.309999,2958000,15.236646
"90","ALLY",2016-05-11,17.120001,17.25,16.85,17.02,3679900,14.981383
"91","ALLY",2016-05-12,17.139999,17.215,16.745001,16.85,3602400,14.831743
"92","ALLY",2016-05-13,16.860001,17.08,16.735001,16.74,2427700,14.734921
"93","ALLY",2016-05-16,16.799999,17.014999,16.76,16.799999,4328800,14.787734
"94","ALLY",2016-05-17,16.799999,17.190001,16.75,16.9,3148000,14.875756
"95","ALLY",2016-05-18,16.85,17.25,16.775,16.91,3622000,14.884557
"96","ALLY",2016-05-19,16.799999,17.030001,16.52,16.67,2530800,14.673301
"97","ALLY",2016-05-20,16.68,16.9,16.58,16.74,1860900,14.734921
"98","ALLY",2016-05-23,16.690001,16.83,16.559999,16.629999,2578900,14.638096
"99","ALLY",2016-05-24,16.719999,17.110001,16.52,17.09,2628800,15.043001
"100","ALLY",2016-05-25,17.200001,17.559999,17.16,17.51,5109100,15.412692
