"","symbol","date","open","high","low","close","volume","adjusted"
"1","ALRM",2016-01-04,16.43,16.690001,15.52,16.200001,220600,16.200001
"2","ALRM",2016-01-05,16.200001,16.459999,15.605,15.93,240000,15.93
"3","ALRM",2016-01-06,15.6,16.58,15.55,16.290001,345900,16.290001
"4","ALRM",2016-01-07,15.97,16.299999,15.5,16,268500,16
"5","ALRM",2016-01-08,16.040001,16.139999,15.9,16.01,138900,16.01
"6","ALRM",2016-01-11,16.09,16.27,15.62,16,475700,16
"7","ALRM",2016-01-12,16.18,16.33,15.8,16.01,251100,16.01
"8","ALRM",2016-01-13,16.049999,16.370001,15.77,15.92,458200,15.92
"9","ALRM",2016-01-14,15.98,16.48,15.75,15.94,279300,15.94
"10","ALRM",2016-01-15,15.48,16.27,15.44,16.01,199400,16.01
"11","ALRM",2016-01-19,16.139999,16.27,15.5,15.62,136300,15.62
"12","ALRM",2016-01-20,15.35,16.1,15.04,15.92,612700,15.92
"13","ALRM",2016-01-21,16.059999,17.069,15.81,16.389999,198800,16.389999
"14","ALRM",2016-01-22,16.68,17.049999,16.360001,16.719999,103400,16.719999
"15","ALRM",2016-01-25,16.58,16.76,15.93,16,198400,16
"16","ALRM",2016-01-26,16.129999,16.65,15.97,16.52,158900,16.52
"17","ALRM",2016-01-27,16.42,16.610001,15.81,16,266200,16
"18","ALRM",2016-01-28,16.280001,16.280001,15.89,16.02,121600,16.02
"19","ALRM",2016-01-29,16,16.67,15.89,16.15,325500,16.15
"20","ALRM",2016-02-01,16.02,16.450001,15.88,16.280001,238400,16.280001
"21","ALRM",2016-02-02,16.16,16.219999,15.36,15.51,296300,15.51
"22","ALRM",2016-02-03,15.67,16.07,15.4,15.79,228800,15.79
"23","ALRM",2016-02-04,15.68,16.15,15.68,16.040001,154100,16.040001
"24","ALRM",2016-02-05,15.92,16.26,15.76,15.88,375800,15.88
"25","ALRM",2016-02-08,15.67,15.67,14.269,14.46,144000,14.46
"26","ALRM",2016-02-09,14.35,15.11,14.35,14.77,289000,14.77
"27","ALRM",2016-02-10,14.97,15.03,14.37,14.44,95300,14.44
"28","ALRM",2016-02-11,14.17,14.42,14,14.36,109700,14.36
"29","ALRM",2016-02-12,14.56,15.18,14.36,15.02,171800,15.02
"30","ALRM",2016-02-16,15.15,15.87,15.12,15.78,182400,15.78
"31","ALRM",2016-02-17,15.9,16.290001,15.77,16.040001,83000,16.040001
"32","ALRM",2016-02-18,16.049999,16.308001,15.43,16.18,125500,16.18
"33","ALRM",2016-02-19,16.15,16.889999,16,16.709999,283300,16.709999
"34","ALRM",2016-02-22,16.84,17.25,16.51,16.940001,334600,16.940001
"35","ALRM",2016-02-23,16.93,16.99,16.549999,16.870001,125600,16.870001
"36","ALRM",2016-02-24,16.68,17.25,16.51,17.190001,87400,17.190001
"37","ALRM",2016-02-25,17.25,17.940001,16.91,17.719999,231600,17.719999
"38","ALRM",2016-02-26,20.549999,22.67,19.93,19.99,2540000,19.99
"39","ALRM",2016-02-29,19.93,20.98,19.16,19.950001,693100,19.950001
"40","ALRM",2016-03-01,19.950001,20.85,19.76,20.58,505700,20.58
"41","ALRM",2016-03-02,20.65,21.75,20.16,21.43,314700,21.43
"42","ALRM",2016-03-03,21.26,22.690001,21.16,22.41,458500,22.41
"43","ALRM",2016-03-04,22.389999,22.459999,20.75,21,390400,21
"44","ALRM",2016-03-07,20.719999,23.27,20.465,22.700001,840800,22.700001
"45","ALRM",2016-03-08,22.440001,22.459999,21.280001,21.65,351900,21.65
"46","ALRM",2016-03-09,21.83,22.629999,21.16,22.120001,215400,22.120001
"47","ALRM",2016-03-10,22.139999,22.440001,21.190001,21.35,293200,21.35
"48","ALRM",2016-03-11,21.65,21.77,21.15,21.41,219300,21.41
"49","ALRM",2016-03-14,21.200001,21.620001,20.940001,21.35,242300,21.35
"50","ALRM",2016-03-15,21.299999,21.940001,20.511,21.469999,108600,21.469999
"51","ALRM",2016-03-16,21.309999,21.66,21.01,21.58,86700,21.58
"52","ALRM",2016-03-17,21.530001,22.264,21.34,21.73,203900,21.73
"53","ALRM",2016-03-18,21.860001,22.16,21.52,21.75,194400,21.75
"54","ALRM",2016-03-21,21.809999,22.25,21.091,21.73,195100,21.73
"55","ALRM",2016-03-22,21.530001,22.049999,21.43,21.719999,154800,21.719999
"56","ALRM",2016-03-23,21.620001,22.280001,21.200001,21.85,192900,21.85
"57","ALRM",2016-03-24,21.68,22.049999,21.379999,22.030001,123200,22.030001
"58","ALRM",2016-03-28,22.18,22.475,21.58,22.07,168300,22.07
"59","ALRM",2016-03-29,22.1,23.049,21.639999,22.690001,367600,22.690001
