"","symbol","date","open","high","low","close","volume","adjusted"
"1","AMN",2016-01-04,30.76,30.76,29.6,29.879999,757800,29.879999
"2","AMN",2016-01-05,29.91,31.040001,29.77,29.889999,736700,29.889999
"3","AMN",2016-01-06,29.620001,30.030001,28.68,29.18,744800,29.18
"4","AMN",2016-01-07,28.639999,28.709999,27.68,27.879999,1002200,27.879999
"5","AMN",2016-01-08,28.25,28.42,27.120001,27.17,740200,27.17
"6","AMN",2016-01-11,27.360001,27.690001,26.35,26.690001,701500,26.690001
"7","AMN",2016-01-12,27.07,27.540001,26.049999,26.469999,646200,26.469999
"8","AMN",2016-01-13,26.469999,26.690001,24.280001,24.9,1133500,24.9
"9","AMN",2016-01-14,25.639999,27.700001,25.59,27.24,1336300,27.24
"10","AMN",2016-01-15,26.440001,27.25,26.030001,27.17,1122900,27.17
"11","AMN",2016-01-19,27.59,28.540001,27.15,27.75,1122600,27.75
"12","AMN",2016-01-20,27.219999,28.049999,25.84,27.84,1349600,27.84
"13","AMN",2016-01-21,27.77,28.6,27.639999,28.02,866300,28.02
"14","AMN",2016-01-22,28.5,28.879999,28.030001,28.48,474400,28.48
"15","AMN",2016-01-25,28.389999,29.209999,28.08,28.360001,610000,28.360001
"16","AMN",2016-01-26,28.389999,28.52,27.639999,28.24,499700,28.24
"17","AMN",2016-01-27,28.24,28.370001,27.309999,27.48,429100,27.48
"18","AMN",2016-01-28,27.5,28.389999,27.01,27.1,739100,27.1
"19","AMN",2016-01-29,27.200001,28.200001,27.200001,28.17,667000,28.17
"20","AMN",2016-02-01,28.07,28.540001,27.74,28.01,689500,28.01
"21","AMN",2016-02-02,27.780001,27.780001,26.48,26.83,818000,26.83
"22","AMN",2016-02-03,27.030001,27.1,24.75,25.27,1168700,25.27
"23","AMN",2016-02-04,25.120001,25.98,24.84,25.309999,476500,25.309999
"24","AMN",2016-02-05,25.26,25.299999,22.700001,23.5,1032200,23.5
"25","AMN",2016-02-08,22.639999,23.17,21.24,21.889999,1202200,21.889999
"26","AMN",2016-02-09,21.59,23.940001,21.25,23.040001,1417300,23.040001
"27","AMN",2016-02-10,23.309999,24.34,23.09,23.389999,789800,23.389999
"28","AMN",2016-02-11,22.9,23.24,22.200001,22.58,748900,22.58
"29","AMN",2016-02-12,22.870001,23.219999,22.67,23.16,704100,23.16
"30","AMN",2016-02-16,23.540001,24.52,23.24,24.129999,1322600,24.129999
"31","AMN",2016-02-17,24.32,25.33,23.700001,25,1330400,25
"32","AMN",2016-02-18,25.17,25.73,24.66,25.049999,1317400,25.049999
"33","AMN",2016-02-19,28.549999,29.4,26.129999,27.92,4247300,27.92
"34","AMN",2016-02-22,28.040001,29.139999,27.530001,28.950001,1756500,28.950001
"35","AMN",2016-02-23,28.76,28.93,27.85,28.530001,849800,28.530001
"36","AMN",2016-02-24,27.950001,28.639999,27.92,28.559999,740800,28.559999
"37","AMN",2016-02-25,28.889999,29.200001,28.57,29.049999,1021500,29.049999
"38","AMN",2016-02-26,29.16,29.48,28.559999,28.690001,790000,28.690001
"39","AMN",2016-02-29,28.68,28.74,28.379999,28.43,641400,28.43
"40","AMN",2016-03-01,28.57,29.41,28.26,29.41,614400,29.41
"41","AMN",2016-03-02,29.370001,29.719999,28.780001,29.530001,637300,29.530001
"42","AMN",2016-03-03,29.440001,31.23,29.360001,30.68,1198400,30.68
"43","AMN",2016-03-04,30.68,31.59,30.389999,31.059999,1392000,31.059999
"44","AMN",2016-03-07,31.110001,32.259998,31,31.82,1248700,31.82
"45","AMN",2016-03-08,31.559999,31.85,30.879999,31.32,757100,31.32
"46","AMN",2016-03-09,31.68,32.34,31.280001,32.09,786600,32.09
"47","AMN",2016-03-10,32.110001,32.32,30.01,30.49,952900,30.49
"48","AMN",2016-03-11,30.719999,32.27,30.6,32.240002,629800,32.240002
"49","AMN",2016-03-14,32.189999,32.32,31.610001,31.98,497000,31.98
"50","AMN",2016-03-15,31.74,31.82,31.040001,31.67,703200,31.67
"51","AMN",2016-03-16,31.51,32.169998,31.51,31.950001,413900,31.950001
"52","AMN",2016-03-17,31.82,32.150002,30.799999,31.92,691600,31.92
"53","AMN",2016-03-18,32.119999,33.299999,31.93,32.439999,884400,32.439999
"54","AMN",2016-03-21,32.48,32.759998,31.9,32.279999,619100,32.279999
"55","AMN",2016-03-22,32.139999,32.630001,31.92,32.439999,643000,32.439999
"56","AMN",2016-03-23,32.41,32.720001,31.860001,32.060001,529400,32.060001
"57","AMN",2016-03-24,31.870001,31.969999,30.59,31.9,560700,31.9
"58","AMN",2016-03-28,32.209999,32.389999,31.5,32.02,683600,32.02
"59","AMN",2016-03-29,31.84,32.459999,31.51,32.450001,1271700,32.450001
"60","AMN",2016-03-30,32.5,33.919998,31.9,33.75,1204800,33.75
"61","AMN",2016-03-31,33.720001,34.099998,33.529999,33.610001,488300,33.610001
"62","AMN",2016-04-01,33.330002,34.330002,33.02,34.099998,526500,34.099998
"63","AMN",2016-04-04,34.240002,34.639999,34,34.509998,661400,34.509998
"64","AMN",2016-04-05,34.130001,34.68,33.950001,34.290001,575000,34.290001
"65","AMN",2016-04-06,34.400002,34.869999,34.259998,34.5,661300,34.5
