"","symbol","date","open","high","low","close","volume","adjusted"
"1","AMTD",2019-08-05,8.91,11.19,8.89,10.09,1713800,10.09
"2","AMTD",2019-08-06,10.65,10.92,9.87,9.88,449800,9.88
"3","AMTD",2019-08-07,9.75,9.93,9.25,9.9,278100,9.9
"4","AMTD",2019-08-08,9.87,9.945,8.88,9.92,178000,9.92
"5","AMTD",2019-08-09,9.89,9.97,9.32,9.9,127700,9.9
"6","AMTD",2019-08-12,9.87,9.87,9.45,9.72,13400,9.72
"7","AMTD",2019-08-13,9.59,9.7,9.1,9.16,56300,9.16
"8","AMTD",2019-08-14,9.5,9.5,9.01,9.4,31300,9.4
"9","AMTD",2019-08-15,9.5,9.5,8.98,9.06,14900,9.06
"10","AMTD",2019-08-16,9.2,9.2,8.89,9.19,15300,9.19
"11","AMTD",2019-08-19,9.35,9.35,8.844,9.24,15200,9.24
"12","AMTD",2019-08-20,9.19,9.5,8.97,9.3,26800,9.3
"13","AMTD",2019-08-21,9.4,9.4,9.11,9.23,8700,9.23
"14","AMTD",2019-08-22,9.1,9.2,8.95,8.95,16300,8.95
"15","AMTD",2019-08-23,8.84,8.903,8.48,8.8,35800,8.8
"16","AMTD",2019-08-26,8.7,9,8.41,9,266700,9
"17","AMTD",2019-08-27,9.16,9.36,8.92,9.05,15400,9.05
"18","AMTD",2019-08-28,8.76,9.19,8.76,9.05,11300,9.05
"19","AMTD",2019-08-29,8.93,9.05,8.27,8.38,52600,8.38
"20","AMTD",2019-08-30,8.71,9.1,8.5,9,70500,9
"21","AMTD",2019-09-03,9.08,9.195,8.81,9.05,16400,9.05
"22","AMTD",2019-09-04,9.05,9.06,8.8,9.06,17600,9.06
"23","AMTD",2019-09-05,9.04,9.17,8.85,9.07,14700,9.07
"24","AMTD",2019-09-06,8.96,9.24,8.805,9.08,11200,9.08
"25","AMTD",2019-09-09,9.05,9.225,8.88,9.08,12600,9.08
"26","AMTD",2019-09-10,9.01,9.08,8.85,9.08,13300,9.08
"27","AMTD",2019-09-11,9.08,9.1,8.85,9.08,12600,9.08
