"","symbol","date","open","high","low","close","volume","adjusted"
"1","AMTX",2016-01-04,0.6975,0.6975,0.58275,0.65,132400,0.65
"2","AMTX",2016-01-05,0.6525,0.7075,0.62725,0.665,84800,0.665
"3","AMTX",2016-01-06,0.66,0.66,0.59,0.5925,74000,0.5925
"4","AMTX",2016-01-07,0.6225,0.6225,0.5625,0.5625,42400,0.5625
"5","AMTX",2016-01-08,0.605,0.605,0.5625,0.5875,20400,0.5875
"6","AMTX",2016-01-11,0.56825,0.58,0.5225,0.5375,54400,0.5375
"7","AMTX",2016-01-12,0.525,0.585,0.51,0.535,80000,0.535
"8","AMTX",2016-01-13,0.5675,0.5675,0.5375,0.5375,8400,0.5375
"9","AMTX",2016-01-14,0.54,0.62,0.515,0.5975,52800,0.5975
"10","AMTX",2016-01-15,0.55,0.61,0.5475,0.57,69600,0.57
"11","AMTX",2016-01-19,0.5775,0.585,0.5175,0.525,90800,0.525
"12","AMTX",2016-01-20,0.62,0.62,0.5,0.54,133200,0.54
"13","AMTX",2016-01-21,0.52,0.5875,0.5125,0.535,65200,0.535
"14","AMTX",2016-01-22,0.55,0.65,0.55,0.595,91200,0.595
"15","AMTX",2016-01-25,0.5675,0.665,0.5675,0.5775,62800,0.5775
"16","AMTX",2016-01-26,0.5475,0.6,0.48,0.5025,135200,0.5025
"17","AMTX",2016-01-27,0.5375,0.5425,0.495,0.5,48400,0.5
"18","AMTX",2016-01-28,0.5125,0.575,0.5025,0.56,80000,0.56
"19","AMTX",2016-01-29,0.575,0.595,0.5075,0.5475,100800,0.5475
"20","AMTX",2016-02-01,0.5375,0.60875,0.505,0.5225,153200,0.5225
"21","AMTX",2016-02-02,0.5275,0.555,0.5,0.5075,106400,0.5075
"22","AMTX",2016-02-03,0.5375,0.5375,0.49,0.5225,154800,0.5225
"23","AMTX",2016-02-04,0.51,0.51,0.5025,0.5025,22400,0.5025
"24","AMTX",2016-02-05,0.4875,0.5325,0.4875,0.4875,68400,0.4875
"25","AMTX",2016-02-08,0.4825,0.4825,0.4375,0.47,70400,0.47
"26","AMTX",2016-02-09,0.4375,0.4415,0.37725,0.4375,44400,0.4375
"27","AMTX",2016-02-10,0.4275,0.44025,0.4275,0.4375,16000,0.4375
"28","AMTX",2016-02-11,0.4295,0.4295,0.38,0.3925,76800,0.3925
"29","AMTX",2016-02-12,0.395,0.4275,0.395,0.425,16000,0.425
"30","AMTX",2016-02-16,0.425,0.43,0.425,0.425,22800,0.425
"31","AMTX",2016-02-17,0.4275,0.465,0.4275,0.46,18400,0.46
"32","AMTX",2016-02-18,0.45,0.4625,0.4275,0.435,70400,0.435
"33","AMTX",2016-02-19,0.4275,0.47,0.4275,0.445,7200,0.445
"34","AMTX",2016-02-22,0.45,0.4675,0.45,0.4575,10800,0.4575
"35","AMTX",2016-02-23,0.475,0.475,0.3875,0.4125,89200,0.4125
"36","AMTX",2016-02-24,0.4025,0.445,0.3925,0.395,9200,0.395
"37","AMTX",2016-02-25,0.4675,0.4725,0.4,0.4,33600,0.4
"38","AMTX",2016-02-26,0.4825,0.4825,0.405,0.4475,21200,0.4475
"39","AMTX",2016-02-29,0.45,0.4775,0.45,0.4525,2800,0.4525
"40","AMTX",2016-03-01,0.4635,0.475,0.45,0.45,38000,0.45
"41","AMTX",2016-03-02,0.46,0.46,0.46,0.46,5200,0.46
