"","symbol","date","open","high","low","close","volume","adjusted"
"1","AMT",2016-01-04,96.290001,96.779999,95.089996,96.699997,2819800,85.951889
"2","AMT",2016-01-05,96.940002,98.75,96.800003,98.610001,2518400,87.649605
"3","AMT",2016-01-06,98.07,98.639999,97.519997,98.260002,2132400,87.338516
"4","AMT",2016-01-07,96.900002,97.330002,95.370003,95.809998,3203600,85.160843
"5","AMT",2016-01-08,95.989998,96.489998,93.900002,94.230003,1959800,83.756439
"6","AMT",2016-01-11,94.730003,95,93.839996,94.480003,1545400,83.978653
"7","AMT",2016-01-12,95.110001,95.18,93.779999,94.480003,1859900,83.978653
"8","AMT",2016-01-13,94.849998,95.07,92.099998,92.150002,1989500,81.907631
"9","AMT",2016-01-14,92.739998,93.050003,91.699997,92.209999,2524500,81.960968
"10","AMT",2016-01-15,90.510002,91.629997,87.849998,88.389999,5386300,78.565559
"11","AMT",2016-01-19,89.760002,93.529999,89.599998,90.910004,4084300,80.80545
"12","AMT",2016-01-20,90.010002,90.18,86.209999,89,4293000,79.107758
"13","AMT",2016-01-21,88.870003,91.160004,88.209999,90.019997,2994700,80.014389
"14","AMT",2016-01-22,90.910004,93.589996,90.330002,93.25,3258300,82.885368
"15","AMT",2016-01-25,93.279999,93.389999,90.93,91.120003,2895300,80.992119
"16","AMT",2016-01-26,92,93.690002,91.900002,92.470001,2795000,82.192062
"17","AMT",2016-01-27,92.059998,93.449997,91.419998,92.510002,2024200,82.227615
"18","AMT",2016-01-28,92.629997,93.449997,92.339996,92.510002,1950100,82.227615
"19","AMT",2016-01-29,93.639999,94.5,92.870003,94.339996,2744400,83.85421
"20","AMT",2016-02-01,93.599998,93.900002,92.830002,93.099998,2621900,82.752029
"21","AMT",2016-02-02,92.480003,92.839996,91.150002,91.349998,1908400,81.196564
"22","AMT",2016-02-03,91.760002,91.760002,88.400002,90.489998,4310400,80.432137
"23","AMT",2016-02-04,90.32,91.839996,90.010002,91.089996,2385400,80.965446
"24","AMT",2016-02-05,90.699997,90.949997,88.559998,88.839996,2046000,78.965515
"25","AMT",2016-02-08,88.410004,88.459999,84.550003,85.410004,3025300,75.916763
"26","AMT",2016-02-09,84.559998,85.889999,83.910004,85.57,2638100,76.058983
"27","AMT",2016-02-10,85.849998,87.129997,85.360001,85.839996,1595200,76.298973
"28","AMT",2016-02-11,84.650002,84.650002,83.07,83.660004,2891000,74.361267
"29","AMT",2016-02-12,85.089996,85.82,83.75,85.669998,2188000,76.147881
"30","AMT",2016-02-16,87.089996,87.459999,85.980003,86.449997,1880200,76.841164
"31","AMT",2016-02-17,86.93,87.339996,86.110001,86.190002,2491800,76.610092
"32","AMT",2016-02-18,86.089996,88.010002,85.779999,87.5,2799500,77.774475
"33","AMT",2016-02-19,87.410004,87.919998,86.510002,87.32,2750900,77.614494
"34","AMT",2016-02-22,88.019997,89.82,88.019997,89.239998,2633600,79.32106
"35","AMT",2016-02-23,88.870003,89.360001,87.580002,88.019997,1967600,78.236671
"36","AMT",2016-02-24,87.57,89.43,87.010002,89.029999,3775900,79.134399
"37","AMT",2016-02-25,89.269997,90.139999,88.959999,89.419998,4584300,79.481064
"38","AMT",2016-02-26,88.800003,91.800003,87.290001,90.010002,4730300,80.005486
"39","AMT",2016-02-29,90.160004,93.25,90.010002,92.199997,3879600,81.952065
"40","AMT",2016-03-01,92.75,94.790001,91.650002,94.699997,3240600,84.174202
"41","AMT",2016-03-02,94.389999,94.699997,93.739998,94.620003,1645700,84.103096
"42","AMT",2016-03-03,94.800003,95.32,94.129997,95.300003,1879700,84.707504
"43","AMT",2016-03-04,95.120003,96.330002,95.099998,95.940002,1987800,85.27639
"44","AMT",2016-03-07,95.459999,96.199997,95.209999,95.599998,1987900,84.974167
"45","AMT",2016-03-08,95.019997,95.559998,94.370003,94.599998,1719400,84.08532
"46","AMT",2016-03-09,94.940002,95.18,94.260002,94.599998,1872800,84.08532
"47","AMT",2016-03-10,95.309998,95.809998,93.690002,94.709999,1748500,84.18309
"48","AMT",2016-03-11,95.550003,98.559998,95.419998,98.459999,2680700,87.516289
"49","AMT",2016-03-14,97.690002,98.309998,96.690002,98.059998,2026200,87.160721
"50","AMT",2016-03-15,97.07,98.629997,97.019997,98.410004,2124200,87.47184
"51","AMT",2016-03-16,98.110001,99.980003,97.790001,99.809998,1817000,88.716217
"52","AMT",2016-03-17,99.720001,102.900002,99.470001,101.75,3535100,90.44059
"53","AMT",2016-03-18,102.199997,102.199997,100.150002,100.510002,3566500,89.338425
"54","AMT",2016-03-21,100.010002,100.660004,99.760002,100.339996,1718100,89.187332
"55","AMT",2016-03-22,100.080002,100.370003,99.459999,99.93,1435800,88.822884
"56","AMT",2016-03-23,100,100.959999,99.57,99.580002,1343900,88.511795
"57","AMT",2016-03-24,99.400002,100.620003,98.870003,100.349998,1576800,89.196205
"58","AMT",2016-03-28,100.459999,100.879997,99.889999,100.239998,1077100,89.098427
"59","AMT",2016-03-29,100.300003,102.07,99.800003,101.919998,1824400,90.591705
"60","AMT",2016-03-30,102.349998,102.910004,102.080002,102.309998,1568400,90.938354
"61","AMT",2016-03-31,102,102.93,101.879997,102.370003,1588300,90.991684
