"","symbol","date","open","high","low","close","volume","adjusted"
"1","AMWD",2016-01-04,78.660004,78.760002,76.010002,76.419998,209300,76.419998
"2","AMWD",2016-01-05,76.919998,80.32,76.529999,77.82,184100,77.82
"3","AMWD",2016-01-06,76.650002,77.459999,75.620003,76.300003,233100,76.300003
"4","AMWD",2016-01-07,75.279999,75.279999,70.889999,70.940002,242700,70.940002
"5","AMWD",2016-01-08,71.900002,71.900002,69.239998,69.389999,277100,69.389999
"6","AMWD",2016-01-11,70.230003,70.510002,67.879997,68.419998,216900,68.419998
"7","AMWD",2016-01-12,69.510002,71.370003,69.18,71.300003,186900,71.300003
"8","AMWD",2016-01-13,71.93,71.93,67.440002,67.870003,136700,67.870003
"9","AMWD",2016-01-14,67.93,69.489998,66.940002,67.860001,188300,67.860001
"10","AMWD",2016-01-15,65.910004,67.709999,64.809998,67,185900,67
"11","AMWD",2016-01-19,67.720001,67.989998,64.720001,65.379997,178400,65.379997
"12","AMWD",2016-01-20,64.279999,66.32,62.77,65.389999,141300,65.389999
"13","AMWD",2016-01-21,65.410004,66.18,64.459999,65.050003,148000,65.050003
"14","AMWD",2016-01-22,66.239998,68.07,65.449997,67.860001,137400,67.860001
"15","AMWD",2016-01-25,67.5,67.849998,65.099998,66.07,138200,66.07
"16","AMWD",2016-01-26,66.25,67.610001,65.110001,67.220001,122600,67.220001
"17","AMWD",2016-01-27,66.949997,68.360001,66.260002,66.629997,156900,66.629997
"18","AMWD",2016-01-28,67.290001,67.480003,65.550003,66.769997,145300,66.769997
"19","AMWD",2016-01-29,66.879997,69.260002,66.650002,69,181300,69
"20","AMWD",2016-02-01,68.339996,68.650002,66.690002,67.099998,124700,67.099998
"21","AMWD",2016-02-02,66.599998,66.599998,63.779999,64.019997,203800,64.019997
"22","AMWD",2016-02-03,64.660004,65.489998,61.389999,62.759998,181500,62.759998
"23","AMWD",2016-02-04,62.639999,64.019997,62.27,63.639999,188900,63.639999
"24","AMWD",2016-02-05,63.419998,64.970001,60.189999,61.369999,207900,61.369999
"25","AMWD",2016-02-08,60.619999,61.189999,58.209999,58.599998,177900,58.599998
"26","AMWD",2016-02-09,58.02,59.450001,57.040001,58.619999,192000,58.619999
"27","AMWD",2016-02-10,59.040001,60.580002,58.419998,59.279999,144500,59.279999
"28","AMWD",2016-02-11,57.77,59.16,57.490002,58.060001,106300,58.060001
"29","AMWD",2016-02-12,59.18,60.060001,58.75,59.240002,114200,59.240002
"30","AMWD",2016-02-16,60.290001,61.41,58.650002,61.02,97200,61.02
"31","AMWD",2016-02-17,61.299999,63.990002,61.299999,62.529999,170500,62.529999
"32","AMWD",2016-02-18,62.490002,63.310001,61.610001,62.189999,154100,62.189999
"33","AMWD",2016-02-19,61.849998,63.360001,61.849998,63.34,113700,63.34
"34","AMWD",2016-02-22,63.93,65.790001,63.810001,65.050003,190300,65.050003
"35","AMWD",2016-02-23,65.040001,67.870003,64.669998,67.669998,217600,67.669998
"36","AMWD",2016-02-24,66.599998,69.190002,65.419998,68.730003,218500,68.730003
"37","AMWD",2016-02-25,70.540001,73.860001,67.650002,68.25,370400,68.25
"38","AMWD",2016-02-26,68.949997,69.910004,64.779999,67.540001,219600,67.540001
"39","AMWD",2016-02-29,67.800003,69.220001,67.800003,68.290001,178500,68.290001
"40","AMWD",2016-03-01,68.760002,69.400002,67.040001,69.360001,145600,69.360001
"41","AMWD",2016-03-02,69.110001,69.959999,67.879997,68.550003,174400,68.550003
"42","AMWD",2016-03-03,68.599998,69.239998,68,68.940002,127100,68.940002
"43","AMWD",2016-03-04,68.779999,71.860001,68.669998,70.690002,162600,70.690002
"44","AMWD",2016-03-07,69.900002,70.599998,68.889999,69.360001,146600,69.360001
"45","AMWD",2016-03-08,69.169998,69.290001,67.32,67.830002,147800,67.830002
"46","AMWD",2016-03-09,67.949997,68.940002,66.199997,68.459999,120100,68.459999
"47","AMWD",2016-03-10,68.889999,69.099998,67.32,68.489998,183400,68.489998
"48","AMWD",2016-03-11,69.019997,70.059998,68.300003,69.25,157300,69.25
"49","AMWD",2016-03-14,69.209999,69.540001,68.139999,68.480003,104500,68.480003
"50","AMWD",2016-03-15,68.230003,69.059998,67.25,68,180600,68
"51","AMWD",2016-03-16,67.809998,68.849998,67,68.349998,127000,68.349998
"52","AMWD",2016-03-17,68.129997,71.779999,68.019997,71.279999,141100,71.279999
"53","AMWD",2016-03-18,71.620003,73.379997,70.709999,72.489998,252000,72.489998
"54","AMWD",2016-03-21,72.519997,72.779999,68.790001,69.129997,171900,69.129997
"55","AMWD",2016-03-22,69.040001,70.150002,68.230003,69.540001,150000,69.540001
"56","AMWD",2016-03-23,69.120003,69.120003,67.599998,67.690002,162900,67.690002
"57","AMWD",2016-03-24,67.589996,69.279999,67.099998,68.110001,151700,68.110001
"58","AMWD",2016-03-28,68.040001,68.690002,66.900002,68.629997,219800,68.629997
"59","AMWD",2016-03-29,68.470001,73.739998,68.330002,73.209999,150900,73.209999
"60","AMWD",2016-03-30,73.389999,73.709999,71.68,73.489998,149000,73.489998
"61","AMWD",2016-03-31,73.449997,74.790001,72.5,74.589996,175700,74.589996
"62","AMWD",2016-04-01,73.940002,75.269997,73.800003,74.610001,146300,74.610001
"63","AMWD",2016-04-04,74.82,75.269997,72.809998,74.32,238800,74.32
"64","AMWD",2016-04-05,73.800003,75.150002,73.800003,74.529999,106800,74.529999
"65","AMWD",2016-04-06,74.209999,75.919998,74.209999,75.739998,119500,75.739998
"66","AMWD",2016-04-07,75.349998,76.279999,73.769997,73.870003,153200,73.870003
"67","AMWD",2016-04-08,74.639999,76.190002,73.900002,74.419998,70500,74.419998
"68","AMWD",2016-04-11,75.07,75.800003,73.75,74.25,115300,74.25
"69","AMWD",2016-04-12,74.040001,76.269997,73.790001,76.010002,153400,76.010002
"70","AMWD",2016-04-13,76.900002,79.5,76.379997,78.339996,194300,78.339996
"71","AMWD",2016-04-14,78.580002,78.580002,76.269997,77.349998,164500,77.349998
"72","AMWD",2016-04-15,77.129997,78.870003,76.650002,77.519997,135800,77.519997
"73","AMWD",2016-04-18,77.139999,79.379997,77.139999,78.790001,116600,78.790001
"74","AMWD",2016-04-19,78.690002,80,76.5,78.400002,127400,78.400002
"75","AMWD",2016-04-20,78.400002,79.510002,77.010002,78.919998,161500,78.919998
"76","AMWD",2016-04-21,78.239998,79.050003,77.5,77.830002,198300,77.830002
"77","AMWD",2016-04-22,77.760002,79.419998,77.150002,78.699997,211700,78.699997
"78","AMWD",2016-04-25,78.230003,79.199997,76.610001,76.879997,222400,76.879997
"79","AMWD",2016-04-26,76.779999,76.779999,74.099998,75.489998,242300,75.489998
"80","AMWD",2016-04-27,75.730003,77.019997,74.059998,76.550003,141400,76.550003
"81","AMWD",2016-04-28,75.949997,77.089996,74.080002,74.279999,215800,74.279999
"82","AMWD",2016-04-29,74.169998,74.43,72.279999,72.839996,120400,72.839996
"83","AMWD",2016-05-02,73.370003,73.93,71.809998,73.800003,229900,73.800003
"84","AMWD",2016-05-03,73.239998,73.68,71.900002,72.730003,149600,72.730003
"85","AMWD",2016-05-04,72.150002,73.07,71.029999,72.599998,181000,72.599998
"86","AMWD",2016-05-05,72.839996,73.849998,72.059998,73.099998,160800,73.099998
"87","AMWD",2016-05-06,72.650002,74.730003,71.709999,74.68,168600,74.68
"88","AMWD",2016-05-09,74.470001,75.629997,72.860001,74.779999,204500,74.779999
"89","AMWD",2016-05-10,74.910004,74.910004,72.410004,72.68,195700,72.68
"90","AMWD",2016-05-11,72.540001,74.339996,72.540001,72.760002,148000,72.760002
"91","AMWD",2016-05-12,72.949997,73.699997,71.779999,72.68,150600,72.68
"92","AMWD",2016-05-13,72.309998,73.870003,71.760002,72.809998,142100,72.809998
"93","AMWD",2016-05-16,72.720001,73.889999,71.120003,72.900002,127000,72.900002
"94","AMWD",2016-05-17,72.57,73.480003,71.300003,71.959999,101200,71.959999
"95","AMWD",2016-05-18,71.660004,73.300003,71.510002,72.440002,105600,72.440002
"96","AMWD",2016-05-19,72.160004,73.480003,71.690002,73.230003,73100,73.230003
"97","AMWD",2016-05-20,73.510002,75.629997,73.510002,75.610001,87800,75.610001
