"","symbol","date","open","high","low","close","volume","adjusted"
"1","ANY",2016-01-04,286,290,262,272,2074,272
"2","ANY",2016-01-05,268,270,260,264,930,264
"3","ANY",2016-01-06,260,262,242,246,1204,246
"4","ANY",2016-01-07,242,260,222,246,1307,246
"5","ANY",2016-01-08,246,258,204,231.800003,1903,231.800003
"6","ANY",2016-01-11,268,280,228,274,2769,274
"7","ANY",2016-01-12,270,276,260,272,1462,272
"8","ANY",2016-01-13,270,270,250,260,968,260
"9","ANY",2016-01-14,260,260,250,250,360,250
"10","ANY",2016-01-15,244,244,217,230,775,230
"11","ANY",2016-01-19,232,320,222,292,3015,292
"12","ANY",2016-01-20,292,294,260,279,1931,279
"13","ANY",2016-01-21,280,280,248,248,992,248
"14","ANY",2016-01-22,252,270,250,260,1419,260
"15","ANY",2016-01-25,260,274,248,250,1017,250
"16","ANY",2016-01-26,250,268,246,254,887,254
"17","ANY",2016-01-27,256,267.600006,250,250,1589,250
"18","ANY",2016-01-28,254,258,238,248,611,248
"19","ANY",2016-01-29,244,302,244,280,1473,280
"20","ANY",2016-02-01,270,308,270,281,1047,281
"21","ANY",2016-02-02,276,280,240,254,652,254
"22","ANY",2016-02-03,256,260,232.199997,252,2165,252
"23","ANY",2016-02-04,250,299.200012,250,298,1015,298
"24","ANY",2016-02-05,300,312,282,307,1041,307
"25","ANY",2016-02-08,308,350,288,340,1618,340
"26","ANY",2016-02-09,350,400,330,336,5675,336
"27","ANY",2016-02-10,352,378,308,320,3391,320
"28","ANY",2016-02-11,302,316,236,262,4638,262
"29","ANY",2016-02-12,268,268.600006,238,256,2587,256
"30","ANY",2016-02-16,258,294,256,282,1776,282
"31","ANY",2016-02-17,292,312,282,294,1209,294
"32","ANY",2016-02-18,300,300,270,270,701,270
"33","ANY",2016-02-19,262,282,254,272,697,272
"34","ANY",2016-02-22,280,314,280,306,2071,306
"35","ANY",2016-02-23,294,300,280,284,537,284
"36","ANY",2016-02-24,280,294,260,282,804,282
"37","ANY",2016-02-25,287,300,276,294,407,294
"38","ANY",2016-02-26,296,338,280,324,1004,324
"39","ANY",2016-02-29,326,368,324,368,1766,368
"40","ANY",2016-03-01,370,398,364,394,5575,394
"41","ANY",2016-03-02,394,394,326,344,4372,344
"42","ANY",2016-03-03,338,338,310,324,1392,324
"43","ANY",2016-03-04,326,346,304,310,2155,310
"44","ANY",2016-03-07,308,314,276,276,3011,276
"45","ANY",2016-03-08,278,296,260,264,2071,264
"46","ANY",2016-03-09,264,296,264,282,1966,282
"47","ANY",2016-03-10,288,290,268.600006,280,1224,280
"48","ANY",2016-03-11,286,290,274,286,538,286
"49","ANY",2016-03-14,288,309.200012,274,288,1519,288
"50","ANY",2016-03-15,282,286,266,268,1517,268
"51","ANY",2016-03-16,270,276,262,266,584,266
"52","ANY",2016-03-17,270,290,266.200012,278,776,278
"53","ANY",2016-03-18,282,292,270,278,1313,278
"54","ANY",2016-03-21,280,290,266,278,873,278
"55","ANY",2016-03-22,278,290,270,282,1167,282
"56","ANY",2016-03-23,280,285,266,266,678,266
"57","ANY",2016-03-24,266,290,266,284.200012,838,284.200012
"58","ANY",2016-03-28,280,286,264,266,647,266
"59","ANY",2016-03-29,264,274,232,272,2793,272
"60","ANY",2016-03-30,280,283.600006,250,258,3185,258
"61","ANY",2016-03-31,280,280,232,248,2435,248
"62","ANY",2016-04-01,250,258,240,245.399994,1043,245.399994
"63","ANY",2016-04-04,246,246,218,222,2551,222
"64","ANY",2016-04-05,220,224,196,210,3165,210
"65","ANY",2016-04-06,210,256,210,242,2294,242
"66","ANY",2016-04-07,254,274,252.399994,268,2173,268
"67","ANY",2016-04-08,270,276,250,264,1461,264
"68","ANY",2016-04-11,260,276,252,260,1573,260
"69","ANY",2016-04-12,260,260,246,250,1096,250
"70","ANY",2016-04-13,246,255.399994,232,238,996,238
"71","ANY",2016-04-14,238,240,232,238,1370,238
"72","ANY",2016-04-15,240,264,234,258,2476,258
"73","ANY",2016-04-18,250,264,250,254,1522,254
"74","ANY",2016-04-19,258,258,240,248,986,248
"75","ANY",2016-04-20,250,250,230,235.600006,967,235.600006
"76","ANY",2016-04-21,240,248.399994,230,244,853,244
"77","ANY",2016-04-22,238,244,226,238,1134,238
"78","ANY",2016-04-25,236,242,232,234,428,234
"79","ANY",2016-04-26,236,250,236,248,1195,248
"80","ANY",2016-04-27,250,258,240,256,905,256
"81","ANY",2016-04-28,248,256,248,250,717,250
"82","ANY",2016-04-29,252,252,230,230,1801,230
"83","ANY",2016-05-02,232,240,228,236,860,236
"84","ANY",2016-05-03,234,248,228,246,691,246
"85","ANY",2016-05-04,238,246,230,246,707,246
"86","ANY",2016-05-05,244,244,232,232,542,232
"87","ANY",2016-05-06,232,240,228,228,537,228
"88","ANY",2016-05-09,230,238,220,230,1039,230
"89","ANY",2016-05-10,232,236,222,236,416,236
"90","ANY",2016-05-11,230,238,224,228,692,228
"91","ANY",2016-05-12,226,244,226,238,1391,238
"92","ANY",2016-05-13,238,240,220,236,2103,236
"93","ANY",2016-05-16,234,242,232,240,643,240
"94","ANY",2016-05-17,240,244,238,242,915,242
"95","ANY",2016-05-18,242,266,240,260,6409,260
"96","ANY",2016-05-19,254,264,224,232,1587,232
"97","ANY",2016-05-20,230,230,204,204,2721,204
"98","ANY",2016-05-23,222,226,208,220,520,220
"99","ANY",2016-05-24,222,226,210,212,964,212
"100","ANY",2016-05-25,214,224,212,222,414,222
"101","ANY",2016-05-26,222,226,216,216.800003,255,216.800003
"102","ANY",2016-05-27,214,220,200,210,1525,210
"103","ANY",2016-05-31,210,210,201.199997,204,652,204
"104","ANY",2016-06-01,200,214,200,210,1048,210
"105","ANY",2016-06-02,212,214,200,206,583,206
"106","ANY",2016-06-03,202,210,200,200,464,200
"107","ANY",2016-06-06,200,208,200,202,529,202
"108","ANY",2016-06-07,208,212,206,210.399994,607,210.399994
"109","ANY",2016-06-08,212,218,208,214,422,214
"110","ANY",2016-06-09,208,222,208,220,991,220
"111","ANY",2016-06-10,218,218.800003,210,212,399,212
"112","ANY",2016-06-13,210,216,210,211,214,211
"113","ANY",2016-06-14,214,214,204,210,225,210
"114","ANY",2016-06-15,214,214,200,208,370,208
"115","ANY",2016-06-16,202,210,202,204,289,204
"116","ANY",2016-06-17,204,208,180,186,2238,186
"117","ANY",2016-06-20,182,182,158,168,3125,168
"118","ANY",2016-06-21,168,168,154,160,2298,160
"119","ANY",2016-06-22,160,163,132.600006,146,5705,146
"120","ANY",2016-06-23,154,164,140,162,1804,162
"121","ANY",2016-06-24,150,158,150,155,841,155
"122","ANY",2016-06-27,152,154,135,143.600006,1742,143.600006
"123","ANY",2016-06-28,146,154,141.600006,141.600006,532,141.600006
"124","ANY",2016-06-29,144,152.199997,140,149,1316,149
"125","ANY",2016-06-30,152.199997,164,140,160,698,160
"126","ANY",2016-07-01,160,166,152.399994,160,852,160
"127","ANY",2016-07-05,162,186,162,174,1837,174
"128","ANY",2016-07-06,178,182.800003,162,172,1526,172
"129","ANY",2016-07-07,174,174,160,166.199997,766,166.199997
"130","ANY",2016-07-08,164,178,160,172,916,172
"131","ANY",2016-07-11,172,182,172,182,580,182
"132","ANY",2016-07-12,182,190,180,180,1120,180
"133","ANY",2016-07-13,174.800003,175.600006,164,170,847,170
"134","ANY",2016-07-14,168,175,160,174,760,174
"135","ANY",2016-07-15,168.800003,174,168.800003,172,334,172
"136","ANY",2016-07-18,174,178,168,170,419,170
"137","ANY",2016-07-19,164,178,164,172,667,172
"138","ANY",2016-07-20,178,178,170,174,544,174
"139","ANY",2016-07-21,174,186,174,184,1046,184
"140","ANY",2016-07-22,182,185.800003,173,176,772,176
"141","ANY",2016-07-25,174,178,166.199997,170,355,170
"142","ANY",2016-07-26,174,177.399994,163,163,426,163
"143","ANY",2016-07-27,164,169.399994,152,154,1221,154
"144","ANY",2016-07-28,150,160,150,154,571,154
"145","ANY",2016-07-29,159.399994,168,146,164,2843,164
"146","ANY",2016-08-01,164,170,158,164,1020,164
"147","ANY",2016-08-02,158,168,148,152,1178,152
"148","ANY",2016-08-03,150,168,148,162.800003,729,162.800003
"149","ANY",2016-08-04,154.600006,166,150.199997,166,642,166
"150","ANY",2016-08-05,166,181,164,181,1491,181
"151","ANY",2016-08-08,186,186,170,181.399994,1681,181.399994
"152","ANY",2016-08-09,184,186,168,173.199997,776,173.199997
"153","ANY",2016-08-10,176,182,148,154.399994,1262,154.399994
"154","ANY",2016-08-11,164,165.399994,154,163.600006,1203,163.600006
"155","ANY",2016-08-12,150,154,130,140,3263,140
"156","ANY",2016-08-15,142,150,134,134,1053,134
"157","ANY",2016-08-16,142,142,124.199997,132.199997,2409,132.199997
"158","ANY",2016-08-17,138,138,132,136,1155,136
"159","ANY",2016-08-18,136,140,134,140,1231,140
"160","ANY",2016-08-19,138,150,136,150,2230,150
"161","ANY",2016-08-22,150,158,146,152,1328,152
"162","ANY",2016-08-23,150,154,140,142.600006,658,142.600006
"163","ANY",2016-08-24,136,140,130,138,1092,138
"164","ANY",2016-08-25,132,136,126,128,1250,128
"165","ANY",2016-08-26,132,132,124,126.800003,495,126.800003
"166","ANY",2016-08-29,125,138,125,136.199997,857,136.199997
"167","ANY",2016-08-30,138,138,129,131.600006,644,131.600006
"168","ANY",2016-08-31,128,131.600006,124,126,588,126
"169","ANY",2016-09-01,124.199997,135,122,126,646,126
"170","ANY",2016-09-02,130,130,122,126,934,126
"171","ANY",2016-09-06,127,134.800003,122,132.199997,992,132.199997
"172","ANY",2016-09-07,130,134,116.400002,122,2480,122
"173","ANY",2016-09-08,118,124,117.800003,121.599998,991,121.599998
"174","ANY",2016-09-09,126,126,116,126,2639,126
"175","ANY",2016-09-12,126,126,115,119.599998,645,119.599998
"176","ANY",2016-09-13,116,168,113.199997,126,12140,126
"177","ANY",2016-09-14,136.800003,142.399994,122,125.599998,2921,125.599998
"178","ANY",2016-09-15,126,126,116,124,1589,124
"179","ANY",2016-09-16,124,127.599998,114,120,1266,120
"180","ANY",2016-09-19,122.599998,123.599998,115,116,938,116
"181","ANY",2016-09-20,114,120,100,109.599998,1810,109.599998
"182","ANY",2016-09-21,120,120,102.599998,106,1459,106
"183","ANY",2016-09-22,104,106,90,100,6475,100
"184","ANY",2016-09-23,100,100,89.599998,90.199997,2791,90.199997
"185","ANY",2016-09-26,86,93.599998,80.400002,93,3450,93
"186","ANY",2016-09-27,88,109,88,100,2044,100
"187","ANY",2016-09-28,106,106,100,102,817,102
"188","ANY",2016-09-29,108,108,92,98,652,98
"189","ANY",2016-09-30,92,100,92,94.199997,1191,94.199997
"190","ANY",2016-10-03,92,110,90,98,1960,98
"191","ANY",2016-10-04,92.400002,116,92.400002,114,2701,114
"192","ANY",2016-10-05,110,116,108,110.800003,1195,110.800003
"193","ANY",2016-10-06,108,116,98,106.199997,1056,106.199997
"194","ANY",2016-10-07,100.199997,109.199997,100,104,524,104
"195","ANY",2016-10-10,110,110,100,103.400002,398,103.400002
"196","ANY",2016-10-11,100.199997,107.800003,90.400002,92.599998,2255,92.599998
"197","ANY",2016-10-12,102,102,90.400002,98,1071,98
"198","ANY",2016-10-13,92.400002,110,91.800003,108.400002,1661,108.400002
"199","ANY",2016-10-14,110,110,100,108,1088,108
"200","ANY",2016-10-17,110,116,107,107,728,107
"201","ANY",2016-10-18,100.599998,110.199997,100.599998,106,625,106
"202","ANY",2016-10-19,105.400002,108,102,104,237,104
"203","ANY",2016-10-20,100,108,100,100,394,100
"204","ANY",2016-10-21,100,108,100,106,1028,106
"205","ANY",2016-10-24,108,112,100.599998,110,594,110
"206","ANY",2016-10-25,105.800003,134.199997,105.800003,121.599998,4726,121.599998
"207","ANY",2016-10-26,112,134,110,124,2211,124
"208","ANY",2016-10-27,128,136,126,126,919,126
"209","ANY",2016-10-28,129,132,107.199997,131.600006,2514,131.600006
"210","ANY",2016-10-31,128,131.199997,108,116,2460,116
"211","ANY",2016-11-01,108,115.800003,98,99.800003,1336,99.800003
"212","ANY",2016-11-02,100,100,89,94,1619,94
"213","ANY",2016-11-03,90.199997,100,84,88.199997,317,88.199997
"214","ANY",2016-11-04,84,100,84,91.800003,1478,91.800003
"215","ANY",2016-11-07,92,112,92,112,2418,112
"216","ANY",2016-11-08,104,119,102.199997,112,788,112
"217","ANY",2016-11-09,104,128,104,118,1385,118
"218","ANY",2016-11-10,124,124,110,114,960,114
"219","ANY",2016-11-11,110,126,110,122,939,122
"220","ANY",2016-11-14,122,142,120,134.399994,2208,134.399994
"221","ANY",2016-11-15,128,132,110,118.199997,3638,118.199997
"222","ANY",2016-11-16,112,120,110,113.599998,1451,113.599998
"223","ANY",2016-11-17,113.199997,118,102,106,708,106
"224","ANY",2016-11-18,114,114,105.800003,109.800003,898,109.800003
"225","ANY",2016-11-21,114,128,104,116,1576,116
"226","ANY",2016-11-22,118,139.399994,118,124,1331,124
"227","ANY",2016-11-23,130,130,118,124,1564,124
"228","ANY",2016-11-25,124,142,120,140,1550,140
"229","ANY",2016-11-28,140,164,140,162.800003,2325,162.800003
"230","ANY",2016-11-29,162,175.399994,152.199997,168,3117,168
"231","ANY",2016-11-30,178,184,160,160,1789,160
"232","ANY",2016-12-01,160,170,148.199997,156,1081,156
"233","ANY",2016-12-02,154.199997,158,119,119,1583,119
"234","ANY",2016-12-05,119,138,118,120,1990,120
"235","ANY",2016-12-06,112,122,110,110.199997,1408,110.199997
"236","ANY",2016-12-07,112.199997,118,110,114.599998,1209,114.599998
"237","ANY",2016-12-08,120,140,115.199997,132,1629,132
"238","ANY",2016-12-09,132,132,99,100,7429,100
"239","ANY",2016-12-12,100,110,98,102,2454,102
"240","ANY",2016-12-13,102,103.199997,91.199997,95.800003,1717,95.800003
"241","ANY",2016-12-14,96,96,76.199997,80,6889,80
"242","ANY",2016-12-15,80,88,64.400002,66,5363,66
"243","ANY",2016-12-16,72,88,69.599998,72.199997,5294,72.199997
"244","ANY",2016-12-19,74,84,46.200001,52,23694,52
"245","ANY",2016-12-20,58,58,36,40,39425,40
"246","ANY",2016-12-21,42,88,40,72,135749,72
"247","ANY",2016-12-22,82.599998,83,62.599998,71.199997,66889,71.199997
"248","ANY",2016-12-23,71.599998,71.800003,58,62,18677,62
"249","ANY",2016-12-27,62,62,50.599998,52,12774,52
"250","ANY",2016-12-28,52.599998,68,50,58,33448,58
"251","ANY",2016-12-29,63.599998,77,62,66.199997,42878,66.199997
"252","ANY",2016-12-30,70,70,60,60,15345,60
"253","ANY",2017-01-03,62,64,56,57.599998,11466,57.599998
"254","ANY",2017-01-04,59.599998,59.599998,53,56.200001,8567,56.200001
"255","ANY",2017-01-05,55.400002,58,52.400002,54,5085,54
"256","ANY",2017-01-06,58,71.599998,56,57.599998,40008,57.599998
"257","ANY",2017-01-09,59,63.799999,56.400002,58.200001,12211,58.200001
"258","ANY",2017-01-10,58,59.599998,55,57.200001,6338,57.200001
"259","ANY",2017-01-11,58.200001,58.200001,55,57.799999,3690,57.799999
"260","ANY",2017-01-12,57.799999,68,56.799999,58,18222,58
"261","ANY",2017-01-13,61.400002,61.400002,58,59,4416,59
"262","ANY",2017-01-17,60,65,57,63.400002,9453,63.400002
"263","ANY",2017-01-18,64,66,59,60,6054,60
"264","ANY",2017-01-19,92,112,71.800003,73,103413,73
"265","ANY",2017-01-20,70,76,66,69.400002,16787,69.400002
"266","ANY",2017-01-23,73,73,62.400002,65.599998,5056,65.599998
"267","ANY",2017-01-24,62.400002,66,62,65.800003,5292,65.800003
"268","ANY",2017-01-25,67,68,64.199997,67.800003,2621,67.800003
"269","ANY",2017-01-26,68,78,66.400002,72.199997,17855,72.199997
"270","ANY",2017-01-27,71.400002,72,66.400002,70,8882,70
"271","ANY",2017-01-30,75.599998,86,72,74,15020,74
"272","ANY",2017-01-31,78,78,62,64.400002,11294,64.400002
"273","ANY",2017-02-01,68,72,66,69.800003,6073,69.800003
"274","ANY",2017-02-02,66,68,64.400002,67.599998,5513,67.599998
"275","ANY",2017-02-03,65,68,64,64.800003,4210,64.800003
"276","ANY",2017-02-06,64,68,59,62,5595,62
"277","ANY",2017-02-07,60,62,56,62,6128,62
"278","ANY",2017-02-08,62,62,56.200001,57.400002,4702,57.400002
"279","ANY",2017-02-09,57.400002,62,52.200001,56.400002,5917,56.400002
"280","ANY",2017-02-10,54.200001,60,54.200001,57.799999,2670,57.799999
"281","ANY",2017-02-13,64,64,58,60,4222,60
"282","ANY",2017-02-14,61.799999,62,58.200001,60,2453,60
"283","ANY",2017-02-15,61,62,60,60,2316,60
"284","ANY",2017-02-16,61.599998,64,61,63.200001,3114,63.200001
"285","ANY",2017-02-17,65.599998,65.800003,61,62,2803,62
"286","ANY",2017-02-21,62,66,61,65,2873,65
"287","ANY",2017-02-22,66,66,63.599998,64,1913,64
"288","ANY",2017-02-23,66.199997,69.800003,64,64.800003,4001,64.800003
"289","ANY",2017-02-24,63.400002,69,61.200001,64,5993,64
"290","ANY",2017-02-27,67.199997,67.400002,64,64.599998,1548,64.599998
"291","ANY",2017-02-28,65,66,56.400002,59.599998,6101,59.599998
"292","ANY",2017-03-01,60,64,58,61.799999,2147,61.799999
"293","ANY",2017-03-02,59.400002,62,58,58.200001,3369,58.200001
"294","ANY",2017-03-03,58.400002,59.799999,56.799999,59.200001,3932,59.200001
"295","ANY",2017-03-06,56.799999,59,55,57,6307,57
"296","ANY",2017-03-07,56,58,55,56.400002,3712,56.400002
"297","ANY",2017-03-08,56,57.599998,55.799999,56.200001,2996,56.200001
"298","ANY",2017-03-09,57.400002,57.400002,55.799999,56,1811,56
"299","ANY",2017-03-10,55.400002,57,55.400002,56,1151,56
"300","ANY",2017-03-13,57,57.200001,55.599998,57,1636,57
"301","ANY",2017-03-14,57.599998,62,56.200001,59.400002,4245,59.400002
"302","ANY",2017-03-15,61.400002,67.599998,58.400002,58.599998,15366,58.599998
"303","ANY",2017-03-16,62,63,59.400002,59.599998,4330,59.599998
"304","ANY",2017-03-17,60,64.599998,60,62.400002,6983,62.400002
