"","symbol","date","open","high","low","close","volume","adjusted"
"1","APLE",2016-01-04,19.700001,19.870001,19.41,19.76,799600,14.8277
"2","APLE",2016-01-05,19.639999,20,19.59,19.889999,739000,14.925245
"3","APLE",2016-01-06,19.700001,20.09,19.620001,20.08,734100,15.067822
"4","APLE",2016-01-07,19.549999,19.92,19.52,19.620001,800500,14.722644
"5","APLE",2016-01-08,19.58,19.757999,19.08,19.17,1092800,14.384967
"6","APLE",2016-01-11,19.18,19.389999,19.120001,19.32,487000,14.497527
"7","APLE",2016-01-12,19.49,19.75,19.129999,19.34,923100,14.512535
"8","APLE",2016-01-13,19.4,19.4,18.92,19.08,908700,14.317436
"9","APLE",2016-01-14,19.139999,19.219999,18.49,18.690001,814300,14.024784
"10","APLE",2016-01-15,18.379999,18.389999,17.99,18.280001,625400,13.717119
"11","APLE",2016-01-19,18.110001,18.166,17.1,17.26,1462200,12.951725
"12","APLE",2016-01-20,16.940001,17.76,16.35,17.6,1208600,13.206857
"13","APLE",2016-01-21,17.709999,18.110001,17.299999,17.82,899200,13.371941
"14","APLE",2016-01-22,18.09,18.17,17.379999,17.58,645000,13.191847
"15","APLE",2016-01-25,17.6,17.950001,17.32,17.41,487800,13.064284
"16","APLE",2016-01-26,17.450001,17.83,17.25,17.690001,625500,13.274391
"17","APLE",2016-01-27,17.559999,17.780001,17.379999,17.59,530000,13.199355
"18","APLE",2016-01-28,17.75,17.92,17.559999,17.74,323000,13.311913
"19","APLE",2016-01-29,17.66,18.33,17.66,18.290001,754300,13.802432
"20","APLE",2016-02-01,18.26,18.549999,18,18.41,679700,13.892987
"21","APLE",2016-02-02,18.360001,18.530001,18.02,18.34,672800,13.840158
"22","APLE",2016-02-03,18.49,18.575001,18.110001,18.5,440500,13.960902
"23","APLE",2016-02-04,18.51,18.92,18.440001,18.860001,404800,14.232574
"24","APLE",2016-02-05,18.82,19,18.67,18.959999,545400,14.30804
"25","APLE",2016-02-08,18.940001,18.99,18.17,18.93,610200,14.285395
"26","APLE",2016-02-09,18.75,19.610001,18.469999,19.299999,1092300,14.564619
"27","APLE",2016-02-10,19.379999,19.459999,19.219999,19.41,693300,14.647629
"28","APLE",2016-02-11,19.299999,19.4,18.549999,18.92,541600,14.277851
"29","APLE",2016-02-12,19.02,19.440001,18.84,19.309999,571500,14.572164
"30","APLE",2016-02-16,19.35,19.49,19.124001,19.309999,498600,14.572164
"31","APLE",2016-02-17,19.35,19.84,19.110001,19.77,796700,14.919307
"32","APLE",2016-02-18,19.879999,19.91,19.5,19.870001,897700,14.994768
"33","APLE",2016-02-19,19.889999,20.530001,19.6,19.66,622400,14.836292
"34","APLE",2016-02-22,19.799999,19.92,19.530001,19.610001,462800,14.79856
"35","APLE",2016-02-23,19.6,19.91,19.5,19.59,493500,14.783465
"36","APLE",2016-02-24,19.469999,19.969999,19.32,19.870001,544800,14.994768
"37","APLE",2016-02-25,19.9,20,19.705,19.99,915200,15.085322
"38","APLE",2016-02-26,19.780001,19.950001,18.940001,19,910500,14.338224
"39","APLE",2016-02-29,18.969999,19.525,18.9,19.01,1027300,14.421671
"40","APLE",2016-03-01,19.17,19.299999,18.92,19.299999,528600,14.64168
"41","APLE",2016-03-02,19.34,19.780001,19.27,19.709999,1131100,14.952722
"42","APLE",2016-03-03,19.66,19.9,19.58,19.85,575000,15.058931
"43","APLE",2016-03-04,19.83,19.969999,19.77,19.959999,802800,15.142384
"44","APLE",2016-03-07,19.860001,19.969999,19.76,19.9,511500,15.096866
"45","APLE",2016-03-08,19.719999,19.940001,19.639999,19.68,498700,14.929961
"46","APLE",2016-03-09,19.6,19.879999,19.540001,19.879999,521100,15.081691
"47","APLE",2016-03-10,19.9,19.950001,19.610001,19.93,893500,15.119619
"48","APLE",2016-03-11,19.93,19.98,19.83,19.969999,549500,15.149968
"49","APLE",2016-03-14,19.950001,19.99,19.82,19.969999,543900,15.149968
"50","APLE",2016-03-15,19.950001,19.950001,19.575001,19.59,371900,14.861685
"51","APLE",2016-03-16,19.59,19.780001,19.52,19.709999,497300,14.952722
"52","APLE",2016-03-17,19.77,19.969999,19.709999,19.91,997000,15.10445
"53","APLE",2016-03-18,19.879999,19.99,19.360001,19.559999,1764000,14.838924
"54","APLE",2016-03-21,19.52,19.82,19.17,19.6,810700,14.869276
"55","APLE",2016-03-22,19.459999,19.535,19.290001,19.49,660500,14.785819
"56","APLE",2016-03-23,19.49,19.559999,19.200001,19.27,521400,14.618921
"57","APLE",2016-03-24,19.23,19.389999,19.07,19.32,489200,14.656852
"58","APLE",2016-03-28,19.35,19.49,19.309999,19.459999,418700,14.763057
"59","APLE",2016-03-29,19.360001,19.67,19.360001,19.629999,677800,14.892033
"60","APLE",2016-03-30,19.629999,19.855,19.485001,19.709999,552200,15.029285
