"","symbol","date","open","high","low","close","volume","adjusted"
"1","ARMK",2016-01-04,31.66,32.389999,31.280001,32.360001,2321000,29.993683
"2","ARMK",2016-01-05,32.48,32.599998,32.32,32.439999,2675200,30.067827
"3","ARMK",2016-01-06,32.099998,32.43,32.060001,32.290001,2154100,29.928802
"4","ARMK",2016-01-07,31.889999,32.200001,31.700001,31.9,1880900,29.567314
"5","ARMK",2016-01-08,32.049999,32.09,31.75,31.82,2029400,29.493172
"6","ARMK",2016-01-11,31.959999,32.09,31.469999,31.870001,1945300,29.539507
"7","ARMK",2016-01-12,32.09,32.330002,31.84,32.27,2085500,29.910265
"8","ARMK",2016-01-13,32.310001,32.439999,31.27,31.700001,3138500,29.381941
"9","ARMK",2016-01-14,31.68,31.74,30.450001,31.58,3548700,29.27072
"10","ARMK",2016-01-15,30.870001,31.34,30.440001,31.110001,2039000,28.835085
"11","ARMK",2016-01-19,31.32,31.35,30.85,30.91,1570000,28.649714
"12","ARMK",2016-01-20,30.65,31.15,29.82,30.860001,2220500,28.603367
"13","ARMK",2016-01-21,31.040001,31.49,30.780001,31.09,2299200,28.816547
"14","ARMK",2016-01-22,31.4,31.73,31.219999,31.719999,1305900,29.40048
"15","ARMK",2016-01-25,31.74,31.74,31.120001,31.18,1558200,28.899971
"16","ARMK",2016-01-26,31.23,32.099998,30.629999,32,1858800,29.660009
"17","ARMK",2016-01-27,31.940001,32.049999,31.33,31.629999,1562000,29.31706
"18","ARMK",2016-01-28,31.75,31.860001,31.42,31.799999,1253000,29.47463
"19","ARMK",2016-01-29,31.870001,32.049999,31.41,31.950001,2857500,29.613661
"20","ARMK",2016-02-01,31.84,32.880001,31.84,32.790001,1948400,30.392237
"21","ARMK",2016-02-02,32.560001,32.799999,32.279999,32.48,1919500,30.104912
"22","ARMK",2016-02-03,32.599998,32.700001,31.99,32.439999,1628200,30.067827
"23","ARMK",2016-02-04,32.349998,33.389999,32.07,33.310001,2943400,30.87421
"24","ARMK",2016-02-05,33.23,33.459999,31.33,31.360001,2510000,29.066803
"25","ARMK",2016-02-08,31.190001,31.48,29.49,29.82,3322300,27.639412
"26","ARMK",2016-02-09,29.540001,30.52,29.530001,30.209999,4270200,28.0009
"27","ARMK",2016-02-10,32.529999,33.099998,30.65,31.26,6102900,28.974113
"28","ARMK",2016-02-11,31.09,31.1,29.18,30.030001,3908500,27.918907
"29","ARMK",2016-02-12,30.5,30.700001,29.83,30.299999,2632700,28.16992
"30","ARMK",2016-02-16,30.42,30.639999,29.82,30.18,2506400,28.058363
"31","ARMK",2016-02-17,30.27,31.040001,30.17,30.889999,3509800,28.718449
"32","ARMK",2016-02-18,30.67,30.93,30.299999,30.4,1935900,28.262897
"33","ARMK",2016-02-19,30.35,30.629999,29.940001,30.15,2372700,28.03047
"34","ARMK",2016-02-22,30.43,30.940001,30.43,30.940001,975000,28.764936
"35","ARMK",2016-02-23,30.940001,31.17,30.639999,31,1401600,28.820715
"36","ARMK",2016-02-24,30.76,30.790001,30.41,30.780001,786900,28.61618
"37","ARMK",2016-02-25,30.879999,31.549999,30.76,31.530001,1523400,29.313459
"38","ARMK",2016-02-26,31.74,31.9,31.4,31.57,1125800,29.350647
"39","ARMK",2016-02-29,31.57,31.67,31.200001,31.42,1715800,29.211187
"40","ARMK",2016-03-01,31.73,32.150002,31.43,32.110001,1159800,29.852686
"41","ARMK",2016-03-02,31.91,32.299999,31.700001,32.240002,1081700,29.973547
"42","ARMK",2016-03-03,32.220001,32.240002,31.76,32.150002,1008400,29.889874
"43","ARMK",2016-03-04,32.049999,32.34,31.870001,32.240002,1164200,29.973547
"44","ARMK",2016-03-07,31.940001,32.419998,31.940001,32.18,1381100,29.917761
"45","ARMK",2016-03-08,32.099998,32.150002,31.76,31.870001,935300,29.629553
"46","ARMK",2016-03-09,31.969999,32.18,31.66,31.75,932000,29.51799
"47","ARMK",2016-03-10,31.940001,32.139999,31.41,31.67,784400,29.443617
"48","ARMK",2016-03-11,31.879999,32.299999,31.65,32.130001,1045000,29.871284
"49","ARMK",2016-03-14,32.139999,32.48,31.93,32.34,758500,30.066519
"50","ARMK",2016-03-15,32.110001,32.369999,31.99,32.200001,652400,29.936354
"51","ARMK",2016-03-16,32.150002,32.369999,32.040001,32.279999,772100,30.010735
"52","ARMK",2016-03-17,32.259998,32.66,32.040001,32.310001,863500,30.038626
"53","ARMK",2016-03-18,32.380001,32.75,32.09,32.139999,2505200,29.880573
"54","ARMK",2016-03-21,32.150002,32.57,31.889999,32.369999,911000,30.094406
"55","ARMK",2016-03-22,32.34,32.919998,32.259998,32.650002,1574700,30.354723
"56","ARMK",2016-03-23,32.689999,32.779999,32.529999,32.529999,624100,30.243156
"57","ARMK",2016-03-24,32.459999,32.560001,32.18,32.509998,744500,30.224558
"58","ARMK",2016-03-28,32.580002,32.880001,32.52,32.599998,549800,30.308239
"59","ARMK",2016-03-29,32.580002,32.98,32.490002,32.889999,895300,30.577843
"60","ARMK",2016-03-30,33.099998,33.23,32.889999,32.98,1208500,30.661526
"61","ARMK",2016-03-31,32.869999,33.220001,32.740002,33.119999,1442500,30.791683
"62","ARMK",2016-04-01,32.84,33.59,32.73,33.459999,1255500,31.107777
"63","ARMK",2016-04-04,33.5,33.560001,33.139999,33.470001,1081100,31.117075
"64","ARMK",2016-04-05,33.360001,33.419998,33.060001,33.119999,781200,30.791683
"65","ARMK",2016-04-06,33.23,33.41,33.130001,33.34,1387800,30.996214
"66","ARMK",2016-04-07,33.080002,33.34,32.889999,33.220001,1594800,30.884651
"67","ARMK",2016-04-08,33.419998,33.419998,32.959999,33.25,747500,30.91254
"68","ARMK",2016-04-11,33.380001,33.43,32.98,32.98,768800,30.661526
"69","ARMK",2016-04-12,32.990002,33.279999,32.91,33.09,774200,30.763792
"70","ARMK",2016-04-13,33.16,33.41,33.099998,33.200001,1167900,30.866062
"71","ARMK",2016-04-14,33.32,33.630001,33.189999,33.599998,1334300,31.23793
"72","ARMK",2016-04-15,33.689999,33.82,33.580002,33.759998,484600,31.386688
"73","ARMK",2016-04-18,33.619999,34.009998,33.529999,33.93,1136200,31.544739
"74","ARMK",2016-04-19,34,34.099998,33.849998,34.060001,1858700,31.665598
"75","ARMK",2016-04-20,34.240002,34.470001,33.919998,34.290001,1311000,31.87944
"76","ARMK",2016-04-21,34.139999,34.389999,33.849998,34.080002,1687100,31.684193
"77","ARMK",2016-04-22,33.98,34.119999,33.740002,33.970001,1194700,31.581919
"78","ARMK",2016-04-25,33.889999,34,33.630001,33.799999,965300,31.42388
"79","ARMK",2016-04-26,33.540001,34.040001,33.52,33.93,959000,31.544739
"80","ARMK",2016-04-27,33.810001,33.990002,33.540001,33.759998,897700,31.386688
"81","ARMK",2016-04-28,33.509998,33.77,33.32,33.459999,711500,31.107777
"82","ARMK",2016-04-29,33.459999,33.57,33.060001,33.509998,823200,31.154255
"83","ARMK",2016-05-02,33.700001,33.950001,33.529999,33.900002,1054000,31.516857
"84","ARMK",2016-05-03,33.689999,33.939999,33.560001,33.82,764500,31.442472
"85","ARMK",2016-05-04,33.639999,33.91,33.459999,33.560001,1410900,31.200754
"86","ARMK",2016-05-05,33.450001,34.049999,33.380001,33.630001,1505600,31.265827
"87","ARMK",2016-05-06,33.380001,33.799999,33.200001,33.740002,1199100,31.36809
"88","ARMK",2016-05-09,33.82,34.23,33.59,34.029999,1117900,31.637705
"89","ARMK",2016-05-10,34.029999,34.349998,33.77,34.34,1892300,31.925909
"90","ARMK",2016-05-11,33.810001,34.5,32.939999,32.939999,4028100,30.624334
"91","ARMK",2016-05-12,33.25,34.259998,32.91,33.240002,5899400,30.903246
"92","ARMK",2016-05-13,33.18,33.560001,32.91,33.119999,3120800,30.791683
"93","ARMK",2016-05-16,33.049999,33.220001,32.779999,33.07,1367900,30.833637
"94","ARMK",2016-05-17,33.110001,33.220001,32.52,32.740002,1134200,30.525957
"95","ARMK",2016-05-18,32.73,32.75,32.27,32.48,2249200,30.283537
"96","ARMK",2016-05-19,32.299999,32.66,32.029999,32.200001,1490200,30.02247
"97","ARMK",2016-05-20,32.349998,32.59,32.27,32.310001,1369800,30.125032
"98","ARMK",2016-05-23,32.23,32.509998,32.23,32.310001,1278400,30.125032
"99","ARMK",2016-05-24,32.48,32.93,32.330002,32.84,2327700,30.619192
"100","ARMK",2016-05-25,32.98,33.139999,32.75,32.919998,1390700,30.693777
"101","ARMK",2016-05-26,32.880001,33.02,32.419998,32.650002,1612100,30.442045
"102","ARMK",2016-05-27,32.810001,33.290001,32.77,33.290001,1142100,31.038767
"103","ARMK",2016-05-31,33.27,33.299999,32.84,33.290001,1980300,31.038767
"104","ARMK",2016-06-01,33.220001,33.41,33.02,33.279999,1256700,31.029434
"105","ARMK",2016-06-02,33.16,33.549999,33.040001,33.48,982500,31.21591
"106","ARMK",2016-06-03,33.330002,33.419998,33.169998,33.25,1110200,31.001463
"107","ARMK",2016-06-06,33.290001,33.509998,33.209999,33.419998,873100,31.15996
"108","ARMK",2016-06-07,33.369999,33.5,33.279999,33.389999,1205300,31.131994
"109","ARMK",2016-06-08,33.349998,33.759998,33.299999,33.740002,989300,31.458334
"110","ARMK",2016-06-09,33.73,33.98,33.709999,33.869999,1141100,31.579536
"111","ARMK",2016-06-10,33.599998,33.790001,33.450001,33.669998,2735100,31.393068
"112","ARMK",2016-06-13,33.490002,33.759998,33.459999,33.630001,1733900,31.355774
"113","ARMK",2016-06-14,33.599998,33.779999,33.470001,33.580002,1786600,31.309151
"114","ARMK",2016-06-15,33.610001,33.880001,33.470001,33.490002,952100,31.225231
"115","ARMK",2016-06-16,33.32,33.459999,32.939999,33.369999,1792000,31.113344
"116","ARMK",2016-06-17,33.279999,33.459999,33.099998,33.16,2448300,30.917555
"117","ARMK",2016-06-20,33.450001,33.849998,33.349998,33.389999,1173600,31.131994
"118","ARMK",2016-06-21,33.560001,33.610001,33.279999,33.450001,1098200,31.187948
"119","ARMK",2016-06-22,33.439999,33.650002,33.139999,33.639999,1354100,31.365088
"120","ARMK",2016-06-23,34.139999,34.139999,33.709999,33.91,1214900,31.616835
"121","ARMK",2016-06-24,32.939999,33.209999,32.389999,32.400002,5745400,30.20895
"122","ARMK",2016-06-27,32.02,32.220001,31.379999,31.639999,1394900,29.50034
"123","ARMK",2016-06-28,31.870001,32.200001,31.82,32.080002,1607500,29.910589
"124","ARMK",2016-06-29,32.41,32.939999,32.259998,32.889999,1276800,30.665808
"125","ARMK",2016-06-30,33.02,33.450001,32.700001,33.419998,1688700,31.15996
"126","ARMK",2016-07-01,33.380001,33.560001,33.110001,33.299999,1587700,31.048082
"127","ARMK",2016-07-05,33.259998,33.299999,32.880001,33.200001,936100,30.954847
"128","ARMK",2016-07-06,33.16,33.32,32.900002,33.310001,1165700,31.057409
"129","ARMK",2016-07-07,33.330002,33.91,33.279999,33.889999,1838700,31.598196
"130","ARMK",2016-07-08,34,34.709999,33.880001,34.529999,2010600,32.194901
"131","ARMK",2016-07-11,34.540001,34.619999,34.330002,34.57,1165900,32.232201
"132","ARMK",2016-07-12,34.709999,34.93,34.580002,34.900002,1479000,32.539875
"133","ARMK",2016-07-13,34.869999,35.470001,34.790001,35.349998,1760100,32.959446
"134","ARMK",2016-07-14,35.669998,35.82,35.299999,35.43,1727100,33.034039
"135","ARMK",2016-07-15,35.459999,35.66,35.299999,35.490002,1614600,33.089989
"136","ARMK",2016-07-18,35.43,35.459999,35.130001,35.150002,935400,32.772984
"137","ARMK",2016-07-19,35.139999,35.240002,35.009998,35.189999,871700,32.810272
"138","ARMK",2016-07-20,35.380001,35.939999,35.209999,35.93,2318200,33.500225
"139","ARMK",2016-07-21,35.970001,36.060001,35.73,35.900002,1101200,33.47226
"140","ARMK",2016-07-22,35.889999,36.169998,35.779999,36.16,986100,33.714676
"141","ARMK",2016-07-25,36.040001,36.16,35.889999,36.119999,585800,33.67738
"142","ARMK",2016-07-26,36,36.32,35.830002,36.240002,1224200,33.789265
"143","ARMK",2016-07-27,36.18,36.369999,35.880001,36.009998,1236200,33.574821
"144","ARMK",2016-07-28,36.009998,36.290001,35.889999,36.240002,4421100,33.789265
"145","ARMK",2016-07-29,36.169998,36.389999,35.779999,35.849998,1035200,33.42564
"146","ARMK",2016-08-01,35.950001,36.09,35.779999,35.98,493000,33.546848
"147","ARMK",2016-08-02,35.889999,35.919998,35.419998,35.610001,814900,33.201874
"148","ARMK",2016-08-03,35.490002,35.66,35.41,35.52,1315600,33.117962
"149","ARMK",2016-08-04,35.52,35.650002,35.279999,35.5,1186100,33.099316
"150","ARMK",2016-08-05,35.66,35.900002,35.599998,35.73,1679100,33.313751
"151","ARMK",2016-08-08,35.720001,35.889999,35.630001,35.759998,1535100,33.341728
"152","ARMK",2016-08-09,35.720001,35.889999,35.470001,35.75,1529600,33.332401
"153","ARMK",2016-08-10,36.5,37.27,36.439999,37.099998,6766700,34.59111
"154","ARMK",2016-08-11,37.25,37.830002,37.209999,37.740002,3264600,35.187828
"155","ARMK",2016-08-12,37.48,37.779999,37.290001,37.630001,1558300,35.173809
"156","ARMK",2016-08-15,37.759998,37.93,37.540001,37.549999,1382100,35.099026
"157","ARMK",2016-08-16,37.48,37.580002,37.240002,37.279999,1148100,34.846664
"158","ARMK",2016-08-17,37.299999,37.459999,36.810001,37.27,1240400,34.837296
"159","ARMK",2016-08-18,37.27,37.439999,36.77,37.209999,2689600,34.781219
"160","ARMK",2016-08-19,37.130001,37.220001,37,37.110001,1082600,34.687744
"161","ARMK",2016-08-22,37.029999,37.029999,36.709999,36.849998,1550900,34.444729
"162","ARMK",2016-08-23,37.049999,37.32,36.93,37.290001,1363700,34.855999
"163","ARMK",2016-08-24,37.25,37.419998,37.18,37.259998,1108500,34.827953
"164","ARMK",2016-08-25,37.259998,37.599998,37.25,37.450001,1355500,35.005558
"165","ARMK",2016-08-26,37.599998,37.98,37.389999,37.619999,2737400,35.164463
"166","ARMK",2016-08-29,37.700001,37.82,37.48,37.529999,812100,35.080338
"167","ARMK",2016-08-30,37.59,37.93,37.52,37.91,2380000,35.435528
"168","ARMK",2016-08-31,37.990002,38,37.740002,37.93,1467200,35.454231
"169","ARMK",2016-09-01,37.970001,38.23,37.639999,37.860001,1033900,35.388794
"170","ARMK",2016-09-02,37.959999,38.130001,37.779999,38.09,800600,35.603786
"171","ARMK",2016-09-06,38.23,38.299999,37.950001,38.040001,1570600,35.557053
"172","ARMK",2016-09-07,38.200001,38.23,37.970001,38.209999,1314600,35.715954
"173","ARMK",2016-09-08,37.939999,38.209999,37.790001,38.130001,1736600,35.641174
"174","ARMK",2016-09-09,37.799999,37.82,37.209999,37.290001,1327800,34.855999
"175","ARMK",2016-09-12,37.099998,37.450001,36.990002,37.369999,3020300,34.930775
"176","ARMK",2016-09-13,37.09,37.119999,36.720001,36.84,1830300,34.435375
"177","ARMK",2016-09-14,36.77,37.150002,36.77,36.93,1824400,34.519501
"178","ARMK",2016-09-15,36.939999,37.509998,36.790001,37.380001,1198700,34.940128
"179","ARMK",2016-09-16,37.25,37.549999,37.200001,37.41,2082700,34.968166
"180","ARMK",2016-09-19,37.419998,37.619999,37.240002,37.5,1183600,35.052296
"181","ARMK",2016-09-20,37.68,37.720001,37.380001,37.5,1098200,35.052296
"182","ARMK",2016-09-21,37.650002,37.889999,37.349998,37.759998,1166200,35.295315
"183","ARMK",2016-09-22,38.02,38.07,37.669998,37.779999,1321400,35.314014
"184","ARMK",2016-09-23,37.619999,38,37.59,37.669998,1029100,35.211193
"185","ARMK",2016-09-26,37.48,37.669998,37.25,37.529999,1019200,35.080338
"186","ARMK",2016-09-27,37.43,37.779999,37.380001,37.700001,871300,35.239239
"187","ARMK",2016-09-28,37.799999,37.799999,37.490002,37.639999,1293200,35.183155
"188","ARMK",2016-09-29,37.540001,37.959999,37.529999,37.900002,1672900,35.426186
"189","ARMK",2016-09-30,38.09,38.299999,37.919998,38.029999,1869600,35.547699
"190","ARMK",2016-10-03,38.009998,38.119999,37.650002,37.959999,1779700,35.482262
"191","ARMK",2016-10-04,37.959999,38.189999,37.48,37.560001,1508000,35.108379
"192","ARMK",2016-10-05,37.630001,37.630001,36.889999,36.990002,2011900,34.575584
"193","ARMK",2016-10-06,36.880001,37.23,36.759998,37.099998,1068600,34.678402
"194","ARMK",2016-10-07,37.18,37.18,36.73,36.810001,869100,34.407337
"195","ARMK",2016-10-10,36.959999,37.139999,36.849998,36.889999,636600,34.482113
"196","ARMK",2016-10-11,36.93,37.130001,36.419998,36.540001,1070100,34.154964
"197","ARMK",2016-10-12,36.619999,37.18,36.59,37.099998,1084300,34.678402
"198","ARMK",2016-10-13,36.82,37.240002,36.73,37.110001,1059000,34.687744
"199","ARMK",2016-10-14,37.130001,37.450001,37.029999,37.049999,1088900,34.631664
"200","ARMK",2016-10-17,36.950001,37.080002,36.75,36.950001,1167100,34.538197
"201","ARMK",2016-10-18,37.349998,37.419998,36.900002,36.919998,986100,34.510147
"202","ARMK",2016-10-19,37.040001,37.32,36.939999,37.080002,1322300,34.659718
"203","ARMK",2016-10-20,37.07,37.09,36.880001,36.93,822300,34.519501
"204","ARMK",2016-10-21,36.720001,37.07,36.689999,36.970001,673700,34.556892
"205","ARMK",2016-10-24,37.209999,37.400002,37.09,37.369999,1143200,34.930775
"206","ARMK",2016-10-25,37.299999,37.299999,36.810001,36.919998,749600,34.510147
"207","ARMK",2016-10-26,36.880001,37.389999,36.630001,37.380001,1795700,34.940128
"208","ARMK",2016-10-27,37.419998,37.419998,37.009998,37.150002,1064600,34.725151
"209","ARMK",2016-10-28,37.150002,37.349998,36.529999,36.830002,1490300,34.426029
"210","ARMK",2016-10-31,36.98,37.279999,36.790001,37.23,1598400,34.799919
"211","ARMK",2016-11-01,37.330002,37.490002,36.650002,36.75,1423600,34.351242
"212","ARMK",2016-11-02,36.73,36.939999,36.5,36.57,968100,34.182995
"213","ARMK",2016-11-03,36.700001,36.889999,36.48,36.59,908300,34.201694
"214","ARMK",2016-11-04,36.700001,36.900002,36.009998,36.139999,1497900,33.781059
"215","ARMK",2016-11-07,36.619999,36.889999,36.400002,36.830002,1822500,34.426029
"216","ARMK",2016-11-08,36.830002,37.330002,36.779999,37.290001,1406600,34.855999
"217","ARMK",2016-11-09,36.93,37.259998,36.639999,37.200001,1628500,34.771877
"218","ARMK",2016-11-10,37.439999,37.52,36.310001,36.349998,4802600,33.977356
"219","ARMK",2016-11-11,36.349998,36.400002,35.790001,36.209999,3598300,33.846485
"220","ARMK",2016-11-14,36.349998,36.549999,36.049999,36.470001,2896600,34.089531
"221","ARMK",2016-11-15,34.599998,34.759998,32.73,33.150002,6963900,30.986225
"222","ARMK",2016-11-16,33.16,33.490002,32.98,33.299999,3986400,31.126436
"223","ARMK",2016-11-17,33.360001,34.150002,33.360001,34.110001,2474300,31.88356
"224","ARMK",2016-11-18,34.400002,34.490002,33.98,34.080002,3585000,31.855522
"225","ARMK",2016-11-21,34.139999,34.790001,34.049999,34.470001,3097100,32.220055
"226","ARMK",2016-11-22,35,35.419998,34.549999,35.16,2448200,32.865032
"227","ARMK",2016-11-23,34.959999,35.450001,34.939999,35.16,1301300,32.961586
"228","ARMK",2016-11-25,35.150002,35.419998,35.150002,35.299999,620900,33.092834
"229","ARMK",2016-11-28,35.200001,35.450001,34.990002,34.990002,2220300,32.802227
"230","ARMK",2016-11-29,35.040001,35.240002,34.970001,35.060001,1660000,32.867847
"231","ARMK",2016-11-30,35.029999,35.060001,34.389999,34.41,4456000,32.258488
"232","ARMK",2016-12-01,34.52,34.540001,34.139999,34.48,2057600,32.324104
"233","ARMK",2016-12-02,34.34,35.16,34.32,35.150002,1739700,32.952217
"234","ARMK",2016-12-05,35.32,35.970001,35.310001,35.91,3498500,33.664692
"235","ARMK",2016-12-06,36,36.130001,35.799999,35.990002,1711900,33.739689
"236","ARMK",2016-12-07,35.959999,36.240002,35.740002,36.189999,1059600,33.927181
"237","ARMK",2016-12-08,36.27,36.439999,36.07,36.09,1863400,33.833435
"238","ARMK",2016-12-09,36.200001,36.32,35.849998,36.09,2415300,33.833435
"239","ARMK",2016-12-12,35.990002,36.369999,35.869999,36.02,1385100,33.767826
"240","ARMK",2016-12-13,36.02,36.380001,35.900002,36.279999,996000,34.011555
"241","ARMK",2016-12-14,36.360001,36.48,36.169998,36.290001,1268000,34.020931
"242","ARMK",2016-12-15,36.380001,36.490002,36.150002,36.240002,958800,33.974064
"243","ARMK",2016-12-16,36.07,36.419998,36.07,36.290001,1782000,34.020931
"244","ARMK",2016-12-19,36.23,36.41,36.080002,36.150002,610000,33.88969
"245","ARMK",2016-12-20,36.200001,36.259998,35.98,36.02,667700,33.767826
"246","ARMK",2016-12-21,35.91,36.369999,35.869999,36.27,499400,34.002186
"247","ARMK",2016-12-22,36.27,36.310001,36.049999,36.23,911900,33.964684
"248","ARMK",2016-12-23,36.189999,36.419998,36.119999,36.220001,571400,33.955307
