"","symbol","date","open","high","low","close","volume","adjusted"
"1","ASGN",2016-01-04,43.959999,43.98,42.75,42.779999,386400,42.779999
"2","ASGN",2016-01-05,42.950001,43.139999,42.27,42.619999,610200,42.619999
"3","ASGN",2016-01-06,42.200001,42.830002,41.740002,42.41,546000,42.41
"4","ASGN",2016-01-07,41.389999,42.07,40.889999,41.029999,484200,41.029999
"5","ASGN",2016-01-08,41.540001,41.82,38.549999,38.82,617400,38.82
"6","ASGN",2016-01-11,38.939999,39.040001,37.720001,38.25,518800,38.25
"7","ASGN",2016-01-12,38.59,38.830002,37.619999,38.119999,404700,38.119999
"8","ASGN",2016-01-13,38.119999,38.34,36.049999,36.27,429200,36.27
"9","ASGN",2016-01-14,36.400002,37.16,35.75,36.560001,520200,36.560001
"10","ASGN",2016-01-15,35.580002,36.860001,35.540001,36.82,609800,36.82
"11","ASGN",2016-01-19,37.240002,37.790001,36.279999,36.68,299000,36.68
"12","ASGN",2016-01-20,35.959999,37.200001,35.18,36.77,399600,36.77
"13","ASGN",2016-01-21,36.82,37.209999,36.32,36.639999,258200,36.639999
"14","ASGN",2016-01-22,37.360001,37.84,36.82,37.799999,214100,37.799999
"15","ASGN",2016-01-25,37.549999,37.950001,36.639999,36.700001,163000,36.700001
"16","ASGN",2016-01-26,36.889999,37.790001,36.560001,37.34,339600,37.34
"17","ASGN",2016-01-27,37.27,37.610001,36.52,36.73,209700,36.73
"18","ASGN",2016-01-28,37.009998,37.200001,36.369999,36.599998,148600,36.599998
"19","ASGN",2016-01-29,36.799999,38.669998,36.639999,38.650002,402600,38.650002
"20","ASGN",2016-02-01,38.32,38.57,37.23,37.5,333800,37.5
"21","ASGN",2016-02-02,37.099998,37.290001,36.529999,36.610001,209400,36.610001
"22","ASGN",2016-02-03,37.150002,37.150002,34.41,35.169998,404000,35.169998
"23","ASGN",2016-02-04,35.169998,35.599998,34.68,35.009998,288000,35.009998
"24","ASGN",2016-02-05,34.82,34.849998,32.860001,32.919998,475000,32.919998
"25","ASGN",2016-02-08,32.5,32.560001,31.280001,31.809999,438700,31.809999
"26","ASGN",2016-02-09,31.379999,32.349998,31.309999,31.58,294900,31.58
"27","ASGN",2016-02-10,31.57,31.790001,30.559999,30.639999,502800,30.639999
"28","ASGN",2016-02-11,30.139999,30.92,29.34,29.68,517400,29.68
"29","ASGN",2016-02-12,30.110001,31.049999,30.110001,30.48,393000,30.48
"30","ASGN",2016-02-16,30.940001,31.860001,30.35,30.780001,984100,30.780001
"31","ASGN",2016-02-17,30.950001,31.57,30.1,31.200001,685500,31.200001
"32","ASGN",2016-02-18,32.400002,35,32.400002,32.950001,1479300,32.950001
"33","ASGN",2016-02-19,32.73,32.950001,31.57,32.689999,389400,32.689999
"34","ASGN",2016-02-22,32.849998,33.209999,32.009998,32.560001,622800,32.560001
"35","ASGN",2016-02-23,32.369999,32.73,31.73,31.74,305200,31.74
"36","ASGN",2016-02-24,31.25,32.16,31.24,32.139999,380000,32.139999
"37","ASGN",2016-02-25,32.209999,32.720001,31.719999,32.490002,537400,32.490002
"38","ASGN",2016-02-26,32.66,33.360001,32.599998,33.330002,274400,33.330002
"39","ASGN",2016-02-29,33.209999,33.52,32.91,33.009998,353600,33.009998
"40","ASGN",2016-03-01,33.189999,34.900002,32.900002,34.880001,479500,34.880001
"41","ASGN",2016-03-02,34.740002,34.82,34.130001,34.490002,387300,34.490002
"42","ASGN",2016-03-03,34.43,35.360001,34.419998,35.330002,221800,35.330002
"43","ASGN",2016-03-04,35.330002,35.759998,34.939999,35.580002,264500,35.580002
"44","ASGN",2016-03-07,35.360001,35.619999,34.939999,35.299999,171900,35.299999
"45","ASGN",2016-03-08,35.130001,35.130001,34.18,34.389999,189400,34.389999
