"","symbol","date","open","high","low","close","volume","adjusted"
"1","ASIX",2016-09-15,12,17.809999,12,16.639999,4000,16.59672
"2","ASIX",2016-09-16,17.26,19.200001,17.26,19.200001,3400,19.150063
"3","ASIX",2016-09-19,19.200001,20.25,19.200001,20.15,2500,20.097591
"4","ASIX",2016-09-20,20.25,20.5,19.4,19.51,6200,19.459257
"5","ASIX",2016-09-21,19.4,19.4,19.4,19.4,100,19.349543
"6","ASIX",2016-09-22,19.450001,19.5,19.389999,19.5,7200,19.449282
"7","ASIX",2016-09-23,19.5,19.5,19.5,19.5,0,19.449282
"8","ASIX",2016-09-26,19.5,19.5,18.290001,18.700001,26900,18.651363
"9","ASIX",2016-09-27,18.719999,19.120001,18.049999,18.25,16500,18.202534
"10","ASIX",2016-09-28,18.049999,18.1,17.049999,17.16,46400,17.115368
"11","ASIX",2016-09-29,17.129999,17.129999,15.5,15.61,43100,15.5694
"12","ASIX",2016-09-30,15.96,16.889999,15.5,16.59,66000,16.54685
"13","ASIX",2016-10-03,16.5,16.59,14.45,16.41,6622200,16.367319
"14","ASIX",2016-10-04,16.450001,16.450001,14.9,15,2288100,14.960986
"15","ASIX",2016-10-05,14.9,14.94,14,14.16,3722300,14.123171
"16","ASIX",2016-10-06,13.86,14.445,13.75,14.01,2430000,13.973561
"17","ASIX",2016-10-07,14,15.53,13.7,15.1,4259900,15.060727
"18","ASIX",2016-10-10,15.2,16.32,15.18,15.62,1873100,15.579373
"19","ASIX",2016-10-11,15.07,16.028999,15,15.64,1859000,15.599322
"20","ASIX",2016-10-12,15.02,15.68,14.22,14.98,2114700,14.941038
"21","ASIX",2016-10-13,15.15,15.32,14.92,15.13,1147800,15.090649
"22","ASIX",2016-10-14,15.04,16.1,14.91,15.62,1118800,15.579373
"23","ASIX",2016-10-17,15.43,16.339001,15.31,16.02,881100,15.978333
"24","ASIX",2016-10-18,16.299999,16.309999,16,16.1,669200,16.058126
"25","ASIX",2016-10-19,16.07,16.549999,15.96,16.209999,607100,16.167839
"26","ASIX",2016-10-20,16.049999,16.51,15.76,16.370001,575000,16.327423
"27","ASIX",2016-10-21,16.18,16.92,16,16.33,710600,16.287527
"28","ASIX",2016-10-24,16.48,16.959999,16.049999,16.719999,529100,16.676512
"29","ASIX",2016-10-25,16.549999,16.969999,16.385,16.559999,649200,16.516928
"30","ASIX",2016-10-26,16.41,16.870001,16.139999,16.450001,694400,16.407215
"31","ASIX",2016-10-27,16.33,16.440001,15.55,15.93,403500,15.888568
"32","ASIX",2016-10-28,15.83,16.26,15.6,15.66,392400,15.619269
"33","ASIX",2016-10-31,15.65,16.030001,14.92,15.96,665900,15.918489
"34","ASIX",2016-11-01,16,16.125,14.83,14.94,496400,14.901142
"35","ASIX",2016-11-02,14.81,15.04,14.65,14.85,674500,14.811377
"36","ASIX",2016-11-03,14.99,15.39,14.65,14.9,339600,14.861246
