"","symbol","date","open","high","low","close","volume","adjusted"
"1","ASND",2016-01-04,18.059999,18.16,17.65,18.030001,36900,18.030001
"2","ASND",2016-01-05,17.93,18.190001,17.709999,18.02,31700,18.02
"3","ASND",2016-01-06,17.790001,17.950001,17.35,17.870001,18800,17.870001
"4","ASND",2016-01-07,17.440001,17.68,16.65,16.65,72300,16.65
"5","ASND",2016-01-08,16.76,16.799999,14.15,14.49,53100,14.49
"6","ASND",2016-01-11,14.7,15.74,12.99,14.1,82100,14.1
"7","ASND",2016-01-12,14.3,14.92,13.97,14.7,36100,14.7
"8","ASND",2016-01-13,14.7,15.15,14.4,14.9,40800,14.9
"9","ASND",2016-01-14,14.91,16.690001,14,16.15,36000,16.15
"10","ASND",2016-01-15,15.83,17.290001,14.29,16.84,42800,16.84
"11","ASND",2016-01-19,17.25,17.25,15.35,16.52,51800,16.52
"12","ASND",2016-01-20,16.360001,16.799999,15.73,16.15,80600,16.15
"13","ASND",2016-01-21,16.299999,17.049999,14.83,16.459999,25500,16.459999
"14","ASND",2016-01-22,16.719999,18.379999,16.389999,18.25,45900,18.25
"15","ASND",2016-01-25,18,18.989,17.719999,18.26,42900,18.26
"16","ASND",2016-01-26,18.309999,19.305,17.9,18.610001,34100,18.610001
"17","ASND",2016-01-27,18.52,18.83,17.83,18.08,30100,18.08
"18","ASND",2016-01-28,18.639999,18.639999,17.59,18.18,46300,18.18
"19","ASND",2016-01-29,17.658001,20.16,17.658001,19.040001,64100,19.040001
"20","ASND",2016-02-01,18.74,19.07,18.02,19.07,78300,19.07
"21","ASND",2016-02-02,18.73,19,17.84,18.860001,24300,18.860001
"22","ASND",2016-02-03,18.459999,19.549999,18.07,19,89100,19
"23","ASND",2016-02-04,18.52,19.459999,18.120001,19.120001,17700,19.120001
"24","ASND",2016-02-05,18.9,19.18,18.01,18.91,39600,18.91
"25","ASND",2016-02-08,18.84,19.110001,17.610001,18.23,55000,18.23
"26","ASND",2016-02-09,17.98,18.4,16.940001,17.98,173700,17.98
"27","ASND",2016-02-10,18,18.280001,16.141001,17.879999,15200,17.879999
"28","ASND",2016-02-11,18.1,18.1,17.120001,18,26900,18
"29","ASND",2016-02-12,18.049999,18.66,16.83,18.389999,22400,18.389999
"30","ASND",2016-02-16,18.18,19.790001,17.6,18.049999,55200,18.049999
"31","ASND",2016-02-17,18.450001,19.200001,17.99,18.4,35600,18.4
"32","ASND",2016-02-18,18,19.889999,18,18.389999,80000,18.389999
"33","ASND",2016-02-19,18.01,18.73,17.504999,18.209999,72400,18.209999
"34","ASND",2016-02-22,18.370001,19.110001,17.620001,18.530001,18100,18.530001
"35","ASND",2016-02-23,18.57,19.879999,18.57,19.370001,30200,19.370001
"36","ASND",2016-02-24,18.59,18.67,17.889999,18.1,30400,18.1
"37","ASND",2016-02-25,18.040001,18.299999,17.879999,17.879999,2700,17.879999
"38","ASND",2016-02-26,18,18.120001,17.780001,17.91,11400,17.91
"39","ASND",2016-02-29,17.889999,17.891001,16.99,17.35,25700,17.35
"40","ASND",2016-03-01,17.49,17.49,16.91,17.02,4800,17.02
"41","ASND",2016-03-02,16.85,17.459999,15.25,16.99,36100,16.99
"42","ASND",2016-03-03,16.620001,17.440001,16.24,17.360001,28700,17.360001
"43","ASND",2016-03-04,17.27,18,16.370001,17.799999,48000,17.799999
"44","ASND",2016-03-07,17.75,18.08,17.559999,18.08,55300,18.08
"45","ASND",2016-03-08,17.719999,18,17.129999,18,12800,18
"46","ASND",2016-03-09,17.93,17.950001,17.440001,17.879999,13000,17.879999
"47","ASND",2016-03-10,17.959999,18.129999,17.82,18.129999,40100,18.129999
"48","ASND",2016-03-11,18.049999,18.42,17.940001,18.18,7400,18.18
"49","ASND",2016-03-14,18.309999,18.76,17.969999,18.41,30000,18.41
"50","ASND",2016-03-15,18.219999,18.59,17.955,18.139999,34100,18.139999
"51","ASND",2016-03-16,18.030001,18.700001,17.379999,18.299999,73000,18.299999
"52","ASND",2016-03-17,18.559999,18.559999,17.76,17.76,12800,17.76
"53","ASND",2016-03-18,17.389999,18.075001,17.389999,17.66,9000,17.66
"54","ASND",2016-03-21,17.860001,17.969999,17.74,17.959999,3900,17.959999
"55","ASND",2016-03-22,17.75,18,17.610001,18,11700,18
"56","ASND",2016-03-23,17.92,18.49,17.24,17.91,86900,17.91
"57","ASND",2016-03-24,17.690001,17.950001,17.57,17.57,6800,17.57
"58","ASND",2016-03-28,17.629999,18.02,17.48,18.01,8300,18.01
"59","ASND",2016-03-29,17.92,18.5,17.860001,18.030001,44000,18.030001
"60","ASND",2016-03-30,18.17,18.799999,18.17,18.74,17300,18.74
"61","ASND",2016-03-31,18.700001,18.950001,18.1,18.549999,45200,18.549999
"62","ASND",2016-04-01,18.309999,18.809999,18.309999,18.73,93000,18.73
"63","ASND",2016-04-04,18.700001,19.049999,18.450001,18.629999,21600,18.629999
"64","ASND",2016-04-05,18.74,18.84,18.299999,18.43,11300,18.43
"65","ASND",2016-04-06,18.48,18.85,18.280001,18.85,77100,18.85
"66","ASND",2016-04-07,18.790001,18.799999,17.684999,18.15,40500,18.15
"67","ASND",2016-04-08,18.6,18.799999,18.110001,18.41,20600,18.41
"68","ASND",2016-04-11,18.450001,18.809999,18.18,18.34,16600,18.34
"69","ASND",2016-04-12,18.620001,18.809999,18.18,18.41,23600,18.41
"70","ASND",2016-04-13,18.49,18.940001,18.17,18.17,14100,18.17
"71","ASND",2016-04-14,18.190001,18.58,18.01,18.389999,21200,18.389999
"72","ASND",2016-04-15,18.190001,18.33,17.08,17.540001,42200,17.540001
"73","ASND",2016-04-18,17.52,18.222,17.030001,17.73,10500,17.73
"74","ASND",2016-04-19,17.809999,18.219999,17.514999,17.75,74900,17.75
"75","ASND",2016-04-20,17.799999,17.799999,17.17,17.17,12400,17.17
"76","ASND",2016-04-21,17.33,18.209999,17.25,17.73,18100,17.73
"77","ASND",2016-04-22,18.049999,18.049999,17.389999,17.52,17700,17.52
"78","ASND",2016-04-25,17.58,17.74,17.290001,17.700001,13000,17.700001
"79","ASND",2016-04-26,17.74,17.74,17.344999,17.59,14800,17.59
"80","ASND",2016-04-27,17.41,17.639999,17.02,17.27,13800,17.27
"81","ASND",2016-04-28,17.129999,17.35,16.91,16.99,26200,16.99
"82","ASND",2016-04-29,16.959999,17.280001,16.440001,16.870001,4300,16.870001
"83","ASND",2016-05-02,16.780001,17.309999,16.34,17.17,24500,17.17
"84","ASND",2016-05-03,16.84,17.32,16.799999,16.799999,22700,16.799999
"85","ASND",2016-05-04,16.889999,17.309999,16.639999,17.309999,133200,17.309999
"86","ASND",2016-05-05,17.32,17.32,16.040001,16.16,85300,16.16
"87","ASND",2016-05-06,16.27,16.32,15.28,16.08,5100,16.08
"88","ASND",2016-05-09,16.08,16.27,15.403,15.87,22900,15.87
"89","ASND",2016-05-10,15.8,16.200001,15.45,15.68,14800,15.68
"90","ASND",2016-05-11,15.86,15.86,15.42,15.79,16300,15.79
"91","ASND",2016-05-12,15.72,15.73,14.01,15,114400,15
"92","ASND",2016-05-13,15.2,15.2,14.55,14.82,442500,14.82
"93","ASND",2016-05-16,14.83,15,14.465,14.87,16900,14.87
"94","ASND",2016-05-17,14.57,14.95,14.57,14.725,10300,14.725
"95","ASND",2016-05-18,14.67,14.69,13.78,14.15,41200,14.15
"96","ASND",2016-05-19,14.87,14.87,13.98,14.03,44900,14.03
"97","ASND",2016-05-20,13.96,14.33,13.74,14.11,41600,14.11
"98","ASND",2016-05-23,14,14.12,13.8,13.89,25900,13.89
"99","ASND",2016-05-24,14.06,14.192,13.8,13.91,16800,13.91
"100","ASND",2016-05-25,13.96,14.2,13.9,13.92,28200,13.92
"101","ASND",2016-05-26,13.96,14.03,13.79,13.81,33700,13.81
"102","ASND",2016-05-27,13.76,13.99,13.65,13.99,34600,13.99
"103","ASND",2016-05-31,14,14.03,13.58,13.74,213000,13.74
"104","ASND",2016-06-01,13.86,14.11,13.64,13.88,17900,13.88
"105","ASND",2016-06-02,13.7,14.07,13.469,13.62,102000,13.62
"106","ASND",2016-06-03,13.8,14.27,12.5,12.54,916900,12.54
"107","ASND",2016-06-06,12.92,13.12,12.311,12.53,38800,12.53
"108","ASND",2016-06-07,12.5,12.53,11.92,12.25,501000,12.25
"109","ASND",2016-06-08,12.54,14.862,12.32,14.24,124400,14.24
"110","ASND",2016-06-09,13.98,14.48,13.25,13.59,41900,13.59
"111","ASND",2016-06-10,13.6,13.81,12.84,13.46,22300,13.46
"112","ASND",2016-06-13,13.42,13.48,12.59,12.88,256100,12.88
"113","ASND",2016-06-14,12.87,12.98,12.25,12.46,72800,12.46
"114","ASND",2016-06-15,12.8,13.18,12.29,12.72,548900,12.72
"115","ASND",2016-06-16,12.97,13.93,12.89,13.59,100100,13.59
"116","ASND",2016-06-17,13.69,14.535,13.6,13.97,731000,13.97
"117","ASND",2016-06-20,13.89,14.4,13.8,14.11,74000,14.11
"118","ASND",2016-06-21,14.25,14.31,13.43,13.74,264100,13.74
"119","ASND",2016-06-22,13.96,14,13.21,13.69,52700,13.69
"120","ASND",2016-06-23,13.6,14.07,13.6,13.86,24100,13.86
"121","ASND",2016-06-24,13.72,13.948,13.35,13.88,48900,13.88
"122","ASND",2016-06-27,13.76,13.76,12.92,12.93,119500,12.93
"123","ASND",2016-06-28,13.07,13.5,12.5,13.39,1087900,13.39
"124","ASND",2016-06-29,13.34,13.595,12.74,13.59,97700,13.59
"125","ASND",2016-06-30,13.43,13.84,13.01,13.27,88200,13.27
"126","ASND",2016-07-01,13.42,13.535,12.745,13.03,69200,13.03
"127","ASND",2016-07-05,12.97,13.5,12.62,13.27,37600,13.27
"128","ASND",2016-07-06,13.27,13.95,13.06,13.28,45900,13.28
"129","ASND",2016-07-07,13.42,13.67,12.57,12.73,48500,12.73
"130","ASND",2016-07-08,12.87,13.69,12.5,12.98,67700,12.98
"131","ASND",2016-07-11,12.94,13.17,12.57,12.87,44200,12.87
"132","ASND",2016-07-12,13,13.32,12.73,12.97,43900,12.97
"133","ASND",2016-07-13,13,13,12.53,12.7,51900,12.7
"134","ASND",2016-07-14,12.611,12.91,12.34,12.91,75900,12.91
"135","ASND",2016-07-15,12.86,13.42,12.79,12.94,15200,12.94
"136","ASND",2016-07-18,12.94,13.31,12.76,12.77,19200,12.77
"137","ASND",2016-07-19,12.84,13.53,12.71,12.88,14500,12.88
"138","ASND",2016-07-20,12.9,13.51,12.82,13.28,70300,13.28
"139","ASND",2016-07-21,13.21,14.22,12.83,13.1,36100,13.1
"140","ASND",2016-07-22,13.24,13.24,12.82,12.94,33300,12.94
"141","ASND",2016-07-25,12.85,13.19,12.82,12.85,28000,12.85
"142","ASND",2016-07-26,12.89,13.21,12.85,12.92,36000,12.92
"143","ASND",2016-07-27,13,13.41,12.977,13.01,20600,13.01
"144","ASND",2016-07-28,13.05,13.33,12.99,13.32,7300,13.32
