"","symbol","date","open","high","low","close","volume","adjusted"
"1","ATOS",2016-01-04,54,68.400002,50.400002,64.800003,2192,64.800003
"2","ATOS",2016-01-05,66.599998,66.599998,63,64.800003,314,64.800003
"3","ATOS",2016-01-06,64.800003,64.800003,55.799999,61.200001,247,61.200001
"4","ATOS",2016-01-07,57.599998,61.200001,52.200001,52.200001,941,52.200001
"5","ATOS",2016-01-08,54,59.400002,52.200001,57.599998,763,57.599998
"6","ATOS",2016-01-11,52.200001,57.599998,52.200001,52.200001,1788,52.200001
"7","ATOS",2016-01-12,52.200001,54,43.200001,48.599998,2430,48.599998
"8","ATOS",2016-01-13,50.400002,50.400002,45,45,911,45
"9","ATOS",2016-01-14,46.799999,48.599998,39.599998,45,1286,45
"10","ATOS",2016-01-15,45,45,37.799999,39.599998,1599,39.599998
"11","ATOS",2016-01-19,36,41.400002,25.200001,36,2931,36
"12","ATOS",2016-01-20,36,39.599998,34.200001,39.599998,836,39.599998
"13","ATOS",2016-01-21,39.599998,54,37.799999,52.200001,2467,52.200001
"14","ATOS",2016-01-22,54,59.400002,52.200001,55.799999,2807,55.799999
"15","ATOS",2016-01-25,57.599998,63,55.799999,57.599998,2312,57.599998
"16","ATOS",2016-01-26,57.599998,57.599998,50.400002,52.200001,805,52.200001
"17","ATOS",2016-01-27,54,54,41.400002,45,1270,45
"18","ATOS",2016-01-28,50.400002,52.200001,45,45,763,45
"19","ATOS",2016-01-29,45,52.200001,45,46.799999,732,46.799999
"20","ATOS",2016-02-01,48.599998,50.400002,46.799999,50.400002,1171,50.400002
"21","ATOS",2016-02-02,48.599998,50.400002,45,46.799999,1082,46.799999
"22","ATOS",2016-02-03,46.799999,48.599998,43.200001,46.799999,1132,46.799999
"23","ATOS",2016-02-04,45,46.799999,43.200001,45,537,45
"24","ATOS",2016-02-05,45,46.799999,43.200001,46.799999,971,46.799999
"25","ATOS",2016-02-08,46.799999,48.599998,41.400002,43.200001,927,43.200001
"26","ATOS",2016-02-09,43.200001,43.200001,41.400002,41.400002,498,41.400002
"27","ATOS",2016-02-10,41.400002,43.200001,39.599998,39.599998,738,39.599998
"28","ATOS",2016-02-11,39.599998,43.200001,37.799999,39.599998,805,39.599998
"29","ATOS",2016-02-12,41.400002,64.800003,41.400002,55.799999,4386,55.799999
"30","ATOS",2016-02-16,90,99,75.599998,99,14223,99
"31","ATOS",2016-02-17,122.400002,127.800003,104.400002,118.800003,22519,118.800003
"32","ATOS",2016-02-18,113.400002,113.400002,84.599998,88.199997,11194,88.199997
"33","ATOS",2016-02-19,97.199997,106.199997,91.800003,102.599998,6337,102.599998
"34","ATOS",2016-02-22,111.599998,115.199997,100.800003,108,5467,108
"35","ATOS",2016-02-23,104.400002,108,88.199997,88.199997,4133,88.199997
"36","ATOS",2016-02-24,88.199997,88.199997,72,86.400002,2970,86.400002
"37","ATOS",2016-02-25,88.199997,88.199997,77.400002,79.199997,1321,79.199997
"38","ATOS",2016-02-26,81,81,70.199997,75.599998,2196,75.599998
"39","ATOS",2016-02-29,75.599998,81,68.400002,75.599998,2121,75.599998
"40","ATOS",2016-03-01,75.599998,75.599998,68.400002,72,1600,72
"41","ATOS",2016-03-02,79.199997,88.199997,75.599998,82.800003,5968,82.800003
"42","ATOS",2016-03-03,82.800003,88.199997,77.400002,79.199997,2855,79.199997
"43","ATOS",2016-03-04,79.199997,79.199997,72,73.800003,1783,73.800003
"44","ATOS",2016-03-07,72,73.800003,68.400002,68.400002,4406,68.400002
"45","ATOS",2016-03-08,68.400002,72,66.599998,68.400002,1651,68.400002
