"","symbol","date","open","high","low","close","volume","adjusted"
"1","ATO",2016-01-04,63.02,63.040001,62.02,62.369999,537800,53.986145
"2","ATO",2016-01-05,62.369999,62.82,61.830002,62.599998,590800,54.18523
"3","ATO",2016-01-06,62.43,63.18,62.200001,62.799999,409700,54.358349
"4","ATO",2016-01-07,62.169998,62.709999,61.959999,62.189999,432000,53.830334
"5","ATO",2016-01-08,62.18,65.489998,61.700001,62.259998,482300,53.890923
"6","ATO",2016-01-11,61.709999,62.689999,61.709999,62.470001,501800,54.072708
"7","ATO",2016-01-12,62.700001,62.700001,61.509998,62.09,531600,53.743782
"8","ATO",2016-01-13,62.27,62.389999,61.509998,61.740002,513800,53.440826
"9","ATO",2016-01-14,61.880001,63.259998,61.860001,62.98,455200,54.514145
"10","ATO",2016-01-15,61.060001,63.080002,60,62.970001,694100,54.505501
"11","ATO",2016-01-19,63.450001,64.220001,63.060001,63.959999,623800,55.362415
"12","ATO",2016-01-20,63.849998,64.190002,61.549999,62.389999,582100,54.003456
"13","ATO",2016-01-21,62.439999,62.689999,61.619999,62.380001,655400,53.994804
"14","ATO",2016-01-22,62.700001,64.080002,61.82,64.019997,563700,55.414345
"15","ATO",2016-01-25,64.120003,64.959999,63.34,63.84,724900,55.258545
"16","ATO",2016-01-26,64.139999,65.470001,64.139999,65.410004,835200,56.617508
"17","ATO",2016-01-27,65.389999,65.900002,64.809998,65.129997,598400,56.375141
"18","ATO",2016-01-28,65.589996,67.610001,65.510002,67.190002,1006100,58.158237
"19","ATO",2016-01-29,67.709999,69.220001,67.559998,69.220001,1753500,59.915367
"20","ATO",2016-02-01,69.260002,69.809998,68.379997,68.589996,1129600,59.370049
"21","ATO",2016-02-02,68.669998,69.970001,67.940002,69.900002,809600,60.503956
"22","ATO",2016-02-03,69,70.540001,68.900002,69.720001,1052900,60.348148
"23","ATO",2016-02-04,69.660004,69.949997,68.849998,69.629997,996700,60.270245
"24","ATO",2016-02-05,69.580002,69.849998,68.669998,69.529999,668600,60.183685
"25","ATO",2016-02-08,69.470001,69.919998,69.010002,69.849998,515900,60.460678
"26","ATO",2016-02-09,69.730003,70.980003,69.199997,70.800003,675600,61.282982
"27","ATO",2016-02-10,70.910004,70.910004,69.690002,70.279999,875100,60.832886
"28","ATO",2016-02-11,69.779999,70.529999,69.589996,70.290001,630200,60.841526
"29","ATO",2016-02-12,70.910004,71.080002,68.75,69.830002,1235900,60.443371
"30","ATO",2016-02-16,70.589996,70.919998,69.809998,70.43,1112800,60.962708
"31","ATO",2016-02-17,70.449997,70.480003,69.029999,69.639999,1069700,60.278919
"32","ATO",2016-02-18,69.330002,71.190002,69.080002,70.82,1220900,61.672245
"33","ATO",2016-02-19,70.290001,70.889999,69.870003,70.099998,890400,61.045235
"34","ATO",2016-02-22,70.190002,70.459999,69.989998,70.360001,795900,61.271648
"35","ATO",2016-02-23,70.360001,71.050003,70.18,70.449997,604200,61.350033
"36","ATO",2016-02-24,70.449997,71.099998,69.269997,71.059998,1308400,61.881226
"37","ATO",2016-02-25,71.419998,71.900002,71.040001,71.620003,641000,62.368896
"38","ATO",2016-02-26,71.32,71.529999,69.809998,70.150002,879800,61.088783
"39","ATO",2016-02-29,70.050003,70.330002,68.150002,69.410004,6854300,60.44437
"40","ATO",2016-03-01,69.739998,69.980003,68.949997,69.269997,905900,60.322433
"41","ATO",2016-03-02,69.300003,70.360001,68.599998,70.330002,746400,61.245529
"42","ATO",2016-03-03,70.290001,70.300003,69.120003,69.620003,972200,60.627247
"43","ATO",2016-03-04,69.150002,71.080002,69.139999,70.699997,1028600,61.567722
"44","ATO",2016-03-07,70.309998,70.870003,70.080002,70.68,816900,61.550323
"45","ATO",2016-03-08,71.160004,71.349998,70.599998,70.779999,710300,61.637405
"46","ATO",2016-03-09,70.57,71.470001,70.269997,70.910004,613100,61.750599
"47","ATO",2016-03-10,70.989998,71.279999,70.389999,70.93,761600,61.768017
"48","ATO",2016-03-11,71.139999,71.300003,70.639999,70.949997,666200,61.785431
"49","ATO",2016-03-14,71.089996,71.400002,70.510002,71.290001,491400,62.081532
"50","ATO",2016-03-15,71.080002,72.099998,71.080002,71.720001,579700,62.455997
"51","ATO",2016-03-16,71.599998,72.400002,71.029999,72.349998,681000,63.004604
"52","ATO",2016-03-17,72.349998,73.160004,72.089996,72.940002,663300,63.518394
"53","ATO",2016-03-18,72.440002,72.75,71.220001,72.080002,1648300,62.769489
"54","ATO",2016-03-21,71.809998,72,71,71.32,593000,62.107666
"55","ATO",2016-03-22,71.510002,71.889999,71.139999,71.610001,451500,62.360195
"56","ATO",2016-03-23,71.699997,72.040001,71.089996,71.839996,380300,62.560486
"57","ATO",2016-03-24,71.879997,72.519997,71.639999,72.379997,491200,63.030712
"58","ATO",2016-03-28,72.739998,72.980003,72.110001,72.57,384600,63.196186
"59","ATO",2016-03-29,72.809998,74.379997,72.290001,74.330002,665000,64.728851
"60","ATO",2016-03-30,74.599998,74.599998,73.849998,74.050003,499300,64.485031
"61","ATO",2016-03-31,73.940002,74.440002,73.470001,74.260002,801200,64.6679
"62","ATO",2016-04-01,73.980003,74.860001,73.620003,74.559998,791600,64.929138
"63","ATO",2016-04-04,74.839996,74.839996,73.809998,74.379997,696200,64.772392
"64","ATO",2016-04-05,74.360001,74.360001,73.07,73.209999,473300,63.753513
"65","ATO",2016-04-06,73.040001,73.489998,72.800003,73.480003,496200,63.988651
"66","ATO",2016-04-07,73.449997,73.839996,73.129997,73.639999,1378800,64.127975
"67","ATO",2016-04-08,73.699997,74.57,73.339996,74.190002,579500,64.606934
"68","ATO",2016-04-11,74.339996,74.620003,73.620003,73.739998,397500,64.215057
"69","ATO",2016-04-12,73.690002,74.400002,73.489998,73.989998,635900,64.432762
"70","ATO",2016-04-13,74.160004,74.160004,73.220001,73.889999,356600,64.345673
"71","ATO",2016-04-14,73.889999,74.330002,73.099998,73.099998,484700,63.65773
"72","ATO",2016-04-15,73.239998,73.940002,73.120003,73.629997,678100,64.119278
"73","ATO",2016-04-18,73.889999,73.889999,73.419998,73.68,382300,64.162819
"74","ATO",2016-04-19,73.68,74.269997,73.389999,74.040001,379800,64.476311
"75","ATO",2016-04-20,74.110001,74.489998,72.550003,72.620003,346900,63.239731
"76","ATO",2016-04-21,72.419998,72.419998,70.410004,70.599998,473600,61.480663
"77","ATO",2016-04-22,70.589996,71.459999,70.480003,71.309998,415900,62.098938
"78","ATO",2016-04-25,71.18,71.529999,71,71.32,389500,62.107666
"79","ATO",2016-04-26,71.489998,72.040001,71.389999,71.709999,358200,62.447281
"80","ATO",2016-04-27,71.809998,72.489998,71.050003,71.800003,379500,62.525654
"81","ATO",2016-04-28,71.410004,72.480003,71.300003,72.07,307500,62.760777
"82","ATO",2016-04-29,71.690002,72.690002,71.199997,72.550003,629500,63.178768
"83","ATO",2016-05-02,72.739998,73.32,72.559998,72.949997,623400,63.527092
"84","ATO",2016-05-03,73.279999,73.489998,72.68,72.82,524200,63.413895
"85","ATO",2016-05-04,72.959999,74.830002,72.650002,74.089996,643400,64.519852
"86","ATO",2016-05-05,72.190002,74.849998,72.120003,73.57,925800,64.067024
"87","ATO",2016-05-06,73.580002,73.860001,72.800003,73.589996,578200,64.084427
"88","ATO",2016-05-09,73.900002,74.629997,73.650002,74.300003,541600,64.702744
"89","ATO",2016-05-10,74.400002,75.050003,74.220001,74.459999,402900,64.842056
"90","ATO",2016-05-11,74.5,74.959999,74.129997,74.529999,568800,64.903008
"91","ATO",2016-05-12,74.339996,74.709999,74.129997,74.489998,1216100,64.868195
"92","ATO",2016-05-13,74.529999,75.019997,73.830002,74.260002,812300,64.6679
"93","ATO",2016-05-16,74.419998,75.099998,74,74.989998,998200,65.303604
"94","ATO",2016-05-17,74.830002,74.830002,72.419998,72.760002,597600,63.361637
"95","ATO",2016-05-18,72.300003,73.330002,71.559998,71.769997,590900,62.499535
"96","ATO",2016-05-19,71.080002,71.959999,70.839996,71.889999,404000,62.972542
"97","ATO",2016-05-20,72,72.209999,71.480003,72.099998,513600,63.156494
"98","ATO",2016-05-23,72.160004,72.300003,71.43,71.459999,324800,62.595894
"99","ATO",2016-05-24,71.480003,72.480003,70.919998,72.419998,745500,63.436787
"100","ATO",2016-05-25,72.260002,72.529999,71.779999,71.860001,484600,62.946266
"101","ATO",2016-05-26,71.959999,72.449997,71.870003,72.370003,479700,63.393028
"102","ATO",2016-05-27,72.519997,72.699997,71.889999,72.690002,506600,63.673321
"103","ATO",2016-05-31,72.730003,73.139999,72.360001,72.900002,1013100,63.857273
"104","ATO",2016-06-01,72.900002,73.5,72.620003,72.910004,536200,63.866035
"105","ATO",2016-06-02,73.019997,73.019997,72.419998,72.699997,552500,63.682068
"106","ATO",2016-06-03,73.489998,74.949997,73.230003,74.730003,565800,65.460266
"107","ATO",2016-06-06,74.989998,75.059998,74.129997,74.360001,536800,65.136147
"108","ATO",2016-06-07,74.330002,74.809998,73.080002,74.459999,355200,65.223755
"109","ATO",2016-06-08,74.599998,75.059998,74.349998,74.900002,331100,65.609177
"110","ATO",2016-06-09,75,76.489998,74.900002,76.389999,277100,66.91436
"111","ATO",2016-06-10,76.400002,76.620003,75.860001,75.949997,329400,66.528931
"112","ATO",2016-06-13,76.019997,76.330002,75.580002,75.739998,389900,66.344963
"113","ATO",2016-06-14,75.800003,76.300003,75.449997,76.269997,488100,66.809219
"114","ATO",2016-06-15,76.370003,76.379997,75.300003,76,550900,66.572723
"115","ATO",2016-06-16,75.900002,76.580002,75.769997,76.330002,268900,66.861794
"116","ATO",2016-06-17,75.940002,76.209999,75.279999,75.980003,607900,66.555222
"117","ATO",2016-06-20,75.980003,76.349998,75.519997,76.18,396500,66.730392
"118","ATO",2016-06-21,76.18,76.919998,75.800003,76.629997,331800,67.124588
"119","ATO",2016-06-22,76.849998,76.900002,76.360001,76.540001,494500,67.045731
"120","ATO",2016-06-23,76.690002,76.93,76.269997,76.93,328600,67.387367
"121","ATO",2016-06-24,76.279999,77.949997,75.849998,77.050003,543400,67.492493
"122","ATO",2016-06-27,76.830002,78.129997,76.800003,77.870003,498700,68.210777
"123","ATO",2016-06-28,78.029999,78.25,77.120003,78.230003,445800,68.526115
"124","ATO",2016-06-29,78.589996,79.260002,78.349998,78.470001,423700,68.736343
"125","ATO",2016-06-30,78.849998,81.349998,78.690002,81.32,1146700,71.232834
"126","ATO",2016-07-01,81.970001,81.970001,79.720001,80.470001,594200,70.488258
"127","ATO",2016-07-05,80.690002,81.25,80.07,81.129997,714700,71.066391
"128","ATO",2016-07-06,81.099998,81.559998,80.470001,81.160004,879300,71.092659
"129","ATO",2016-07-07,80.699997,80.699997,79.480003,79.599998,465700,69.726181
"130","ATO",2016-07-08,79.519997,80.029999,78.690002,80,532000,70.076569
"131","ATO",2016-07-11,79.709999,80.120003,79.099998,80.089996,516300,70.15538
"132","ATO",2016-07-12,79.529999,80.410004,79.169998,79.910004,568300,69.997734
"133","ATO",2016-07-13,80.489998,81,80.129997,80.739998,367500,70.724754
"134","ATO",2016-07-14,80.080002,80.580002,79.830002,80.089996,433700,70.15538
"135","ATO",2016-07-15,80.160004,80.599998,79.779999,80.059998,346000,70.129112
