"","symbol","date","open","high","low","close","volume","adjusted"
"1","AVT",2016-01-04,42.099998,42.34,41.68,42.32,1223400,37.414867
"2","AVT",2016-01-05,42.32,42.75,41.84,41.950001,874100,37.087749
"3","AVT",2016-01-06,41.130001,41.509998,40.459999,40.509998,1177500,35.814655
"4","AVT",2016-01-07,39.700001,40.259998,39.360001,39.509998,1161600,34.930569
"5","AVT",2016-01-08,39.75,39.82,38.23,38.34,1512200,33.896172
"6","AVT",2016-01-11,38.450001,39.240002,38.380001,39.009998,1622200,34.488514
"7","AVT",2016-01-12,39.490002,39.490002,38.130001,39.080002,1497900,34.550404
"8","AVT",2016-01-13,39.18,39.540001,38.290001,38.369999,2005700,33.922699
"9","AVT",2016-01-14,38.439999,39.220001,38.25,38.91,1470600,34.400105
"10","AVT",2016-01-15,37.77,38.380001,37.77,38.330002,1805300,33.887321
"11","AVT",2016-01-19,38.73,38.790001,37.790001,38.029999,1729400,33.622097
"12","AVT",2016-01-20,37.360001,38.27,37.209999,38,1956700,33.595566
"13","AVT",2016-01-21,38.080002,38.279999,37.57,37.779999,1896600,33.40107
"14","AVT",2016-01-22,38.759998,39.610001,38.639999,39.110001,1739400,34.576923
"15","AVT",2016-01-25,39.049999,39.200001,38.759998,38.84,1445100,34.33823
"16","AVT",2016-01-26,39.240002,39.93,39.150002,39.860001,1355300,35.23999
"17","AVT",2016-01-27,39.630001,39.98,39.150002,39.349998,1352600,34.789104
"18","AVT",2016-01-28,37.450001,39.25,37.099998,38.82,1868100,34.320526
"19","AVT",2016-01-29,38.810001,39.990002,38.810001,39.919998,1985800,35.293041
"20","AVT",2016-02-01,39.470001,40.759998,39.380001,40.5,1588000,35.805817
"21","AVT",2016-02-02,39.889999,40.040001,39.189999,39.450001,1337400,34.877506
"22","AVT",2016-02-03,39.59,39.650002,38.709999,39.509998,2407100,34.930569
"23","AVT",2016-02-04,39.240002,40.689999,39.189999,40.439999,1084900,35.752754
"24","AVT",2016-02-05,40.439999,40.799999,39.950001,40.119999,1626900,35.46986
"25","AVT",2016-02-08,39.5,39.73,38.650002,39.369999,1436600,34.806789
"26","AVT",2016-02-09,38.849998,39.57,38.66,38.869999,1742800,34.364738
"27","AVT",2016-02-10,39.220001,39.84,39.119999,39.189999,883000,34.647648
"28","AVT",2016-02-11,38.599998,38.73,38.029999,38.220001,1522900,33.790077
"29","AVT",2016-02-12,38.439999,39.189999,38.279999,39,835300,34.479675
"30","AVT",2016-02-16,39.27,40.09,39.23,40.02,1069900,35.381447
"31","AVT",2016-02-17,40.16,40.91,39.93,40.77,906800,36.044521
"32","AVT",2016-02-18,41.07,42.290001,40.810001,41.360001,1332300,36.566139
"33","AVT",2016-02-19,41.07,41.279999,40.639999,41.279999,809100,36.495407
"34","AVT",2016-02-22,41.75,41.919998,41.27,41.639999,612000,36.813671
"35","AVT",2016-02-23,41.360001,41.560001,41.049999,41.060001,812900,36.3009
"36","AVT",2016-02-24,40.34,41.25,40.290001,41.220001,863400,36.442356
"37","AVT",2016-02-25,41.23,41.360001,40.759998,41.279999,783700,36.495407
"38","AVT",2016-02-26,41.290001,41.66,41.119999,41.439999,572600,36.788361
"39","AVT",2016-02-29,41.41,41.77,41.139999,41.150002,675100,36.530922
"40","AVT",2016-03-01,41.360001,42.259998,41.220001,41.799999,883800,37.107956
"41","AVT",2016-03-02,41.82,42.32,41.700001,41.939999,597500,37.232235
"42","AVT",2016-03-03,41.970001,42.57,41.82,42.529999,664900,37.756008
"43","AVT",2016-03-04,42.48,42.880001,42.27,42.810001,576900,38.004578
"44","AVT",2016-03-07,42.509998,43.150002,42.509998,43.119999,669000,38.279778
"45","AVT",2016-03-08,42.880001,42.900002,42.110001,42.490002,763800,37.720505
"46","AVT",2016-03-09,42.599998,42.990002,42.32,42.75,734500,37.951313
"47","AVT",2016-03-10,42.93,43.110001,42.029999,42.43,478000,37.667233
"48","AVT",2016-03-11,42.939999,43.5,42.82,43.41,670100,38.537235
"49","AVT",2016-03-14,43.18,43.389999,42.93,43,413300,38.173244
"50","AVT",2016-03-15,42.73,43,42.41,42.700001,438300,37.906929
"51","AVT",2016-03-16,42.650002,43.32,42.349998,43.200001,692500,38.350807
"52","AVT",2016-03-17,43.099998,43.540001,42.82,43.34,691900,38.475086
"53","AVT",2016-03-18,43.34,44.18,43.259998,43.880001,783500,38.954479
"54","AVT",2016-03-21,43.849998,44.09,43.599998,44,518000,39.061001
"55","AVT",2016-03-22,43.959999,44.950001,43.849998,44.73,1267900,39.709064
"56","AVT",2016-03-23,44.630001,44.630001,44.259998,44.389999,746900,39.407223
"57","AVT",2016-03-24,44.07,44.169998,43.740002,44.02,859700,39.078758
"58","AVT",2016-03-28,44.220001,44.220001,43.830002,43.919998,311300,38.989983
"59","AVT",2016-03-29,43.68,44.529999,43.450001,44.360001,1327900,39.380592
"60","AVT",2016-03-30,44.509998,44.59,44.07,44.240002,813700,39.274063
"61","AVT",2016-03-31,44.240002,44.450001,44.16,44.299999,712800,39.327328
"62","AVT",2016-04-01,43.950001,44.900002,43.630001,44.799999,851900,39.771194
"63","AVT",2016-04-04,44.75,44.77,43.950001,44.07,547000,39.123138
"64","AVT",2016-04-05,43.689999,43.91,43.549999,43.59,708100,38.697021
"65","AVT",2016-04-06,43.549999,44.18,43.43,44.09,559800,39.140907
"66","AVT",2016-04-07,43.790001,44,43.130001,43.349998,442600,38.483967
"67","AVT",2016-04-08,43.759998,44.009998,43.41,43.48,365200,38.599377
"68","AVT",2016-04-11,43.630001,44.18,43.16,43.540001,386100,38.652634
"69","AVT",2016-04-12,43.740002,44.119999,43.380001,43.900002,523100,38.972225
"70","AVT",2016-04-13,44.150002,44.759998,43.849998,44.75,502900,39.726814
"71","AVT",2016-04-14,44.619999,44.68,44.040001,44.349998,617000,39.371708
"72","AVT",2016-04-15,44.07,44.73,44.07,44.669998,1234600,39.655796
"73","AVT",2016-04-18,44.59,44.740002,44.290001,44.549999,513700,39.549259
"74","AVT",2016-04-19,44.790001,44.869999,44.009998,44.209999,837000,39.247429
"75","AVT",2016-04-20,44.16,44.509998,43.970001,44.279999,545100,39.30957
"76","AVT",2016-04-21,44.27,44.400002,43.849998,43.919998,339700,38.989983
"77","AVT",2016-04-22,43.73,44.290001,43.610001,43.849998,661200,38.927845
"78","AVT",2016-04-25,43.68,43.799999,43.41,43.630001,452400,38.732533
"79","AVT",2016-04-26,43.869999,44.66,43.57,44.389999,851900,39.407223
"80","AVT",2016-04-27,44.27,44.66,44.110001,44.66,623700,39.646919
"81","AVT",2016-04-28,44.240002,44.439999,41.810001,41.900002,2314500,37.196743
"82","AVT",2016-04-29,41.400002,41.5,40.299999,41.119999,1357200,36.504288
"83","AVT",2016-05-02,40.240002,40.470001,39.52,40.290001,1698500,35.767448
"84","AVT",2016-05-03,39.91,40.130001,39.619999,39.970001,1038200,35.483379
"85","AVT",2016-05-04,39.799999,40.5,39.75,39.849998,1228800,35.376835
"86","AVT",2016-05-05,39.970001,40.130001,39.43,39.470001,868800,35.039497
"87","AVT",2016-05-06,39.41,39.720001,39.099998,39.400002,1307200,34.977348
"88","AVT",2016-05-09,39.630001,39.720001,39.009998,39.040001,1504200,34.657753
"89","AVT",2016-05-10,39.07,39.810001,39,39.790001,1599100,35.323582
"90","AVT",2016-05-11,39.73,40.07,39.470001,39.5,973400,35.066128
"91","AVT",2016-05-12,39.75,39.75,38.349998,38.950001,1569600,34.577862
"92","AVT",2016-05-13,38.889999,39.25,38.740002,38.919998,1058700,34.551235
"93","AVT",2016-05-16,38.919998,39.759998,38.919998,39.43,1197400,35.00399
"94","AVT",2016-05-17,39.349998,39.75,39.09,39.200001,1008600,34.799809
"95","AVT",2016-05-18,39.02,39.740002,39.02,39.290001,715700,34.8797
"96","AVT",2016-05-19,38.93,39.240002,38.650002,38.990002,942100,34.613373
