"","symbol","date","open","high","low","close","volume","adjusted"
"1","AXGN",2016-01-04,4.92,5.11,4.91,5.05,86200,5.05
"2","AXGN",2016-01-05,5.05,5.05,4.91,5,41200,5
"3","AXGN",2016-01-06,4.93,5.05,4.91,5.01,54400,5.01
"4","AXGN",2016-01-07,4.97,5.11,4.91,5,89700,5
"5","AXGN",2016-01-08,5.01,5.05,4.93,5.01,99400,5.01
"6","AXGN",2016-01-11,5.01,5.01,4.85,4.99,74600,4.99
"7","AXGN",2016-01-12,5,5.04,4.74,4.91,72200,4.91
"8","AXGN",2016-01-13,4.89,4.9,4.65,4.81,89800,4.81
"9","AXGN",2016-01-14,4.84,4.87,4.54,4.78,133600,4.78
"10","AXGN",2016-01-15,4.63,4.71,4.52,4.61,68400,4.61
"11","AXGN",2016-01-19,4.62,4.86,4.58,4.83,113100,4.83
"12","AXGN",2016-01-20,4.72,5.05,4.56,5.02,120300,5.02
"13","AXGN",2016-01-21,4.9,5.19,4.67,5.04,125600,5.04
"14","AXGN",2016-01-22,5.06,5.13,4.84,5.01,127700,5.01
"15","AXGN",2016-01-25,4.96,4.99,4.8,4.82,39900,4.82
"16","AXGN",2016-01-26,4.81,5.1,4.68,5.03,32000,5.03
"17","AXGN",2016-01-27,4.98,5.02,4.75,4.76,16100,4.76
"18","AXGN",2016-01-28,4.83,4.84,4.69,4.81,42600,4.81
"19","AXGN",2016-01-29,4.85,5,4.85,4.96,28000,4.96
"20","AXGN",2016-02-01,4.99,5.1,4.94,5.07,31700,5.07
"21","AXGN",2016-02-02,5.03,5.1,5,5,18300,5
"22","AXGN",2016-02-03,5.06,5.06,4.97,5.01,15600,5.01
"23","AXGN",2016-02-04,5,5.07,5,5.03,24300,5.03
"24","AXGN",2016-02-05,5.03,5.07,4.99,5.06,40500,5.06
"25","AXGN",2016-02-08,5.06,5.06,4.9,5.06,54100,5.06
"26","AXGN",2016-02-09,4.96,4.96,4.8,4.95,34400,4.95
"27","AXGN",2016-02-10,4.95,4.95,4.83,4.94,38300,4.94
"28","AXGN",2016-02-11,4.86,5.06,4.8,5,42900,5
"29","AXGN",2016-02-12,5,5,4.82,4.82,29300,4.82
"30","AXGN",2016-02-16,4.93,4.93,4.76,4.78,19800,4.78
"31","AXGN",2016-02-17,4.8,4.98,4.8,4.93,19500,4.93
"32","AXGN",2016-02-18,4.88,5,4.88,4.95,16300,4.95
"33","AXGN",2016-02-19,4.96,5.05,4.92,5.02,16200,5.02
"34","AXGN",2016-02-22,5.03,5.1,4.97,5.09,64100,5.09
"35","AXGN",2016-02-23,5.05,5.29,5.05,5.25,70600,5.25
"36","AXGN",2016-02-24,5.25,5.28,5.17,5.25,73100,5.25
"37","AXGN",2016-02-25,5.23,5.3,5.23,5.26,52600,5.26
"38","AXGN",2016-02-26,5.29,5.37,5.26,5.29,190800,5.29
"39","AXGN",2016-02-29,5.32,5.32,5.16,5.2,74400,5.2
"40","AXGN",2016-03-01,5.4,5.5,4.87,5.04,144300,5.04
"41","AXGN",2016-03-02,5.08,5.15,5.04,5.13,22300,5.13
"42","AXGN",2016-03-03,5.09,5.38,5.01,5.31,24100,5.31
"43","AXGN",2016-03-04,5.42,5.42,4.9,5.11,109100,5.11
"44","AXGN",2016-03-07,5.15,5.24,4.94,5.18,39700,5.18
"45","AXGN",2016-03-08,5.13,5.18,5.07,5.1,15900,5.1
"46","AXGN",2016-03-09,5.15,5.2,5.01,5.19,18400,5.19
"47","AXGN",2016-03-10,5.19,5.35,5.15,5.17,35100,5.17
"48","AXGN",2016-03-11,5.18,5.35,4.96,5.14,75800,5.14
"49","AXGN",2016-03-14,5.1,5.35,5.1,5.3,28500,5.3
"50","AXGN",2016-03-15,5.3,5.34,5.21,5.21,25300,5.21
"51","AXGN",2016-03-16,5.18,5.21,5.12,5.2,13200,5.2
"52","AXGN",2016-03-17,5.2,5.23,5.11,5.2,44200,5.2
"53","AXGN",2016-03-18,5.16,5.37,5.16,5.3,54200,5.3
"54","AXGN",2016-03-21,5.26,5.29,5.1,5.22,65200,5.22
"55","AXGN",2016-03-22,5.17,5.22,5.12,5.2,27600,5.2
"56","AXGN",2016-03-23,5.15,5.31,5.11,5.3,68700,5.3
"57","AXGN",2016-03-24,5.29,5.6,5.25,5.44,296800,5.44
"58","AXGN",2016-03-28,5.51,5.58,5.38,5.41,193700,5.41
"59","AXGN",2016-03-29,5.41,5.41,5.38,5.39,44200,5.39
"60","AXGN",2016-03-30,5.39,5.42,5.31,5.37,78000,5.37
"61","AXGN",2016-03-31,5.33,5.51,5.27,5.36,83400,5.36
"62","AXGN",2016-04-01,5.41,5.46,5.37,5.39,39800,5.39
"63","AXGN",2016-04-04,5.43,5.44,5.2,5.25,71700,5.25
"64","AXGN",2016-04-05,5.3,5.3,4.9,5.15,101800,5.15
"65","AXGN",2016-04-06,5.2,5.28,5.12,5.24,73900,5.24
"66","AXGN",2016-04-07,5.2,5.31,5.2,5.25,67200,5.25
"67","AXGN",2016-04-08,5.26,5.54,5.25,5.3,134800,5.3
"68","AXGN",2016-04-11,5.35,5.35,5.26,5.29,51500,5.29
"69","AXGN",2016-04-12,5.3,5.3,5.26,5.29,29800,5.29
"70","AXGN",2016-04-13,5.3,5.38,5.2,5.3,55900,5.3
"71","AXGN",2016-04-14,5.31,5.49,5.27,5.38,124900,5.38
"72","AXGN",2016-04-15,5.4,5.46,5.33,5.39,130900,5.39
"73","AXGN",2016-04-18,5.43,5.46,5.32,5.38,85200,5.38
"74","AXGN",2016-04-19,5.38,5.67,5.34,5.45,251900,5.45
"75","AXGN",2016-04-20,5.45,5.73,5.45,5.55,180400,5.55
"76","AXGN",2016-04-21,5.57,5.61,5.4,5.46,143400,5.46
"77","AXGN",2016-04-22,5.5,5.68,5.4,5.5,103500,5.5
"78","AXGN",2016-04-25,5.49,5.54,5.42,5.49,81100,5.49
"79","AXGN",2016-04-26,5.5,5.54,5.47,5.5,105700,5.5
"80","AXGN",2016-04-27,5.5,5.58,5.48,5.56,156600,5.56
"81","AXGN",2016-04-28,5.52,5.93,5.52,5.71,559500,5.71
"82","AXGN",2016-04-29,5.73,6.08,5.7,5.82,339200,5.82
"83","AXGN",2016-05-02,5.89,6.02,5.6,5.72,168400,5.72
"84","AXGN",2016-05-03,5.72,5.74,5.5,5.68,102900,5.68
"85","AXGN",2016-05-04,5.72,5.85,5.61,5.75,100400,5.75
"86","AXGN",2016-05-05,5.72,5.95,5.56,5.66,126800,5.66
"87","AXGN",2016-05-06,5.68,5.8,5.57,5.65,44600,5.65
"88","AXGN",2016-05-09,5.59,5.89,5.46,5.81,117400,5.81
"89","AXGN",2016-05-10,5.79,5.85,5.6,5.69,64600,5.69
"90","AXGN",2016-05-11,5.7,5.76,5.63,5.68,36300,5.68
"91","AXGN",2016-05-12,5.68,5.68,5.42,5.49,98100,5.49
"92","AXGN",2016-05-13,5.45,5.54,5.27,5.32,154200,5.32
"93","AXGN",2016-05-16,5.36,5.48,5.27,5.43,87600,5.43
"94","AXGN",2016-05-17,5.44,5.46,5.26,5.28,113900,5.28
"95","AXGN",2016-05-18,5.28,5.4,5.26,5.37,142600,5.37
"96","AXGN",2016-05-19,5.37,5.42,5.23,5.24,82200,5.24
"97","AXGN",2016-05-20,5.29,5.5,5.25,5.45,46000,5.45
"98","AXGN",2016-05-23,5.45,5.47,5.37,5.45,33100,5.45
"99","AXGN",2016-05-24,5.44,5.49,5.38,5.45,53500,5.45
"100","AXGN",2016-05-25,5.42,5.53,5.3,5.4,88300,5.4
"101","AXGN",2016-05-26,5.37,5.5,5.35,5.45,27300,5.45
"102","AXGN",2016-05-27,5.46,5.61,5.4,5.56,54300,5.56
"103","AXGN",2016-05-31,5.6,5.69,5.5,5.56,36100,5.56
"104","AXGN",2016-06-01,5.55,5.75,5.51,5.73,56800,5.73
"105","AXGN",2016-06-02,5.66,5.75,5.66,5.75,46800,5.75
"106","AXGN",2016-06-03,5.78,5.8,5.67,5.72,105600,5.72
"107","AXGN",2016-06-06,5.81,5.89,5.71,5.83,78000,5.83
"108","AXGN",2016-06-07,5.8,5.88,5.76,5.78,72600,5.78
"109","AXGN",2016-06-08,5.81,5.89,5.75,5.82,81600,5.82
"110","AXGN",2016-06-09,5.82,5.87,5.81,5.84,61200,5.84
"111","AXGN",2016-06-10,5.86,5.86,5.73,5.77,57600,5.77
"112","AXGN",2016-06-13,5.8,5.88,5.61,5.65,111900,5.65
"113","AXGN",2016-06-14,5.62,5.67,5.36,5.53,102800,5.53
"114","AXGN",2016-06-15,5.57,5.68,5.52,5.63,53400,5.63
"115","AXGN",2016-06-16,5.61,5.67,5.55,5.66,75800,5.66
"116","AXGN",2016-06-17,5.61,5.9,5.55,5.9,402000,5.9
"117","AXGN",2016-06-20,5.86,6.26,5.86,6.12,574600,6.12
"118","AXGN",2016-06-21,6.3,6.33,5.95,6.3,360200,6.3
"119","AXGN",2016-06-22,6.3,6.4,6.12,6.3,294200,6.3
"120","AXGN",2016-06-23,6.38,6.4,6.23,6.32,232200,6.32
"121","AXGN",2016-06-24,6.16,6.32,6.01,6.22,2577300,6.22
"122","AXGN",2016-06-27,6.17,6.35,6.17,6.24,177400,6.24
"123","AXGN",2016-06-28,6.3,6.83,6.3,6.58,364500,6.58
"124","AXGN",2016-06-29,6.63,6.78,6.5,6.65,175700,6.65
"125","AXGN",2016-06-30,6.7,6.88,6.55,6.88,171700,6.88
"126","AXGN",2016-07-01,6.9,7,6.8,6.97,190400,6.97
"127","AXGN",2016-07-05,6.96,7.25,6.9,7.12,179000,7.12
"128","AXGN",2016-07-06,7.18,7.18,6.93,7.02,134500,7.02
"129","AXGN",2016-07-07,7.13,7.35,7.03,7.23,135200,7.23
"130","AXGN",2016-07-08,7.31,7.66,7.25,7.64,331900,7.64
"131","AXGN",2016-07-11,7.73,7.97,7.68,7.86,310100,7.86
"132","AXGN",2016-07-12,7.89,7.95,7.64,7.65,424000,7.65
"133","AXGN",2016-07-13,7.7,7.81,7.61,7.78,232100,7.78
"134","AXGN",2016-07-14,7.82,7.89,7.57,7.63,394200,7.63
"135","AXGN",2016-07-15,7.68,7.68,6.85,6.92,449400,6.92
"136","AXGN",2016-07-18,6.87,6.99,6.72,6.85,198100,6.85
"137","AXGN",2016-07-19,6.8,6.92,6.71,6.84,72000,6.84
"138","AXGN",2016-07-20,6.91,7.02,6.8,6.99,116500,6.99
"139","AXGN",2016-07-21,6.97,7.03,6.48,6.64,286900,6.64
"140","AXGN",2016-07-22,6.61,6.71,6.51,6.61,87800,6.61
"141","AXGN",2016-07-25,6.57,6.68,6.41,6.49,124300,6.49
"142","AXGN",2016-07-26,6.52,6.67,6.45,6.64,206600,6.64
"143","AXGN",2016-07-27,6.64,6.8,6.48,6.72,123700,6.72
"144","AXGN",2016-07-28,6.72,6.76,6.52,6.72,187200,6.72
"145","AXGN",2016-07-29,6.8,6.85,6.65,6.72,212300,6.72
"146","AXGN",2016-08-01,6.68,6.77,6.6,6.64,108100,6.64
"147","AXGN",2016-08-02,6.6,6.76,6.52,6.69,227100,6.69
"148","AXGN",2016-08-03,6.69,7.21,6.51,7.18,344000,7.18
"149","AXGN",2016-08-04,8.04,8.95,7.93,8.37,1550500,8.37
"150","AXGN",2016-08-05,8.45,8.7,8.32,8.53,450900,8.53
"151","AXGN",2016-08-08,8.62,8.75,8.33,8.44,316100,8.44
"152","AXGN",2016-08-09,8.39,8.5,8.16,8.3,238800,8.3
"153","AXGN",2016-08-10,8.29,8.42,8.09,8.26,207600,8.26
"154","AXGN",2016-08-11,8.27,9.1,8.16,8.95,386900,8.95
"155","AXGN",2016-08-12,9.01,9.16,8.94,9.07,201800,9.07
"156","AXGN",2016-08-15,8.98,9.24,8.88,8.91,286700,8.91
"157","AXGN",2016-08-16,8.9,8.98,8.55,8.76,173100,8.76
"158","AXGN",2016-08-17,8.79,9,8.69,8.97,141800,8.97
"159","AXGN",2016-08-18,8.92,8.97,8.88,8.97,109900,8.97
"160","AXGN",2016-08-19,8.97,9.18,8.89,9.02,200200,9.02
"161","AXGN",2016-08-22,9.09,9.17,8.83,8.93,115400,8.93
"162","AXGN",2016-08-23,8.89,9.05,8.86,8.94,71400,8.94
"163","AXGN",2016-08-24,8.97,9.05,8.77,8.82,113700,8.82
