"","symbol","date","open","high","low","close","volume","adjusted"
"1","AXTA",2016-01-04,26.25,26.27,25.65,25.84,1691700,25.84
"2","AXTA",2016-01-05,26.030001,26.200001,25.719999,26.01,1461300,26.01
"3","AXTA",2016-01-06,25.68,25.809999,25.33,25.639999,1650200,25.639999
"4","AXTA",2016-01-07,25,25.68,24.895,25,2874000,25
"5","AXTA",2016-01-08,25.129999,25.360001,24.74,24.93,1803400,24.93
"6","AXTA",2016-01-11,24.99,25.139999,24.74,25.129999,2407400,25.129999
"7","AXTA",2016-01-12,25.32,25.74,25.309999,25.700001,2611500,25.700001
"8","AXTA",2016-01-13,25.83,25.860001,24.93,25.059999,2959600,25.059999
"9","AXTA",2016-01-14,25.049999,25.17,24.18,24.82,2394600,24.82
"10","AXTA",2016-01-15,24.370001,24.370001,23.27,23.75,2682300,23.75
"11","AXTA",2016-01-19,24,24.01,22.41,22.690001,2596300,22.690001
"12","AXTA",2016-01-20,22.309999,23.389999,21.73,23.129999,3472500,23.129999
"13","AXTA",2016-01-21,23.01,23.620001,22.93,23.16,2633900,23.16
"14","AXTA",2016-01-22,23.58,24,23.280001,23.57,1728200,23.57
"15","AXTA",2016-01-25,23.52,23.82,23.450001,23.51,1651600,23.51
"16","AXTA",2016-01-26,23.690001,24.24,23.610001,24.030001,1955700,24.030001
"17","AXTA",2016-01-27,23.959999,23.969999,23.370001,23.42,1185000,23.42
"18","AXTA",2016-01-28,23.59,23.76,23.040001,23.129999,979700,23.129999
"19","AXTA",2016-01-29,23.23,23.809999,23.139999,23.809999,2657700,23.809999
"20","AXTA",2016-02-01,23.85,24.65,23.549999,24.620001,3092400,24.620001
"21","AXTA",2016-02-02,24.389999,24.395,22.99,23.24,3531600,23.24
"22","AXTA",2016-02-03,23.469999,23.709999,23.139999,23.440001,2571100,23.440001
"23","AXTA",2016-02-04,23.389999,24.030001,23.190001,23.4,3498000,23.4
"24","AXTA",2016-02-05,23.4,23.440001,22.309999,22.940001,3346700,22.940001
"25","AXTA",2016-02-08,22.389999,22.389999,21.040001,21.049999,4286600,21.049999
"26","AXTA",2016-02-09,20.940001,22,20.67,21.76,5251800,21.76
"27","AXTA",2016-02-10,22.209999,24.559999,22.209999,23.58,3999500,23.58
"28","AXTA",2016-02-11,23.02,23.764999,22.719999,23.450001,2569900,23.450001
"29","AXTA",2016-02-12,23.6,23.68,22.99,23.379999,1465600,23.379999
"30","AXTA",2016-02-16,24,24.700001,23.799999,24.549999,2016200,24.549999
"31","AXTA",2016-02-17,24.809999,25.530001,24.68,25.030001,2079500,25.030001
"32","AXTA",2016-02-18,25.030001,25.09,24.610001,24.85,1227400,24.85
"33","AXTA",2016-02-19,24.790001,24.888,24.48,24.76,1051200,24.76
"34","AXTA",2016-02-22,25.049999,25.280001,24.84,25.209999,1183400,25.209999
"35","AXTA",2016-02-23,25.110001,25.27,24.629999,24.82,766300,24.82
"36","AXTA",2016-02-24,24.58,24.98,24.440001,24.940001,1116500,24.940001
"37","AXTA",2016-02-25,24.969999,25.280001,24.610001,25.26,691000,25.26
"38","AXTA",2016-02-26,25.389999,25.91,25.370001,25.870001,778600,25.870001
"39","AXTA",2016-02-29,25.98,26.450001,25.83,25.959999,1637600,25.959999
"40","AXTA",2016-03-01,26.26,26.35,25.799999,26.290001,1607400,26.290001
"41","AXTA",2016-03-02,26.299999,26.370001,25.879999,26.24,1337200,26.24
"42","AXTA",2016-03-03,26.23,26.59,26.049999,26.280001,2577900,26.280001
"43","AXTA",2016-03-04,26.309999,26.530001,26.01,26.18,1321600,26.18
"44","AXTA",2016-03-07,26.139999,27.08,26.049999,27,1988100,27
"45","AXTA",2016-03-08,26.799999,26.809999,25.99,25.99,1117100,25.99
"46","AXTA",2016-03-09,26.049999,26.76,26.049999,26.67,2855100,26.67
"47","AXTA",2016-03-10,27,27.389999,26.559999,26.67,2968800,26.67
"48","AXTA",2016-03-11,26.91,27.299999,26.82,27.110001,1444500,27.110001
"49","AXTA",2016-03-14,26.98,27.15,26.74,26.959999,670800,26.959999
"50","AXTA",2016-03-15,26.75,27.08,26.389999,27.040001,759600,27.040001
"51","AXTA",2016-03-16,26.959999,27.530001,26.959999,27.370001,1191700,27.370001
"52","AXTA",2016-03-17,27.41,28.049999,27.200001,28.02,1293200,28.02
"53","AXTA",2016-03-18,28.120001,28.57,28.08,28.32,1998400,28.32
