"","symbol","date","open","high","low","close","volume","adjusted"
"1","BAC",2016-01-04,16.450001,16.49,16.25,16.43,114888000,14.609235
"2","BAC",2016-01-05,16.52,16.59,16.23,16.43,66670000,14.609235
"3","BAC",2016-01-06,16.190001,16.290001,16.02,16.08,102760800,14.29802
"4","BAC",2016-01-07,15.73,15.9,15.44,15.5,116255900,13.782297
"5","BAC",2016-01-08,15.94,15.94,15.16,15.2,124782400,13.515544
"6","BAC",2016-01-11,15.26,15.37,14.94,15.31,104611700,13.613353
"7","BAC",2016-01-12,15.54,15.58,15.06,15.31,100023500,13.613353
"8","BAC",2016-01-13,15.47,15.52,14.85,14.9,119413000,13.248789
"9","BAC",2016-01-14,15.01,15.2,14.65,14.99,125920000,13.328815
"10","BAC",2016-01-15,14.41,14.66,14.13,14.46,172296100,12.857549
"11","BAC",2016-01-19,14.69,14.79,14.01,14.24,185727400,12.661929
"12","BAC",2016-01-20,13.79,14,13.27,13.69,250537600,12.172877
"13","BAC",2016-01-21,13.67,13.84,13.25,13.36,188976000,11.87945
"14","BAC",2016-01-22,13.65,13.72,13.47,13.56,169999800,12.057287
"15","BAC",2016-01-25,13.54,13.55,12.94,12.96,186419100,11.52378
"16","BAC",2016-01-26,13.07,13.35,13.04,13.31,124246900,11.834993
"17","BAC",2016-01-27,13.2,13.73,13.19,13.36,124095800,11.87945
"18","BAC",2016-01-28,13.59,13.71,13.26,13.53,110996200,12.03061
"19","BAC",2016-01-29,13.66,14.15,13.59,14.14,159984100,12.573014
"20","BAC",2016-02-01,14.05,14.09,13.8,13.96,105739400,12.412959
"21","BAC",2016-02-02,13.74,13.75,13.13,13.23,147101200,11.76386
"22","BAC",2016-02-03,13.28,13.29,12.52,13.03,257664600,11.586023
"23","BAC",2016-02-04,12.89,13.59,12.89,13.25,179394400,11.781643
"24","BAC",2016-02-05,13.32,13.39,12.89,12.95,125842800,11.514888
"25","BAC",2016-02-08,12.67,12.7,12.13,12.27,221363600,10.910244
"26","BAC",2016-02-09,11.99,12.43,11.96,12.2,247349000,10.848001
"27","BAC",2016-02-10,12.42,12.54,11.91,11.98,227530000,10.652381
