"","symbol","date","open","high","low","close","volume","adjusted"
"1","BA",2016-01-04,141.380005,141.699997,139.429993,140.5,5719500,126.005127
"2","BA",2016-01-05,140.990005,141.699997,139.770004,141.070007,3357000,126.516296
"3","BA",2016-01-06,138.830002,139.350006,137.259995,138.830002,4254100,124.507378
"4","BA",2016-01-07,136.380005,136.669998,132.509995,133.009995,7013700,119.287804
"5","BA",2016-01-08,133.699997,135.100006,129.800003,129.990005,5776900,116.579376
"6","BA",2016-01-11,130.850006,131,128.919998,130.210007,5551500,116.776695
"7","BA",2016-01-12,131.580002,132.169998,129.639999,131.919998,4171500,118.310287
"8","BA",2016-01-13,132.699997,132.880005,127.75,128.119995,5073100,114.902306
"9","BA",2016-01-14,129.589996,130.070007,125.809998,129.199997,6517800,115.870888
"10","BA",2016-01-15,125.800003,127.139999,124.510002,125.629997,6678400,112.669189
"11","BA",2016-01-19,127.059998,127.220001,125.110001,126.059998,5478900,113.05484
"12","BA",2016-01-20,124,124.940002,119.82,122.139999,7636600,109.539238
"13","BA",2016-01-21,122.769997,125.980003,121.540001,123.400002,5546200,110.669258
"14","BA",2016-01-22,124.419998,125.68,123.32,124.610001,5259900,111.754433
"15","BA",2016-01-25,124.599998,125.239998,123.400002,124.010002,4551600,111.216324
"16","BA",2016-01-26,124.980003,128.149994,124.5,128.009995,5432600,114.803635
"17","BA",2016-01-27,119.900002,120.110001,115.019997,116.580002,27945900,104.552849
"18","BA",2016-01-28,117.099998,118.029999,115.059998,118.010002,10708400,105.83532
"19","BA",2016-01-29,118.139999,120.18,118.019997,120.129997,9195700,107.736603
"20","BA",2016-02-01,119.639999,122.290001,118.650002,121.559998,6812800,109.019089
"21","BA",2016-02-02,119.690002,120.279999,117.370003,117.519997,8646700,105.395874
"22","BA",2016-02-03,118.800003,122.129997,117.150002,121.870003,7361900,109.297096
"23","BA",2016-02-04,121.120003,124.910004,121.120003,123.610001,5837000,110.85759
"24","BA",2016-02-05,123.629997,124.169998,121.029999,122.559998,6186700,109.915916
"25","BA",2016-02-08,120.669998,121.330002,117.25,119.470001,6453600,107.144707
"26","BA",2016-02-09,117.980003,119.980003,117.43,118.879997,4137600,106.615547
"27","BA",2016-02-10,118.160004,119.459999,116.269997,116.360001,4888600,105.321236
"28","BA",2016-02-11,113.18,113.400002,102.099998,108.440002,33735600,98.152588
"29","BA",2016-02-12,105.120003,109.839996,105,108.629997,12973400,98.324554
"30","BA",2016-02-16,109.730003,112.760002,109,112.599998,7587700,101.917938
"31","BA",2016-02-17,114.029999,116.830002,113.989998,116.339996,6619600,105.303131
"32","BA",2016-02-18,116.910004,118.230003,116.68,117.57,6489000,106.416428
"33","BA",2016-02-19,117.309998,117.330002,114.419998,115.160004,6920600,104.235062
"34","BA",2016-02-22,115.160004,118.970001,115.160004,117.389999,4930300,106.25351
"35","BA",2016-02-23,116.970001,118.5,115.93,116.900002,3762300,105.810005
"36","BA",2016-02-24,115.370003,115.959999,112.510002,115.589996,6859300,104.624283
"37","BA",2016-02-25,116.349998,117.599998,115.779999,116.82,4667100,105.737595
"38","BA",2016-02-26,117.75,119.449997,117.5,118.160004,3757800,106.950478
"39","BA",2016-02-29,118.120003,119.470001,117.5,118.18,4569700,106.968575
"40","BA",2016-03-01,119.010002,120.989998,118.25,119.959999,4595400,108.57972
"41","BA",2016-03-02,119.629997,120.75,118.5,119.650002,4292500,108.299103
"42","BA",2016-03-03,118.839996,119.730003,118.25,119.610001,3404600,108.262924
"43","BA",2016-03-04,120.169998,122.230003,119.849998,121.07,4421500,109.584396
"44","BA",2016-03-07,120.800003,123.32,120.57,122.900002,4504700,111.240784
"45","BA",2016-03-08,121.980003,122.970001,121.309998,122.349998,5257300,110.742966
"46","BA",2016-03-09,122.379997,123.260002,122.029999,122.860001,3380300,111.204582
"47","BA",2016-03-10,123.139999,123.82,121.43,122.940002,4111300,111.277023
"48","BA",2016-03-11,124.129997,125.5,123.860001,124.629997,3260100,112.806671
"49","BA",2016-03-14,123.93,127,123.860001,126.339996,4283400,114.354454
"50","BA",2016-03-15,125.550003,126.370003,124.209999,126.360001,3717500,114.372559
"51","BA",2016-03-16,126.239998,128.130005,125.75,127.57,5154700,115.467773
"52","BA",2016-03-17,128.070007,131.600006,127.419998,130.699997,5801000,118.300827
"53","BA",2016-03-18,131.240005,134.679993,131.009995,133.960007,9108400,121.251556
"54","BA",2016-03-21,133.460007,136.779999,133.389999,135.860001,5671400,122.971291
