"","symbol","date","open","high","low","close","volume","adjusted"
"1","BBU",2016-06-01,23,25,23,25,200,24.074644
"2","BBU",2016-06-02,25,25,25,25,0,24.074644
"3","BBU",2016-06-03,25,25,25,25,0,24.074644
"4","BBU",2016-06-06,25,25,25,25,0,24.074644
"5","BBU",2016-06-07,25,25,25,25,0,24.074644
"6","BBU",2016-06-08,25,25,25,25,0,24.074644
"7","BBU",2016-06-09,25,25,25,25,0,24.074644
"8","BBU",2016-06-10,25,25.575001,25,25.575001,3900,24.628372
"9","BBU",2016-06-13,25.200001,25.200001,25.200001,25.200001,400,24.267242
"10","BBU",2016-06-14,25.01,25.398001,25.01,25.395,1800,24.455023
"11","BBU",2016-06-15,25.280001,26,25,26,1300,25.03763
"12","BBU",2016-06-16,25.5,26.99,25.5,26.49,19500,25.509491
"13","BBU",2016-06-17,27.5,31.02,27.5,29.280001,13400,28.196224
"14","BBU",2016-06-20,28.23,28.23,21.34,21.469999,264000,20.675306
"15","BBU",2016-06-21,21.99,22.32,21,21.5,186500,20.704193
"16","BBU",2016-06-22,21.280001,21.280001,20.389999,20.93,210400,20.155291
"17","BBU",2016-06-23,21,21.35,20.620001,20.620001,118500,19.856762
"18","BBU",2016-06-24,19.610001,20.219999,19.32,19.950001,140000,19.211563
"19","BBU",2016-06-27,19.889999,19.940001,18.15,18.5,214600,17.815241
"20","BBU",2016-06-28,18.52,18.83,18.02,18.34,289200,17.661161
"21","BBU",2016-06-29,18.370001,18.690001,18.01,18.34,320700,17.661161
"22","BBU",2016-06-30,18.540001,19.129999,18.26,19.09,119800,18.383396
"23","BBU",2016-07-01,19.1,19.120001,18.309999,18.49,49600,17.805607
"24","BBU",2016-07-05,18.59,19.17,18.59,18.66,109400,17.969316
"25","BBU",2016-07-06,18.59,19.049999,18.42,19.030001,55600,18.325624
"26","BBU",2016-07-07,19.309999,19.309999,18.57,18.610001,39800,17.921169
"27","BBU",2016-07-08,18.549999,18.870001,18.549999,18.65,36100,17.959684
"28","BBU",2016-07-11,18.549999,18.790001,18.360001,18.68,39000,17.988571
"29","BBU",2016-07-12,18.719999,19.07,18.690001,19.02,53900,18.31599
"30","BBU",2016-07-13,19.32,19.889999,19.120001,19.49,165400,18.768593
"31","BBU",2016-07-14,19.73,21.290001,19.73,21.09,74400,20.30937
"32","BBU",2016-07-15,21.030001,21.41,20.83,21.209999,124300,20.424927
"33","BBU",2016-07-18,21.370001,21.620001,20.84,21.41,39000,20.617527
"34","BBU",2016-07-19,21.32,21.530001,21.08,21.370001,43200,20.57901
"35","BBU",2016-07-20,21.290001,21.530001,20.975,21.32,25300,20.530859
"36","BBU",2016-07-21,21.48,21.59,21.240999,21.32,15600,20.530859
"37","BBU",2016-07-22,21.290001,21.32,20.85,21.07,63700,20.290108
"38","BBU",2016-07-25,21.24,21.24,20.879999,21.09,17500,20.30937
"39","BBU",2016-07-26,21,21.25,20.959999,21.190001,10800,20.405666
"40","BBU",2016-07-27,20.950001,21.110001,20.93,21.049999,28600,20.270851
"41","BBU",2016-07-28,21,21.25,20.959999,21.110001,11400,20.328636
"42","BBU",2016-07-29,21.200001,21.483999,21.139999,21.32,11800,20.530859
"43","BBU",2016-08-01,21.26,21.292,20.98,20.98,14600,20.203438
"44","BBU",2016-08-02,21.02,21.35,20.43,20.469999,122100,19.712318
"45","BBU",2016-08-03,20.07,20.440001,20,20,83700,19.259712
"46","BBU",2016-08-04,20.41,20.76,20.101,20.58,44500,19.818241
"47","BBU",2016-08-05,20.549999,21,20.35,21,35500,20.222702
"48","BBU",2016-08-08,20.73,21.99,20.73,21.99,20200,21.17606
"49","BBU",2016-08-09,22,22.32,21.865,22.190001,10700,21.368652
"50","BBU",2016-08-10,22.200001,22.84,22.200001,22.610001,18300,21.773109
"51","BBU",2016-08-11,22.559999,22.92,22.32,22.459999,12300,21.62866
"52","BBU",2016-08-12,22.379999,22.465,22.040001,22.049999,15000,21.233833
"53","BBU",2016-08-15,22.110001,22.110001,21.309999,21.540001,49300,20.742714
"54","BBU",2016-08-16,21.530001,21.677999,21.190001,21.35,39400,20.559748
"55","BBU",2016-08-17,21.26,21.370001,21.120001,21.280001,23700,20.492334
"56","BBU",2016-08-18,21.360001,21.379999,21.15,21.27,66300,20.48271
"57","BBU",2016-08-19,21.17,21.49,20.51,20.51,32700,19.750839
"58","BBU",2016-08-22,21.139999,21.43,21.1,21.23,20200,20.444189
"59","BBU",2016-08-23,21.24,21.629999,21.24,21.35,36600,20.559748
"60","BBU",2016-08-24,21.34,22.17,21.34,21.93,32900,21.118282
"61","BBU",2016-08-25,21.870001,22.645,21.809999,22.309999,17200,21.484213
"62","BBU",2016-08-26,22.5,22.860001,22.5,22.57,12700,21.734589
"63","BBU",2016-08-29,22.59,23.27,22.549999,23.08,23600,22.225708
"64","BBU",2016-08-30,23.08,23.190001,22.860001,23.030001,43300,22.177561
"65","BBU",2016-08-31,23.09,23.09,22.709999,23.09,30300,22.23534
"66","BBU",2016-09-01,22.74,23.049,22.74,22.92,6100,22.071638
"67","BBU",2016-09-02,23.02,23.228001,23.02,23.139999,15800,22.283491
"68","BBU",2016-09-06,23.360001,23.82,23.27,23.780001,15000,22.899801
"69","BBU",2016-09-07,23.719999,23.82,23.049999,23.049999,17500,22.196815
"70","BBU",2016-09-08,23.5,23.815001,23.5,23.700001,7800,22.822765
"71","BBU",2016-09-09,23.469999,23.67,23.139999,23.139999,6700,22.283491
"72","BBU",2016-09-12,23.48,23.48,23.129999,23.24,6500,22.379789
"73","BBU",2016-09-13,23.049999,23.219999,22.620001,22.620001,6200,21.782738
"74","BBU",2016-09-14,22.559999,22.76,22.26,22.73,8200,21.888664
"75","BBU",2016-09-15,22.51,23.01,22.389999,22.549999,20300,21.715328
"76","BBU",2016-09-16,22.49,23.450001,22.43,23.120001,17000,22.264233
"77","BBU",2016-09-19,22.719999,23,22.219999,23,11900,22.148668
"78","BBU",2016-09-20,22.809999,23,22.563,22.99,12200,22.139038
"79","BBU",2016-09-21,22.76,23.09,22.73,22.950001,9400,22.100521
"80","BBU",2016-09-22,23.15,23.190001,22.82,23.030001,18800,22.177561
"81","BBU",2016-09-23,22.969999,23.110001,22.76,22.969999,16100,22.119781
"82","BBU",2016-09-26,22.969999,23.139999,22.959,23,16500,22.148668
"83","BBU",2016-09-27,23,23.92,22.91,23.9,8100,23.01536
"84","BBU",2016-09-28,23.77,25.120001,23.610001,25,27600,24.074644
"85","BBU",2016-09-29,24.959999,26.870001,24.933001,25.76,88100,24.806513
"86","BBU",2016-09-30,26.27,26.459999,25.76,26.43,24100,25.451712
"87","BBU",2016-10-03,26.33,26.33,25.299999,25.67,12500,24.719843
"88","BBU",2016-10-04,25.68,25.68,24.83,25.01,10700,24.084272
"89","BBU",2016-10-05,24.889999,25.589001,24.790001,24.790001,7900,23.872419
"90","BBU",2016-10-06,25.34,25.459999,25.07,25.440001,10800,24.498362
"91","BBU",2016-10-07,25.42,25.48,24.73,24.73,7000,23.814638
"92","BBU",2016-10-10,25.049999,25.299999,25.049999,25.23,10900,24.296129
"93","BBU",2016-10-11,24.98,25.129999,24.65,24.66,5800,23.747232
"94","BBU",2016-10-12,24.65,24.65,24.299999,24.299999,4900,23.40056
"95","BBU",2016-10-13,24.219999,24.440001,24.219999,24.24,3600,23.342773
"96","BBU",2016-10-14,24.389999,24.389999,24.09,24.09,7400,23.198324
"97","BBU",2016-10-17,24.049999,24.059999,23.440001,23.440001,9900,22.572388
"98","BBU",2016-10-18,23.65,24.049999,23.469999,24.01,11900,23.121284
"99","BBU",2016-10-19,24.09,24.309999,23.879999,24,21000,23.111658
"100","BBU",2016-10-20,24.02,24.43,23.73,24.200001,14000,23.304258
"101","BBU",2016-10-21,24,24.222,23.91,24,8200,23.111658
"102","BBU",2016-10-24,24.280001,24.280001,23.85,23.85,3100,22.967209
"103","BBU",2016-10-25,23.93,24.1,23.782,23.870001,16000,22.986471
