"","symbol","date","open","high","low","close","volume","adjusted"
"1","BKU",2016-01-04,35.34,35.52,34.790001,35.48,1080900,30.110758
"2","BKU",2016-01-05,35.560001,35.799999,35.349998,35.450001,826500,30.085299
"3","BKU",2016-01-06,34.790001,35.330002,34.57,35.169998,1094200,29.847673
"4","BKU",2016-01-07,34.529999,34.830002,34.16,34.16,867800,28.99052
"5","BKU",2016-01-08,34.529999,34.57,33.459999,33.630001,1256600,28.540726
"6","BKU",2016-01-11,33.689999,34.07,33.470001,33.700001,1392800,28.600138
"7","BKU",2016-01-12,34.040001,34.130001,33.529999,33.82,1662700,28.701969
"8","BKU",2016-01-13,33.599998,34.450001,32.389999,32.459999,1719700,27.719904
"9","BKU",2016-01-14,33.27,33.610001,32.700001,33.34,1367200,28.471403
"10","BKU",2016-01-15,32.389999,33.040001,32.189999,32.970001,1246900,28.15543
"11","BKU",2016-01-19,33.389999,33.470001,32.490002,32.740002,1173900,27.959019
"12","BKU",2016-01-20,32.150002,32.810001,31.469999,32.369999,1576200,27.643045
"13","BKU",2016-01-21,32.369999,34.919998,32.369999,33.080002,1496900,28.249371
"14","BKU",2016-01-22,33.630001,33.720001,32.689999,32.990002,1249900,28.172512
"15","BKU",2016-01-25,32.84,32.889999,31.129999,31.209999,1263400,26.652443
"16","BKU",2016-01-26,31.440001,32.32,31.219999,32.259998,1337300,27.549107
"17","BKU",2016-01-27,32.189999,33.110001,32.049999,32.77,1194400,27.984636
"18","BKU",2016-01-28,33.139999,33.450001,32.75,32.919998,698000,28.112736
"19","BKU",2016-01-29,33.09,33.700001,32.98,33.700001,930300,28.778835
"20","BKU",2016-02-01,33.439999,33.900002,33.18,33.599998,658500,28.693441
"21","BKU",2016-02-02,33.110001,33.130001,32.48,32.939999,904900,28.129808
"22","BKU",2016-02-03,33.220001,33.32,32.189999,33.150002,812400,28.309147
"23","BKU",2016-02-04,33.060001,33.740002,33.060001,33.709999,767400,28.787367
"24","BKU",2016-02-05,33.619999,33.889999,33.080002,33.18,1236700,28.334766
"25","BKU",2016-02-08,32.639999,32.639999,31.01,31.68,1786300,27.053808
"26","BKU",2016-02-09,31.120001,32.02,31.030001,31.799999,1167100,27.156288
"27","BKU",2016-02-10,32.110001,32.549999,31.67,31.68,595100,27.053808
"28","BKU",2016-02-11,30.59,30.879999,29.719999,29.85,1480400,25.491043
"29","BKU",2016-02-12,30.280001,30.889999,30.209999,30.709999,1650000,26.225458
"30","BKU",2016-02-16,31.02,32.290001,30.57,31.99,1515900,27.318541
"31","BKU",2016-02-17,32.32,33,31.82,31.99,739600,27.318541
