"","symbol","date","open","high","low","close","volume","adjusted"
"1","BLKB",2016-01-04,64.830002,64.830002,63.009998,63.740002,310700,62.097282
"2","BLKB",2016-01-05,64.040001,65.550003,63.720001,65.330002,171200,63.646313
"3","BLKB",2016-01-06,64.239998,64.919998,62.119999,62.830002,251400,61.210732
"4","BLKB",2016-01-07,61.84,62.619999,60.959999,61.419998,207800,59.837078
"5","BLKB",2016-01-08,61.549999,62.48,60.119999,60.299999,256000,58.745934
"6","BLKB",2016-01-11,60.59,60.709999,58.48,59.669998,284700,58.132172
"7","BLKB",2016-01-12,60,61.049999,57.16,59.48,210900,57.947071
"8","BLKB",2016-01-13,59.77,59.77,56.689999,57.310001,202500,55.832993
"9","BLKB",2016-01-14,57.610001,59.669998,56.919998,59.169998,158700,57.645065
"10","BLKB",2016-01-15,57.34,58.490002,56.459999,57.900002,239800,56.407784
"11","BLKB",2016-01-19,58.560001,58.560001,55.330002,56.330002,229200,54.87825
"12","BLKB",2016-01-20,55.619999,58.799999,55.119999,58.119999,190900,56.62212
"13","BLKB",2016-01-21,58.07,59.400002,57.18,58.759998,218800,57.245621
"14","BLKB",2016-01-22,59.549999,60.400002,58.560001,60.389999,147600,58.833603
"15","BLKB",2016-01-25,60.009998,60.279999,58.849998,59.049999,153300,57.528149
"16","BLKB",2016-01-26,59.43,60.599998,58.889999,60.049999,154900,58.502373
"17","BLKB",2016-01-27,59.669998,60.23,58.099998,58.41,199600,56.90464
"18","BLKB",2016-01-28,59.080002,59.650002,58.23,58.93,114400,57.411247
"19","BLKB",2016-01-29,59.240002,61.560001,59.240002,61.48,249900,59.895519
"20","BLKB",2016-02-01,61.110001,62.650002,60.77,62.099998,169500,60.499546
"21","BLKB",2016-02-02,61.450001,61.900002,59.720001,60.029999,178400,58.482891
"22","BLKB",2016-02-03,60.630001,60.849998,59.130001,60.700001,114800,59.135624
"23","BLKB",2016-02-04,60.560001,60.560001,59.240002,59.73,106800,58.19062
"24","BLKB",2016-02-05,58.939999,58.990002,53.59,53.68,464300,52.296551
"25","BLKB",2016-02-08,52.91,53.07,50.950001,51.5,446500,50.172737
"26","BLKB",2016-02-09,50.709999,52.639999,49.889999,50.970001,688200,49.656399
"27","BLKB",2016-02-10,54,59.630001,51.98,53.25,730600,51.877625
"28","BLKB",2016-02-11,52.299999,54.09,51.84,51.939999,381000,50.601391
"29","BLKB",2016-02-12,52.790001,54.220001,51.490002,52.700001,338100,51.341805
"30","BLKB",2016-02-16,53.549999,53.57,52.610001,53.290001,323200,51.916599
"31","BLKB",2016-02-17,53.529999,56.389999,52.700001,55.619999,352000,54.18655
"32","BLKB",2016-02-18,55.599998,57.349998,52.450001,55.900002,236300,54.459335
"33","BLKB",2016-02-19,55.799999,56.849998,55.529999,56.23,154200,54.780827
"34","BLKB",2016-02-22,57.459999,57.759998,56.040001,56.830002,182300,55.365372
"35","BLKB",2016-02-23,56.450001,56.84,55.470001,55.799999,187700,54.361912
"36","BLKB",2016-02-24,55.16,56.869999,52.349998,56.360001,135000,55.025822
"37","BLKB",2016-02-25,56.540001,56.799999,55.919998,56.639999,121000,55.299183
"38","BLKB",2016-02-26,57,57.459999,56.200001,57.209999,126200,55.855698
"39","BLKB",2016-02-29,57.259998,57.759998,56.380001,56.529999,224800,55.191784
"40","BLKB",2016-03-01,57.16,59.02,56.549999,59.02,169200,57.622849
"41","BLKB",2016-03-02,58.919998,58.919998,57.110001,57.759998,180700,56.39267
"42","BLKB",2016-03-03,57.799999,58.43,56.599998,57.369999,176400,56.011906
"43","BLKB",2016-03-04,57.369999,58.139999,56.75,57.279999,198900,55.924026
"44","BLKB",2016-03-07,57.07,58.5,56.990002,58.43,229800,57.04681
"45","BLKB",2016-03-08,58.029999,58.68,57.43,57.599998,161100,56.236458
"46","BLKB",2016-03-09,57.880001,58.740002,57.610001,58.470001,180200,57.085869
