"","symbol","date","open","high","low","close","volume","adjusted"
"1","BP",2016-01-04,30.799999,31.17,30.51,31.059999,7582300,20.924932
"2","BP",2016-01-05,30.92,30.99,30.379999,30.93,7234400,20.837355
"3","BP",2016-01-06,29.93,30.41,29.93,30.299999,10055100,20.412924
"4","BP",2016-01-07,29.07,29.82,29,29.43,15156000,19.826813
"5","BP",2016-01-08,29.41,29.450001,28.84,28.91,13901300,19.476492
"6","BP",2016-01-11,29.559999,29.57,28.52,28.84,7460100,19.429331
"7","BP",2016-01-12,29.129999,29.190001,28,28.65,10629700,19.301331
"8","BP",2016-01-13,29.280001,29.84,28.559999,28.77,16911600,19.382174
"9","BP",2016-01-14,29.83,30.99,29.440001,30.83,14730000,20.769983
"10","BP",2016-01-15,29.290001,29.73,28.84,29.16,11710500,19.644915
"11","BP",2016-01-19,29.59,29.700001,28.52,28.92,9346600,19.483227
"12","BP",2016-01-20,28.530001,28.82,27.559999,28.459999,15078500,19.173325
"13","BP",2016-01-21,28.51,29.620001,28.32,29.459999,9915800,19.847023
"14","BP",2016-01-22,30.610001,30.879999,30.059999,30.35,14915500,20.446609
"15","BP",2016-01-25,29.77,30.17,29.450001,29.469999,8018500,19.853758
"16","BP",2016-01-26,30.32,30.9,30.120001,30.74,9619400,20.709351
"17","BP",2016-01-27,30.33,31.290001,30.16,30.68,9700000,20.668932
"18","BP",2016-01-28,32.07,32.110001,31.290001,31.889999,11300600,21.4841
"19","BP",2016-01-29,31.77,32.380001,31.540001,32.369999,8816600,21.807467
"20","BP",2016-02-01,31.18,31.889999,30.9,31.700001,9466800,21.356096
"21","BP",2016-02-02,29.030001,29.360001,28.620001,29.02,21364300,19.550594
"22","BP",2016-02-03,29.280001,29.809999,28.440001,29.66,14324800,19.98176
"23","BP",2016-02-04,30.26,31.040001,30.18,30.610001,11294000,20.621775
"24","BP",2016-02-05,30.49,30.809999,30.24,30.459999,6792300,20.520714
"25","BP",2016-02-08,29.639999,30.07,29.309999,29.92,8816900,20.156923
"26","BP",2016-02-09,29.280001,29.5,28.75,28.950001,9475200,19.503437
"27","BP",2016-02-10,28.040001,28.610001,27.85,28.040001,9816100,19.290171
"28","BP",2016-02-11,27.309999,27.85,27.01,27.639999,15046700,19.014994
"29","BP",2016-02-12,28.290001,29.059999,28.08,29.02,10848200,19.964363
"30","BP",2016-02-16,29.360001,29.389999,28.84,29.059999,8926600,19.99188
"31","BP",2016-02-17,29.23,30.23,29.23,29.950001,10400300,20.604162
"32","BP",2016-02-18,30.18,30.209999,29.610001,29.780001,9287600,20.487207
"33","BP",2016-02-19,29.549999,29.75,29.309999,29.75,5213900,20.46657
"34","BP",2016-02-22,30.16,30.49,30.1,30.299999,6082100,20.844942
"35","BP",2016-02-23,29.620001,29.879999,28.950001,29,7470300,19.950605
"36","BP",2016-02-24,28.200001,28.559999,28.01,28.540001,11265400,19.634148
"37","BP",2016-02-25,28.83,28.91,28.120001,28.66,11319300,19.7167
"38","BP",2016-02-26,29.139999,29.299999,28.91,29,6173100,19.950605
"39","BP",2016-02-29,29.24,29.440001,29.01,29.09,5406000,20.012524
"40","BP",2016-03-01,29.450001,29.639999,29.1,29.629999,5640300,20.384014
"41","BP",2016-03-02,29.43,30.209999,29.34,30.209999,7769600,20.783028
"42","BP",2016-03-03,30.459999,30.98,30.200001,30.870001,8917700,21.23708
"43","BP",2016-03-04,30.950001,31.450001,30.83,31.15,8879600,21.429703
"44","BP",2016-03-07,30.549999,31.700001,30.540001,31.5,9162400,21.670483
"45","BP",2016-03-08,30.84,30.92,30,30.07,9487400,20.686712
"46","BP",2016-03-09,30.18,30.620001,29.940001,30.299999,7039900,20.844942
"47","BP",2016-03-10,29.969999,30.030001,29.540001,29.83,7956900,20.521606
"48","BP",2016-03-11,30.059999,30.59,30.049999,30.549999,10369200,21.016933
"49","BP",2016-03-14,29.74,30.09,29.629999,29.950001,7404000,20.604162
"50","BP",2016-03-15,29.379999,29.65,29.25,29.639999,9112600,20.390892
"51","BP",2016-03-16,29.83,30.52,29.77,30.51,9364200,20.98941
"52","BP",2016-03-17,30.92,31.6,30.700001,31.540001,9410000,21.698004
"53","BP",2016-03-18,31.65,31.74,31.110001,31.33,8545500,21.553535
"54","BP",2016-03-21,31.040001,31.389999,30.73,31.120001,7659900,21.409065
"55","BP",2016-03-22,30.76,31.17,30.73,30.940001,5175900,21.285233
"56","BP",2016-03-23,30.77,30.84,30.17,30.200001,5858200,20.77615
"57","BP",2016-03-24,29.780001,30.469999,29.690001,30.42,5330900,20.927496
"58","BP",2016-03-28,30.57,30.610001,30.190001,30.42,3601700,20.927496
"59","BP",2016-03-29,29.9,30.360001,29.690001,30.35,7043100,20.879341
"60","BP",2016-03-30,31.209999,31.389999,30.719999,30.93,7324100,21.278355
