"","symbol","date","open","high","low","close","volume","adjusted"
"1","BUD",2016-01-04,122.580002,122.720001,120.849998,122.470001,1342800,105.645874
"2","BUD",2016-01-05,122.589996,122.809998,121.800003,122.550003,1058700,105.71489
"3","BUD",2016-01-06,120.309998,121.239998,119.839996,120.230003,1625600,103.713593
"4","BUD",2016-01-07,120.010002,121.080002,118.449997,119.470001,2045600,103.057999
"5","BUD",2016-01-08,119.760002,119.769997,116.940002,117.129997,2264400,101.039444
"6","BUD",2016-01-11,119.910004,120.190002,118.470001,119.169998,1762300,102.799202
"7","BUD",2016-01-12,119.190002,119.330002,117.830002,119,1239600,102.652565
"8","BUD",2016-01-13,118.860001,119.239998,115.699997,116.139999,3321900,100.18544
"9","BUD",2016-01-14,116.260002,117.580002,114.769997,117.129997,1980800,101.039444
"10","BUD",2016-01-15,116.190002,116.849998,115.57,116.410004,3842900,100.418365
"11","BUD",2016-01-19,119.599998,120.099998,118.400002,118.839996,3312300,102.514534
"12","BUD",2016-01-20,116.949997,117.290001,113.360001,115.940002,3660200,100.012917
"13","BUD",2016-01-21,116.019997,117.459999,115.099998,116.739998,1680300,100.703018
"14","BUD",2016-01-22,119.470001,121.220001,119.169998,120.989998,1622000,104.369171
"15","BUD",2016-01-25,121.410004,122.550003,120.970001,121.290001,1153200,104.627968
"16","BUD",2016-01-26,121.389999,122.75,121.330002,122.620003,1241400,105.775269
"17","BUD",2016-01-27,122.739998,124.199997,121.370003,121.900002,1847100,105.154175
"18","BUD",2016-01-28,122.400002,122.889999,121.199997,122.300003,2115900,105.499237
"19","BUD",2016-01-29,123.330002,126.220001,123.059998,125.839996,2273200,108.552917
"20","BUD",2016-02-01,125.470001,127.110001,125.25,126.709999,1440100,109.303398
"21","BUD",2016-02-02,126.919998,127.099998,124.800003,124.989998,1169500,107.819695
"22","BUD",2016-02-03,125.25,125.339996,122.769997,124.959999,3314600,107.793816
"23","BUD",2016-02-04,124.120003,124.5,122,122.370003,2071900,105.559608
"24","BUD",2016-02-05,121.57,121.730003,118.07,118.300003,2277300,102.048721
"25","BUD",2016-02-08,117.379997,117.639999,114.059998,115.190002,3137300,99.365959
"26","BUD",2016-02-09,114.040001,116.809998,113.900002,116.110001,2848600,100.159569
"27","BUD",2016-02-10,118.339996,118.459999,116.269997,116.290001,1194400,100.314835
"28","BUD",2016-02-11,115.68,115.75,113.919998,114.620003,1664300,98.874252
"29","BUD",2016-02-12,114.800003,115.599998,114.199997,115.419998,1129700,99.564362
"30","BUD",2016-02-16,116.5,117.099998,115.330002,116.68,1372000,100.651268
"31","BUD",2016-02-17,117.900002,118.419998,117.129997,117.449997,2432600,101.315483
"32","BUD",2016-02-18,117.599998,117.650002,116.040001,116.349998,1473800,100.3666
"33","BUD",2016-02-19,115.949997,116.470001,115.639999,116.400002,1360400,100.409721
"34","BUD",2016-02-22,116.639999,117.699997,116.639999,117.129997,851500,101.039444
"35","BUD",2016-02-23,117.400002,117.900002,116.099998,116.260002,1065800,100.288971
"36","BUD",2016-02-24,114.290001,115.970001,113.550003,115.669998,1695200,99.780006
"37","BUD",2016-02-25,112.43,113.5,111.919998,113.43,2056100,97.847733
"38","BUD",2016-02-26,113.43,113.43,111.410004,112.269997,2481500,96.847084
"39","BUD",2016-02-29,110.589996,113,110.589996,111.5,1248700,96.182854
"40","BUD",2016-03-01,112.110001,114.540001,111.970001,114.089996,1464900,98.417046
"41","BUD",2016-03-02,111.730003,113.82,111.580002,113.610001,2667000,98.003006
"42","BUD",2016-03-03,113.209999,114.519997,112.910004,114.459999,1517100,98.736237
"43","BUD",2016-03-04,116.099998,116.720001,115.769997,116.260002,2136600,100.288971
"44","BUD",2016-03-07,115.599998,116.32,115.279999,115.849998,1749000,99.935287
"45","BUD",2016-03-08,115.489998,115.669998,114.660004,115.010002,850200,99.210693
"46","BUD",2016-03-09,116.290001,116.699997,115.699997,115.870003,704500,99.952538
"47","BUD",2016-03-10,118.389999,119.150002,115.800003,116.790001,2135000,100.746155
"48","BUD",2016-03-11,118.120003,118.220001,117.019997,117.75,1083600,101.574272
"49","BUD",2016-03-14,117,117.68,116.959999,117.169998,606900,101.073944
"50","BUD",2016-03-15,116.690002,117.059998,116.230003,116.510002,754500,100.504623
"51","BUD",2016-03-16,114.849998,117.459999,114.800003,117.230003,1573100,101.12571
"52","BUD",2016-03-17,117.18,118.639999,116.709999,118.400002,1570800,102.134995
"53","BUD",2016-03-18,118.400002,122.080002,118.400002,121.550003,2375500,104.852264
"54","BUD",2016-03-21,120.32,121.190002,120.32,120.760002,1155500,104.170784
"55","BUD",2016-03-22,120.959999,122.220001,120.910004,122.190002,1508300,105.404343
"56","BUD",2016-03-23,123.18,123.239998,121.75,122.160004,1465400,105.378456
"57","BUD",2016-03-24,120.639999,121.720001,120.400002,121.580002,1562000,104.878143
"58","BUD",2016-03-28,121.889999,122.120003,121.589996,121.889999,819800,105.145546
"59","BUD",2016-03-29,122.519997,124.440002,122.269997,124.379997,1974600,107.29348
"60","BUD",2016-03-30,126.540001,126.959999,125.419998,125.739998,2797800,108.46666
"61","BUD",2016-03-31,125.309998,125.379997,124.199997,124.660004,1949400,107.535027
"62","BUD",2016-04-01,122.480003,125.75,122.370003,125.650002,3041000,108.389023
"63","BUD",2016-04-04,126.900002,127.040001,125.510002,126.120003,1959400,108.794464
"64","BUD",2016-04-05,124.230003,124.599998,123.510002,124.019997,2321900,106.982948
"65","BUD",2016-04-06,123.080002,123.849998,122.650002,123.389999,1147400,106.439491
"66","BUD",2016-04-07,121.629997,122.330002,120.830002,121.010002,1647400,104.386436
"67","BUD",2016-04-08,121.57,122.080002,121.349998,121.620003,1166600,104.912643
"68","BUD",2016-04-11,121.139999,122.18,120.480003,120.540001,1276600,103.980995
"69","BUD",2016-04-12,120.419998,121.459999,120.290001,121.129997,1050500,104.48996
"70","BUD",2016-04-13,122.480003,122.720001,121.550003,122.209999,1537200,105.421593
"71","BUD",2016-04-14,123.870003,126.68,123.440002,125.720001,2850700,108.449402
"72","BUD",2016-04-15,126.75,126.989998,126,126.269997,1434900,108.923843
"73","BUD",2016-04-18,126.029999,128.059998,125.970001,127.919998,1984400,110.347183
"74","BUD",2016-04-19,131.639999,132.910004,130.570007,131.770004,3449900,113.668297
"75","BUD",2016-04-20,130.729996,131.649994,130.289993,131.149994,1284400,113.133453
"76","BUD",2016-04-21,128.009995,129.559998,127.870003,128.559998,2027800,110.899269
"77","BUD",2016-04-22,127.519997,128.270004,127.019997,128.270004,1407400,110.649109
"78","BUD",2016-04-25,128.029999,129.119995,127.940002,129.039993,814200,111.313332
"79","BUD",2016-04-26,128.729996,129.240005,127.980003,128.509995,1127300,110.856133
