"","symbol","date","open","high","low","close","volume","adjusted"
"1","CAH",2016-01-04,87.730003,88.07,87.199997,87.949997,1675500,72.058189
"2","CAH",2016-01-05,88.379997,89.970001,88.190002,89.68,2366700,73.475586
"3","CAH",2016-01-06,87.940002,88.580002,86.769997,87.239998,2324900,71.476456
"4","CAH",2016-01-07,85.959999,86.760002,84.690002,85,2502600,69.641235
"5","CAH",2016-01-08,85.360001,85.760002,83.57,83.860001,1777300,68.707207
"6","CAH",2016-01-11,82.309998,83.349998,78.230003,79.269997,5879200,64.946594
"7","CAH",2016-01-12,81.269997,81.57,79.029999,79.889999,3727400,65.454552
"8","CAH",2016-01-13,79.989998,80.550003,77.779999,78.169998,2884200,64.045334
"9","CAH",2016-01-14,78.300003,82.040001,78.160004,81.779999,3642000,67.003052
"10","CAH",2016-01-15,80,81.589996,79.699997,81.239998,3844700,66.560631
"11","CAH",2016-01-19,82.199997,82.279999,80.370003,81.580002,2561200,66.839172
"12","CAH",2016-01-20,80.32,81.019997,77.800003,80.279999,3022900,65.774071
"13","CAH",2016-01-21,80.32,81.529999,79.389999,80.080002,2161200,65.610229
"14","CAH",2016-01-22,81.389999,81.919998,81.010002,81.589996,1539400,66.847389
"15","CAH",2016-01-25,81.730003,82.290001,81,81.199997,2113300,66.527855
"16","CAH",2016-01-26,81.5,82.839996,80.769997,82.709999,1893400,67.765007
"17","CAH",2016-01-27,82.639999,83.529999,81.349998,81.75,1922700,66.978485
"18","CAH",2016-01-28,82.32,82.32,78.559998,79,3530100,64.72538
"19","CAH",2016-01-29,79.730003,81.419998,78.889999,81.370003,3719000,66.667145
"20","CAH",2016-02-01,76.5,80.75,76.230003,79.800003,4195500,65.380821
"21","CAH",2016-02-02,79.459999,79.949997,77.379997,77.730003,2818600,63.684853
"22","CAH",2016-02-03,78.43,78.580002,75.720001,77.330002,2327200,63.357117
"23","CAH",2016-02-04,76.889999,78.739998,75.849998,76.599998,2546500,62.759022
"24","CAH",2016-02-05,76.260002,77.360001,75.910004,76.610001,2918800,62.767231
"25","CAH",2016-02-08,75.959999,76.599998,74.730003,76.160004,2527500,62.398537
"26","CAH",2016-02-09,75.389999,77.330002,75.360001,76.650002,2653800,62.799988
"27","CAH",2016-02-10,76.839996,79.019997,76.199997,78.220001,2187700,64.086319
"28","CAH",2016-02-11,76.699997,78.230003,76.230003,77.120003,2786900,63.185097
"29","CAH",2016-02-12,77.599998,78.900002,76.910004,78.849998,2168300,64.602448
"30","CAH",2016-02-16,79.559998,80.349998,78.860001,79.769997,2382100,65.356247
"31","CAH",2016-02-17,79.760002,81.419998,79.510002,80.980003,1716700,66.347595
"32","CAH",2016-02-18,81.129997,81.809998,80.720001,81,1801000,66.363991
"33","CAH",2016-02-19,81.040001,81.089996,80.25,80.830002,2446800,66.224709
"34","CAH",2016-02-22,80.830002,82,80.82,81.459999,1283000,66.740837
"35","CAH",2016-02-23,81.209999,81.730003,80.199997,81.199997,2273700,66.527855
"36","CAH",2016-02-24,80.339996,82.410004,80.230003,82.139999,1877500,67.298012
"37","CAH",2016-02-25,82.230003,82.809998,81.620003,82.669998,1315600,67.732239
