"","symbol","date","open","high","low","close","volume","adjusted"
"1","CATO",2016-01-04,36.360001,36.93,35.889999,36.639999,144400,26.291637
"2","CATO",2016-01-05,36.639999,36.959999,36.299999,36.82,137400,26.420801
"3","CATO",2016-01-06,36.360001,36.84,35.279999,35.610001,168500,25.552547
"4","CATO",2016-01-07,35.220001,36.439999,35.220001,35.68,214000,25.60277
"5","CATO",2016-01-08,35.580002,35.580002,34.080002,34.099998,166900,24.469017
"6","CATO",2016-01-11,34.139999,36.68,34.139999,36.48,162700,26.17683
"7","CATO",2016-01-12,37.060001,37.650002,36.57,37.59,215500,26.973326
"8","CATO",2016-01-13,37.59,37.610001,36.880001,37.209999,184200,26.700649
"9","CATO",2016-01-14,37.27,37.700001,37.02,37.209999,128100,26.700649
"10","CATO",2016-01-15,36.610001,37.34,35.98,37.25,171900,26.729355
"11","CATO",2016-01-19,37.5,37.59,36.689999,37.049999,131600,26.585838
"12","CATO",2016-01-20,36.720001,37.099998,35.84,36.75,190500,26.370569
"13","CATO",2016-01-21,36.66,37.200001,36.439999,37.02,216200,26.564314
"14","CATO",2016-01-22,37.34,38.110001,37.040001,38.060001,161900,27.310585
"15","CATO",2016-01-25,37.799999,38.09,37.439999,37.700001,125000,27.052267
"16","CATO",2016-01-26,37.759998,39.07,37.560001,38.59,148700,27.690897
"17","CATO",2016-01-27,38.540001,38.779999,37.82,38.02,95500,27.281885
"18","CATO",2016-01-28,38.439999,39,38.099998,38.630001,79900,27.719601
"19","CATO",2016-01-29,38.740002,40.369999,38.740002,40.330002,190300,28.939457
"20","CATO",2016-02-01,40.130001,40.509998,39.720001,39.959999,155700,28.673958
"21","CATO",2016-02-02,39.889999,40.360001,39.619999,39.880001,128900,28.61655
"22","CATO",2016-02-03,40.23,40.23,38.639999,38.880001,110500,27.898987
"23","CATO",2016-02-04,37.639999,37.98,36.439999,36.509998,154000,26.198353
"24","CATO",2016-02-05,36.099998,36.580002,33.619999,33.630001,244800,24.131762
"25","CATO",2016-02-08,33.16,33.310001,32.029999,32.98,199900,23.665342
"26","CATO",2016-02-09,32.740002,33.880001,32.740002,33.290001,144800,23.887793
"27","CATO",2016-02-10,33.450001,33.849998,33.209999,33.32,112800,23.909317
"28","CATO",2016-02-11,32.860001,33.810001,32.75,33.43,150200,23.988247
"29","CATO",2016-02-12,33.66,34.009998,33.200001,33.880001,133100,24.311153
"30","CATO",2016-02-16,34.299999,35.290001,33.970001,34.939999,128000,25.071772
"31","CATO",2016-02-17,35.32,35.549999,34.990002,34.990002,109300,25.107655
"32","CATO",2016-02-18,35.049999,35.41,34.82,35.16,77000,25.229633
"33","CATO",2016-02-19,35.110001,35.380001,34.84,35.139999,76500,25.21529
"34","CATO",2016-02-22,35.540001,36.150002,35.34,35.630001,101700,25.566896
"35","CATO",2016-02-23,35.59,36.34,35.060001,35.869999,246500,25.739113
"36","CATO",2016-02-24,35.490002,36.810001,35.490002,36.77,101700,26.38492
"37","CATO",2016-02-25,36.91,37.09,36.200001,37.009998,74000,26.557137
"38","CATO",2016-02-26,37.040001,37.119999,36.189999,36.450001,75700,26.1553
"39","CATO",2016-02-29,36.450001,36.970001,35.799999,36.200001,145800,25.975908
"40","CATO",2016-03-01,36.310001,36.509998,35.75,36.459999,48300,26.162479
"41","CATO",2016-03-02,36.48,36.700001,35.75,36.470001,91700,26.169653
"42","CATO",2016-03-03,36.389999,36.669998,35.830002,36.349998,91600,26.299883
"43","CATO",2016-03-04,36.299999,36.759998,36.240002,36.66,61700,26.524176
"44","CATO",2016-03-07,36.580002,37.220001,36.529999,37.040001,85600,26.799118
"45","CATO",2016-03-08,36.790001,37.68,36.790001,36.990002,107100,26.76293
"46","CATO",2016-03-09,37.200001,37.240002,36.529999,36.939999,51700,26.726761
"47","CATO",2016-03-10,37.16,37.419998,36.169998,36.66,76600,26.524176
"48","CATO",2016-03-11,37.029999,37.200001,36.439999,37.009998,67300,26.777401
"49","CATO",2016-03-14,36.869999,37.439999,36.709999,37.02,110200,26.784645
"50","CATO",2016-03-15,36.880001,37.41,36.459999,36.599998,76000,26.480764
"51","CATO",2016-03-16,36.459999,36.919998,36.110001,36.709999,102100,26.56035
"52","CATO",2016-03-17,35.529999,38.279999,35.529999,38,177100,27.493685
"53","CATO",2016-03-18,38.32,39.080002,38.080002,38.799999,202000,28.072502
"54","CATO",2016-03-21,38.790001,39.099998,37.82,37.970001,115900,27.471985
"55","CATO",2016-03-22,37.66,38.279999,37.23,37.290001,82000,26.97999
"56","CATO",2016-03-23,37.279999,37.599998,36.5,36.599998,91200,26.480764
"57","CATO",2016-03-24,36.389999,37.27,36.139999,37.240002,86200,26.943815
"58","CATO",2016-03-28,37.27,38.5,37.27,38.110001,85100,27.573271
"59","CATO",2016-03-29,38,38.740002,37.82,38.720001,108100,28.014624
