"","symbol","date","open","high","low","close","volume","adjusted"
"1","CATY",2016-01-04,30.9,31.200001,30,30.120001,700900,25.139589
"2","CATY",2016-01-05,30.209999,30.48,29.9,30.1,531300,25.122902
"3","CATY",2016-01-06,29.559999,30.040001,29.5,29.77,472600,24.847466
"4","CATY",2016-01-07,29.09,29.309999,28.620001,28.629999,869500,23.895969
"5","CATY",2016-01-08,28.76,28.809999,27.74,27.780001,784200,23.18652
"6","CATY",2016-01-11,27.690001,28.280001,27.629999,28.209999,571200,23.545416
"7","CATY",2016-01-12,28.379999,28.700001,28.15,28.66,579000,23.921007
"8","CATY",2016-01-13,28.790001,29.639999,27.42,27.52,588200,22.969511
"9","CATY",2016-01-14,27.809999,28.24,27.32,27.92,571800,23.303368
"10","CATY",2016-01-15,27.09,27.639999,26.790001,27.6,854900,23.036278
"11","CATY",2016-01-19,27.959999,28.450001,27.110001,27.35,364900,22.827618
"12","CATY",2016-01-20,26.77,27.389999,26.200001,27.08,498700,22.602264
"13","CATY",2016-01-21,27.09,27.959999,26.290001,26.309999,723100,21.959581
"14","CATY",2016-01-22,26.57,26.809999,26.08,26.33,855600,21.976274
"15","CATY",2016-01-25,26.27,26.35,25.620001,25.65,735700,21.408714
"16","CATY",2016-01-26,25.83,26.52,25.83,26.309999,850900,21.959581
"17","CATY",2016-01-27,26.309999,27.23,26.059999,26.73,575300,22.310135
"18","CATY",2016-01-28,27.1,27.49,27,27.18,436800,22.685728
"19","CATY",2016-01-29,27.190001,28.01,27.02,28,699900,23.370138
"20","CATY",2016-02-01,27.629999,28,27.43,27.719999,498300,23.136436
"21","CATY",2016-02-02,27.43,27.43,26.66,26.870001,512300,22.426991
"22","CATY",2016-02-03,27.16,27.16,25.99,27,547300,22.535496
"23","CATY",2016-02-04,26.969999,27.639999,26.969999,27.450001,463500,22.911081
"24","CATY",2016-02-05,27.450001,27.9,26.879999,26.9,592700,22.452024
"25","CATY",2016-02-08,26.51,27.15,26.219999,26.99,760400,22.527142
"26","CATY",2016-02-09,26.540001,27.610001,26.540001,27.32,576200,22.802578
"27","CATY",2016-02-10,27.530001,28.18,27.049999,27.07,510900,22.593914
"28","CATY",2016-02-11,26.4,27.02,26.1,26.77,574000,22.343523
"29","CATY",2016-02-12,27.35,27.35,26.629999,26.84,1133400,22.401955
"30","CATY",2016-02-16,27.25,27.92,26.860001,27.51,681500,22.961164
"31","CATY",2016-02-17,27.76,27.91,27.219999,27.370001,729900,22.844313
"32","CATY",2016-02-18,27.42,27.5,26.82,27,545200,22.535496
"33","CATY",2016-02-19,26.879999,27.299999,26.860001,27.190001,573100,22.694075
