"","symbol","date","open","high","low","close","volume","adjusted"
"1","CERN",2016-01-04,59.049999,59.25,57.759998,58.16,3212900,56.424572
"2","CERN",2016-01-05,58.09,58.650002,57.810001,58.080002,1415200,56.346962
"3","CERN",2016-01-06,57.299999,57.950001,57.110001,57.619999,1839900,55.900684
"4","CERN",2016-01-07,57.310001,58.84,57.220001,57.669998,2553300,55.949188
"5","CERN",2016-01-08,58.09,59.34,57.849998,58.740002,2971600,56.98727
"6","CERN",2016-01-11,58.970001,59.48,56.549999,57.259998,2547500,55.551422
"7","CERN",2016-01-12,57.400002,59.169998,57.200001,59.16,2051400,57.39473
"8","CERN",2016-01-13,59.299999,59.919998,58.23,58.330002,2560500,56.5895
"9","CERN",2016-01-14,58.529999,58.75,57.529999,58.189999,1817700,56.453674
"10","CERN",2016-01-15,56.669998,57.18,55.849998,56.77,2362800,55.076046
"11","CERN",2016-01-19,57.360001,57.759998,56.02,56.389999,2498600,54.707382
"12","CERN",2016-01-20,55.77,56.560001,53.91,56.029999,2048700,54.358124
"13","CERN",2016-01-21,56.110001,56.610001,55.110001,55.830002,1379400,54.164093
"14","CERN",2016-01-22,56.66,57.490002,56.349998,57.380001,1527900,55.66785
"15","CERN",2016-01-25,56.959999,57.259998,56.02,56.18,2027200,54.503654
"16","CERN",2016-01-26,56.200001,56.709999,55.91,56.52,2201100,54.833511
"17","CERN",2016-01-27,56.59,57.41,55.970001,56.299999,1504400,54.620071
"18","CERN",2016-01-28,56.720001,57.040001,55.389999,55.959999,2274900,54.290215
"19","CERN",2016-01-29,56.27,58.02,56.02,58.009998,2118900,56.279045
"20","CERN",2016-02-01,57.380001,57.98,56.759998,57.619999,1776400,55.900684
"21","CERN",2016-02-02,56.830002,57.130001,55.91,56.639999,1708700,54.949928
"22","CERN",2016-02-03,57.259998,57.810001,55.919998,57.209999,1393000,55.502922
"23","CERN",2016-02-04,57.189999,59.07,57.049999,58.490002,2270300,56.744724
"24","CERN",2016-02-05,58.360001,58.43,55.040001,55.310001,2342500,53.659607
"25","CERN",2016-02-08,54.889999,54.970001,52.91,54.290001,2514700,52.670048
"26","CERN",2016-02-09,53.639999,54.669998,53.389999,53.709999,2443900,52.107357
"27","CERN",2016-02-10,54.220001,55.509998,53.970001,54.549999,1929000,52.922291
"28","CERN",2016-02-11,53.580002,54.330002,53.389999,53.950001,1664000,52.340191
"29","CERN",2016-02-12,54.369999,54.98,53.759998,54.900002,1735800,53.261845
"30","CERN",2016-02-16,55.389999,56.009998,55.029999,55.459999,3397100,53.80513
"31","CERN",2016-02-17,50.099998,53.5,49.889999,52.810001,15699700,51.234207
"32","CERN",2016-02-18,53,53.459999,50.900002,52.150002,7097300,50.593906
"33","CERN",2016-02-19,51.799999,52.259998,50.369999,51.459999,4605200,49.924496
"34","CERN",2016-02-22,51.700001,52.5,51.439999,52.459999,3879200,50.89465
"35","CERN",2016-02-23,51.16,51.400002,50.23,50.650002,3252600,49.138653
"36","CERN",2016-02-24,50.169998,51.849998,50.009998,51.790001,2989000,50.244644
"37","CERN",2016-02-25,51.869999,52.119999,51.09,51.360001,1800100,49.82748
"38","CERN",2016-02-26,51.82,52.169998,51.330002,52.009998,2068500,50.45808
"39","CERN",2016-02-29,51.93,52.16,51.049999,51.060001,1753500,49.53643
"40","CERN",2016-03-01,51.48,51.529999,51.07,51.48,2217000,49.943897
"41","CERN",2016-03-02,51.52,51.849998,50.66,51.299999,2255400,49.769264
"42","CERN",2016-03-03,51.119999,51.290001,49.59,50,5546600,48.508053
"43","CERN",2016-03-04,50.209999,52.150002,49.900002,51.639999,5134600,50.099125
"44","CERN",2016-03-07,51.240002,53.419998,51.209999,52.610001,3698100,51.040173
"45","CERN",2016-03-08,52.57,53.779999,52.279999,52.790001,4017500,51.214806
"46","CERN",2016-03-09,53.029999,53.709999,52.98,53.540001,3756800,51.942432
"47","CERN",2016-03-10,53.650002,54.450001,52.830002,53.400002,2560400,51.806606
"48","CERN",2016-03-11,53.869999,54.060001,53.18,54.009998,2443700,52.398399
"49","CERN",2016-03-14,54,54.650002,53.150002,53.299999,2100800,51.709587
"50","CERN",2016-03-15,52.970001,53.200001,51.919998,52.080002,1953300,50.525993
"51","CERN",2016-03-16,52.029999,53.040001,51.799999,52.650002,1430200,51.078987
"52","CERN",2016-03-17,52.59,52.880001,51.91,52.299999,1653800,50.739426
"53","CERN",2016-03-18,52.529999,53.599998,52.43,53.48,2439900,51.884216
"54","CERN",2016-03-21,53.189999,53.41,52.700001,53.139999,1653100,51.554363
"55","CERN",2016-03-22,52.709999,54.849998,52.709999,54.560001,3069000,52.931988
"56","CERN",2016-03-23,54.540001,54.549999,52.220001,52.66,3651800,51.088684
"57","CERN",2016-03-24,52.490002,52.900002,51.130001,51.459999,3631800,49.924496
