"","symbol","date","open","high","low","close","volume","adjusted"
"1","CNI",2016-01-04,54.75,54.889999,53.41,54.860001,1349200,50.694393
"2","CNI",2016-01-05,54.669998,54.84,53.529999,53.959999,1322500,49.862724
"3","CNI",2016-01-06,52.939999,53.529999,51.98,52.169998,1272100,48.208649
"4","CNI",2016-01-07,51.080002,51.439999,50.400002,51.029999,1673200,47.155212
"5","CNI",2016-01-08,51.34,51.860001,50.98,51.330002,1717200,47.432438
"6","CNI",2016-01-11,51.689999,52.099998,51.09,51.610001,1919100,47.691174
"7","CNI",2016-01-12,51.84,52.57,51.32,52.490002,1707400,48.504353
"8","CNI",2016-01-13,53.400002,53.400002,50.200001,50.77,2287200,46.914955
"9","CNI",2016-01-14,50.900002,51.959999,50.450001,51.599998,1733500,47.681927
"10","CNI",2016-01-15,49.880001,50.709999,49.25,49.830002,1618500,46.046322
"11","CNI",2016-01-19,50.580002,50.860001,48.889999,49.220001,1915300,45.482643
"12","CNI",2016-01-20,48.259998,48.41,46.490002,47.619999,2750900,44.004143
"13","CNI",2016-01-21,47.560001,48.580002,46.23,48.439999,2912900,44.761871
"14","CNI",2016-01-22,49.639999,50.560001,49.439999,49.759998,2428900,45.981636
"15","CNI",2016-01-25,49.560001,49.900002,48.889999,49.130001,1970300,45.399487
"16","CNI",2016-01-26,49.52,50.830002,49.389999,50.57,1874400,46.730133
"17","CNI",2016-01-27,51.869999,52.060001,50.200001,50.799999,2087600,46.942677
"18","CNI",2016-01-28,51.560001,52.990002,51.130001,52.779999,2245500,48.772335
"19","CNI",2016-01-29,53.279999,53.650002,52.73,53.490002,1605900,49.428413
"20","CNI",2016-02-01,52.650002,53.669998,52.110001,53.459999,1780900,49.400703
"21","CNI",2016-02-02,52.290001,52.91,51.75,52,1658700,48.051556
"22","CNI",2016-02-03,52.990002,53.540001,51.779999,53.310001,1606300,49.262081
"23","CNI",2016-02-04,53.509998,55.630001,53.5,55.09,1935700,50.906925
"24","CNI",2016-02-05,54.970001,55.02,53.040001,53.349998,1474700,49.299046
"25","CNI",2016-02-08,52.700001,54.139999,52.380001,53.939999,1525000,49.844242
"26","CNI",2016-02-09,53.369999,55.279999,53.349998,55.119999,1920900,50.93465
"27","CNI",2016-02-10,55.029999,55.610001,54.169998,54.34,1370400,50.213875
"28","CNI",2016-02-11,52.84,54.810001,52.529999,54.689999,1694800,50.537304
"29","CNI",2016-02-12,54.700001,55.490002,54.610001,55.220001,1141700,51.027054
"30","CNI",2016-02-16,55.900002,55.950001,54.599998,55.57,1296100,51.350479
"31","CNI",2016-02-17,55.93,57.32,55.700001,57.09,1404400,52.755062
"32","CNI",2016-02-18,57.310001,57.470001,56.48,57.119999,1107100,52.782787
"33","CNI",2016-02-19,56.419998,57.130001,56.220001,57.02,1340500,52.690369
"34","CNI",2016-02-22,57.619999,58.32,57.330002,57.59,1153700,53.217102
"35","CNI",2016-02-23,57.77,57.889999,56.700001,56.98,1173000,52.653412
"36","CNI",2016-02-24,56.200001,57.849998,55.27,57.619999,1451700,53.24482
"37","CNI",2016-02-25,57.900002,58.400002,57.349998,58.18,1611800,53.762295
"38","CNI",2016-02-26,58.400002,59.060001,58.330002,58.419998,1068200,53.984066
"39","CNI",2016-02-29,58.349998,58.799999,57.759998,57.900002,1279300,53.503567
"40","CNI",2016-03-01,58.5,59.459999,58.48,59.02,1364900,54.538517
"41","CNI",2016-03-02,58.57,59.080002,57.509998,57.82,1134500,53.429626
"42","CNI",2016-03-03,58.029999,58.290001,57.57,57.91,904800,53.51281
"43","CNI",2016-03-04,57.810001,59.34,57.810001,59.169998,830500,54.677124
"44","CNI",2016-03-07,58.66,60.419998,58.630001,60.09,1151100,55.527267
"45","CNI",2016-03-08,59.580002,59.939999,59.240002,59.509998,1057900,55.250587
"46","CNI",2016-03-09,59.790001,60.740002,59.490002,60.369999,1138800,56.049038
"47","CNI",2016-03-10,60.580002,60.900002,58.560001,58.959999,1166100,54.739964
"48","CNI",2016-03-11,59.700001,60.799999,59.57,60.369999,781000,56.049038
"49","CNI",2016-03-14,59.93,60.66,59.849998,60.200001,746800,55.891209
"50","CNI",2016-03-15,59.610001,60.529999,59.41,60.509998,1104000,56.179024
"51","CNI",2016-03-16,60.48,61.150002,60.049999,60.959999,1016400,56.596813
"52","CNI",2016-03-17,61.360001,63.130001,61.150002,62.919998,1113300,58.416527
"53","CNI",2016-03-18,62.869999,63.299999,62.049999,62.07,1468100,57.627361
"54","CNI",2016-03-21,62.040001,62.700001,61.900002,62.310001,998100,57.850201
"55","CNI",2016-03-22,61.75,61.869999,61.009998,61.099998,868300,56.726795
"56","CNI",2016-03-23,60.93,61.200001,60.220001,60.32,804700,56.002617
"57","CNI",2016-03-24,59.919998,60.82,59.73,60.75,682000,56.401844
"58","CNI",2016-03-28,60.830002,60.950001,60.02,60.919998,931700,56.559677
"59","CNI",2016-03-29,60.619999,61.849998,60.360001,61.720001,729600,57.302418
"60","CNI",2016-03-30,62.09,63.200001,62.029999,62.709999,774700,58.221558
"61","CNI",2016-03-31,62.73,63.41,62.43,62.459999,1191000,57.989449
"62","CNI",2016-04-01,61.810001,62.470001,61.080002,62.290001,860300,57.831631
"63","CNI",2016-04-04,62.18,62.580002,61.57,61.709999,633300,57.293137
"64","CNI",2016-04-05,61.029999,61.66,60.689999,61.299999,1106900,56.912483
"65","CNI",2016-04-06,61.32,61.610001,60.48,61.5,757900,57.098167
"66","CNI",2016-04-07,60.849998,61.110001,60.560001,60.950001,805900,56.587528
"67","CNI",2016-04-08,61.98,62.59,61.689999,62.049999,661900,57.608791
"68","CNI",2016-04-11,62.290001,63.189999,61.860001,61.900002,941600,57.469536
"69","CNI",2016-04-12,61.93,62.990002,61.799999,62.66,1117500,58.175133
"70","CNI",2016-04-13,62.77,63.830002,62.509998,63.52,1137300,58.973583
"71","CNI",2016-04-14,63.720001,64.269997,63.220001,64.07,773200,59.484219
"72","CNI",2016-04-15,63.98,64.160004,63.16,63.23,928400,58.704342
"73","CNI",2016-04-18,62.82,63.650002,62.650002,63.509998,864700,58.964298
"74","CNI",2016-04-19,64.190002,64.459999,63.68,64.300003,1201600,59.697762
"75","CNI",2016-04-20,64.190002,65.029999,63.099998,64.660004,1187900,60.03199
"76","CNI",2016-04-21,64.489998,65.120003,64.239998,65.059998,930400,60.403362
"77","CNI",2016-04-22,65.449997,66.220001,65.309998,65.889999,1377800,61.173962
"78","CNI",2016-04-25,65.379997,65.440002,64.629997,65.199997,1085500,60.533348
"79","CNI",2016-04-26,62.09,62.529999,60.610001,62.240002,4278600,57.785206
"80","CNI",2016-04-27,62.220001,62.740002,61.740002,62.610001,1294800,58.128716
"81","CNI",2016-04-28,62.439999,63.689999,62.09,62.68,1549500,58.193703
"82","CNI",2016-04-29,62.650002,62.869999,61.259998,61.560001,1216100,57.15387
"83","CNI",2016-05-02,61.549999,61.740002,61.080002,61.529999,947700,57.126022
"84","CNI",2016-05-03,60.959999,61.189999,60.580002,60.93,809800,56.568958
"85","CNI",2016-05-04,60.549999,60.700001,58.950001,59,1848500,54.777096
"86","CNI",2016-05-05,59.529999,59.830002,58.91,59.07,829000,54.842094
"87","CNI",2016-05-06,58.84,59.630001,58.66,59.389999,813200,55.139187
"88","CNI",2016-05-09,59.080002,59.139999,58.369999,58.549999,783200,54.35931
"89","CNI",2016-05-10,58.880001,60.200001,58.560001,59.93,824100,55.640533
"90","CNI",2016-05-11,59.860001,59.869999,59.119999,59.5,576400,55.241325
"91","CNI",2016-05-12,60.110001,60.360001,58.970001,59.689999,782400,55.417702
"92","CNI",2016-05-13,59.470001,59.650002,58.549999,58.779999,1125400,54.572849
"93","CNI",2016-05-16,58.900002,59.84,58.900002,58.970001,1157800,54.749245
"94","CNI",2016-05-17,58.759998,59.490002,58.630001,58.889999,1164100,54.674973
"95","CNI",2016-05-18,58.549999,59.900002,58.169998,59.080002,1355200,54.851376
"96","CNI",2016-05-19,58.099998,58.139999,57.119999,57.580002,1331500,53.458733
"97","CNI",2016-05-20,57.84,58.66,57.709999,58.279999,931800,54.108631
"98","CNI",2016-05-23,58.279999,58.43,57.860001,58.07,490800,53.913673
"99","CNI",2016-05-24,58.549999,59.110001,58.110001,58.25,1389500,54.080784
"100","CNI",2016-05-25,58.380001,59.310001,58.369999,59.169998,1006500,54.934933
"101","CNI",2016-05-26,59.68,60.400002,59.400002,60.240002,1333400,55.928349
"102","CNI",2016-05-27,59.84,60.189999,59.720001,60.009998,854900,55.714809
"103","CNI",2016-05-31,60.060001,60.259998,59.09,59.290001,1063900,55.046349
"104","CNI",2016-06-01,59.18,59.220001,58.560001,59.080002,1018500,54.851376
"105","CNI",2016-06-02,58.689999,59.119999,58.630001,58.84,648400,54.628544
"106","CNI",2016-06-03,59.299999,60.18,58.889999,59.970001,902400,55.677681
"107","CNI",2016-06-06,60.110001,60.599998,59.93,60.419998,613000,56.095459
"108","CNI",2016-06-07,60.43,60.700001,60.209999,60.599998,836200,56.536743
"109","CNI",2016-06-08,61.130001,61.400002,60.619999,60.720001,973700,56.648697
"110","CNI",2016-06-09,60.330002,60.389999,59.799999,60.209999,561900,56.172909
"111","CNI",2016-06-10,59.700001,59.939999,58.93,59.189999,753800,55.221294
"112","CNI",2016-06-13,58.860001,59.02,58.41,58.52,1010000,54.596218
"113","CNI",2016-06-14,58.310001,58.75,58.110001,58.369999,728300,54.456261
"114","CNI",2016-06-15,58.049999,58.73,57.970001,58.09,1086400,54.195042
"115","CNI",2016-06-16,57.32,58.07,56.290001,57.990002,1628600,54.101746
"116","CNI",2016-06-17,58.150002,58.939999,58.029999,58.389999,973500,54.474934
"117","CNI",2016-06-20,59.259998,59.490002,58.790001,58.91,986900,54.96006
"118","CNI",2016-06-21,57.919998,58.900002,57.540001,58.400002,1250600,54.484257
"119","CNI",2016-06-22,58.110001,59.099998,58.110001,59.02,695400,55.062687
"120","CNI",2016-06-23,59.700001,60.07,59.419998,59.580002,580600,55.585144
"121","CNI",2016-06-24,57.189999,58.110001,56.849998,57.009998,1140600,53.187473
"122","CNI",2016-06-27,56.400002,56.779999,55.73,56.400002,1199600,52.618366
"123","CNI",2016-06-28,56.990002,57.689999,56.509998,57.509998,988100,53.653934
"124","CNI",2016-06-29,57.860001,58.639999,57.459999,58.52,1097100,54.596218
"125","CNI",2016-06-30,58.73,59.209999,58.009998,59.060001,928600,55.100014
"126","CNI",2016-07-01,59.290001,59.560001,58.990002,59.240002,345900,55.267944
"127","CNI",2016-07-05,59.459999,60.23,59.040001,59.200001,962300,55.230621
"128","CNI",2016-07-06,58.779999,59.490002,58.209999,59.380001,495000,55.39856
"129","CNI",2016-07-07,59.91,60,58.650002,59,683500,55.044033
"130","CNI",2016-07-08,59.349998,60.439999,59.32,59.91,910700,55.893013
"131","CNI",2016-07-11,59.91,60.200001,59.509998,59.529999,1145200,55.538494
"132","CNI",2016-07-12,60.709999,61.389999,60,61.189999,1162500,57.087181
"133","CNI",2016-07-13,61.290001,62.029999,60.880001,61.73,963500,57.590977
"134","CNI",2016-07-14,62.259998,62.889999,62.099998,62.43,985900,58.244045
"135","CNI",2016-07-15,62.52,62.849998,62.009998,62.290001,633400,58.113438
"136","CNI",2016-07-18,62.080002,62.880001,62.040001,62.720001,782300,58.514603
"137","CNI",2016-07-19,62.299999,62.700001,62.139999,62.580002,1092300,58.383987
"138","CNI",2016-07-20,62.43,63.77,62.349998,63.630001,1184700,59.363586
"139","CNI",2016-07-21,63.310001,63.57,62.529999,62.959999,810400,58.738518
"140","CNI",2016-07-22,63.169998,63.380001,62.77,63.330002,736700,59.083714
"141","CNI",2016-07-25,63.02,63.540001,62.700001,63.470001,2205500,59.214317
"142","CNI",2016-07-26,64.400002,64.730003,62.669998,63.330002,1708100,59.083714
"143","CNI",2016-07-27,63.41,64.099998,63.290001,63.650002,1232100,59.382248
"144","CNI",2016-07-28,63.740002,64.220001,63.48,63.560001,792100,59.298275
"145","CNI",2016-07-29,63.700001,63.889999,63.18,63.209999,981800,58.971745
"146","CNI",2016-08-01,62.799999,63.139999,61.900002,62.709999,878200,58.505276
"147","CNI",2016-08-02,63.77,64.269997,61.709999,61.82,1317800,57.674946
"148","CNI",2016-08-03,61.880001,62.66,61.709999,62.259998,982400,58.085453
"149","CNI",2016-08-04,62.049999,62.16,61.400002,61.799999,762200,57.656284
"150","CNI",2016-08-05,61.630001,62.209999,61.540001,61.950001,903700,57.796234
"151","CNI",2016-08-08,62.099998,62.450001,61.950001,62.290001,770200,58.113438
"152","CNI",2016-08-09,62.470001,63.32,62.470001,62.740002,894600,58.533264
"153","CNI",2016-08-10,63.110001,63.360001,62.450001,62.700001,856200,58.495941
"154","CNI",2016-08-11,63.450001,63.799999,62.91,63.529999,614300,59.27029
"155","CNI",2016-08-12,63.380001,63.529999,62.810001,63.09,620700,58.859791
"156","CNI",2016-08-15,63.18,63.82,63.139999,63.360001,519300,59.111687
"157","CNI",2016-08-16,63.400002,63.709999,63.220001,63.439999,601800,59.186321
"158","CNI",2016-08-17,63.360001,64.43,63.200001,64.239998,644400,59.932686
"159","CNI",2016-08-18,64.290001,64.980003,64.260002,64.739998,586000,60.399155
"160","CNI",2016-08-19,64.410004,64.980003,64.239998,64.809998,723800,60.464458
"161","CNI",2016-08-22,64.360001,65.110001,64.330002,64.919998,506900,60.567089
"162","CNI",2016-08-23,65.269997,65.400002,64.739998,65.160004,510500,60.791004
"163","CNI",2016-08-24,64.949997,65.489998,64.879997,64.959999,501800,60.60442
"164","CNI",2016-08-25,64.760002,65.160004,64.510002,64.959999,528300,60.60442
"165","CNI",2016-08-26,65.199997,65.800003,64.629997,65.099998,804500,60.735023
"166","CNI",2016-08-29,64.980003,65.730003,64.860001,65.379997,798800,60.996246
"167","CNI",2016-08-30,65.150002,65.529999,64.790001,64.93,479700,60.576427
"168","CNI",2016-08-31,64.629997,64.720001,63.990002,64.309998,692300,59.99799
"169","CNI",2016-09-01,64.190002,64.669998,63.98,64.669998,637700,60.333858
"170","CNI",2016-09-02,65.120003,65.809998,64.900002,65.459999,897400,61.070885
"171","CNI",2016-09-06,65.730003,65.790001,65.349998,65.440002,685700,61.052227
"172","CNI",2016-09-07,65.260002,65.730003,64.949997,65.050003,747000,60.960396
"173","CNI",2016-09-08,65.029999,65.099998,64.370003,64.809998,409500,60.735466
"174","CNI",2016-09-09,63.880001,63.939999,62.18,62.18,1121100,58.270813
"175","CNI",2016-09-12,61.810001,63.349998,61.560001,62.830002,1160200,58.879951
"176","CNI",2016-09-13,62.049999,62.549999,61.369999,61.400002,819700,57.539856
"177","CNI",2016-09-14,61.189999,61.900002,61.110001,61.310001,849400,57.455517
"178","CNI",2016-09-15,61.23,62.689999,61.23,62.619999,1026400,58.683159
"179","CNI",2016-09-16,62.290001,62.93,61.900002,62.669998,785200,58.730019
"180","CNI",2016-09-19,62.860001,63.220001,62.790001,62.93,1130900,58.973675
"181","CNI",2016-09-20,63.25,63.619999,62.66,62.799999,892200,58.851849
"182","CNI",2016-09-21,63.200001,64.370003,63.130001,64.290001,1177800,60.248165
"183","CNI",2016-09-22,65.010002,65.239998,64.849998,64.93,1245200,60.847939
"184","CNI",2016-09-23,64.660004,64.790001,63.990002,64.110001,726700,60.079491
"185","CNI",2016-09-26,63.810001,64.040001,63.5,63.720001,670700,59.714001
"186","CNI",2016-09-27,63.450001,64.150002,63.169998,64,920100,59.976398
"187","CNI",2016-09-28,64.150002,64.489998,63.939999,64.459999,1255800,60.407475
"188","CNI",2016-09-29,64.5,64.839996,64.199997,64.550003,773300,60.491821
"189","CNI",2016-09-30,65.120003,65.669998,64.699997,65.400002,891800,61.288395
"190","CNI",2016-10-03,65.220001,66.029999,64.93,65.940002,1006300,61.794426
"191","CNI",2016-10-04,65.82,66.720001,65.82,65.93,2005700,61.785061
"192","CNI",2016-10-05,66.169998,67.220001,66.129997,67,1395200,62.787796
"193","CNI",2016-10-06,67.029999,67.300003,66.699997,66.980003,629100,62.769051
"194","CNI",2016-10-07,66.93,67.18,65.949997,66.440002,688200,62.262993
"195","CNI",2016-10-10,66.870003,67.099998,66.839996,67.010002,594900,62.797169
"196","CNI",2016-10-11,66.860001,67.660004,66.379997,66.580002,1392300,62.394207
"197","CNI",2016-10-12,66.360001,66.470001,65.989998,66.239998,806100,62.075577
"198","CNI",2016-10-13,65.709999,66.709999,65.419998,66.489998,861300,62.309849
"199","CNI",2016-10-14,67.120003,67.449997,66.300003,66.32,978300,62.150543
"200","CNI",2016-10-17,65.949997,66.400002,65.849998,66.309998,1093100,62.141174
"201","CNI",2016-10-18,66.970001,67.330002,66.419998,66.949997,1106400,62.740929
"202","CNI",2016-10-19,66.5,67.480003,66.040001,66.790001,1077100,62.590988
"203","CNI",2016-10-20,66.309998,66.510002,65.5,65.669998,1204300,61.541405
"204","CNI",2016-10-21,64.989998,65.639999,64.580002,65.580002,912600,61.457073
"205","CNI",2016-10-24,65.82,65.839996,65.290001,65.559998,939000,61.438324
"206","CNI",2016-10-25,65.519997,65.879997,65.349998,65.690002,1079200,61.560162
"207","CNI",2016-10-26,65.720001,65.93,62.869999,63.09,3165600,59.123604
"208","CNI",2016-10-27,63.700001,63.779999,62.84,63.41,1158000,59.423492
"209","CNI",2016-10-28,63.200001,63.849998,62.900002,63.099998,812700,59.132984
"210","CNI",2016-10-31,62.990002,63.380001,62.830002,62.869999,1134800,58.917439
"211","CNI",2016-11-01,63.02,63.110001,61.849998,62.080002,1430800,58.177113
"212","CNI",2016-11-02,62.150002,62.610001,62.02,62.299999,1051500,58.383274
"213","CNI",2016-11-03,62.310001,62.880001,62.029999,62.360001,968300,58.439507
"214","CNI",2016-11-04,62.259998,62.48,61.720001,61.950001,718100,58.055279
"215","CNI",2016-11-07,62.48,63.549999,62.48,63.52,812200,59.526577
"216","CNI",2016-11-08,63.490002,64,62.93,63.93,797400,59.910797
"217","CNI",2016-11-09,62.490002,63.48,62.380001,63.310001,1546200,59.329781
"218","CNI",2016-11-10,63.48,65.129997,62.889999,64.709999,1533300,60.641758
"219","CNI",2016-11-11,64.410004,64.720001,62.970001,63.25,1163200,59.273548
"220","CNI",2016-11-14,63.580002,63.889999,62.970001,63.75,1770600,59.742115
"221","CNI",2016-11-15,63.98,64.449997,63.490002,64.330002,894600,60.285656
"222","CNI",2016-11-16,63.880001,64,63.189999,63.490002,936100,59.498463
"223","CNI",2016-11-17,63.580002,64.470001,63.41,64.18,1019700,60.145084
"224","CNI",2016-11-18,63.93,64.470001,63.709999,64.389999,676400,60.341881
"225","CNI",2016-11-21,64.669998,66.080002,64.669998,65.970001,1405000,61.822548
"226","CNI",2016-11-22,66.209999,66.339996,65.900002,66.099998,958200,61.944363
"227","CNI",2016-11-23,65.730003,66.18,65.699997,66.050003,491900,61.897522
"228","CNI",2016-11-25,66.160004,66.900002,65.959999,66.720001,299800,62.525402
"229","CNI",2016-11-28,66.75,66.910004,66.419998,66.629997,867200,62.441051
"230","CNI",2016-11-29,66.449997,67.169998,66.220001,66.790001,737900,62.590988
"231","CNI",2016-11-30,67.110001,67.599998,66.790001,66.830002,1552700,62.628483
"232","CNI",2016-12-01,66.82,67.870003,66.82,67.75,861700,63.490646
"233","CNI",2016-12-02,67.779999,68.059998,67.239998,67.459999,697000,63.218868
"234","CNI",2016-12-05,67.650002,68.209999,67.480003,67.769997,778100,63.50938
"235","CNI",2016-12-06,67.5,67.849998,67.220001,67.699997,814800,63.443787
"236","CNI",2016-12-07,67.459999,69.220001,67.330002,69.160004,1006100,65.083099
"237","CNI",2016-12-08,69.190002,69.919998,68.559998,69.849998,984400,65.732422
"238","CNI",2016-12-09,69.580002,70,69.25,69.519997,1701000,65.421875
"239","CNI",2016-12-12,67.400002,68.510002,66.889999,68.160004,4194800,64.142052
"240","CNI",2016-12-13,68.419998,69.32,68.260002,68.43,1328200,64.396141
"241","CNI",2016-12-14,68.440002,68.75,66.849998,66.949997,988900,63.003368
"242","CNI",2016-12-15,66.639999,67.709999,66.580002,67.120003,978200,63.163353
"243","CNI",2016-12-16,67.129997,67.57,66.769997,67.080002,744600,63.125702
"244","CNI",2016-12-19,66.919998,67.290001,66.779999,67.099998,481800,63.144539
"245","CNI",2016-12-20,67.32,68.32,67.300003,67.900002,1344400,63.897381
"246","CNI",2016-12-21,67.940002,68.440002,67.690002,68,614300,63.991486
"247","CNI",2016-12-22,67.779999,68.010002,67.459999,67.779999,460300,63.784431
"248","CNI",2016-12-23,67.739998,67.860001,67.400002,67.610001,412200,63.624474
"249","CNI",2016-12-27,67.790001,67.93,67.599998,67.760002,260600,63.765629
"250","CNI",2016-12-28,67.470001,68.459999,67.330002,67.650002,734600,63.662109
"251","CNI",2016-12-29,68.019997,68.169998,67.739998,67.989998,496100,63.982063
"252","CNI",2016-12-30,68.150002,68.370003,67.18,67.400002,526400,63.426838
"253","CNI",2017-01-03,67.709999,68.43,67.080002,67.349998,766200,63.379784
"254","CNI",2017-01-04,68.470001,69.059998,68.129997,68.919998,1193700,64.857239
"255","CNI",2017-01-05,68.959999,69.989998,68.529999,69.449997,925400,65.356003
"256","CNI",2017-01-06,69.400002,69.940002,69.059998,69.120003,961800,65.045464
"257","CNI",2017-01-09,68.949997,69.080002,68.410004,68.769997,947500,64.71608
"258","CNI",2017-01-10,68.940002,69.730003,68.889999,69.290001,757700,65.205437
"259","CNI",2017-01-11,69.400002,70.669998,69.209999,70.5,891100,66.344109
"260","CNI",2017-01-12,71.029999,71.150002,70.089996,70.57,1208200,66.409981
"261","CNI",2017-01-13,70.639999,71.5,70.440002,71,629600,66.814629
"262","CNI",2017-01-17,70.989998,71.57,70.139999,70.300003,1201000,66.155884
"263","CNI",2017-01-18,69.839996,70.32,69.43,69.75,1349700,65.638313
"264","CNI",2017-01-19,70.410004,70.410004,68.68,68.82,2520300,64.76313
"265","CNI",2017-01-20,69,70.190002,68.889999,70.120003,1328100,65.986511
"266","CNI",2017-01-23,69.699997,70.470001,69.379997,70.279999,1077000,66.137077
"267","CNI",2017-01-24,70.449997,71.410004,70.25,71.129997,2110700,66.936966
"268","CNI",2017-01-25,71.110001,71.480003,69.940002,69.989998,2649400,65.864166
"269","CNI",2017-01-26,69.93,70.360001,69.540001,70.129997,1294400,65.995911
"270","CNI",2017-01-27,70.25,70.75,69.989998,70.300003,761100,66.155884
"271","CNI",2017-01-30,69.919998,70.160004,69.279999,69.769997,980800,65.657143
"272","CNI",2017-01-31,69.949997,70.32,69.379997,69.519997,1401800,65.421875
"273","CNI",2017-02-01,69.449997,69.779999,68.730003,69.07,1300400,64.998405
"274","CNI",2017-02-02,69.239998,69.309998,68.589996,68.919998,1278700,64.857239
"275","CNI",2017-02-03,69.25,69.720001,68.849998,69.32,942900,65.233665
"276","CNI",2017-02-06,68.989998,69.169998,68.269997,68.610001,874400,64.565506
"277","CNI",2017-02-07,68.529999,69.25,68.529999,69.099998,770700,65.026634
"278","CNI",2017-02-08,69.190002,69.410004,68.400002,69.32,678900,65.233665
"279","CNI",2017-02-09,69.32,70.099998,69.32,69.699997,717700,65.591255
"280","CNI",2017-02-10,70.269997,70.75,70.139999,70.540001,533200,66.381744
"281","CNI",2017-02-13,70.790001,71.5,70.629997,71.480003,706100,67.266342
"282","CNI",2017-02-14,71.32,71.550003,71.059998,71.529999,645500,67.313393
"283","CNI",2017-02-15,71.190002,71.589996,70.879997,71.489998,1070300,67.275757
"284","CNI",2017-02-16,71.449997,71.830002,71.139999,71.559998,1220800,67.341606
"285","CNI",2017-02-17,71.300003,71.660004,71.160004,71.660004,559800,67.435722
"286","CNI",2017-02-21,71.209999,72,71.150002,71.959999,658900,67.718048
"287","CNI",2017-02-22,71.540001,72.580002,71.400002,72.169998,1583200,67.915649
"288","CNI",2017-02-23,72.669998,72.730003,71.129997,71.190002,1180600,66.993439
"289","CNI",2017-02-24,70.879997,71.279999,70.059998,70.470001,1556400,66.31588
"290","CNI",2017-02-27,70.43,71.18,69.940002,71.029999,1452900,66.842857
"291","CNI",2017-02-28,70.970001,71.300003,69.730003,69.769997,1335800,65.657143
"292","CNI",2017-03-01,70.120003,71.269997,70.029999,71.099998,1409400,66.90873
"293","CNI",2017-03-02,70.339996,71.150002,70.25,70.940002,1064100,66.758171
"294","CNI",2017-03-03,70.849998,72.040001,70.809998,72.010002,976000,67.765099
"295","CNI",2017-03-06,71.589996,72.449997,71.559998,72.349998,1058700,68.085037
"296","CNI",2017-03-07,72.120003,72.730003,72.120003,72.43,1201100,68.160332
"297","CNI",2017-03-08,72.040001,72.260002,71.459999,71.550003,1046800,67.619751
"298","CNI",2017-03-09,71.410004,72.080002,71.190002,71.699997,801100,67.761505
"299","CNI",2017-03-10,72.160004,72.980003,71.889999,72.349998,933900,68.375793
"300","CNI",2017-03-13,72.440002,73.040001,72.269997,72.809998,804900,68.810547
"301","CNI",2017-03-14,72.220001,72.580002,71.239998,71.32,1017700,67.40239
"302","CNI",2017-03-15,71.910004,72.720001,71.400002,72.610001,918100,68.621529
"303","CNI",2017-03-16,72.809998,73.279999,72.18,72.209999,841800,68.2435
"304","CNI",2017-03-17,72.519997,72.870003,72.139999,72.160004,1292600,68.196243
"305","CNI",2017-03-20,72.089996,72.410004,71.720001,72,1547900,68.045029
"306","CNI",2017-03-21,72.300003,73,71.279999,71.349998,1922100,67.430733
