"","symbol","date","open","high","low","close","volume","adjusted"
"1","COHR",2016-01-04,63.950001,64,62.150002,62.240002,160800,62.240002
"2","COHR",2016-01-05,62.599998,63.310001,62,62.830002,148800,62.830002
"3","COHR",2016-01-06,61.84,62.23,61.330002,62,163500,62
"4","COHR",2016-01-07,60.98,61.75,60.630001,60.810001,165000,60.810001
"5","COHR",2016-01-08,61.16,61.970001,60.09,60.169998,153400,60.169998
"6","COHR",2016-01-11,60.810001,62.040001,59.759998,60.240002,82900,60.240002
"7","COHR",2016-01-12,60.580002,62.330002,59.75,61.290001,174800,61.290001
"8","COHR",2016-01-13,61.43,62,59.369999,60.259998,212600,60.259998
"9","COHR",2016-01-14,61.040001,62.330002,60.540001,61.119999,195600,61.119999
"10","COHR",2016-01-15,59.82,60.860001,57.650002,58.630001,246900,58.630001
"11","COHR",2016-01-19,59.25,59.66,57.32,57.959999,205500,57.959999
"12","COHR",2016-01-20,57.290001,60.549999,56.720001,59.799999,150900,59.799999
"13","COHR",2016-01-21,60,60.189999,58.610001,59.139999,202400,59.139999
"14","COHR",2016-01-22,60.200001,61.310001,59.970001,61.279999,140700,61.279999
"15","COHR",2016-01-25,61.029999,61.919998,60.400002,60.560001,114100,60.560001
"16","COHR",2016-01-26,60.799999,62.919998,60.799999,62.650002,202700,62.650002
"17","COHR",2016-01-27,62.150002,63.59,62.150002,62.869999,176300,62.869999
"18","COHR",2016-01-28,63.459999,65.910004,62.259998,62.540001,179500,62.540001
"19","COHR",2016-01-29,69.739998,82.760002,68.5,77.269997,1247800,77.269997
"20","COHR",2016-02-01,76.519997,79.300003,76.040001,77.809998,658600,77.809998
"21","COHR",2016-02-02,76.989998,79.639999,76.639999,78.519997,206700,78.519997
"22","COHR",2016-02-03,78.900002,79.540001,77.760002,78.089996,204400,78.089996
"23","COHR",2016-02-04,78.269997,79.5,77.370003,79.43,187800,79.43
"24","COHR",2016-02-05,78.879997,78.879997,76.309998,76.419998,159000,76.419998
"25","COHR",2016-02-08,75.470001,78.290001,75.019997,78.160004,205700,78.160004
"26","COHR",2016-02-09,77.120003,79.120003,75.830002,78.040001,165100,78.040001
"27","COHR",2016-02-10,78.720001,79.730003,77.919998,77.980003,143000,77.980003
"28","COHR",2016-02-11,76.550003,77.580002,73.050003,74.410004,289600,74.410004
"29","COHR",2016-02-12,74.889999,77.07,74.220001,76.800003,185200,76.800003
"30","COHR",2016-02-16,77.599998,77.669998,76.470001,77.550003,243600,77.550003
"31","COHR",2016-02-17,77.739998,81.169998,77.550003,80.550003,344000,80.550003
"32","COHR",2016-02-18,80.489998,82.699997,78.739998,78.980003,249400,78.980003
"33","COHR",2016-02-19,78.910004,82.32,77.769997,82.150002,266500,82.150002
"34","COHR",2016-02-22,82.800003,84.610001,82.800003,83.629997,404300,83.629997
"35","COHR",2016-02-23,84.07,85.669998,83.080002,83.099998,227400,83.099998
"36","COHR",2016-02-24,82.120003,84.730003,81.260002,84.410004,186600,84.410004
"37","COHR",2016-02-25,84.370003,84.75,83.239998,84,183400,84
"38","COHR",2016-02-26,84.370003,84.370003,83.449997,84,176500,84
"39","COHR",2016-02-29,84,85.610001,83.989998,84.599998,270400,84.599998
"40","COHR",2016-03-01,85.669998,86.410004,84.599998,85.160004,233800,85.160004
"41","COHR",2016-03-02,84.910004,86.089996,84.32,86.010002,154700,86.010002
"42","COHR",2016-03-03,85.720001,86,83.449997,84.739998,194400,84.739998
"43","COHR",2016-03-04,84.239998,85.449997,84,84.790001,203300,84.790001
"44","COHR",2016-03-07,85.779999,88.660004,85.199997,87.059998,275600,87.059998
"45","COHR",2016-03-08,86.800003,87.160004,85.449997,86.019997,223300,86.019997
"46","COHR",2016-03-09,86.699997,86.699997,85.629997,86.089996,145700,86.089996
"47","COHR",2016-03-10,86.360001,86.599998,84.110001,85.040001,122200,85.040001
"48","COHR",2016-03-11,85.690002,86.980003,84.059998,86.910004,115200,86.910004
"49","COHR",2016-03-14,86.839996,87.980003,85.940002,85.980003,215200,85.980003
"50","COHR",2016-03-15,85.43,85.589996,84.639999,84.870003,195500,84.870003
"51","COHR",2016-03-16,84.610001,85.589996,84.120003,85.07,141800,85.07
"52","COHR",2016-03-17,85.220001,88.57,84.230003,88.120003,750600,88.120003
"53","COHR",2016-03-18,88.620003,90.82,88.010002,89.43,333100,89.43
"54","COHR",2016-03-21,89.459999,91.879997,89.080002,89.900002,176600,89.900002
"55","COHR",2016-03-22,89.099998,89.760002,88.559998,89.07,96700,89.07
"56","COHR",2016-03-23,89,89.599998,87.690002,88.559998,180700,88.559998
"57","COHR",2016-03-24,88.129997,89.589996,87.449997,88.739998,167400,88.739998
"58","COHR",2016-03-28,88.790001,89.610001,87.150002,89.160004,191200,89.160004
"59","COHR",2016-03-29,88.769997,92.300003,87.379997,92.150002,203500,92.150002
"60","COHR",2016-03-30,92.339996,93.050003,90.760002,90.980003,168000,90.980003
"61","COHR",2016-03-31,91.019997,93.110001,90.139999,91.900002,244100,91.900002
"62","COHR",2016-04-01,91.120003,94,91.120003,92.580002,126600,92.580002
"63","COHR",2016-04-04,92.720001,92.720001,90.650002,90.959999,207900,90.959999
"64","COHR",2016-04-05,90.610001,92.050003,90.440002,90.639999,159700,90.639999
"65","COHR",2016-04-06,90.769997,91.370003,89.349998,91.209999,248800,91.209999
"66","COHR",2016-04-07,90.760002,91.400002,89.769997,89.980003,215900,89.980003
"67","COHR",2016-04-08,90.230003,91.629997,89.610001,91.190002,222800,91.190002
"68","COHR",2016-04-11,91.919998,92.82,90.82,91.099998,112500,91.099998
"69","COHR",2016-04-12,91.349998,92.849998,91.099998,92.120003,167000,92.120003
"70","COHR",2016-04-13,92.709999,95.660004,92,95.330002,299700,95.330002
"71","COHR",2016-04-14,95.010002,97.709999,94.629997,96.82,382900,96.82
"72","COHR",2016-04-15,96.25,96.849998,95.57,95.809998,148600,95.809998
"73","COHR",2016-04-18,95.669998,96.699997,94.800003,96,147400,96
"74","COHR",2016-04-19,96.43,96.830002,95.190002,95.57,165300,95.57
"75","COHR",2016-04-20,95.5,95.5,93.889999,94.099998,174700,94.099998
"76","COHR",2016-04-21,94.290001,94.769997,93.519997,93.75,142700,93.75
"77","COHR",2016-04-22,94.080002,95.129997,93.900002,94.830002,199500,94.830002
"78","COHR",2016-04-25,94.639999,95.120003,94.330002,94.889999,130700,94.889999
"79","COHR",2016-04-26,95.370003,96.93,95.220001,96.900002,162100,96.900002
"80","COHR",2016-04-27,96.860001,98.080002,95.800003,98.019997,289200,98.019997
"81","COHR",2016-04-28,97.290001,97.290001,94.290001,95.419998,288500,95.419998
"82","COHR",2016-04-29,95.040001,99.82,89.769997,93.400002,504300,93.400002
"83","COHR",2016-05-02,93.400002,93.400002,90.110001,90.699997,425100,90.699997
"84","COHR",2016-05-03,90.379997,90.379997,88.540001,89.019997,247100,89.019997
"85","COHR",2016-05-04,87.879997,90.32,86.690002,89.519997,262100,89.519997
"86","COHR",2016-05-05,89.610001,90.330002,88.339996,89.209999,251300,89.209999
"87","COHR",2016-05-06,88.790001,90.470001,86.970001,90.169998,306300,90.169998
"88","COHR",2016-05-09,90.5,90.540001,87.410004,88.010002,238400,88.010002
"89","COHR",2016-05-10,88.209999,88.32,86.410004,87.389999,356200,87.389999
"90","COHR",2016-05-11,87.110001,87.769997,86.349998,86.809998,233000,86.809998
"91","COHR",2016-05-12,87.349998,87.690002,86.260002,86.940002,190500,86.940002
"92","COHR",2016-05-13,86.540001,87.540001,85.349998,85.489998,149000,85.489998
"93","COHR",2016-05-16,85.699997,86.730003,85.330002,85.639999,202600,85.639999
"94","COHR",2016-05-17,81,85.629997,81,84.110001,201500,84.110001
"95","COHR",2016-05-18,83.639999,86.449997,83.220001,85.559998,224900,85.559998
"96","COHR",2016-05-19,85.199997,86.07,85,85.379997,167900,85.379997
"97","COHR",2016-05-20,85.639999,87.690002,83.559998,87.470001,236900,87.470001
"98","COHR",2016-05-23,87.779999,89.949997,87.309998,89.610001,249800,89.610001
"99","COHR",2016-05-24,90.43,93.190002,90.230003,92.68,386200,92.68
"100","COHR",2016-05-25,93.089996,93.800003,91.32,92.07,153800,92.07
"101","COHR",2016-05-26,92.040001,93.230003,89.690002,92.629997,117100,92.629997
"102","COHR",2016-05-27,92.849998,96.199997,92.389999,96.099998,298600,96.099998
"103","COHR",2016-05-31,96.040001,96.099998,94.099998,94.620003,147600,94.620003
"104","COHR",2016-06-01,94.199997,95.980003,94.199997,95.629997,136000,95.629997
"105","COHR",2016-06-02,95.510002,97.260002,94.93,97.199997,145000,97.199997
"106","COHR",2016-06-03,96.919998,97.709999,95.970001,97.529999,126900,97.529999
"107","COHR",2016-06-06,97.580002,98.370003,95.839996,98.029999,104400,98.029999
"108","COHR",2016-06-07,98.209999,98.480003,97.059998,98.260002,100200,98.260002
"109","COHR",2016-06-08,98.239998,98.489998,96.129997,97.339996,141600,97.339996
"110","COHR",2016-06-09,96.919998,96.919998,95.040001,96.309998,143100,96.309998
"111","COHR",2016-06-10,95.309998,96.389999,91.5,94.5,174200,94.5
"112","COHR",2016-06-13,94.349998,95.040001,92.550003,93.239998,140900,93.239998
"113","COHR",2016-06-14,92.970001,94.440002,92.75,94.290001,116100,94.290001
"114","COHR",2016-06-15,94.599998,95.449997,93.660004,94.190002,77000,94.190002
"115","COHR",2016-06-16,93.57,94.919998,92.860001,94.82,78200,94.82
"116","COHR",2016-06-17,95.050003,95.050003,92.839996,93.370003,195200,93.370003
"117","COHR",2016-06-20,94.57,94.889999,93.709999,93.739998,129500,93.739998
"118","COHR",2016-06-21,93.900002,93.900002,93.059998,93.5,170800,93.5
"119","COHR",2016-06-22,94.040001,94.339996,91.510002,92.029999,136600,92.029999
"120","COHR",2016-06-23,92.959999,94.300003,92.309998,93.720001,158800,93.720001
"121","COHR",2016-06-24,89.470001,91.330002,88,89.379997,908700,89.379997
"122","COHR",2016-06-27,88.489998,88.980003,86.459999,86.620003,287700,86.620003
"123","COHR",2016-06-28,87.209999,87.940002,86.32,86.519997,274500,86.519997
"124","COHR",2016-06-29,87.330002,88.5,86.739998,87.57,250000,87.57
"125","COHR",2016-06-30,87.949997,91.879997,87.220001,91.779999,318800,91.779999
"126","COHR",2016-07-01,91.779999,93,90.019997,90.5,94800,90.5
"127","COHR",2016-07-05,89.800003,90.910004,89.040001,89.43,136800,89.43
"128","COHR",2016-07-06,88.610001,90.529999,88.559998,89.989998,114000,89.989998
