"","symbol","date","open","high","low","close","volume","adjusted"
"1","CTSH",2016-01-04,58.810001,58.810001,57.470001,58.130001,5001200,54.816185
"2","CTSH",2016-01-05,58.450001,58.68,57.970001,58.130001,3644100,54.816185
"3","CTSH",2016-01-06,57,57.889999,56.599998,57.130001,4911700,53.87318
"4","CTSH",2016-01-07,56.029999,57.950001,55.529999,56.639999,5449000,53.411121
"5","CTSH",2016-01-08,56.869999,56.900002,55.700001,55.759998,4959700,52.581287
"6","CTSH",2016-01-11,56.080002,56.52,55.580002,56.119999,4395100,52.920765
"7","CTSH",2016-01-12,57.5,59.919998,57.450001,59.650002,8452000,56.249542
"8","CTSH",2016-01-13,59.740002,59.950001,57.380001,57.77,6829500,54.476707
"9","CTSH",2016-01-14,58.169998,61.09,58,60.209999,7950500,56.777618
"10","CTSH",2016-01-15,57.919998,59.330002,57.799999,58.709999,5575500,55.363117
"11","CTSH",2016-01-19,59.57,60.240002,58.310001,59.939999,8025400,56.523003
"12","CTSH",2016-01-20,58.450001,59.939999,58.029999,59.25,6643000,55.872349
"13","CTSH",2016-01-21,59.459999,60.16,58.630001,59.060001,4428500,55.693169
"14","CTSH",2016-01-22,59.630001,60.630001,59.34,60.509998,5286300,57.060513
"15","CTSH",2016-01-25,60.23,61.810001,60.169998,60.919998,7242700,57.447144
"16","CTSH",2016-01-26,61.040001,62.110001,60.66,61.939999,4957100,58.408989
"17","CTSH",2016-01-27,61.740002,62.59,60.619999,61.009998,4762000,57.532001
"18","CTSH",2016-01-28,61.779999,62.259998,61.139999,61.34,4190700,57.843189
"19","CTSH",2016-01-29,61.830002,63.43,61.82,63.310001,5238500,59.700882
"20","CTSH",2016-02-01,62.48,63,62.07,62.330002,3988300,58.776756
"21","CTSH",2016-02-02,61.040001,61.630001,59.779999,60.119999,5553000,56.692738
"22","CTSH",2016-02-03,60.630001,61.02,59.509998,60.759998,3580400,57.296249
"23","CTSH",2016-02-04,60.09,60.360001,58.98,59.619999,5512800,56.221237
"24","CTSH",2016-02-05,59.200001,59.720001,57.950001,58.540001,7492400,55.20282
"25","CTSH",2016-02-08,54.98,55.439999,53.040001,54.049999,12259100,50.968773
"26","CTSH",2016-02-09,53.27,54.029999,51.220001,52.330002,8244500,49.346828
"27","CTSH",2016-02-10,53.599998,54.290001,52.939999,53.32,6279000,50.280388
"28","CTSH",2016-02-11,52.220001,52.860001,51.330002,52.110001,5627300,49.13937
"29","CTSH",2016-02-12,53.330002,53.869999,52.52,53.869999,4215700,50.799034
"30","CTSH",2016-02-16,54.130001,55.209999,54.02,55.009998,5203900,51.874046
"31","CTSH",2016-02-17,55.459999,56.880001,55.029999,56.610001,6251500,53.382832
"32","CTSH",2016-02-18,57.02,57.27,55.869999,56.009998,4663500,52.817043
"33","CTSH",2016-02-19,55.41,56.029999,55.07,55.900002,4746400,52.713318
"34","CTSH",2016-02-22,56.709999,57.41,56.34,56.630001,3397400,53.401691
"35","CTSH",2016-02-23,56.52,56.75,55.700001,55.759998,3388800,52.581287
"36","CTSH",2016-02-24,55.18,56.330002,54.529999,56.189999,3067000,52.986782
"37","CTSH",2016-02-25,56.560001,57.25,55.560001,57.240002,2997300,53.976917
"38","CTSH",2016-02-26,57.52,57.799999,56.869999,57.040001,3398500,53.788322
"39","CTSH",2016-02-29,57.130001,57.5,56.66,56.98,4675100,53.73175
"40","CTSH",2016-03-01,57.869999,58.419998,57.419998,58.209999,5542700,54.891624
"41","CTSH",2016-03-02,58.23,58.25,57.240002,57.68,4111200,54.391838
"42","CTSH",2016-03-03,57.950001,58,56.75,57.799999,3725400,54.505009
"43","CTSH",2016-03-04,58.34,58.400002,57.419998,57.740002,3611500,54.448425
"44","CTSH",2016-03-07,57.25,57.290001,56.459999,57,4099200,53.750603
"45","CTSH",2016-03-08,56.41,56.599998,55.779999,55.93,3537300,52.741604
"46","CTSH",2016-03-09,56.200001,56.240002,55.66,56.049999,3282800,52.854767
"47","CTSH",2016-03-10,56.389999,56.98,54.650002,55.419998,5146900,52.26067
"48","CTSH",2016-03-11,56.189999,57.080002,55.619999,56.970001,4811200,53.722317
"49","CTSH",2016-03-14,56.549999,58.220001,56.450001,58.119999,5432000,54.806759
"50","CTSH",2016-03-15,57.700001,58.23,57.66,58.029999,3474000,54.721886
"51","CTSH",2016-03-16,57.700001,58.98,57.310001,58.91,3839500,55.551708
"52","CTSH",2016-03-17,58.57,58.990002,58.240002,58.73,3596200,55.381973
"53","CTSH",2016-03-18,58.209999,59.32,57.93,59.25,5202400,55.872349
"54","CTSH",2016-03-21,59.310001,59.720001,58.73,59.52,3552200,56.126945
"55","CTSH",2016-03-22,59.279999,59.639999,58.799999,58.849998,4825400,55.495144
"56","CTSH",2016-03-23,58.66,59.27,58.23,59.060001,4891800,55.693169
"57","CTSH",2016-03-24,58.869999,60.639999,58.779999,60.32,5095200,56.881332
"58","CTSH",2016-03-28,60.25,60.73,59.919998,60.18,3253200,56.749321
"59","CTSH",2016-03-29,60.18,61.790001,59.950001,61.619999,4692600,58.107227
"60","CTSH",2016-03-30,62.130001,62.849998,61.790001,62.450001,5427900,58.889919
"61","CTSH",2016-03-31,62.34,63.02,62.040001,62.700001,3520900,59.125671
"62","CTSH",2016-04-01,62.32,63.189999,62.209999,63.119999,2425300,59.521713
"63","CTSH",2016-04-04,63.119999,63.139999,61.599998,61.759998,3856000,58.23925
"64","CTSH",2016-04-05,61.349998,61.560001,60.889999,61.18,2551400,57.692303
"65","CTSH",2016-04-06,61.099998,61.650002,60.889999,61.560001,2220200,58.050659
"66","CTSH",2016-04-07,61.009998,61.23,59.889999,59.990002,4524400,56.570156
"67","CTSH",2016-04-08,60.5,60.799999,59.919998,60.16,2536700,56.730465
"68","CTSH",2016-04-11,60.66,61.119999,59.959999,59.98,3375000,56.560722
"69","CTSH",2016-04-12,60.84,60.84,58.939999,59.459999,6307700,56.070374
"70","CTSH",2016-04-13,60.07,60.740002,59.439999,60.450001,6670600,57.003937
"71","CTSH",2016-04-14,60.450001,60.77,60.060001,60.360001,2710900,56.91906
"72","CTSH",2016-04-15,60.849998,60.959999,59.950001,60.07,5269200,56.645592
"73","CTSH",2016-04-18,59.950001,60.509998,59.119999,60.380001,3572100,56.93792
"74","CTSH",2016-04-19,60.630001,60.630001,59.25,59.849998,2708500,56.438126
"75","CTSH",2016-04-20,59.990002,60.389999,59.330002,60.09,2369400,56.664452
"76","CTSH",2016-04-21,59.880001,60.419998,59.709999,60.049999,2546400,56.626728
"77","CTSH",2016-04-22,59.98,60.619999,59.689999,60.439999,3295400,56.994495
"78","CTSH",2016-04-25,60.09,60.310001,59.689999,60.209999,2087500,56.777618
"79","CTSH",2016-04-26,60.27,60.950001,60.16,60.630001,2071300,57.17366
"80","CTSH",2016-04-27,60.5,61.25,60.110001,60.580002,1913200,57.126518
"81","CTSH",2016-04-28,60.099998,60.5,59.580002,59.73,3109800,56.32497
"82","CTSH",2016-04-29,59.25,59.5,57.779999,58.369999,4419100,55.0425
"83","CTSH",2016-05-02,58.369999,58.630001,57.950001,58.369999,5368700,55.0425
"84","CTSH",2016-05-03,58.009998,58.299999,57.52,57.650002,4575200,54.363556
"85","CTSH",2016-05-04,57.200001,57.830002,57,57.540001,5061400,54.259819
"86","CTSH",2016-05-05,57.5,57.759998,57.060001,57.59,6259400,54.306965
"87","CTSH",2016-05-06,56.450001,60.810001,56.209999,60.549999,7383400,57.098228
"88","CTSH",2016-05-09,60.57,61.169998,60.049999,60.82,4114800,57.352833
"89","CTSH",2016-05-10,60.799999,61.950001,60.57,61.740002,3720200,58.220398
"90","CTSH",2016-05-11,61.560001,61.98,60.900002,61.099998,2931600,57.616875
"91","CTSH",2016-05-12,61.27,61.459999,60.509998,61.130001,2631200,57.645161
"92","CTSH",2016-05-13,60.950001,62.09,60.790001,61.349998,3493600,57.852627
"93","CTSH",2016-05-16,61.299999,62.040001,60.869999,61.810001,2984600,58.286404
"94","CTSH",2016-05-17,61.490002,62.060001,61.310001,61.639999,4455000,58.126087
"95","CTSH",2016-05-18,61.549999,62.400002,61.389999,62.02,2891100,58.484425
"96","CTSH",2016-05-19,61.59,62.150002,61.450001,62.009998,3594900,58.474991
"97","CTSH",2016-05-20,61.91,63.23,61.91,62.939999,4664500,59.351978
"98","CTSH",2016-05-23,62.830002,62.900002,61.700001,61.740002,3078400,58.220398
