"","symbol","date","open","high","low","close","volume","adjusted"
"1","DWAC",2021-09-30,16,17.33,9.9,9.95,296100,9.95
"2","DWAC",2021-10-01,10,11,9.91,9.94,153100,9.94
"3","DWAC",2021-10-04,9.92,10.05,9.9,9.92,24300,9.92
"4","DWAC",2021-10-05,10.02,10.02,9.907,9.928,8100,9.928
"5","DWAC",2021-10-06,9.9,9.94,9.84,9.92,18600,9.92
"6","DWAC",2021-10-07,9.94,9.98,9.94,9.967,634800,9.967
"7","DWAC",2021-10-08,9.94,9.95,9.94,9.95,5200,9.95
"8","DWAC",2021-10-11,9.94,9.96,9.94,9.95,18400,9.95
"9","DWAC",2021-10-12,9.95,9.97,9.95,9.97,3200,9.97
"10","DWAC",2021-10-13,10.05,10.05,9.96,9.96,2300,9.96
"11","DWAC",2021-10-14,9.97,9.98,9.96,9.97,42900,9.97
"12","DWAC",2021-10-15,9.96,9.965,9.95,9.96,1800,9.96
"13","DWAC",2021-10-18,9.95,9.969,9.95,9.969,1100,9.969
"14","DWAC",2021-10-19,9.97,10.01,9.95,10.01,49900,10.01
"15","DWAC",2021-10-20,10.04,10.04,9.95,9.96,697900,9.96
"16","DWAC",2021-10-21,12.73,52,12.62,45.5,498782500,45.5
"17","DWAC",2021-10-22,118.794998,175,67.959999,94.199997,133395800,94.199997
"18","DWAC",2021-10-25,120.309998,121.800003,82.450996,83.860001,65128600,83.860001
"19","DWAC",2021-10-26,87.099998,91.349998,55.5,59.07,40572100,59.07
"20","DWAC",2021-10-27,60,74,52.77,64.889999,47453700,64.889999
"21","DWAC",2021-10-28,70.489998,77.5,65.599998,72.760002,33194400,72.760002
"22","DWAC",2021-10-29,70.360001,74.809998,66.010002,67.75,19851100,67.75
"23","DWAC",2021-11-01,66.330002,69.129997,60.5,60.82,10735300,60.82
"24","DWAC",2021-11-02,59.900002,68,54.549999,64.959999,17122300,64.959999
"25","DWAC",2021-11-03,65.199997,69.870003,61.369999,63.25,9232900,63.25
"26","DWAC",2021-11-04,63.509998,64.860001,56.5,58.84,5940300,58.84
"27","DWAC",2021-11-05,58.619999,59,56.25,56.560001,3733800,56.560001
"28","DWAC",2021-11-08,58,62.48,56.77,59.849998,6951200,59.849998
"29","DWAC",2021-11-09,59.715,60.240002,56.799999,57.299999,2306300,57.299999
"30","DWAC",2021-11-10,56.900002,61.720001,55.049999,58.299999,5042700,58.299999
"31","DWAC",2021-11-11,58.540001,59,57.110001,58.080002,1939100,58.080002
"32","DWAC",2021-11-12,58.369999,65,57.43,59.18,9797300,59.18
"33","DWAC",2021-11-15,60,61.799999,58.5,59.900002,2818400,59.900002
"34","DWAC",2021-11-16,59.709999,63.5,59.450001,59.990002,5020900,59.990002
"35","DWAC",2021-11-17,60.23,60.959999,58.25,58.5,1776500,58.5
"36","DWAC",2021-11-18,58.099998,59.540001,55.220001,56.200001,2900100,56.200001
"37","DWAC",2021-11-19,56.200001,57.189999,50.349998,51.209999,4082100,51.209999
"38","DWAC",2021-11-22,51.049,51.48,43.599998,44.849998,4838200,44.849998
"39","DWAC",2021-11-23,44.279999,45.66,38.060001,39.48,3992800,39.48
"40","DWAC",2021-11-24,39.189999,45.41,38.029999,43.150002,4235900,43.150002
"41","DWAC",2021-11-26,40.700001,46.700001,37.172001,43.099998,2211200,43.099998
"42","DWAC",2021-11-29,43.459999,44.200001,41.509998,42.740002,1393400,42.740002
"43","DWAC",2021-11-30,41.630001,43.669998,39.77,41.389999,1570100,41.389999
"44","DWAC",2021-12-01,41.459999,44.349998,36.689999,44.349998,6514100,44.349998
"45","DWAC",2021-12-02,52.16,53.970001,44.599998,47.110001,15731900,47.110001
"46","DWAC",2021-12-03,46.630001,46.889999,41.509998,44.970001,3223300,44.970001
"47","DWAC",2021-12-06,49.104,49.459999,41.259998,43.810001,6728300,43.810001
"48","DWAC",2021-12-07,45.849998,51.09,45.209999,51.07,8167100,51.07
"49","DWAC",2021-12-08,51.450001,66.309998,48.5,65.419998,28608300,65.419998
"50","DWAC",2021-12-09,62.860001,65.290001,55.720001,56.549999,10194800,56.549999
"51","DWAC",2021-12-10,59.080002,60.98,55.07,56.02,5942600,56.02
"52","DWAC",2021-12-13,56.919998,57.27,50,50.490002,4055800,50.490002
"53","DWAC",2021-12-14,48.720001,50.75,47.900002,49.830002,3122600,49.830002
"54","DWAC",2021-12-15,52.68,53.970001,49.77,53.48,3159500,53.48
"55","DWAC",2021-12-16,53.5,54.330002,50.099998,51.330002,1828200,51.330002
"56","DWAC",2021-12-17,50.009998,52.299999,49,50.060001,1574300,50.060001
"57","DWAC",2021-12-20,49.02,53.766998,48.779999,50.630001,2425200,50.630001
"58","DWAC",2021-12-21,51.5,52.32,49.529999,50.630001,1376200,50.630001
"59","DWAC",2021-12-22,50.66,53.970001,50.490002,52.049999,2881600,52.049999
"60","DWAC",2021-12-23,52.110001,54.669998,51.641998,53.099998,1987100,53.099998
"61","DWAC",2021-12-27,53.5,54.736,52.25,52.959999,1676900,52.959999
"62","DWAC",2021-12-28,52.890999,53.959999,52.299999,52.450001,1370200,52.450001
"63","DWAC",2021-12-29,52.25,52.990002,50.5,50.66,1043600,50.66
"64","DWAC",2021-12-30,50.900002,52.32,50.389999,51.91,1364000,51.91
"65","DWAC",2021-12-31,51.900002,54.759998,51.150002,51.43,2224700,51.43
"66","DWAC",2022-01-03,51.400002,52.68,51.349998,51.700001,1029200,51.700001
"67","DWAC",2022-01-04,52,52.700001,51.200001,52.23,1127900,52.23
"68","DWAC",2022-01-05,52,52.099998,50.009998,50.369999,1149100,50.369999
"69","DWAC",2022-01-06,50.48,61.849998,45.202,60.27,10941700,60.27
"70","DWAC",2022-01-07,56.290001,57.860001,53.5,53.98,6219200,53.98
"71","DWAC",2022-01-10,53.5,60.150002,51.07,55.91,7807500,55.91
"72","DWAC",2022-01-11,56.450001,66.190002,55.029999,63.799999,15790500,63.799999
"73","DWAC",2022-01-12,64.099998,71.809998,62.130001,71.260002,16691000,71.260002
"74","DWAC",2022-01-13,70.25,74.470001,66.25,67.610001,13468700,67.610001
"75","DWAC",2022-01-14,67.349998,72.449997,67,70.879997,8772000,70.879997
"76","DWAC",2022-01-18,73.150002,90.239998,72.43,86.309998,23708800,86.309998
"77","DWAC",2022-01-19,91.059998,91.497002,77.360001,77.449997,17543800,77.449997
"78","DWAC",2022-01-20,80.269997,87,77.75,80.540001,12408900,80.540001
"79","DWAC",2022-01-21,81.620003,83.5,71.370003,73.120003,8173800,73.120003
"80","DWAC",2022-01-24,66.760002,69.519997,60,67.209999,7226900,67.209999
"81","DWAC",2022-01-25,66.800003,73.650002,64.800003,68.980003,6097500,68.980003
"82","DWAC",2022-01-26,71.830002,73.400002,66.809998,69.389999,5006900,69.389999
"83","DWAC",2022-01-27,70.350998,71.629997,65,66.43,2579800,66.43
"84","DWAC",2022-01-28,66.25,69.699997,63.599998,68.75,2467400,68.75
"85","DWAC",2022-01-31,70.739998,75.5,70.239998,73.07,5006000,73.07
"86","DWAC",2022-02-01,73.5,84.620003,71.136002,83.25,9719600,83.25
"87","DWAC",2022-02-02,82.919998,83.360001,76.589996,79.830002,6868300,79.830002
"88","DWAC",2022-02-03,76.010002,86.849998,75.199997,81.089996,8724500,81.089996
"89","DWAC",2022-02-04,81.089996,86.32,80.699997,84.449997,8868400,84.449997
"90","DWAC",2022-02-07,87.019997,97.150002,80.580002,83.879997,21193200,83.879997
"91","DWAC",2022-02-08,82.599998,86.739998,77.5,84.559998,8601200,84.559998
"92","DWAC",2022-02-09,85.160004,87.43,80.550003,83.400002,5367600,83.400002
"93","DWAC",2022-02-10,81.978996,85.120003,81.489998,82.879997,2768500,82.879997
"94","DWAC",2022-02-11,82.260002,84.919998,79,82,3326800,82
"95","DWAC",2022-02-14,80.830002,82.199997,77.75,79.949997,2667500,79.949997
"96","DWAC",2022-02-15,80.239998,82.25,79.309998,81.150002,2701200,81.150002
"97","DWAC",2022-02-16,83.5,87.5,81.709999,85.160004,6001400,85.160004
"98","DWAC",2022-02-17,85.199997,90.199997,82.25,85.489998,7479000,85.489998
"99","DWAC",2022-02-18,86,86.900002,81.75,84.32,2713300,84.32
