"","symbol","date","open","high","low","close","volume","adjusted"
"1","FLR",2016-01-04,46.529999,47.759998,46.259998,47.709999,1645300,43.507206
"2","FLR",2016-01-05,47.599998,48.110001,46.669998,46.779999,1308000,42.659142
"3","FLR",2016-01-06,45.799999,46.150002,45.07,45.5,1807100,41.491894
"4","FLR",2016-01-07,44.73,45.23,44.34,44.48,2169100,40.561745
"5","FLR",2016-01-08,44.669998,45.139999,43.200001,43.330002,2053900,39.513054
"6","FLR",2016-01-11,43.509998,43.630001,41.52,41.830002,3113100,38.145187
"7","FLR",2016-01-12,42.43,42.669998,41.68,42.400002,2145900,38.66497
"8","FLR",2016-01-13,43.110001,43.240002,41.43,41.669998,2238500,37.999283
"9","FLR",2016-01-14,42.07,42.639999,41.080002,42.080002,2694600,38.373161
"10","FLR",2016-01-15,40.689999,42.09,40.689999,41.950001,2143200,38.254612
"11","FLR",2016-01-19,42.34,42.68,40.740002,41.169998,1878500,37.543324
"12","FLR",2016-01-20,40.490002,41.630001,39.48,41.110001,1587200,37.488613
"13","FLR",2016-01-21,41.18,41.93,40.73,41.32,2355500,37.680107
"14","FLR",2016-01-22,42.439999,43.52,42.119999,42.889999,2822400,39.111813
"15","FLR",2016-01-25,42.549999,42.939999,42.02,42.349998,1785300,38.619373
"16","FLR",2016-01-26,42.939999,44.009998,42.43,43.990002,1508200,40.11491
"17","FLR",2016-01-27,43.52,43.939999,42.669998,42.919998,1577000,39.139168
"18","FLR",2016-01-28,43.599998,44.130001,43.290001,43.549999,1420200,39.713673
"19","FLR",2016-01-29,43.619999,44.959999,43.48,44.889999,2217200,40.935623
"20","FLR",2016-02-01,44.52,44.93,43.599998,44.610001,1916200,40.680294
"21","FLR",2016-02-02,43.639999,44.580002,43.639999,43.880001,1613900,40.014603
"22","FLR",2016-02-03,44.740002,46.330002,42.52,43.459999,2599100,39.631596
"23","FLR",2016-02-04,43.57,45.27,43.310001,44.939999,1720200,40.981216
"24","FLR",2016-02-05,44.509998,45.330002,44.380001,44.84,1259200,40.89003
"25","FLR",2016-02-08,44.189999,44.34,42.200001,42.779999,2080900,39.011497
"26","FLR",2016-02-09,42.389999,43.59,42.279999,43.16,1395000,39.358021
"27","FLR",2016-02-10,43.169998,43.689999,42.700001,42.709999,1101600,38.947662
"28","FLR",2016-02-11,41.509998,42.32,41.060001,41.740002,1996700,38.063114
"29","FLR",2016-02-12,41.900002,43.880001,41.900002,43.639999,1419200,39.795738
"30","FLR",2016-02-16,44.279999,45.169998,43.790001,44.990002,1813800,41.026821
"31","FLR",2016-02-17,45.73,46.880001,45.57,46.43,1688400,42.33997
"32","FLR",2016-02-18,46.759998,47.150002,46.029999,46.459999,2174400,42.367329
"33","FLR",2016-02-19,42.639999,45.610001,42.41,45.380001,4264700,41.382465
"34","FLR",2016-02-22,46.099998,47.599998,46,47,2013100,42.85976
"35","FLR",2016-02-23,46.560001,47.049999,46.02,46.07,1338500,42.011681
"36","FLR",2016-02-24,45.119999,46.169998,44.82,46.139999,1252000,42.075516
"37","FLR",2016-02-25,45.880001,46.259998,45.16,46.009998,956200,41.956974
"38","FLR",2016-02-26,46.560001,47.459999,46.400002,46.810001,1487900,42.686497
"39","FLR",2016-02-29,46.740002,46.810001,46.040001,46.040001,1699900,42.173523
"40","FLR",2016-03-01,46.560001,48.189999,46.32,47.759998,1087700,43.749077
"41","FLR",2016-03-02,47.740002,48.68,47.400002,48.639999,1334900,44.55518
"42","FLR",2016-03-03,48.810001,49.290001,48.34,48.889999,1535300,44.784176
"43","FLR",2016-03-04,48.98,49.52,48.450001,49.169998,1380800,45.040672
"44","FLR",2016-03-07,49,51.779999,48.689999,51.759998,2917900,47.413155
"45","FLR",2016-03-08,51.299999,51.689999,50.369999,51.009998,3203200,46.726143
"46","FLR",2016-03-09,51.23,51.23,50.09,50.209999,2143000,45.993328
"47","FLR",2016-03-10,50.259998,50.439999,48.93,49.84,1537000,45.6544
"48","FLR",2016-03-11,50.549999,51.810001,50.200001,51.419998,1954700,47.101707
"49","FLR",2016-03-14,51.07,52,50.709999,51.700001,1375100,47.358196
"50","FLR",2016-03-15,51.099998,51.240002,50.52,51.150002,790500,46.854382
"51","FLR",2016-03-16,51,52.77,50.810001,52.599998,1567200,48.182602
"52","FLR",2016-03-17,52.790001,55,52.790001,54.790001,2467800,50.188686
"53","FLR",2016-03-18,54.939999,55.48,54.66,55.209999,2884400,50.57341
"54","FLR",2016-03-21,55,55.360001,54.529999,54.91,880500,50.298618
"55","FLR",2016-03-22,54.5,55.439999,54.5,55.25,1349000,50.610069
"56","FLR",2016-03-23,54.830002,55.099998,54.060001,54.16,1416600,49.611599
"57","FLR",2016-03-24,53.73,54.150002,53.349998,54.119999,1111500,49.574959
"58","FLR",2016-03-28,54.43,54.59,53.610001,53.880001,890700,49.35511
"59","FLR",2016-03-29,53.43,54.060001,53.119999,53.990002,1413100,49.455875
"60","FLR",2016-03-30,54.48,54.77,53.77,54.360001,1315500,49.794804
