"","symbol","date","open","high","low","close","volume","adjusted"
"1","FL",2016-01-04,64.459999,65.330002,64.050003,65.309998,2304400,55.9585
"2","FL",2016-01-05,65.309998,66.959999,65.309998,66.230003,2045400,56.746777
"3","FL",2016-01-06,65.25,66.559998,64.459999,65.230003,2446200,55.889965
"4","FL",2016-01-07,64.019997,66.260002,64,64.440002,3245700,55.213078
"5","FL",2016-01-08,65.449997,65.5,62.66,62.700001,3755900,53.722214
"6","FL",2016-01-11,62.919998,63.68,61.77,62.619999,2682100,53.653683
"7","FL",2016-01-12,63.360001,63.77,62.119999,63.369999,1652600,54.296276
"8","FL",2016-01-13,63.43,63.43,61.34,61.650002,2313600,53.031784
"9","FL",2016-01-14,61.209999,62.360001,60.360001,61.549999,2839900,52.945747
"10","FL",2016-01-15,60.189999,60.98,59.009998,60.650002,3006600,52.171566
"11","FL",2016-01-19,61.259998,63.75,61.240002,62.889999,4083500,54.098442
"12","FL",2016-01-20,62.009998,62.82,59.759998,62.240002,5040500,53.53931
"13","FL",2016-01-21,61.82,65.07,61.709999,64.559998,3176300,55.534981
"14","FL",2016-01-22,64.959999,65.610001,64.5,65.199997,2128500,56.08551
"15","FL",2016-01-25,65.349998,65.489998,64.300003,64.470001,1650300,55.457569
"16","FL",2016-01-26,65.739998,66.760002,65.220001,66.129997,2603300,56.885509
"17","FL",2016-01-27,65.639999,66.900002,65.400002,65.720001,2340800,56.532837
"18","FL",2016-01-28,66.800003,67.529999,65.830002,67.309998,2289400,57.900547
"19","FL",2016-01-29,67.650002,68.5,67.220001,67.559998,2532400,58.115612
"20","FL",2016-02-01,67.580002,69.5,67.230003,69.099998,2155400,59.440319
"21","FL",2016-02-02,68.900002,69.650002,68.699997,69.139999,2217900,59.474724
"22","FL",2016-02-03,69.040001,69.559998,67,68.489998,2711600,58.9156
"23","FL",2016-02-04,67.349998,68.709999,67.040001,68.050003,2019400,58.537121
"24","FL",2016-02-05,67.889999,68,65.739998,65.809998,2535500,56.610241
"25","FL",2016-02-08,65.389999,65.440002,63.119999,64.510002,2606000,55.491978
"26","FL",2016-02-09,63.639999,64.989998,62.73,63.639999,1886600,54.743599
"27","FL",2016-02-10,64.279999,64.870003,63.82,63.970001,1724500,55.027466
"28","FL",2016-02-11,63.310001,64.459999,62.990002,63.98,2244700,55.03606
"29","FL",2016-02-12,64.650002,66.110001,64.019997,65.949997,1604200,56.730671
"30","FL",2016-02-16,66.610001,68.029999,66.199997,67.68,1764900,58.218838
"31","FL",2016-02-17,67.959999,68.269997,66.760002,67.660004,1970500,58.201622
"32","FL",2016-02-18,67.68,67.800003,66.260002,67,1960700,57.633896
"33","FL",2016-02-19,66.5,67.760002,65.650002,67.5,2655500,58.063992
