"","symbol","date","open","high","low","close","volume","adjusted"
"1","FMAO",2016-01-04,13.04,13.04,13.04,13.04,800,11.324966
"2","FMAO",2016-01-05,13.04,13.04,13.04,13.04,0,11.324966
"3","FMAO",2016-01-06,13.175,13.175,13.175,13.175,3000,11.442208
"4","FMAO",2016-01-07,13.25,13.25,13.25,13.25,400,11.507344
"5","FMAO",2016-01-08,13.255,13.255,13.255,13.255,1400,11.511687
"6","FMAO",2016-01-11,13.255,13.255,13.255,13.255,0,11.511687
"7","FMAO",2016-01-12,13.255,13.255,13.255,13.255,0,11.511687
"8","FMAO",2016-01-13,13.255,13.255,13.25,13.25,7800,11.507344
"9","FMAO",2016-01-14,13.2,13.2,13.125,13.125,1600,11.398784
"10","FMAO",2016-01-15,13.125,13.125,13,13,3000,11.290226
"11","FMAO",2016-01-19,12.935,13.375,12.935,13.275,10800,11.529057
"12","FMAO",2016-01-20,13.375,13.675,13.375,13.675,4400,11.87645
"13","FMAO",2016-01-21,13.695,13.875,13.695,13.875,9400,12.050146
"14","FMAO",2016-01-22,13.625,13.625,13.55,13.55,800,11.76789
"15","FMAO",2016-01-25,13.55,13.55,13.55,13.55,0,11.76789
"16","FMAO",2016-01-26,13.31,13.38,13.31,13.375,2400,11.615904
"17","FMAO",2016-01-27,13.5,13.625,13.5,13.625,7200,11.833024
"18","FMAO",2016-01-28,13.625,13.625,13.625,13.625,0,11.833024
"19","FMAO",2016-01-29,13.305,13.305,13.305,13.305,1800,11.555111
"20","FMAO",2016-02-01,13.31,13.31,13.31,13.31,4800,11.559454
"21","FMAO",2016-02-02,13.31,13.31,13.31,13.31,0,11.559454
"22","FMAO",2016-02-03,13.31,13.31,13.31,13.31,0,11.559454
"23","FMAO",2016-02-04,13.495,13.625,13.495,13.625,1200,11.833024
"24","FMAO",2016-02-05,13.625,13.625,13.625,13.625,0,11.833024
"25","FMAO",2016-02-08,13.625,13.625,13.625,13.625,5800,11.833024
"26","FMAO",2016-02-09,13.625,13.625,13.625,13.625,0,11.833024
"27","FMAO",2016-02-10,13.625,13.625,13.625,13.625,0,11.833024
"28","FMAO",2016-02-11,13.625,13.625,13.625,13.625,0,11.833024
