"","symbol","date","open","high","low","close","volume","adjusted"
"1","FMS",2016-01-04,40.75,41.279999,40.290001,41.279999,231800,37.827827
"2","FMS",2016-01-05,41.950001,42.619999,41.869999,42.470001,182800,38.918312
"3","FMS",2016-01-06,42.349998,42.880001,42.23,42.709999,141200,39.138233
"4","FMS",2016-01-07,41.990002,42.669998,41.990002,42.09,164100,38.570084
"5","FMS",2016-01-08,42.380001,42.41,41.939999,41.990002,107700,38.478451
"6","FMS",2016-01-11,41.790001,41.84,41.130001,41.419998,147800,37.956116
"7","FMS",2016-01-12,41.759998,42.02,41.57,41.970001,110100,38.460121
"8","FMS",2016-01-13,41.630001,41.709999,40.41,40.52,137600,37.131386
"9","FMS",2016-01-14,40.27,40.950001,40.049999,40.639999,170000,37.241348
"10","FMS",2016-01-15,39.27,39.619999,38.98,39.34,142500,36.05006
"11","FMS",2016-01-19,40.09,40.169998,39.639999,39.98,222100,36.636539
"12","FMS",2016-01-20,39.259998,39.720001,38.709999,39.5,253100,36.196686
"13","FMS",2016-01-21,40,40.52,39.48,40.189999,271400,36.828979
"14","FMS",2016-01-22,40.77,41.290001,40.77,41.150002,223400,37.708698
"15","FMS",2016-01-25,42.130001,42.310001,41.880001,41.959999,242800,38.450958
"16","FMS",2016-01-26,41.759998,42.459999,41.759998,42.369999,330600,38.826675
"17","FMS",2016-01-27,43.82,44.400002,43.560001,43.799999,966600,40.137081
"18","FMS",2016-01-28,43.68,43.900002,43.110001,43.41,812600,39.779701
"19","FMS",2016-01-29,43.5,44.529999,43.459999,44.490002,573100,40.769379
"20","FMS",2016-02-01,44.669998,45.48,44.599998,45.389999,579100,41.594112
"21","FMS",2016-02-02,45.139999,45.139999,44.57,44.880001,773200,41.126762
"22","FMS",2016-02-03,44.759998,45.279999,44.080002,45.240002,850700,41.456661
"23","FMS",2016-02-04,43.32,43.799999,43.049999,43.560001,758600,39.917152
"24","FMS",2016-02-05,42.560001,43.150002,41.43,41.52,564000,38.047752
"25","FMS",2016-02-08,40.369999,41.080002,40.220001,40.93,267600,37.507095
"26","FMS",2016-02-09,40.09,41.689999,40.09,41.459999,730000,37.992775
"27","FMS",2016-02-10,41.93,42.740002,41.84,42.209999,397000,38.68005
"28","FMS",2016-02-11,41.509998,42.349998,40.75,41.59,470900,38.111908
"29","FMS",2016-02-12,41.009998,41.900002,40.900002,41.830002,250300,38.331833
"30","FMS",2016-02-16,42.310001,42.610001,41.939999,42.290001,208000,38.753365
"31","FMS",2016-02-17,42.66,43.16,42.470001,43.09,161900,39.486458
"32","FMS",2016-02-18,43.02,43.639999,42.740002,43.029999,136700,39.431477
"33","FMS",2016-02-19,42.439999,42.889999,42.330002,42.82,118400,39.23904
"34","FMS",2016-02-22,42.599998,43.080002,42.59,42.93,178800,39.33984
"35","FMS",2016-02-23,42.419998,42.5,41.889999,42.41,313600,38.863323
"36","FMS",2016-02-24,41,41.240002,40.619999,41.110001,235300,37.672043
"37","FMS",2016-02-25,43.029999,43.049999,42.369999,42.91,364200,39.321514
"38","FMS",2016-02-26,42.939999,43.099998,42.66,42.880001,174400,39.294022
"39","FMS",2016-02-29,42.16,42.389999,41.93,41.950001,146800,38.441795
"40","FMS",2016-03-01,42.849998,43.18,42.490002,43.099998,179300,39.495621
"41","FMS",2016-03-02,42.189999,42.529999,41.919998,42.529999,134500,38.973289
"42","FMS",2016-03-03,41.259998,41.889999,41.259998,41.869999,278000,38.368484
"43","FMS",2016-03-04,41.919998,41.919998,41.450001,41.529999,242100,38.056919
"44","FMS",2016-03-07,41.529999,41.75,41.43,41.650002,282000,38.166882
"45","FMS",2016-03-08,41.900002,42.029999,41.77,41.790001,100200,38.295177
"46","FMS",2016-03-09,42,42.02,41.560001,41.630001,132400,38.14856
"47","FMS",2016-03-10,42.27,42.799999,41.290001,41.599998,257100,38.121063
"48","FMS",2016-03-11,42.139999,42.599998,42.029999,42.529999,79300,38.973289
