"","symbol","date","open","high","low","close","volume","adjusted"
"1","FNB",2016-01-04,13.07,13.12,12.89,12.95,1335900,10.13892
"2","FNB",2016-01-05,12.99,13.08,12.88,13,991700,10.178071
"3","FNB",2016-01-06,12.77,12.97,12.77,12.89,917700,10.091949
"4","FNB",2016-01-07,12.69,12.81,12.53,12.54,2143300,9.817923
"5","FNB",2016-01-08,12.6,12.67,12.19,12.22,2542600,9.567386
"6","FNB",2016-01-11,12.31,12.41,12.19,12.23,1946800,9.575214
"7","FNB",2016-01-12,12.37,12.37,12.09,12.32,1204200,9.645678
"8","FNB",2016-01-13,12.32,12.41,11.79,11.86,1069700,9.285529
"9","FNB",2016-01-14,11.97,12.16,11.79,12.05,1342800,9.434288
"10","FNB",2016-01-15,11.67,11.91,11.58,11.86,1753900,9.285529
"11","FNB",2016-01-19,12.02,12.04,11.7,11.78,1621700,9.222898
"12","FNB",2016-01-20,11.54,11.79,11.33,11.69,2103400,9.152434
"13","FNB",2016-01-21,11.87,12.06,11.45,11.49,1791000,8.995848
"14","FNB",2016-01-22,11.58,11.75,11.47,11.66,1841100,9.128946
"15","FNB",2016-01-25,11.5,11.61,11.17,11.18,1485400,8.75314
"16","FNB",2016-01-26,11.21,11.58,11.16,11.56,1495900,9.050653
"17","FNB",2016-01-27,11.51,11.76,11.44,11.51,2106800,9.011507
"18","FNB",2016-01-28,11.66,11.8,11.61,11.72,1465600,9.175923
"19","FNB",2016-01-29,11.74,12.07,11.69,12.05,1700900,9.434288
"20","FNB",2016-02-01,11.97,12.18,11.82,12.1,1747300,9.473434
"21","FNB",2016-02-02,11.87,11.91,11.7,11.77,1678300,9.215067
"22","FNB",2016-02-03,11.88,11.96,11.48,11.92,1697300,9.332506
"23","FNB",2016-02-04,11.89,12.15,11.86,12.09,1720700,9.465604
"24","FNB",2016-02-05,12.1,12.23,12.06,12.08,2335200,9.457774
"25","FNB",2016-02-08,11.9,12.13,11.79,12.09,2111900,9.465604
"26","FNB",2016-02-09,11.89,12.17,11.88,12.08,1432100,9.457774
"27","FNB",2016-02-10,12.21,12.36,11.97,11.98,3024000,9.379481
"28","FNB",2016-02-11,11.71,11.76,11.44,11.57,2954900,9.058482
"29","FNB",2016-02-12,11.75,12.06,11.72,11.86,32154900,9.285529
"30","FNB",2016-02-16,11.89,12.21,11.76,12.2,3604900,9.551727
"31","FNB",2016-02-17,12.3,12.4,12.21,12.33,3590500,9.653506
"32","FNB",2016-02-18,12.39,12.39,12.05,12.18,1741100,9.53607
"33","FNB",2016-02-19,12.14,12.34,12.13,12.21,1290300,9.559556
"34","FNB",2016-02-22,12.37,12.59,12.28,12.5,2126100,9.786606
"35","FNB",2016-02-23,12.43,12.53,12.26,12.33,2206900,9.653506
"36","FNB",2016-02-24,12.17,12.32,12.02,12.3,1641400,9.63002
"37","FNB",2016-02-25,12.31,12.49,12.25,12.46,979600,9.755288
"38","FNB",2016-02-26,12.59,12.73,12.5,12.6,1191600,9.8649
"39","FNB",2016-02-29,12.51,12.55,12.26,12.28,2614800,9.706807
"40","FNB",2016-03-01,12.34,12.82,12.32,12.82,2246700,10.133656
"41","FNB",2016-03-02,12.79,12.92,12.71,12.92,1340100,10.212698
"42","FNB",2016-03-03,12.91,13.19,12.86,13.18,1396400,10.41822
"43","FNB",2016-03-04,13.25,13.32,13.11,13.28,1736400,10.497264
"44","FNB",2016-03-07,13.17,13.35,13.13,13.32,1382500,10.528882
"45","FNB",2016-03-08,13.2,13.23,13.01,13.02,1265900,10.291747
"46","FNB",2016-03-09,13.11,13.15,12.97,13.02,1493300,10.291747
"47","FNB",2016-03-10,13.14,13.17,12.87,13.1,1237500,10.354983
"48","FNB",2016-03-11,13.23,13.39,13.15,13.39,1461300,10.584213
"49","FNB",2016-03-14,13.36,13.4,13.08,13.22,1948800,10.449839
"50","FNB",2016-03-15,13.11,13.11,12.9,12.96,2287000,10.244317
"51","FNB",2016-03-16,12.94,13.12,12.79,12.89,1583600,10.188986
"52","FNB",2016-03-17,12.84,13.09,12.65,13.04,1618600,10.307555
"53","FNB",2016-03-18,13.06,13.25,13.03,13.1,5624500,10.354983
"54","FNB",2016-03-21,13.11,13.17,12.98,13.1,1459900,10.354983
"55","FNB",2016-03-22,13.01,13.13,12.94,13.06,1296700,10.323364
"56","FNB",2016-03-23,13.04,13.06,12.92,12.92,1195900,10.212698
"57","FNB",2016-03-24,12.86,12.9,12.73,12.9,948000,10.196889
"58","FNB",2016-03-28,12.96,13.04,12.83,12.93,1019700,10.220605
"59","FNB",2016-03-29,12.9,13.11,12.74,13.09,1639400,10.347076
"60","FNB",2016-03-30,13.12,13.3,13.08,13.13,1067600,10.378694
"61","FNB",2016-03-31,13.13,13.16,12.9,13.01,1233600,10.283842
"62","FNB",2016-04-01,12.89,13,12.83,12.98,1060100,10.26013
"63","FNB",2016-04-04,12.98,13.04,12.86,12.89,923200,10.188986
"64","FNB",2016-04-05,12.77,12.81,12.57,12.57,1234200,9.936039
"65","FNB",2016-04-06,12.59,12.69,12.49,12.67,1047700,10.015084
"66","FNB",2016-04-07,12.56,12.59,12.26,12.32,1143700,9.738425
"67","FNB",2016-04-08,12.45,12.56,12.34,12.39,1164100,9.793757
"68","FNB",2016-04-11,12.47,12.7,12.45,12.52,1307500,9.896518
"69","FNB",2016-04-12,12.57,12.79,12.52,12.77,819900,10.09413
"70","FNB",2016-04-13,12.87,13.14,12.86,13.12,1628200,10.370791
"71","FNB",2016-04-14,13.08,13.32,13.01,13.17,1104300,10.410316
"72","FNB",2016-04-15,13.17,13.23,13.09,13.12,1197600,10.370791
"73","FNB",2016-04-18,13.01,13.27,13.01,13.21,951600,10.44193
"74","FNB",2016-04-19,13.28,13.39,13.23,13.37,988900,10.568401
"75","FNB",2016-04-20,13.4,13.49,13.29,13.47,1119600,10.64745
"76","FNB",2016-04-21,13.5,13.51,13.34,13.36,950500,10.560496
"77","FNB",2016-04-22,13.15,13.58,13.15,13.49,1395700,10.663261
"78","FNB",2016-04-25,13.45,13.45,13.23,13.33,1227000,10.536783
"79","FNB",2016-04-26,13.39,13.5,13.33,13.44,1113000,10.623734
"80","FNB",2016-04-27,13.42,13.47,13.26,13.37,1158300,10.568401
"81","FNB",2016-04-28,13.24,13.4,13.19,13.23,818200,10.457741
"82","FNB",2016-04-29,13.2,13.3,13.1,13.22,1118600,10.449839
"83","FNB",2016-05-02,13.24,13.35,13.15,13.31,1168600,10.520978
"84","FNB",2016-05-03,13.1,13.14,12.87,12.96,969200,10.244317
"85","FNB",2016-05-04,12.86,12.99,12.65,12.76,1157800,10.086227
"86","FNB",2016-05-05,12.85,12.93,12.66,12.67,1090400,10.015084
"87","FNB",2016-05-06,12.64,12.72,12.55,12.71,966600,10.046702
"88","FNB",2016-05-09,12.69,12.8,12.62,12.71,746600,10.046702
"89","FNB",2016-05-10,12.8,12.96,12.74,12.87,683200,10.173175
