"","symbol","date","open","high","low","close","volume","adjusted"
"1","FOUR",2020-06-05,33.099998,35,31.5,33.540001,12214900,33.540001
"2","FOUR",2020-06-08,33,37.330002,32.650002,35.150002,1942600,35.150002
"3","FOUR",2020-06-09,35.599998,37.290001,33.73,35.509998,1174800,35.509998
"4","FOUR",2020-06-10,36.099998,36.990002,34.349998,35.450001,684600,35.450001
"5","FOUR",2020-06-11,32.450001,33.299999,30,31.75,1258900,31.75
"6","FOUR",2020-06-12,33.110001,35.080002,31.23,34.75,2241100,34.75
"7","FOUR",2020-06-15,34,36.5,33.389999,35.52,357000,35.52
"8","FOUR",2020-06-16,36,36.244999,34.5,35,366300,35
"9","FOUR",2020-06-17,35.040001,36.5,34.700001,36.369999,415100,36.369999
"10","FOUR",2020-06-18,36.380001,39.990002,35.700001,39.529999,824100,39.529999
"11","FOUR",2020-06-19,40,42.330002,38.034,41.75,1435700,41.75
"12","FOUR",2020-06-22,41.139999,44.259998,40.009998,40.509998,779100,40.509998
"13","FOUR",2020-06-23,41.200001,42.990002,40.27,40.5,435000,40.5
"14","FOUR",2020-06-24,39.560001,40.189999,37,37.52,638200,37.52
"15","FOUR",2020-06-25,37.150002,37.610001,35.349998,36.029999,533900,36.029999
"16","FOUR",2020-06-26,36.200001,37.720001,36.200001,37.200001,437100,37.200001
"17","FOUR",2020-06-29,36.84,37.209999,34.77,35.93,442600,35.93
"18","FOUR",2020-06-30,36.799999,37.75,34.810001,35.5,544000,35.5
"19","FOUR",2020-07-01,35.790001,35.990002,33.18,34,808100,34
"20","FOUR",2020-07-02,34.779999,36.75,34.650002,36.169998,545300,36.169998
"21","FOUR",2020-07-06,36.700001,40.400002,36.349998,39.389999,624900,39.389999
"22","FOUR",2020-07-07,38.560001,45.970001,38,42.490002,1809700,42.490002
"23","FOUR",2020-07-08,45.889999,47.950001,43.25,44.75,2269500,44.75
"24","FOUR",2020-07-09,45.27,46.349998,41.099998,44.830002,1070500,44.830002
"25","FOUR",2020-07-10,42.16,45.75,41.68,44.880001,884700,44.880001
"26","FOUR",2020-07-13,45.330002,45.375,37.360001,39.040001,1259500,39.040001
"27","FOUR",2020-07-14,36.82,37.970001,35.52,37.759998,985900,37.759998
"28","FOUR",2020-07-15,39.459999,41.450001,37.706001,39.98,874400,39.98
"29","FOUR",2020-07-16,38.299999,40.599998,38.07,39.419998,324900,39.419998
"30","FOUR",2020-07-17,39.869999,39.869999,38.279999,38.900002,254700,38.900002
"31","FOUR",2020-07-20,38.849998,38.862999,37.140999,38.049999,356400,38.049999
"32","FOUR",2020-07-21,38.240002,38.688,36.450001,37.130001,631300,37.130001
"33","FOUR",2020-07-22,37,37.110001,35.029999,35.799999,647600,35.799999
"34","FOUR",2020-07-23,35.98,36.325001,35,36,399700,36
"35","FOUR",2020-07-24,35.169998,36.25,34.740002,35.400002,460900,35.400002
"36","FOUR",2020-07-27,35.849998,37.150002,34.240002,36.529999,271500,36.529999
"37","FOUR",2020-07-28,36.310001,38.759998,36.040001,36.740002,257700,36.740002
"38","FOUR",2020-07-29,37,38.5,36.360001,38.5,187000,38.5
"39","FOUR",2020-07-30,37.110001,39,37.060001,37.580002,189000,37.580002
"40","FOUR",2020-07-31,37.52,38.299999,36.169998,38.299999,300100,38.299999
"41","FOUR",2020-08-03,38.259998,40.400002,38.099998,39.599998,656500,39.599998
"42","FOUR",2020-08-04,39.220001,40,38.060001,39.299999,466000,39.299999
"43","FOUR",2020-08-05,40.299999,40.299999,38.630001,39.41,635400,39.41
"44","FOUR",2020-08-06,41.75,44.639999,40.509998,43.639999,1530600,43.639999
"45","FOUR",2020-08-07,44.060001,45.5,42.205002,44.32,607200,44.32
"46","FOUR",2020-08-10,44.599998,47.240002,44.34,46.23,758700,46.23
"47","FOUR",2020-08-11,46,47.43,44.700001,45.380001,644400,45.380001
"48","FOUR",2020-08-12,45.830002,49.139999,45.694,47.060001,519300,47.060001
"49","FOUR",2020-08-13,47.110001,50.125,46.240002,48.889999,428100,48.889999
"50","FOUR",2020-08-14,48.990002,52.380001,48.990002,49.889999,530800,49.889999
"51","FOUR",2020-08-17,50.540001,51.5,49.34,49.540001,305400,49.540001
"52","FOUR",2020-08-18,49.549999,50.709999,47.509998,47.959999,466900,47.959999
"53","FOUR",2020-08-19,48.880001,51.779999,48.356998,49.900002,449400,49.900002
"54","FOUR",2020-08-20,49.900002,51,48.099998,48.240002,302500,48.240002
"55","FOUR",2020-08-21,48.689999,50.59,47.220001,50.169998,575300,50.169998
"56","FOUR",2020-08-24,51,51.900002,47.799999,50.34,498600,50.34
"57","FOUR",2020-08-25,50.32,53.439999,50,52.720001,456300,52.720001
"58","FOUR",2020-08-26,53.5,56.200001,51.740002,51.93,436700,51.93
"59","FOUR",2020-08-27,51.900002,53.013,50.689999,51.259998,202000,51.259998
"60","FOUR",2020-08-28,51.049999,52.75,49,51.34,484100,51.34
"61","FOUR",2020-08-31,51.5,51.990002,50.220001,50.369999,282700,50.369999
"62","FOUR",2020-09-01,50.77,51.849998,50.259998,51.02,274300,51.02
"63","FOUR",2020-09-02,51.470001,52,50.301998,51.27,279100,51.27
"64","FOUR",2020-09-03,50.5,50.779999,48.360001,49.32,652800,49.32
"65","FOUR",2020-09-04,48.77,49.799999,45.139999,49.529999,543000,49.529999
