"","symbol","date","open","high","low","close","volume","adjusted"
"1","FSLY",2019-05-17,21.5,25.67,21.41,23.99,16102700,23.99
"2","FSLY",2019-05-20,24.74,25.610001,23.200001,24.25,2719100,24.25
"3","FSLY",2019-05-21,24.309999,24.5,22.4,22.66,1634900,22.66
"4","FSLY",2019-05-22,22.42,23.65,22.15,22.52,1105100,22.52
"5","FSLY",2019-05-23,22.16,23.379999,22,22.5,1571800,22.5
"6","FSLY",2019-05-24,22.709999,23.040001,21.1,21.5,1145500,21.5
"7","FSLY",2019-05-28,21.51,22.360001,21.51,21.98,625800,21.98
"8","FSLY",2019-05-29,21.809999,21.959999,19.74,21.26,827300,21.26
"9","FSLY",2019-05-30,21.41,21.952,21.26,21.790001,232200,21.790001
"10","FSLY",2019-05-31,21.58,21.58,20.299999,20.799999,715500,20.799999
"11","FSLY",2019-06-03,20.799999,20.799999,19.33,20.040001,974100,20.040001
"12","FSLY",2019-06-04,20.26,21,19.52,20.92,350500,20.92
"13","FSLY",2019-06-05,20.83,20.83,19.52,19.77,604400,19.77
"14","FSLY",2019-06-06,19.93,20.27,19.4,20.129999,526100,20.129999
"15","FSLY",2019-06-07,20.18,21.440001,20.18,21.24,570600,21.24
"16","FSLY",2019-06-10,21.51,23.1,21.51,22.860001,866000,22.860001
"17","FSLY",2019-06-11,22.9,23.1,21,22.870001,1150900,22.870001
"18","FSLY",2019-06-12,22.870001,22.870001,20.610001,20.610001,755400,20.610001
"19","FSLY",2019-06-13,21,21.33,20.41,21,477700,21
"20","FSLY",2019-06-14,21,21.059999,19.83,19.85,417300,19.85
"21","FSLY",2019-06-17,20,20.1,19,19.280001,540500,19.280001
"22","FSLY",2019-06-18,19.33,19.701,17.75,18.07,985800,18.07
"23","FSLY",2019-06-19,18.4,19.365,17.461,19.17,973400,19.17
"24","FSLY",2019-06-20,19.290001,19.950001,18.82,19.48,537400,19.48
"25","FSLY",2019-06-21,19.889999,19.940001,18.16,18.200001,1295300,18.200001
"26","FSLY",2019-06-24,18.5,18.799999,17.26,17.5,755500,17.5
