"","symbol","date","open","high","low","close","volume","adjusted"
"1","FSP",2016-01-04,10.22,10.28,10.07,10.28,334900,6.615336
"2","FSP",2016-01-05,10.3,10.52,10.24,10.48,240500,6.74404
"3","FSP",2016-01-06,10.37,10.57,10.37,10.44,331600,6.718297
"4","FSP",2016-01-07,10.44,10.44,10.09,10.09,244300,6.493068
"5","FSP",2016-01-08,10.02,10.15,9.92,9.94,355300,6.396539
"6","FSP",2016-01-11,9.93,10.29,9.93,10.19,435500,6.557418
"7","FSP",2016-01-12,10.24,10.43,9.92,10,374300,6.435151
"8","FSP",2016-01-13,10,10.09,9.77,9.85,279700,6.338624
"9","FSP",2016-01-14,9.88,10.09,9.77,10.07,479400,6.480197
"10","FSP",2016-01-15,9.9,9.97,9.75,9.93,462000,6.390106
"11","FSP",2016-01-19,9.83,9.98,9.5,9.85,384200,6.338624
"12","FSP",2016-01-20,9.53,9.57,9.06,9.38,478700,6.154896
"13","FSP",2016-01-21,9.43,9.58,9.25,9.28,326600,6.089279
"14","FSP",2016-01-22,9.32,9.56,9.29,9.49,462500,6.227075
"15","FSP",2016-01-25,9.49,9.55,9.3,9.36,337900,6.141771
"16","FSP",2016-01-26,9.4,9.69,9.36,9.69,348300,6.358308
"17","FSP",2016-01-27,9.64,9.66,9.35,9.39,250900,6.161458
"18","FSP",2016-01-28,9.46,9.55,9.39,9.46,247500,6.207389
"19","FSP",2016-01-29,9.49,9.76,9.45,9.76,568300,6.404241
"20","FSP",2016-02-01,9.66,9.69,9.22,9.6,270600,6.299253
"21","FSP",2016-02-02,9.53,9.53,9.34,9.48,288800,6.220512
"22","FSP",2016-02-03,9.52,9.68,9.31,9.4,300500,6.168019
"23","FSP",2016-02-04,9.39,9.44,9.31,9.33,286900,6.122087
"24","FSP",2016-02-05,9.3,9.34,9.16,9.16,393200,6.010537
"25","FSP",2016-02-08,9.12,9.24,8.88,9.18,332400,6.023663
"26","FSP",2016-02-09,9.05,9.16,8.78,8.83,421500,5.794001
"27","FSP",2016-02-10,8.86,9.09,8.84,8.93,490400,5.85962
"28","FSP",2016-02-11,8.87,8.9,8.7,8.81,208800,5.780878
"29","FSP",2016-02-12,8.85,8.93,8.67,8.81,303500,5.780878
"30","FSP",2016-02-16,8.81,9.04,8.75,8.98,350900,5.892426
"31","FSP",2016-02-17,9.12,9.42,8.75,9.26,494400,6.076154
"32","FSP",2016-02-18,9.25,9.25,8.97,9.18,525700,6.023663
"33","FSP",2016-02-19,9.17,9.29,9.1,9.17,463300,6.0171
"34","FSP",2016-02-22,9.22,9.38,9.2,9.28,294400,6.089279
"35","FSP",2016-02-23,9.27,9.32,9.12,9.25,293500,6.069593
"36","FSP",2016-02-24,9.13,9.34,9.03,9.34,383500,6.12865
"37","FSP",2016-02-25,9.4,9.65,9.36,9.63,312000,6.318939
"38","FSP",2016-02-26,9.78,9.81,9.42,9.46,266900,6.207389
"39","FSP",2016-02-29,9.47,9.64,9.42,9.51,459400,6.240199
"40","FSP",2016-03-01,9.58,9.61,9.48,9.57,289700,6.279568
"41","FSP",2016-03-02,9.44,9.81,9.41,9.69,348300,6.358308
"42","FSP",2016-03-03,9.75,9.82,9.6,9.8,354000,6.430489
"43","FSP",2016-03-04,9.75,9.86,9.71,9.86,359400,6.469858
"44","FSP",2016-03-07,9.83,10.01,9.79,10.01,441200,6.568284
"45","FSP",2016-03-08,9.94,10.01,9.89,9.93,382100,6.515791
"46","FSP",2016-03-09,9.97,10.11,9.86,9.91,263100,6.502667
"47","FSP",2016-03-10,9.98,9.98,9.63,9.71,200300,6.371432
"48","FSP",2016-03-11,9.84,9.96,9.77,9.96,323300,6.535477
"49","FSP",2016-03-14,9.96,10.03,9.87,9.96,163700,6.535477
"50","FSP",2016-03-15,9.91,9.93,9.79,9.88,183100,6.482982
"51","FSP",2016-03-16,9.9,10.02,9.83,9.96,204800,6.535477
"52","FSP",2016-03-17,10.06,10.24,9.97,10.24,330600,6.719203
"53","FSP",2016-03-18,10.3,10.3,10.15,10.23,548000,6.712644
"54","FSP",2016-03-21,10.22,10.33,10.16,10.24,332900,6.719203
"55","FSP",2016-03-22,10.29,10.29,10.1,10.28,183300,6.74545
"56","FSP",2016-03-23,10.22,10.28,10,10.02,293900,6.574845
"57","FSP",2016-03-24,9.97,10.07,9.82,10.06,202100,6.601093
"58","FSP",2016-03-28,10.05,10.22,10.05,10.21,174000,6.699518
"59","FSP",2016-03-29,10.17,10.91,10.16,10.49,649100,6.883247
"60","FSP",2016-03-30,10.48,10.7,10.45,10.55,408700,6.922617
"61","FSP",2016-03-31,10.58,10.66,10.53,10.61,391300,6.961986
"62","FSP",2016-04-01,10.57,10.68,10.53,10.57,307300,6.935742
"63","FSP",2016-04-04,10.56,10.72,10.56,10.7,289400,7.021043
"64","FSP",2016-04-05,10.65,10.69,10.59,10.63,277600,6.975112
"65","FSP",2016-04-06,10.58,10.68,10.57,10.66,191800,6.994796
"66","FSP",2016-04-07,10.58,10.64,10.32,10.39,550000,6.817631
"67","FSP",2016-04-08,10.44,10.57,10.41,10.5,145900,6.889808
"68","FSP",2016-04-11,10.52,10.69,10.52,10.54,255700,6.916056
"69","FSP",2016-04-12,10.61,10.92,10.58,10.72,210900,7.034167
"70","FSP",2016-04-13,10.77,10.88,10.69,10.77,235800,7.066975
"71","FSP",2016-04-14,10.78,10.84,10.69,10.83,191800,7.106348
"72","FSP",2016-04-15,10.78,11.08,10.75,11.02,244500,7.231019
"73","FSP",2016-04-18,10.95,11.07,10.89,11.05,171800,7.250701
"74","FSP",2016-04-19,11.12,11.17,11,11.11,337800,7.290075
"75","FSP",2016-04-20,10.97,10.97,10.76,10.76,184400,7.183258
"76","FSP",2016-04-21,10.68,10.79,10.57,10.71,365300,7.14988
"77","FSP",2016-04-22,10.8,10.89,10.74,10.84,276600,7.236666
"78","FSP",2016-04-25,10.84,10.94,10.77,10.93,305700,7.296749
"79","FSP",2016-04-26,10.93,11.21,10.85,11.21,409100,7.483676
"80","FSP",2016-04-27,11.46,11.46,10.5,10.76,421500,7.183258
"81","FSP",2016-04-28,10.73,10.85,10.62,10.66,239600,7.1165
"82","FSP",2016-04-29,10.6,10.68,10.49,10.62,239700,7.089796
"83","FSP",2016-05-02,10.67,10.96,10.56,10.96,305100,7.316777
"84","FSP",2016-05-03,10.84,10.92,10.75,10.88,143200,7.263372
"85","FSP",2016-05-04,10.86,11.08,10.83,10.99,215900,7.336804
"86","FSP",2016-05-05,10.97,11.05,10.93,10.94,131700,7.303426
"87","FSP",2016-05-06,10.97,11.15,10.91,11.15,282500,7.443618
"88","FSP",2016-05-09,11.12,11.35,11.12,11.33,139500,7.563784
"89","FSP",2016-05-10,11.4,11.4,11.23,11.31,133400,7.550433
"90","FSP",2016-05-11,11.31,11.31,11.13,11.2,175700,7.476998
"91","FSP",2016-05-12,11.3,11.32,11.15,11.24,195700,7.503701
"92","FSP",2016-05-13,11.26,11.27,11.08,11.15,311500,7.443618
"93","FSP",2016-05-16,11.21,11.3,11.12,11.19,165200,7.470321
"94","FSP",2016-05-17,11.2,11.2,10.78,10.86,308300,7.250019
