"","symbol","date","open","high","low","close","volume","adjusted"
"1","FTK",2016-01-04,11.06,11.23,10.64,11.11,1257600,11.11
"2","FTK",2016-01-05,11.09,11.19,10.25,10.27,873500,10.27
"3","FTK",2016-01-06,9.97,10.15,9.46,9.5,1031400,9.5
"4","FTK",2016-01-07,9.22,10.01,9.11,9.6,745500,9.6
"5","FTK",2016-01-08,9.68,9.87,9.48,9.67,681700,9.67
"6","FTK",2016-01-11,9.69,9.69,8.93,8.95,517300,8.95
"7","FTK",2016-01-12,9.18,9.18,8.42,8.61,1006800,8.61
"8","FTK",2016-01-13,8.61,8.85,7.8,7.96,868200,7.96
"9","FTK",2016-01-14,8.08,8.1,7.55,7.67,1333700,7.67
"10","FTK",2016-01-15,7.43,7.6,7.16,7.33,2528000,7.33
"11","FTK",2016-01-19,7.24,7.32,5.47,5.52,5393100,5.52
"12","FTK",2016-01-20,5.55,5.92,4.89,5.86,3326600,5.86
"13","FTK",2016-01-21,5.7,6.06,5.59,5.97,1892100,5.97
"14","FTK",2016-01-22,6.18,6.41,6.07,6.29,995700,6.29
"15","FTK",2016-01-25,6.13,6.34,5.67,5.73,579600,5.73
"16","FTK",2016-01-26,5.73,5.85,5.51,5.81,689300,5.81
"17","FTK",2016-01-27,5.96,6.29,5.82,5.95,1605200,5.95
"18","FTK",2016-01-28,5.93,6.3,5.58,6.12,2495200,6.12
"19","FTK",2016-01-29,6.22,6.68,6.07,6.68,1216800,6.68
"20","FTK",2016-02-01,6.68,6.82,6.18,6.8,1695000,6.8
"21","FTK",2016-02-02,6.61,6.61,6.1,6.19,874500,6.19
"22","FTK",2016-02-03,6.24,6.75,6.03,6.75,720400,6.75
"23","FTK",2016-02-04,6.81,7.49,6.72,6.97,966600,6.97
"24","FTK",2016-02-05,6.79,7.18,6.73,6.78,599800,6.78
"25","FTK",2016-02-08,6.61,6.83,6.34,6.62,575800,6.62
"26","FTK",2016-02-09,6.45,6.61,6.25,6.36,614600,6.36
"27","FTK",2016-02-10,6.31,6.61,6.12,6.3,418600,6.3
"28","FTK",2016-02-11,6.1,6.36,5.92,6.24,621100,6.24
"29","FTK",2016-02-12,6.41,6.6,6.11,6.26,587400,6.26
"30","FTK",2016-02-16,6.43,6.8,6.26,6.64,666600,6.64
"31","FTK",2016-02-17,6.72,7.18,6.72,6.92,688600,6.92
"32","FTK",2016-02-18,6.99,7.16,6.87,7.08,695600,7.08
"33","FTK",2016-02-19,7.05,7.07,6.75,6.89,369500,6.89
"34","FTK",2016-02-22,7.07,7.29,7.01,7.14,803700,7.14
"35","FTK",2016-02-23,6.99,7.36,6.76,6.78,442800,6.78
"36","FTK",2016-02-24,6.62,6.84,6.37,6.76,473800,6.76
"37","FTK",2016-02-25,6.69,6.88,6.26,6.6,344800,6.6
"38","FTK",2016-02-26,6.8,7.27,6.78,7,727600,7
"39","FTK",2016-02-29,7.02,7.68,6.96,7.28,1092000,7.28
"40","FTK",2016-03-01,7.42,7.44,6.84,6.95,872800,6.95
"41","FTK",2016-03-02,6.95,7.88,6.88,7.51,807200,7.51
"42","FTK",2016-03-03,7.42,7.86,7.36,7.63,1048700,7.63
"43","FTK",2016-03-04,7.72,8.44,7.49,7.59,1246600,7.59
