"","symbol","date","open","high","low","close","volume","adjusted"
"1","FUBO",2019-03-27,10.2,10.2,9.27,9.99,1200,9.99
"2","FUBO",2019-03-28,9.99,9.99,9.99,9.99,300,9.99
"3","FUBO",2019-03-29,9.99,9.99,9.99,9.99,100,9.99
"4","FUBO",2019-04-01,9.49,10,9.49,10,700,10
"5","FUBO",2019-04-02,9.2,9.25,6.25,7.1,2200,7.1
"6","FUBO",2019-04-03,7.25,9.25,7.25,7.5,1300,7.5
"7","FUBO",2019-04-04,7.45,7.46,7.45,7.46,200,7.46
"8","FUBO",2019-04-05,9,9,7.87,7.87,700,7.87
"9","FUBO",2019-04-08,8.5,8.5,8.5,8.5,200,8.5
"10","FUBO",2019-04-09,8.09,11,8,8,1700,8
"11","FUBO",2019-04-10,8.5,8.5,7.5,7.5,700,7.5
"12","FUBO",2019-04-11,8.45,8.45,7.65,8,2500,8
"13","FUBO",2019-04-12,8,8.1,7.7,7.7,400,7.7
"14","FUBO",2019-04-15,7.7,7.7,7.7,7.7,100,7.7
"15","FUBO",2019-04-16,7.46,7.46,7.46,7.46,400,7.46
"16","FUBO",2019-04-17,7.46,7.46,7.46,7.46,200,7.46
"17","FUBO",2019-04-18,7.5,7.5,7.5,7.5,200,7.5
"18","FUBO",2019-04-22,7.46,7.46,7.21,7.21,1000,7.21
"19","FUBO",2019-04-23,7.49,7.49,7.25,7.25,400,7.25
"20","FUBO",2019-04-24,7.25,7.25,7.25,7.25,100,7.25
"21","FUBO",2019-04-25,7.25,7.25,7.25,7.25,100,7.25
"22","FUBO",2019-04-26,7.23,7.23,6.6,7.15,700,7.15
"23","FUBO",2019-04-29,6.6,6.6,6.6,6.6,1100,6.6
"24","FUBO",2019-04-30,6.5,6.5,6.02,6.02,600,6.02
"25","FUBO",2019-05-01,6.48,6.48,6.48,6.48,200,6.48
"26","FUBO",2019-05-02,6.5,7.25,6.5,7.25,1300,7.25
"27","FUBO",2019-05-03,6.595,6.595,6.595,6.595,300,6.595
"28","FUBO",2019-05-06,6.595,6.595,6.595,6.595,100,6.595
"29","FUBO",2019-05-07,6.595,6.595,6.595,6.595,0,6.595
"30","FUBO",2019-05-08,6.1,6.1,5.953,6.02,600,6.02
"31","FUBO",2019-05-09,6,6,5.85,6,500,6
"32","FUBO",2019-05-10,5.5,6,4.85,6,1600,6
"33","FUBO",2019-05-13,5.36,5.36,5.36,5.36,300,5.36
"34","FUBO",2019-05-14,5.5,5.5,5.5,5.5,300,5.5
"35","FUBO",2019-05-15,5.5,5.5,5.5,5.5,100,5.5
"36","FUBO",2019-05-16,5.5,5.5,5.5,5.5,100,5.5
"37","FUBO",2019-05-17,5.5,5.5,5.5,5.5,0,5.5
"38","FUBO",2019-05-20,5.4,5.4,5.31,5.31,700,5.31
"39","FUBO",2019-05-21,5.31,5.31,5.31,5.31,100,5.31
"40","FUBO",2019-05-22,5.25,5.25,5.05,5.05,800,5.05
"41","FUBO",2019-05-23,5.1,5.1,4.25,5,1900,5
"42","FUBO",2019-05-24,4.955,5.45,4.8,5.45,1000,5.45
"43","FUBO",2019-05-28,5.45,5.45,5.45,5.45,100,5.45
"44","FUBO",2019-05-29,4.75,5,4.06,5,1600,5
"45","FUBO",2019-05-30,5,5,5,5,100,5
"46","FUBO",2019-05-31,4.75,4.75,4.75,4.75,1100,4.75
"47","FUBO",2019-06-03,5,5,5,5,300,5
"48","FUBO",2019-06-04,4.5,4.75,4.5,4.75,800,4.75
"49","FUBO",2019-06-05,4.5,4.5,4.125,4.25,2100,4.25
"50","FUBO",2019-06-06,4.25,4.25,4.25,4.25,100,4.25
"51","FUBO",2019-06-07,4.1,4.1,3,3,1200,3
"52","FUBO",2019-06-10,5,5,4.75,4.85,5300,4.85
"53","FUBO",2019-06-11,4.95,5.25,4.95,5.25,900,5.25
"54","FUBO",2019-06-12,5.85,7.74,5.85,7.075,6400,7.075
"55","FUBO",2019-06-13,7.15,7.15,6.15,7,2100,7
"56","FUBO",2019-06-14,6.7,6.7,6.15,6.5,1600,6.5
"57","FUBO",2019-06-17,6.85,6.86,6.85,6.86,600,6.86
"58","FUBO",2019-06-18,6.94,7.6,6.94,7.6,1100,7.6
"59","FUBO",2019-06-19,7.63,7.67,7.6,7.66,2200,7.66
"60","FUBO",2019-06-20,7.65,7.65,7.6,7.65,1400,7.65
"61","FUBO",2019-06-21,7.55,8.2,7.55,8.2,1300,8.2
"62","FUBO",2019-06-24,8.26,9.2,6.5,8,2900,8
"63","FUBO",2019-06-25,8.27,8.3,8.27,8.3,300,8.3
"64","FUBO",2019-06-26,8.31,8.31,8.31,8.31,300,8.31
"65","FUBO",2019-06-27,8.06,8.06,7.81,7.81,600,7.81
"66","FUBO",2019-06-28,7.55,8,7.55,7.99,900,7.99
"67","FUBO",2019-07-01,7.85,7.85,7.85,7.85,300,7.85
"68","FUBO",2019-07-02,7.25,8.2,7.25,8.2,1200,8.2
"69","FUBO",2019-07-03,7.75,8.2,7.75,8.2,400,8.2
"70","FUBO",2019-07-05,8.2,8.2,8.2,8.2,300,8.2
"71","FUBO",2019-07-08,7.5,7.5,7.5,7.5,300,7.5
"72","FUBO",2019-07-09,7.29,7.6,7.25,7.6,400,7.6
"73","FUBO",2019-07-10,6.11,6.98,6.05,6.98,900,6.98
"74","FUBO",2019-07-11,7.6,8.18,6.21,8.18,1100,8.18
"75","FUBO",2019-07-12,6.96,8,6.2,6.75,1900,6.75
"76","FUBO",2019-07-15,7.75,8.1,7.75,8.1,200,8.1
"77","FUBO",2019-07-16,8.1,8.1,8.1,8.1,0,8.1
"78","FUBO",2019-07-17,8.1,8.1,8.1,8.1,100,8.1
"79","FUBO",2019-07-18,8.1,8.1,8.1,8.1,0,8.1
"80","FUBO",2019-07-19,8.1,8.1,8.1,8.1,100,8.1
"81","FUBO",2019-07-22,6.55,7.55,6.55,7.55,400,7.55
"82","FUBO",2019-07-23,6.6,7.54,6.6,7.54,1500,7.54
"83","FUBO",2019-07-24,7.25,7.5,7.1,7.5,300,7.5
"84","FUBO",2019-07-25,7.5,7.5,7.5,7.5,100,7.5
"85","FUBO",2019-07-26,7.5,7.5,7.5,7.5,100,7.5
"86","FUBO",2019-07-29,6.77,6.77,6.77,6.77,200,6.77
"87","FUBO",2019-07-30,6.82,7.015,6.06,6.71,1600,6.71
"88","FUBO",2019-07-31,6.75,7.46,6.75,7.46,400,7.46
"89","FUBO",2019-08-01,7.46,7.46,7.46,7.46,100,7.46
"90","FUBO",2019-08-02,7.2,7.4,7.2,7.4,400,7.4
"91","FUBO",2019-08-05,6.34,7.46,6.315,6.75,1400,6.75
"92","FUBO",2019-08-06,7.3,7.54,7.2,7.25,2100,7.25
"93","FUBO",2019-08-07,7.3,7.54,7.2,7.25,100,7.25
"94","FUBO",2019-08-08,7.2,7.52,7.2,7.52,2700,7.52
"95","FUBO",2019-08-09,7.54,7.54,7.54,7.54,300,7.54
"96","FUBO",2019-08-12,6.885,7.79,6.885,7.79,1000,7.79
"97","FUBO",2019-08-13,7.75,7.94,7.75,7.94,1700,7.94
"98","FUBO",2019-08-14,7.9,7.98,7.9,7.98,600,7.98
"99","FUBO",2019-08-15,7.98,7.98,7.9,7.98,400,7.98
"100","FUBO",2019-08-16,7.95,7.95,7.95,7.95,0,7.95
"101","FUBO",2019-08-19,7.98,7.98,7.98,7.98,200,7.98
"102","FUBO",2019-08-20,7.98,7.98,7.98,7.98,0,7.98
"103","FUBO",2019-08-21,7.43,7.5,7.43,7.5,400,7.5
"104","FUBO",2019-08-22,7.5,7.6,7.5,7.6,900,7.6
"105","FUBO",2019-08-23,7.5,7.5,7.5,7.5,400,7.5
"106","FUBO",2019-08-26,7.5,7.5,6.75,7,1200,7
"107","FUBO",2019-08-27,7.814,7.814,7.125,7.8,900,7.8
"108","FUBO",2019-08-28,7.8,7.8,7.8,7.8,0,7.8
"109","FUBO",2019-08-29,7.23,7.95,6.75,7.95,2400,7.95
"110","FUBO",2019-08-30,9.5,9.5,7.98,8.22,1800,8.22
"111","FUBO",2019-09-03,8.22,8.22,8.22,8.22,0,8.22
"112","FUBO",2019-09-04,7.7,10,7.2,10,6700,10
"113","FUBO",2019-09-05,8.65,10.5,8.65,10.5,1400,10.5
"114","FUBO",2019-09-06,9.9,10.5,9.385,10.4,900,10.4
"115","FUBO",2019-09-09,9.94,10.75,9.94,10.75,2200,10.75
"116","FUBO",2019-09-10,10.75,10.75,10.75,10.75,0,10.75
"117","FUBO",2019-09-11,10.89,10.89,10,10.48,1000,10.48
"118","FUBO",2019-09-12,10.46,10.5,10.46,10.5,400,10.5
"119","FUBO",2019-09-13,10.66,10.7,10.55,10.55,400,10.55
"120","FUBO",2019-09-16,10.46,10.5,10.46,10.5,500,10.5
"121","FUBO",2019-09-17,10.5,10.5,10.5,10.5,100,10.5
"122","FUBO",2019-09-18,9.96,10,9.96,10,900,10
"123","FUBO",2019-09-19,9.98,9.98,9.98,9.98,400,9.98
"124","FUBO",2019-09-20,10.5,10.5,10.5,10.5,100,10.5
"125","FUBO",2019-09-23,10,11,9.5,10.75,1900,10.75
"126","FUBO",2019-09-24,10.89,13.25,10.89,13.25,800,13.25
"127","FUBO",2019-09-25,13.25,13.25,13.25,13.25,200,13.25
"128","FUBO",2019-09-26,12.95,12.95,12.8,12.8,400,12.8
"129","FUBO",2019-09-27,12.8,12.8,12.6,12.8,1000,12.8
"130","FUBO",2019-09-30,13.05,13.05,12.75,12.75,300,12.75
"131","FUBO",2019-10-01,12.25,12.25,12.25,12.25,1200,12.25
"132","FUBO",2019-10-02,12.25,12.71,12.1,12.25,1700,12.25
"133","FUBO",2019-10-03,12.25,12.25,12.25,12.25,0,12.25
"134","FUBO",2019-10-04,11.71,11.71,9.71,11,800,11
"135","FUBO",2019-10-07,10.01,10.99,9.75,10.35,900,10.35
"136","FUBO",2019-10-08,10.35,10.35,10.35,10.35,100,10.35
"137","FUBO",2019-10-09,10.4,12,10.4,12,700,12
"138","FUBO",2019-10-10,12,12,10.3,11.8,1200,11.8
"139","FUBO",2019-10-11,11.8,11.8,11.71,11.71,500,11.71
"140","FUBO",2019-10-14,11.7,11.75,11.7,11.7,600,11.7
"141","FUBO",2019-10-15,11.7,11.75,10.35,11.75,1600,11.75
"142","FUBO",2019-10-16,11.75,11.82,11.75,11.82,800,11.82
"143","FUBO",2019-10-17,10.52,11.79,10.52,11.7,1500,11.7
"144","FUBO",2019-10-18,10.6,11.67,10.6,11.67,800,11.67
"145","FUBO",2019-10-21,10.63,11.65,10.63,11.65,900,11.65
"146","FUBO",2019-10-22,11.54,11.58,10.69,11.58,600,11.58
"147","FUBO",2019-10-23,11.46,11.5,10.69,11.34,1500,11.34
"148","FUBO",2019-10-24,10.95,11.05,10.5,10.96,1600,10.96
"149","FUBO",2019-10-25,11,11.8,9,10.2,3100,10.2
"150","FUBO",2019-10-28,10.16,10.18,10.12,10.18,400,10.18
"151","FUBO",2019-10-29,10.14,10.25,10.14,10.25,900,10.25
"152","FUBO",2019-10-30,10.2,10.5,10,10.2,800,10.2
"153","FUBO",2019-10-31,10.25,10.75,10.07,10.07,900,10.07
"154","FUBO",2019-11-01,10.07,10.97,10.01,10.01,800,10.01
"155","FUBO",2019-11-04,10.55,11.64,10.55,11.48,1900,11.48
"156","FUBO",2019-11-05,11.54,11.8,11.05,11.76,1700,11.76
"157","FUBO",2019-11-06,11.8,11.82,11.8,11.82,900,11.82
"158","FUBO",2019-11-07,11.78,11.99,11.78,11.99,500,11.99
"159","FUBO",2019-11-08,11.51,12.19,11,11.46,2200,11.46
"160","FUBO",2019-11-11,11.48,12,11.11,11.44,900,11.44
"161","FUBO",2019-11-12,11.44,11.96,11.06,11.06,1000,11.06
"162","FUBO",2019-11-13,11.59,11.59,11.06,11.25,1000,11.25
"163","FUBO",2019-11-14,11.19,11.19,11,11.12,700,11.12
"164","FUBO",2019-11-15,11.18,11.5,11.05,11.48,1300,11.48
"165","FUBO",2019-11-18,11.02,11.51,10.62,11.1,1600,11.1
"166","FUBO",2019-11-19,11.175,11.25,10.65,10.9,600,10.9
"167","FUBO",2019-11-20,10.95,11,10.03,10.65,2100,10.65
"168","FUBO",2019-11-21,10.64,10.95,10.05,10.9,1000,10.9
"169","FUBO",2019-11-22,10.9,10.9,10.9,10.9,100,10.9
"170","FUBO",2019-11-25,9.66,9.66,9.63,9.63,300,9.63
"171","FUBO",2019-11-26,10.35,10.35,10,10,800,10
"172","FUBO",2019-11-27,10,10,10,10,0,10
"173","FUBO",2019-11-29,9.75,9.75,9.15,9.15,600,9.15
"174","FUBO",2019-12-02,9.03,9.74,9.03,9.74,600,9.74
"175","FUBO",2019-12-03,9.72,9.72,9.72,9.72,300,9.72
"176","FUBO",2019-12-04,9.74,10.1,9.74,10.1,900,10.1
"177","FUBO",2019-12-05,10.01,10.5,10,10.5,1000,10.5
"178","FUBO",2019-12-06,10.01,10.01,10.01,10.01,100,10.01
"179","FUBO",2019-12-09,10.01,10.03,10.01,10.03,1100,10.03
"180","FUBO",2019-12-10,10.03,10.03,10.03,10.03,0,10.03
"181","FUBO",2019-12-11,9.31,10.15,9.31,10.15,700,10.15
"182","FUBO",2019-12-12,10.15,10.15,10.15,10.15,0,10.15
"183","FUBO",2019-12-13,10.15,10.15,10.15,10.15,0,10.15
"184","FUBO",2019-12-16,10.15,10.15,10.15,10.15,0,10.15
"185","FUBO",2019-12-17,9.3,9.8,9.05,9.8,600,9.8
"186","FUBO",2019-12-18,9.05,9.05,9.03,9.03,400,9.03
"187","FUBO",2019-12-19,9.03,9.03,9.03,9.03,0,9.03
"188","FUBO",2019-12-20,9.25,9.39,9.25,9.39,1400,9.39
"189","FUBO",2019-12-23,9.35,9.35,9.35,9.35,600,9.35
"190","FUBO",2019-12-24,9.35,10,9.35,10,800,10
"191","FUBO",2019-12-26,8.76,9.24,8.76,9.2,900,9.2
"192","FUBO",2019-12-27,9.15,9.15,9.15,9.15,300,9.15
"193","FUBO",2019-12-30,9.15,9.15,9.15,9.15,200,9.15
"194","FUBO",2019-12-31,9.09,9.1,8.73,8.905,2100,8.905
"195","FUBO",2020-01-02,9.58,9.97,9.57,9.97,1200,9.97
"196","FUBO",2020-01-03,9.97,10.5,9.97,10.02,1500,10.02
"197","FUBO",2020-01-06,10.27,10.27,10.27,10.27,400,10.27
"198","FUBO",2020-01-07,10,10.26,10,10.26,800,10.26
"199","FUBO",2020-01-08,10.26,10.26,10.26,10.26,0,10.26
