"","symbol","date","open","high","low","close","volume","adjusted"
"1","FVRR",2019-06-13,26,41.68,25.549999,39.900002,22046000,39.900002
"2","FVRR",2019-06-14,41.639999,44.25,31.49,31.49,10275800,31.49
"3","FVRR",2019-06-17,32.810001,34.880001,31.541,34.380001,3789100,34.380001
"4","FVRR",2019-06-18,35.259998,35.919998,31.040001,31.15,3274000,31.15
"5","FVRR",2019-06-19,31.799999,31.799999,28.25,28.67,1902000,28.67
"6","FVRR",2019-06-20,29.299999,29.4,27.82,28.030001,1378100,28.030001
"7","FVRR",2019-06-21,27.59,29,27.573999,27.75,1005200,27.75
"8","FVRR",2019-06-24,28,29.32,27.07,29.23,857600,29.23
"9","FVRR",2019-06-25,29.57,30.459999,28.049999,29.02,974700,29.02
"10","FVRR",2019-06-26,29.950001,29.950001,28.940001,29,339800,29
"11","FVRR",2019-06-27,29.059999,30.950001,28.27,28.790001,826600,28.790001
"12","FVRR",2019-06-28,28.91,29.875,28.77,29.700001,447200,29.700001
"13","FVRR",2019-07-01,29.790001,30.33,26.799999,27.5,883500,27.5
"14","FVRR",2019-07-02,27.35,27.700001,27.07,27.43,213000,27.43
"15","FVRR",2019-07-03,27.709999,27.889999,27.01,27.27,247000,27.27
"16","FVRR",2019-07-05,27.370001,27.462,27.1,27.25,186400,27.25
"17","FVRR",2019-07-08,27.139999,27.299999,25.610001,26.1,589700,26.1
"18","FVRR",2019-07-09,26.209999,26.75,26,26.280001,284600,26.280001
"19","FVRR",2019-07-10,26.209999,26.313999,24.459999,24.559999,676300,24.559999
"20","FVRR",2019-07-11,24.42,24.92,23.08,23.15,415200,23.15
"21","FVRR",2019-07-12,23.18,23.809999,22.139999,23.48,583400,23.48
"22","FVRR",2019-07-15,23.6,24.49,22.959999,23.559999,401600,23.559999
"23","FVRR",2019-07-16,23.690001,24.129999,23.372999,23.780001,207100,23.780001
"24","FVRR",2019-07-17,23.690001,24.25,23.690001,23.969999,170400,23.969999
"25","FVRR",2019-07-18,23.790001,24.41,23.700001,24.34,243800,24.34
"26","FVRR",2019-07-19,24.51,25.17,24.51,24.879999,195600,24.879999
"27","FVRR",2019-07-22,24.83,25.190001,24.360001,25.1,180400,25.1
"28","FVRR",2019-07-23,25.25,25.4,24.52,24.84,122900,24.84
"29","FVRR",2019-07-24,24.84,25.860001,24.620001,25.59,151100,25.59
"30","FVRR",2019-07-25,25.93,26.379999,25.6,25.77,169100,25.77
"31","FVRR",2019-07-26,25.809999,25.959999,25.1,25.200001,81900,25.200001
"32","FVRR",2019-07-29,25.5,25.5,24.561001,25.25,82500,25.25
"33","FVRR",2019-07-30,25.35,25.35,24.5,24.860001,110800,24.860001
"34","FVRR",2019-07-31,25.85,25.85,24.9,25.4,99500,25.4
"35","FVRR",2019-08-01,25.66,26.24,25.1,25.879999,194500,25.879999
"36","FVRR",2019-08-02,25.58,25.860001,24.82,25.34,268100,25.34
"37","FVRR",2019-08-05,24.940001,24.940001,23,23.25,271800,23.25
"38","FVRR",2019-08-06,23.700001,24.57,23.6,24.57,149800,24.57
"39","FVRR",2019-08-07,24.5,27.059999,24.200001,26.85,341200,26.85
"40","FVRR",2019-08-08,27.959999,27.99,24.059999,24.66,800700,24.66
"41","FVRR",2019-08-09,24.75,25.181999,22.205,22.459999,361700,22.459999
"42","FVRR",2019-08-12,23,23.6,21.809999,22.379999,271800,22.379999
"43","FVRR",2019-08-13,22.5,22.659,21,21.77,321900,21.77
"44","FVRR",2019-08-14,21.93,21.93,21.1,21.41,245000,21.41
"45","FVRR",2019-08-15,21.17,21.629999,21,21.360001,108300,21.360001
"46","FVRR",2019-08-16,21.200001,22.1,21.200001,21.68,69600,21.68
"47","FVRR",2019-08-19,21.700001,22.684999,21.700001,22.620001,55500,22.620001
"48","FVRR",2019-08-20,22.57,23.629999,22.195999,23.27,96400,23.27
"49","FVRR",2019-08-21,23.58,24.42,23.299999,24.280001,156800,24.280001
"50","FVRR",2019-08-22,24.280001,24.67,23.605,23.610001,58300,23.610001
"51","FVRR",2019-08-23,23.610001,23.799999,22.799999,23.389999,72100,23.389999
"52","FVRR",2019-08-26,23.299999,23.299999,22.15,22.23,73800,22.23
"53","FVRR",2019-08-27,22.4,22.57,21.305,21.5,85200,21.5
"54","FVRR",2019-08-28,21.549999,23.398001,21.4,23.17,244100,23.17
"55","FVRR",2019-08-29,23.5,23.940001,23.15,23.58,189100,23.58
"56","FVRR",2019-08-30,23.5,23.5,22.389999,23.389999,157200,23.389999
"57","FVRR",2019-09-03,23.049999,23.469999,22.139999,22.440001,65900,22.440001
"58","FVRR",2019-09-04,22.610001,22.91,22.15,22.27,64900,22.27
"59","FVRR",2019-09-05,22.459999,22.73,21.48,21.66,106900,21.66
"60","FVRR",2019-09-06,21.74,22.027,21.4,21.629999,130400,21.629999
"61","FVRR",2019-09-09,21.780001,22.129999,20.862,20.92,707200,20.92
"62","FVRR",2019-09-10,20.809999,20.809999,20.103001,20.469999,444800,20.469999
"63","FVRR",2019-09-11,20.58,20.6,18.9,19.24,471300,19.24
"64","FVRR",2019-09-12,19.389999,19.780001,19.01,19.4,150700,19.4
"65","FVRR",2019-09-13,19.42,19.700001,18.75,19.27,106500,19.27
"66","FVRR",2019-09-16,19.1,20.780001,19.1,20.719999,207600,20.719999
"67","FVRR",2019-09-17,21.1,21.48,20.549999,21.08,120000,21.08
"68","FVRR",2019-09-18,21.4,21.4,19.799999,20.17,128500,20.17
"69","FVRR",2019-09-19,20.02,20.02,18.959999,19.059999,145600,19.059999
"70","FVRR",2019-09-20,19.1,19.431,18.25,18.559999,167100,18.559999
"71","FVRR",2019-09-23,18.559999,18.559999,17.83,18.16,178400,18.16
"72","FVRR",2019-09-24,18.299999,18.299999,17.534,17.68,176200,17.68
"73","FVRR",2019-09-25,17.5,18.17,17.110001,18.15,355900,18.15
"74","FVRR",2019-09-26,18.139999,18.549999,17.290001,18.440001,129500,18.440001
"75","FVRR",2019-09-27,18.280001,18.398001,17.75,18.25,113900,18.25
"76","FVRR",2019-09-30,18.110001,18.780001,17.959999,18.700001,190400,18.700001
"77","FVRR",2019-10-01,18.58,19.35,18.5,18.65,120100,18.65
"78","FVRR",2019-10-02,18.549999,19.389999,18.459999,18.84,179900,18.84
"79","FVRR",2019-10-03,18.73,20.059999,18.48,20.030001,230900,20.030001
"80","FVRR",2019-10-04,20.08,20.67,19.33,20.65,86100,20.65
"81","FVRR",2019-10-07,20.66,21.75,20.35,21.59,222600,21.59
"82","FVRR",2019-10-08,21.26,21.58,20.9,21.200001,106600,21.200001
"83","FVRR",2019-10-09,21.15,21.309999,20.5,20.629999,116100,20.629999
"84","FVRR",2019-10-10,20.5,20.799999,20.280001,20.690001,58900,20.690001
"85","FVRR",2019-10-11,20.65,20.870001,20.309999,20.65,92600,20.65
"86","FVRR",2019-10-14,20.639999,20.950001,20.129999,20.799999,71800,20.799999
"87","FVRR",2019-10-15,20.709999,21.02,20.15,21,63000,21
"88","FVRR",2019-10-16,21,21.490999,20.635,21.15,90100,21.15
"89","FVRR",2019-10-17,21.129999,21.598,20.965,21.52,59500,21.52
"90","FVRR",2019-10-18,21.549999,21.549999,20.25,20.5,92300,20.5
"91","FVRR",2019-10-21,20.450001,20.719999,20.200001,20.610001,31700,20.610001
"92","FVRR",2019-10-22,20.780001,21.24,20.719999,20.969999,66400,20.969999
"93","FVRR",2019-10-23,21.15,21.799999,20.85,21.65,127900,21.65
"94","FVRR",2019-10-24,21.809999,23.25,21.700001,22.809999,295500,22.809999
"95","FVRR",2019-10-25,23.15,24.25,22.9,23.879999,174700,23.879999
"96","FVRR",2019-10-28,24.24,24.59,24,24.59,207300,24.59
"97","FVRR",2019-10-29,24.5,24.74,23.41,24.309999,148100,24.309999
"98","FVRR",2019-10-30,24.379999,24.5,22.559999,22.559999,113900,22.559999
"99","FVRR",2019-10-31,22.74,23.200001,22.23,22.610001,124300,22.610001
"100","FVRR",2019-11-01,22.870001,23.073,21.219999,21.379999,75100,21.379999
"101","FVRR",2019-11-04,21.74,22.66,21.469999,22.16,140900,22.16
"102","FVRR",2019-11-05,22.360001,22.58,21.790001,22.299999,56300,22.299999
"103","FVRR",2019-11-06,22.299999,22.9,22.209999,22.639999,108300,22.639999
"104","FVRR",2019-11-07,22.540001,22.540001,21.885,22.1,149400,22.1
"105","FVRR",2019-11-08,22.26,22.327,21.809999,22.030001,112500,22.030001
"106","FVRR",2019-11-11,22.15,22.41,21,22.049999,169300,22.049999
"107","FVRR",2019-11-12,21.629999,22.5,21.18,21.780001,137500,21.780001
"108","FVRR",2019-11-13,23,23.75,21.309999,22.6,567700,22.6
"109","FVRR",2019-11-14,23.5,24.24,21.93,22.77,419500,22.77
"110","FVRR",2019-11-15,23.030001,23.07,21.709999,22.030001,149100,22.030001
"111","FVRR",2019-11-18,22.27,22.360001,21.065001,21.93,203800,21.93
"112","FVRR",2019-11-19,22.15,22.9,21.66,22.32,179500,22.32
"113","FVRR",2019-11-20,22.549999,22.549999,21.76,21.959999,339500,21.959999
"114","FVRR",2019-11-21,21.969999,22,20.66,22,162500,22
"115","FVRR",2019-11-22,21.77,22.540001,21.5,22.1,86700,22.1
"116","FVRR",2019-11-25,22.41,22.790001,21.948999,22.5,172600,22.5
"117","FVRR",2019-11-26,22.59,22.75,21.860001,22.709999,97000,22.709999
"118","FVRR",2019-11-27,22.77,23.200001,22.625,23.190001,91100,23.190001
"119","FVRR",2019-11-29,23.200001,23.25,22.01,23.01,77100,23.01
"120","FVRR",2019-12-02,23.1,23.25,21.030001,22.540001,287000,22.540001
"121","FVRR",2019-12-03,22,22.01,20.809999,22.01,272800,22.01
"122","FVRR",2019-12-04,22.24,22.24,21.32,21.51,165800,21.51
"123","FVRR",2019-12-05,21.450001,22.110001,20.76,21.34,123700,21.34
"124","FVRR",2019-12-06,21.27,22.049999,20.610001,20.799999,169600,20.799999
"125","FVRR",2019-12-09,20.6,20.799,19.32,20.200001,352200,20.200001
"126","FVRR",2019-12-10,20.200001,21.65,20.200001,21.540001,526600,21.540001
"127","FVRR",2019-12-11,21.66,21.969999,20.870001,21.6,229900,21.6
"128","FVRR",2019-12-12,21.41,22.299999,21.030001,22.15,201900,22.15
"129","FVRR",2019-12-13,22.18,23.68,22.18,23.299999,307900,23.299999
"130","FVRR",2019-12-16,22.5,23.18,22.23,22.9,417400,22.9
"131","FVRR",2019-12-17,22.5,22.950001,22.209999,22.5,137800,22.5
"132","FVRR",2019-12-18,22.66,23.125,22.25,22.889999,114500,22.889999
"133","FVRR",2019-12-19,22.700001,23.629999,22.68,23.610001,356100,23.610001
"134","FVRR",2019-12-20,23.700001,24.860001,23.200001,24.68,325900,24.68
"135","FVRR",2019-12-23,24.610001,24.74,23.299999,23.299999,247600,23.299999
"136","FVRR",2019-12-24,23.389999,23.73,22.16,22.33,145400,22.33
"137","FVRR",2019-12-26,22.559999,23.709999,22.360001,23.389999,249900,23.389999
"138","FVRR",2019-12-27,23.48,25.299999,23.421,24.99,226600,24.99
"139","FVRR",2019-12-30,24.76,24.9,22.950001,23.18,526100,23.18
"140","FVRR",2019-12-31,23.4,23.945,23.01,23.5,171700,23.5
"141","FVRR",2020-01-02,24,24,22.299999,22.9,298700,22.9
"142","FVRR",2020-01-03,22.700001,23.700001,22.59,23.190001,180100,23.190001
"143","FVRR",2020-01-06,23.190001,23.969999,22.83,23.5,265400,23.5
"144","FVRR",2020-01-07,23.6,24.43,23.030001,24.24,221400,24.24
"145","FVRR",2020-01-08,24.049999,25.139999,23.504,25.02,427900,25.02
"146","FVRR",2020-01-09,25.049999,26.07,24.110001,24.389999,274300,24.389999
"147","FVRR",2020-01-10,24.440001,24.860001,23.379999,24.799999,212800,24.799999
"148","FVRR",2020-01-13,24.92,26.040001,24.68,25.870001,293800,25.870001
"149","FVRR",2020-01-14,25.9,25.9,25.002001,25.5,73500,25.5
"150","FVRR",2020-01-15,25.51,26.379999,25.450001,25.690001,185900,25.690001
"151","FVRR",2020-01-16,25.940001,26.58,25.940001,26.450001,109300,26.450001
"152","FVRR",2020-01-17,26.66,27.5,26.469999,26.950001,247800,26.950001
"153","FVRR",2020-01-21,26.870001,27.959999,26.620001,27.959999,290900,27.959999
"154","FVRR",2020-01-22,28,28,26.461,26.93,299600,26.93
"155","FVRR",2020-01-23,26.83,27.129999,25.860001,26.25,240600,26.25
"156","FVRR",2020-01-24,26.41,26.799999,25.459999,25.99,183800,25.99
"157","FVRR",2020-01-27,25.75,25.799999,25,25.51,170700,25.51
"158","FVRR",2020-01-28,25.76,26.17,25.280001,25.6,162500,25.6
"159","FVRR",2020-01-29,25.719999,25.775,25.17,25.610001,125500,25.610001
"160","FVRR",2020-01-30,25.76,25.775,25.209999,25.6,101400,25.6
"161","FVRR",2020-01-31,25.73,26.09,25.33,26.09,154200,26.09
"162","FVRR",2020-02-03,25.99,26.92,25.280001,25.59,198200,25.59
"163","FVRR",2020-02-04,25.83,26.440001,25.120001,26.440001,128100,26.440001
"164","FVRR",2020-02-05,26.639999,26.639999,25.309999,25.59,145600,25.59
"165","FVRR",2020-02-06,25.469999,25.645,24.59,25.4,188900,25.4
"166","FVRR",2020-02-07,25.33,25.950001,25.01,25.719999,105600,25.719999
"167","FVRR",2020-02-10,25.5,27.16,25.5,26.370001,135000,26.370001
"168","FVRR",2020-02-11,26.280001,26.709999,25.549999,26.110001,116900,26.110001
"169","FVRR",2020-02-12,25.940001,27.66,25.559999,27,189200,27
"170","FVRR",2020-02-13,26.99,27.74,26.34,27.35,217700,27.35
"171","FVRR",2020-02-14,27,27.9,26.42,27.9,240400,27.9
"172","FVRR",2020-02-18,27.67,28,26.76,28,429300,28
"173","FVRR",2020-02-19,30.76,31.85,28.700001,30,2268900,30
"174","FVRR",2020-02-20,31.1,35.130001,30.75,35.110001,2003100,35.110001
"175","FVRR",2020-02-21,33.41,34.509998,31.209,33.709999,588300,33.709999
"176","FVRR",2020-02-24,31.719999,32.990002,31.07,32.759998,372700,32.759998
"177","FVRR",2020-02-25,32.73,33.470001,31.629999,32,394900,32
"178","FVRR",2020-02-26,32,33.389999,32,32.900002,286800,32.900002
"179","FVRR",2020-02-27,31.99,32.470001,31.08,32.060001,383500,32.060001
"180","FVRR",2020-02-28,31.09,31.9,30.110001,31.48,369000,31.48
"181","FVRR",2020-03-02,31.73,34.415001,31.26,34.34,255700,34.34
"182","FVRR",2020-03-03,34.490002,34.490002,31.32,32,452500,32
"183","FVRR",2020-03-04,33,33,31.66,32.93,345900,32.93
"184","FVRR",2020-03-05,32.23,32.990002,31.65,32,360200,32
"185","FVRR",2020-03-06,31.6,31.975,29.440001,30.639999,316800,30.639999
"186","FVRR",2020-03-09,28.9,29.459999,25.6,27.870001,328300,27.870001
"187","FVRR",2020-03-10,28.5,29.6,27.790001,29.549999,206300,29.549999
"188","FVRR",2020-03-11,29.18,29.190001,27.08,27.16,351700,27.16
"189","FVRR",2020-03-12,25.370001,28.09,23.790001,23.82,476000,23.82
"190","FVRR",2020-03-13,24.82,26,24.5,26,362000,26
"191","FVRR",2020-03-16,25,25,21.969999,22.35,696800,22.35
"192","FVRR",2020-03-17,23,24.120001,22.889999,23.41,401100,23.41
"193","FVRR",2020-03-18,21.9,23.370001,20.42,22.92,368300,22.92
"194","FVRR",2020-03-19,24.57,35,21.200001,23.32,957500,23.32
"195","FVRR",2020-03-20,24.26,26.290001,21,21.690001,381100,21.690001
"196","FVRR",2020-03-23,21.790001,23.450001,20.66,23.24,361400,23.24
"197","FVRR",2020-03-24,25.18,25.870001,23.120001,24.110001,214400,24.110001
"198","FVRR",2020-03-25,24,25.76,23.33,24.030001,257900,24.030001
"199","FVRR",2020-03-26,24.030001,25.120001,23.59,25.030001,294400,25.030001
"200","FVRR",2020-03-27,23.85,26.98,23,26.35,432200,26.35
"201","FVRR",2020-03-30,25.969999,26.700001,24.315001,24.48,203800,24.48
"202","FVRR",2020-03-31,24.48,25.559999,24.389999,25.17,157800,25.17
"203","FVRR",2020-04-01,23.370001,25.309999,23.18,24.23,387100,24.23
"204","FVRR",2020-04-02,24.15,25.24,23.200001,24.24,415100,24.24
"205","FVRR",2020-04-03,23.84,24.5,22.52,22.940001,295400,22.940001
"206","FVRR",2020-04-06,23.549999,25.200001,23.27,23.77,440600,23.77
"207","FVRR",2020-04-07,24.73,25.059999,23.035,23.43,368400,23.43
"208","FVRR",2020-04-08,25.5,30.33,25.5,30.309999,1353600,30.309999
"209","FVRR",2020-04-09,29.549999,31.110001,28.25,30.41,562900,30.41
"210","FVRR",2020-04-13,30.389999,30.4,28.77,29.860001,194400,29.860001
"211","FVRR",2020-04-14,30.530001,31.58,29.524,30.35,579200,30.35
"212","FVRR",2020-04-15,30.209999,31.65,29.110001,31.51,509000,31.51
