"","symbol","date","open","high","low","close","volume","adjusted"
"1","GBDC",2016-01-04,16.180216,16.542604,16.180216,16.474045,98731,10.266889
"2","GBDC",2016-01-05,16.523018,16.53281,16.278158,16.405485,129871,10.224163
"3","GBDC",2016-01-06,16.376102,16.650343,16.336926,16.571987,116802,10.327929
"4","GBDC",2016-01-07,16.503428,16.562195,16.25857,16.268364,103427,10.138706
"5","GBDC",2016-01-08,16.317335,16.483839,16.160627,16.160627,84947,10.071563
"6","GBDC",2016-01-11,16.209599,16.278158,15.915769,15.96474,119151,9.949482
"7","GBDC",2016-01-12,15.984329,15.994123,15.6905,15.925563,258823,9.925065
"8","GBDC",2016-01-13,15.905975,16.229187,15.876592,15.886386,156417,9.900651
"9","GBDC",2016-01-14,15.857003,15.935357,15.700294,15.700294,264439,9.784674
"10","GBDC",2016-01-15,15.680705,15.876592,15.367287,15.729677,305177,9.802987
"11","GBDC",2016-01-19,15.905975,15.925563,15.357493,15.445642,184495,9.625971
"12","GBDC",2016-01-20,15.279138,15.367287,14.495593,15.112635,518260,9.418436
"13","GBDC",2016-01-21,15.083252,15.484819,15.083252,15.298727,146922,9.534412
"14","GBDC",2016-01-22,15.39667,15.631734,15.298727,15.572968,130586,9.705323
"15","GBDC",2016-01-25,15.46523,15.523996,15.230167,15.279138,157847,9.522202
"16","GBDC",2016-01-26,15.259549,15.53379,15.259549,15.523996,141000,9.674802
"17","GBDC",2016-01-27,15.514202,15.749265,15.416259,15.582762,139264,9.711426
"18","GBDC",2016-01-28,15.680705,15.680705,15.230167,15.269344,127931,9.516098
"19","GBDC",2016-01-29,15.357493,15.494613,15.181195,15.220372,220128,9.485579
"20","GBDC",2016-02-01,15.093046,15.475024,14.985309,15.426053,110574,9.613764
"21","GBDC",2016-02-02,15.259549,15.337904,15.083252,15.161606,147535,9.448955
"22","GBDC",2016-02-03,15.220372,15.406464,14.936337,15.279138,105265,9.522202
"23","GBDC",2016-02-04,15.259549,15.406464,14.936337,15.259549,74941,9.509996
"24","GBDC",2016-02-05,15.269344,15.357493,14.985309,15.073457,127931,9.39402
"25","GBDC",2016-02-08,14.936337,15.445642,14.848188,15.073457,161931,9.39402
"26","GBDC",2016-02-09,15.004897,15.416259,14.779628,14.916748,167954,9.296356
"27","GBDC",2016-02-10,14.916748,15.445642,14.818805,15.112635,186537,9.418436
"28","GBDC",2016-02-11,14.995103,15.230167,14.926543,15.190989,160501,9.467269
"29","GBDC",2016-02-12,15.269344,15.357493,15.073457,15.288932,151823,9.528309
"30","GBDC",2016-02-16,15.318315,15.592556,15.288932,15.582762,96791,9.711426
"31","GBDC",2016-02-17,15.670911,15.837414,15.553379,15.710088,156111,9.79078
"32","GBDC",2016-02-18,15.808031,15.837414,15.621939,15.749265,124970,9.815195
"33","GBDC",2016-02-19,15.641528,15.876592,15.621939,15.808031,95872,9.851817
"34","GBDC",2016-02-22,15.866797,15.886386,15.670911,15.837414,152537,9.870131
"35","GBDC",2016-02-23,15.710088,16.111654,15.582762,15.768854,166321,9.827404
"36","GBDC",2016-02-24,15.621939,15.75906,15.494613,15.729677,58401,9.802987
