"","symbol","date","open","high","low","close","volume","adjusted"
"1","GEL",2016-01-04,36.810001,37.349998,35.700001,37.189999,607400,21.339273
"2","GEL",2016-01-05,36.810001,37.110001,35.669998,37.029999,360100,21.247463
"3","GEL",2016-01-06,36.119999,36.27,34.389999,34.990002,417900,20.076937
"4","GEL",2016-01-07,34.490002,34.75,32.169998,32.52,816300,18.659674
"5","GEL",2016-01-08,33,33.529999,32.139999,32.419998,505900,18.602287
"6","GEL",2016-01-11,32.18,32.700001,29.610001,30.33,726400,17.403069
"7","GEL",2016-01-12,31.5,31.700001,27.83,30.15,813500,17.299789
"8","GEL",2016-01-13,30.85,31.620001,29.02,29.24,791900,16.777637
"9","GEL",2016-01-14,29.24,30.780001,28.82,30.299999,698200,17.385855
"10","GEL",2016-01-15,27.49,28.51,27.01,28.09,1092600,16.117779
"11","GEL",2016-01-19,28.17,29.389999,26.450001,26.74,1287100,15.343157
"12","GEL",2016-01-20,25.639999,25.790001,22.709999,24.219999,1468300,13.89721
"13","GEL",2016-01-21,24.35,26.99,23.84,25.99,688600,14.912817
"14","GEL",2016-01-22,26.91,29.27,26.889999,28.370001,822000,16.27844
"15","GEL",2016-01-25,24.99,29.48,24.99,27.610001,1132100,15.842358
"16","GEL",2016-01-26,28.07,29.629999,26.9,29.5,841800,16.926825
"17","GEL",2016-01-27,28.18,28.84,27.299999,27.879999,673900,16.360542
"18","GEL",2016-01-28,29.1,29.610001,27.58,28.02,592000,16.442698
"19","GEL",2016-01-29,28.469999,29.08,28.139999,28.42,480500,16.677425
"20","GEL",2016-02-01,27.77,28.59,27.4,28.25,628800,16.577665
"21","GEL",2016-02-02,27.59,28.129999,27,27.32,787000,16.031923
"22","GEL",2016-02-03,27.540001,27.73,25.77,26.950001,745300,15.814802
"23","GEL",2016-02-04,27.200001,28.17,26.93,27.9,532100,16.372276
"24","GEL",2016-02-05,27.450001,28.4,26.92,27.389999,638000,16.073
"25","GEL",2016-02-08,26.68,26.68,23.5,23.75,932900,13.936975
"26","GEL",2016-02-09,22.74,23.59,21.09,22.1,1342800,12.968722
"27","GEL",2016-02-10,22.35,23.26,21.42,22.030001,639200,12.927643
"28","GEL",2016-02-11,21.280001,21.959999,19.549999,20.43,1116000,11.988734
"29","GEL",2016-02-12,20.93,21.870001,20.040001,21.559999,1589400,12.651838
"30","GEL",2016-02-16,21.969999,23.370001,21.969999,23.120001,1996200,13.567282
"31","GEL",2016-02-17,23.68,24.620001,23.35,24.07,1072400,14.124761
"32","GEL",2016-02-18,25,25.99,24.299999,24.870001,1182400,14.594213
"33","GEL",2016-02-19,24.1,24.5,23.74,24.280001,824200,14.247991
"34","GEL",2016-02-22,24.9,25.66,24.459999,24.83,744800,14.570744
"35","GEL",2016-02-23,24.57,24.6,22.75,22.940001,609900,13.461651
"36","GEL",2016-02-24,22.190001,23.75,21.82,23.620001,684300,13.860686
"37","GEL",2016-02-25,23.41,23.92,22.870001,23.74,517600,13.931107
"38","GEL",2016-02-26,24.23,25,23.84,23.969999,541300,14.066074
"39","GEL",2016-02-29,24.290001,26.200001,24.049999,25.610001,796400,15.028457
"40","GEL",2016-03-01,25.93,25.93,24.940001,25.049999,952700,14.699838
"41","GEL",2016-03-02,24.66,26.68,24.66,26.51,693600,15.556598
"42","GEL",2016-03-03,26.440001,27.540001,26.25,27.440001,675200,16.102343
"43","GEL",2016-03-04,27.58,28.27,26.129999,26.610001,1201100,15.615279
"44","GEL",2016-03-07,26.91,27.68,26.719999,27.59,1124200,16.190363
"45","GEL",2016-03-08,27.34,27.34,25.77,26.16,707300,15.351213
"46","GEL",2016-03-09,26.66,27.41,26.450001,27,620600,15.844139
"47","GEL",2016-03-10,27,27.15,26.290001,26.530001,313900,15.568337
"48","GEL",2016-03-11,27.120001,28,27.120001,27.700001,853200,16.254919
"49","GEL",2016-03-14,27.32,28.030001,26.889999,27.870001,411000,16.354673
"50","GEL",2016-03-15,27.58,27.68,26.639999,27.68,454000,16.243179
"51","GEL",2016-03-16,27.91,30.940001,27.73,30.5,1091000,17.89801
"52","GEL",2016-03-17,30.67,32.810001,30.67,32.77,1608000,19.230093
"53","GEL",2016-03-18,33.169998,33.66,32.18,32.330002,1839900,18.971893
"54","GEL",2016-03-21,32.540001,32.959999,31.280001,31.450001,857000,18.455488
"55","GEL",2016-03-22,30.77,32.869999,30.690001,31.950001,632400,18.748898
"56","GEL",2016-03-23,31.59,31.610001,29.959999,29.969999,821900,17.586996
"57","GEL",2016-03-24,29.41,30.65,28.5,30.040001,871700,17.628073
"58","GEL",2016-03-28,30.030001,30.530001,29.379999,30.25,698800,17.751308
"59","GEL",2016-03-29,29.709999,30.549999,29.219999,30.309999,341600,17.786514
"60","GEL",2016-03-30,30.98,31.780001,30.549999,30.75,516600,18.044714
"61","GEL",2016-03-31,30.66,31.870001,30.440001,31.790001,350500,18.655006
"62","GEL",2016-04-01,30.92,31.6,30.18,30.719999,358600,18.027109
"63","GEL",2016-04-04,30.709999,31.15,29.77,30.110001,821400,17.669153
"64","GEL",2016-04-05,29.75,30.049999,29.32,29.440001,584000,17.275984
"65","GEL",2016-04-06,29.809999,30.27,29.299999,29.93,328900,17.563522
"66","GEL",2016-04-07,29.68,30.360001,29.190001,29.469999,444200,17.293583
"67","GEL",2016-04-08,30.15,30.85,29.809999,29.959999,418200,17.581129
"68","GEL",2016-04-11,30.16,30.77,29.92,30.049999,329500,17.633942
"69","GEL",2016-04-12,30.07,31.780001,29.99,31.530001,316800,18.502438
"70","GEL",2016-04-13,31.610001,32.029999,30.780001,31.91,268500,18.72543
"71","GEL",2016-04-14,32.080002,32.209999,31.42,31.58,373100,18.531775
"72","GEL",2016-04-15,31.309999,31.870001,30.6,30.68,279200,18.003637
"73","GEL",2016-04-18,30.08,31.950001,29.959999,31.889999,324900,18.713692
"74","GEL",2016-04-19,32.18,33.66,32.169998,33.540001,538700,19.681948
"75","GEL",2016-04-20,33.400002,36.009998,33.400002,34.580002,982200,20.292234
"76","GEL",2016-04-21,34.66,34.939999,33.700001,33.869999,438200,19.875593
"77","GEL",2016-04-22,33.939999,34.810001,33.540001,33.900002,589200,19.893198
"78","GEL",2016-04-25,34.150002,34.23,32.959999,33.330002,628500,19.55871
"79","GEL",2016-04-26,33.619999,33.619999,32.700001,33.400002,691300,19.599789
"80","GEL",2016-04-27,32.84,33.52,32.709999,33.009998,1014100,19.769276
"81","GEL",2016-04-28,32.799999,33.630001,32.34,32.610001,506800,19.529716
"82","GEL",2016-04-29,32.52,33.509998,32.18,32.419998,652500,19.415932
"83","GEL",2016-05-02,32.459999,32.459999,31.389999,32,596900,19.164396
"84","GEL",2016-05-03,31.32,31.530001,30.559999,30.940001,850200,18.529579
"85","GEL",2016-05-04,30.870001,31.92,30.01,30.879999,745500,18.493639
"86","GEL",2016-05-05,31.33,31.98,31.049999,31.290001,674100,18.739189
"87","GEL",2016-05-06,31.209999,31.99,30.889999,31.459999,349300,18.840994
"88","GEL",2016-05-09,31.23,32.02,30.57,31.93,851900,19.122477
"89","GEL",2016-05-10,32.32,32.860001,31.82,32.849998,645800,19.67345
"90","GEL",2016-05-11,32.57,34.259998,32.259998,34,819700,20.362171
"91","GEL",2016-05-12,34.580002,34.93,33.91,34.48,447600,20.649643
"92","GEL",2016-05-13,34.310001,35.119999,34.259998,34.68,470500,20.769413
"93","GEL",2016-05-16,35.200001,35.77,34.919998,35.529999,762600,21.278469
"94","GEL",2016-05-17,35.369999,36.57,35.330002,36.389999,716700,21.793512
"95","GEL",2016-05-18,36.5,36.98,35.66,36.610001,900200,21.92527
"96","GEL",2016-05-19,36.43,37.91,35.84,37.400002,849800,22.398397
"97","GEL",2016-05-20,37.610001,38.470001,37.240002,38.220001,748700,22.889481
"98","GEL",2016-05-23,38,38.240002,37.200001,37.619999,323500,22.530144
"99","GEL",2016-05-24,37.830002,38,37.02,37.200001,448400,22.278614
"100","GEL",2016-05-25,37.5,38.560001,37.5,38.220001,272000,22.889481
"101","GEL",2016-05-26,38.57,38.779999,37.860001,38.119999,335700,22.829588
"102","GEL",2016-05-27,37.849998,38.279999,37.290001,37.880001,429700,22.685858
"103","GEL",2016-05-31,37.959999,38.529999,37.279999,37.669998,620600,22.560085
"104","GEL",2016-06-01,37.25,38.93,37.130001,38.869999,530600,23.278751
"105","GEL",2016-06-02,38.43,40,37.790001,40,614700,23.955494
"106","GEL",2016-06-03,39.869999,40,38.709999,39.450001,460500,23.62611
"107","GEL",2016-06-06,40.25,40.349998,38.98,39.459999,407600,23.632101
"108","GEL",2016-06-07,39.779999,40.240002,39.439999,39.639999,507900,23.739897
"109","GEL",2016-06-08,40.02,40.27,39.25,39.490002,800500,23.650061
"110","GEL",2016-06-09,39.09,39.689999,38.84,39.18,704000,23.464413
"111","GEL",2016-06-10,38.970001,39.16,38,38.220001,454100,22.889481
"112","GEL",2016-06-13,37.919998,38.07,36.860001,37.27,658900,22.320534
"113","GEL",2016-06-14,37.040001,37.299999,36.119999,37.200001,649000,22.278614
"114","GEL",2016-06-15,37.130001,37.810001,36.66,37.560001,351200,22.494211
"115","GEL",2016-06-16,37,37.860001,36.52,37.619999,474200,22.530144
"116","GEL",2016-06-17,38.150002,38.619999,36.830002,37.220001,1369100,22.29059
"117","GEL",2016-06-20,37.939999,38.41,36.849998,36.860001,616700,22.074989
"118","GEL",2016-06-21,36.75,37.669998,36.48,37.23,398500,22.296579
"119","GEL",2016-06-22,37.48,38.310001,36.740002,37.540001,532900,22.482229
"120","GEL",2016-06-23,37.919998,38.41,37.369999,38.41,414800,23.003262
"121","GEL",2016-06-24,36.939999,38.490002,36.75,37.200001,717500,22.278614
"122","GEL",2016-06-27,37,37.130001,35.110001,35.849998,543100,21.470112
"123","GEL",2016-06-28,36.77,37.700001,35.990002,37.689999,389900,22.572062
"124","GEL",2016-06-29,38.16,39.049999,37.93,38.009998,354500,22.76371
"125","GEL",2016-06-30,38.189999,38.400002,37.279999,38.369999,425200,22.979309
"126","GEL",2016-07-01,38.849998,40.299999,38.32,38.639999,586900,23.141012
"127","GEL",2016-07-05,37.77,38.529999,37.259998,38.43,323400,23.015244
"128","GEL",2016-07-06,38.009998,38.389999,37.57,37.93,498600,22.715801
"129","GEL",2016-07-07,38.27,39.16,37.610001,37.849998,284800,22.667891
"130","GEL",2016-07-08,38.25,39.209999,38.130001,39.209999,269200,23.482382
"131","GEL",2016-07-11,39.419998,39.5,38.450001,38.720001,398200,23.188919
"132","GEL",2016-07-12,39.16,40.240002,39.16,39.5,404400,23.656057
"133","GEL",2016-07-13,39.5,39.5,38.5,39.25,390400,23.50633
"134","GEL",2016-07-14,39.59,40.75,39.470001,40.470001,1032500,24.236973
"135","GEL",2016-07-15,40.59,40.799999,39.810001,40.259998,691600,24.111206
"136","GEL",2016-07-18,40.450001,40.790001,39.73,40.099998,588600,24.015385
"137","GEL",2016-07-19,39.869999,40.490002,39.700001,40.439999,725100,24.219007
"138","GEL",2016-07-20,40.439999,40.900002,39.700001,40.900002,1395900,24.494497
"139","GEL",2016-07-21,40.790001,40.830002,39.389999,39.900002,728700,23.895613
"140","GEL",2016-07-22,37.759998,37.889999,37.349998,37.869999,7940000,22.679869
"141","GEL",2016-07-25,37.830002,38.139999,37.509998,37.580002,920100,22.506189
"142","GEL",2016-07-26,37.619999,37.98,37.119999,37.169998,705200,22.260639
"143","GEL",2016-07-27,36.5,37,35.880001,35.919998,673900,21.918924
"144","GEL",2016-07-28,35.950001,36.27,35.5,36,489100,21.967739
