"","symbol","date","open","high","low","close","volume","adjusted"
"1","GFL",2020-03-03,17.5,17.950001,16.75,16.799999,14423200,16.69668
"2","GFL",2020-03-04,17.34,17.75,17.1,17.75,8290000,17.640837
"3","GFL",2020-03-05,17.700001,17.719999,17.15,17.450001,7298700,17.342684
"4","GFL",2020-03-06,17.139999,17.280001,16.23,17.01,5631300,16.90539
"5","GFL",2020-03-09,15.87,16.32,15.86,16.200001,2120300,16.100372
"6","GFL",2020-03-10,16.65,16.99,16.200001,16.65,3672900,16.547606
"7","GFL",2020-03-11,16.450001,16.629999,16.25,16.52,1879800,16.418404
"8","GFL",2020-03-12,15.65,16.42,15.47,16.200001,1515700,16.100372
"9","GFL",2020-03-13,16.65,17.25,16.120001,16.700001,2599700,16.5973
"10","GFL",2020-03-16,16.4,16.4,14.65,14.65,2199800,14.559904
"11","GFL",2020-03-17,14.7,15.51,14.65,15.46,1406800,15.364923
"12","GFL",2020-03-18,15.1,15.33,14.14,14.5,2868500,14.410827
"13","GFL",2020-03-19,14.42,15.55,14.42,15.32,847900,15.225782
"14","GFL",2020-03-20,15.4,15.96,15.4,15.69,815500,15.593507
"15","GFL",2020-03-23,15.56,15.93,14.231,14.67,828700,14.579782
"16","GFL",2020-03-24,14.71,15.23,14.16,14.71,1842700,14.619535
"17","GFL",2020-03-25,14.75,15.205,13.9,14.09,920600,14.003348
"18","GFL",2020-03-26,14.11,15.23,13.8,15.16,1189800,15.066769
"19","GFL",2020-03-27,15,15.135,14.4,14.96,552600,14.867997
"20","GFL",2020-03-30,14.96,15.1,14.5,14.87,829300,14.778551
"21","GFL",2020-03-31,14.71,15.25,13.94,15.05,1328600,14.957444
"22","GFL",2020-04-01,14.69,15.11,13.74,13.74,1079400,13.6555
"23","GFL",2020-04-02,13.75,14.5,13,13.14,1366400,13.059191
"24","GFL",2020-04-03,13.23,13.39,11.92,12.65,1419200,12.572204
"25","GFL",2020-04-06,12.77,12.94,11.94,12.53,1197000,12.452941
"26","GFL",2020-04-07,12.85,13.34,12.27,13.26,377700,13.178452
"27","GFL",2020-04-08,13.32,13.97,13.14,13.72,595700,13.635625
"28","GFL",2020-04-09,13.74,15.71,13.61,15.37,1720300,15.275475
"29","GFL",2020-04-13,15.19,15.31,14.5,15.13,182900,15.036953
"30","GFL",2020-04-14,15.41,15.99,15.04,15.4,779300,15.305289
"31","GFL",2020-04-15,15.34,15.34,14.31,14.86,678900,14.768612
"32","GFL",2020-04-16,14.76,15.25,14.76,15.02,221300,14.927629
"33","GFL",2020-04-17,15.38,15.39,14.98,15.08,1042000,14.997244
"34","GFL",2020-04-20,15.03,15.74,14.86,15.39,550600,15.305542
"35","GFL",2020-04-21,15.14,15.35,14.78,15.21,642200,15.12653
"36","GFL",2020-04-22,15.36,15.66,14.99,15.37,590500,15.285652
"37","GFL",2020-04-23,15.35,15.87,15.28,15.46,430600,15.37516
"38","GFL",2020-04-24,15.52,15.72,15.04,15.18,834300,15.096695
"39","GFL",2020-04-27,15.4,15.54,14.95,15.27,571800,15.186201
"40","GFL",2020-04-28,15.5,15.5,15.24,15.39,548000,15.305542
"41","GFL",2020-04-29,15.48,16.969999,15.48,16.690001,367200,16.59841
"42","GFL",2020-04-30,17,17.709999,16.629999,17.299999,1681700,17.205061
"43","GFL",2020-05-01,17.139999,18.219999,16.74,17.540001,1389000,17.443745
"44","GFL",2020-05-04,17.379999,17.75,17.18,17.25,760100,17.155336
"45","GFL",2020-05-05,17.290001,17.66,16.879999,17.049999,333000,16.956432
"46","GFL",2020-05-06,17.17,17.34,16.91,17.190001,625400,17.095665
"47","GFL",2020-05-07,17.41,17.67,16.959999,17.09,495400,16.996214
"48","GFL",2020-05-08,17.389999,17.499001,17.1,17.209999,156600,17.115555
"49","GFL",2020-05-11,17.24,17.639999,17.18,17.549999,883800,17.45369
"50","GFL",2020-05-12,18,19,17.51,17.58,950700,17.483524
"51","GFL",2020-05-13,17.879999,17.957001,17.540001,17.84,290900,17.742098
"52","GFL",2020-05-14,17.809999,17.809999,17.02,17.629999,706500,17.533251
"53","GFL",2020-05-15,17.57,17.85,17.43,17.65,80200,17.553141
"54","GFL",2020-05-18,17.959999,18.280001,17.780001,17.780001,101000,17.682428
"55","GFL",2020-05-19,17.959999,17.99,17.610001,17.780001,577000,17.682428
"56","GFL",2020-05-20,17.620001,18.059999,17.379999,17.4,165200,17.30451
"57","GFL",2020-05-21,17.450001,17.73,17.030001,17.25,178500,17.155336
"58","GFL",2020-05-22,17.309999,17.709999,17.09,17.690001,90600,17.592922
"59","GFL",2020-05-26,17.99,18.535,17.620001,18.08,524700,17.980782
"60","GFL",2020-05-27,18.440001,18.450001,17.82,18.26,1143800,18.159796
"61","GFL",2020-05-28,18.35,19.08,18.059999,19.08,956700,18.975294
"62","GFL",2020-05-29,19.1,19.35,18.559999,19.17,274100,19.064798
"63","GFL",2020-06-01,19,20.969999,19,20.23,845900,20.11898
"64","GFL",2020-06-02,20.540001,20.815001,19.360001,19.4,832700,19.293535
"65","GFL",2020-06-03,19.41,19.790001,19.08,19.129999,409500,19.025021
"66","GFL",2020-06-04,19.1,19.23,18.67,18.799999,261600,18.696829
"67","GFL",2020-06-05,19,19.57,18.93,19.25,382200,19.144361
"68","GFL",2020-06-08,19.950001,20.49,19.379999,20.129999,503700,20.019531
"69","GFL",2020-06-09,19.870001,20.02,19.309999,19.43,499700,19.323372
"70","GFL",2020-06-10,19.190001,19.34,18.950001,19.15,324000,19.044907
"71","GFL",2020-06-11,18.6,18.707001,17.85,17.85,525700,17.752043
"72","GFL",2020-06-12,18.4,18.75,17.795,18.1,709000,18.000671
"73","GFL",2020-06-15,17.940001,18.450001,17.43,18.389999,1439200,18.28908
"74","GFL",2020-06-16,18.879999,19.030001,18.5,18.52,474400,18.418365
"75","GFL",2020-06-17,18.549999,18.695,18.290001,18.459999,540400,18.358694
"76","GFL",2020-06-18,18.379999,18.75,18.16,18.43,486500,18.328857
"77","GFL",2020-06-19,18.66,18.719999,18.15,18.379999,884100,18.279133
"78","GFL",2020-06-22,18.17,18.559999,17.780001,17.889999,311000,17.791824
