"","symbol","date","open","high","low","close","volume","adjusted"
"1","GGT",2016-01-04,7.35,7.45,7.3,7.45,74300,3.95836
"2","GGT",2016-01-05,7.45,7.47,7.39,7.46,74300,3.963673
"3","GGT",2016-01-06,7.33,7.39,7.31,7.39,69600,3.926481
"4","GGT",2016-01-07,7.25,7.28,7.13,7.17,85600,3.809589
"5","GGT",2016-01-08,7.17,7.19,7.07,7.1,98700,3.772396
"6","GGT",2016-01-11,7.16,7.16,6.95,7.07,180300,3.756457
"7","GGT",2016-01-12,7.14,7.14,6.96,7.09,170700,3.767083
"8","GGT",2016-01-13,7.09,7.12,6.78,6.83,172500,3.628938
"9","GGT",2016-01-14,6.8,6.91,6.72,6.91,140600,3.671445
"10","GGT",2016-01-15,6.75,6.78,6.6,6.67,118600,3.543927
"11","GGT",2016-01-19,6.67,6.7,6.43,6.56,227900,3.485481
"12","GGT",2016-01-20,6.45,6.45,6.06,6.35,176900,3.373904
"13","GGT",2016-01-21,6.36,6.43,6.3,6.39,95700,3.395157
"14","GGT",2016-01-22,6.52,6.67,6.47,6.65,105800,3.5333
"15","GGT",2016-01-25,6.64,6.64,6.58,6.59,27700,3.501422
"16","GGT",2016-01-26,6.58,6.7,6.56,6.7,56000,3.559866
"17","GGT",2016-01-27,6.71,6.76,6.66,6.69,42200,3.554554
"18","GGT",2016-01-28,6.72,6.76,6.65,6.74,45200,3.58112
"19","GGT",2016-01-29,6.75,6.92,6.75,6.92,29500,3.676757
"20","GGT",2016-02-01,6.88,6.94,6.85,6.93,45900,3.682072
"21","GGT",2016-02-02,6.9,6.91,6.8,6.83,57200,3.628938
"22","GGT",2016-02-03,6.87,6.87,6.73,6.87,53200,3.650192
"23","GGT",2016-02-04,6.85,6.94,6.84,6.85,83200,3.639565
"24","GGT",2016-02-05,6.82,6.83,6.7,6.7,64800,3.559866
"25","GGT",2016-02-08,6.57,6.59,6.39,6.45,63100,3.427036
"26","GGT",2016-02-09,6.35,6.44,6.24,6.31,90500,3.352651
"27","GGT",2016-02-10,6.32,6.38,6.25,6.32,46400,3.357964
"28","GGT",2016-02-11,6.2,6.24,6.05,6.17,142700,3.278265
"29","GGT",2016-02-12,6.27,6.32,6.2,6.32,66800,3.357964
"30","GGT",2016-02-16,6.33,6.46,6.33,6.41,74300,3.405782
"31","GGT",2016-02-17,6.45,6.64,6.45,6.58,78200,3.496108
"32","GGT",2016-02-18,6.66,6.67,6.59,6.63,78500,3.522675
"33","GGT",2016-02-19,6.43,6.64,6.43,6.6,118900,3.506735
"34","GGT",2016-02-22,6.7,6.77,6.66,6.73,45600,3.575807
"35","GGT",2016-02-23,6.72,6.85,6.67,6.85,79700,3.639565
"36","GGT",2016-02-24,6.8,6.84,6.58,6.84,116000,3.634253
"37","GGT",2016-02-25,6.84,6.98,6.81,6.98,32100,3.708637
"38","GGT",2016-02-26,6.93,7,6.92,7,68100,3.719264
"39","GGT",2016-02-29,6.97,7.04,6.94,7.02,57600,3.729891
"40","GGT",2016-03-01,7.05,7.17,7.05,7.16,63700,3.804276
"41","GGT",2016-03-02,7.14,7.22,7.09,7.2,59700,3.825529
"42","GGT",2016-03-03,7.17,7.42,7.15,7.42,66500,3.94242
"43","GGT",2016-03-04,7.29,7.39,7.25,7.36,74400,3.91054
"44","GGT",2016-03-07,7.31,7.38,7.29,7.3,67300,3.878662
"45","GGT",2016-03-08,7.22,7.29,7.2,7.24,67400,3.846781
"46","GGT",2016-03-09,7.24,7.36,7.2,7.26,109400,3.857408
"47","GGT",2016-03-10,7.28,7.3,7.18,7.25,53200,3.852095
"48","GGT",2016-03-11,7.3,7.4,7.29,7.4,109400,3.931793
"49","GGT",2016-03-14,7.13,7.27,7.11,7.17,63900,3.926317
"50","GGT",2016-03-15,7.12,7.14,7.1,7.14,35000,3.909889
"51","GGT",2016-03-16,7.08,7.19,7.08,7.18,64700,3.931793
"52","GGT",2016-03-17,7.12,7.26,7.12,7.24,42000,3.964649
"53","GGT",2016-03-18,7.29,7.4,7.28,7.31,68300,4.002982
"54","GGT",2016-03-21,7.29,7.31,7.21,7.3,68600,3.997506
"55","GGT",2016-03-22,7.24,7.3,7.24,7.27,54000,3.981078
"56","GGT",2016-03-23,7.3,7.3,7.18,7.18,135300,3.931793
"57","GGT",2016-03-24,7.17,7.18,7.12,7.14,149400,3.909889
"58","GGT",2016-03-28,7.12,7.23,7.09,7.1,160600,3.887985
"59","GGT",2016-03-29,7.14,7.27,7.13,7.27,25900,3.981078
"60","GGT",2016-03-30,7.34,7.39,7.31,7.38,71700,4.041313
"61","GGT",2016-03-31,7.34,7.39,7.28,7.35,53400,4.024886
"62","GGT",2016-04-01,7.27,7.35,7.2,7.2,50100,3.942746
"63","GGT",2016-04-04,7.3,7.34,7.2,7.2,116100,3.942746
"64","GGT",2016-04-05,7.11,7.2,7.08,7.08,68100,3.877033
"65","GGT",2016-04-06,7.11,7.19,7.08,7.16,66600,3.920841
"66","GGT",2016-04-07,7.1,7.14,7.07,7.07,70000,3.871557
"67","GGT",2016-04-08,7.13,7.13,7.04,7.04,55600,3.85513
"68","GGT",2016-04-11,7.03,7.17,7.01,7.06,103900,3.866081
"69","GGT",2016-04-12,7.06,7.17,7.04,7.04,75300,3.85513
"70","GGT",2016-04-13,7.13,7.22,7.11,7.13,93200,3.904413
"71","GGT",2016-04-14,7.14,7.24,7.14,7.15,60300,3.915366
"72","GGT",2016-04-15,7.2,7.23,7.15,7.19,69300,3.937268
"73","GGT",2016-04-18,7.17,7.28,7.15,7.28,90400,3.986554
"74","GGT",2016-04-19,7.27,7.3,7.26,7.29,74000,3.99203
"75","GGT",2016-04-20,7.3,7.31,7.26,7.31,62800,4.002982
"76","GGT",2016-04-21,7.27,7.32,7.25,7.32,86500,4.008458
"77","GGT",2016-04-22,7.28,7.36,7.28,7.31,78900,4.002982
"78","GGT",2016-04-25,7.31,7.32,7.21,7.26,130700,3.975602
"79","GGT",2016-04-26,7.31,7.32,7.26,7.31,43600,4.002982
"80","GGT",2016-04-27,7.31,7.35,7.26,7.33,123200,4.013933
"81","GGT",2016-04-28,7.28,7.42,7.28,7.28,49800,3.986554
"82","GGT",2016-04-29,7.31,7.31,7.22,7.28,56900,3.986554
"83","GGT",2016-05-02,7.33,7.34,7.3,7.33,90100,4.013933
"84","GGT",2016-05-03,7.3,7.3,7.24,7.29,49600,3.99203
"85","GGT",2016-05-04,7.25,7.27,7.2,7.21,51600,3.948222
"86","GGT",2016-05-05,7.29,7.29,7.19,7.21,57100,3.948222
"87","GGT",2016-05-06,7.19,7.19,7.13,7.18,87000,3.931793
"88","GGT",2016-05-09,7.19,7.22,7.16,7.2,61600,3.942746
"89","GGT",2016-05-10,7.21,7.28,7.21,7.26,40800,3.975602
"90","GGT",2016-05-11,7.26,7.28,7.17,7.2,91000,3.942746
"91","GGT",2016-05-12,7.22,7.22,7.14,7.19,115800,3.937268
"92","GGT",2016-05-13,7.16,7.19,7.1,7.12,59300,3.898936
"93","GGT",2016-05-16,7.13,7.21,7.12,7.2,128900,3.942746
"94","GGT",2016-05-17,7.17,7.21,7.12,7.14,84800,3.909889
"95","GGT",2016-05-18,7.13,7.18,7.1,7.12,42500,3.898936
"96","GGT",2016-05-19,7.1,7.11,7.02,7.08,65700,3.877033
"97","GGT",2016-05-20,7.1,7.14,7.08,7.1,45700,3.887985
"98","GGT",2016-05-23,7.16,7.17,7.13,7.14,74000,3.909889
"99","GGT",2016-05-24,7.18,7.24,7.13,7.23,59800,3.959173
"100","GGT",2016-05-25,7.25,7.32,7.17,7.28,87200,3.986554
"101","GGT",2016-05-26,7.28,7.31,7.26,7.31,53600,4.002982
"102","GGT",2016-05-27,7.35,7.37,7.33,7.35,52700,4.024886
"103","GGT",2016-05-31,7.42,7.42,7.35,7.35,137600,4.024886
"104","GGT",2016-06-01,7.35,7.4,7.33,7.35,98300,4.024886
"105","GGT",2016-06-02,7.36,7.4,7.35,7.36,60000,4.030363
"106","GGT",2016-06-03,7.4,7.41,7.36,7.39,100600,4.04679
"107","GGT",2016-06-06,7.4,7.5,7.4,7.44,132200,4.074171
"108","GGT",2016-06-07,7.44,7.52,7.44,7.45,160600,4.079646
"109","GGT",2016-06-08,7.46,7.55,7.46,7.48,112600,4.096074
"110","GGT",2016-06-09,7.45,7.49,7.44,7.46,96200,4.085122
"111","GGT",2016-06-10,7.46,7.47,7.34,7.35,158900,4.024886
"112","GGT",2016-06-13,7.35,7.38,7.27,7.28,154100,3.986554
"113","GGT",2016-06-14,7.1,7.14,7,7.02,109700,3.963967
"114","GGT",2016-06-15,7.04,7.1,7.04,7.04,37300,3.975261
"115","GGT",2016-06-16,7.04,7.04,6.95,6.98,110900,3.94138
"116","GGT",2016-06-17,6.96,7.03,6.96,7,31200,3.952674
"117","GGT",2016-06-20,7.14,7.21,7.04,7.05,79900,3.980907
"118","GGT",2016-06-21,7.1,7.1,7.05,7.09,48200,4.003495
"119","GGT",2016-06-22,7.08,7.15,7.07,7.09,72000,4.003495
"120","GGT",2016-06-23,7.19,7.19,7.14,7.15,143800,4.037374
"121","GGT",2016-06-24,6.95,7.1,6.95,6.99,303300,3.947027
"122","GGT",2016-06-27,6.97,7,6.71,6.75,173000,3.811506
"123","GGT",2016-06-28,6.78,6.93,6.78,6.91,110600,3.901854
"124","GGT",2016-06-29,6.96,7.03,6.95,6.99,86400,3.947027
"125","GGT",2016-06-30,7.04,7.13,6.99,7.05,98200,3.980907
"126","GGT",2016-07-01,7.06,7.12,7.06,7.11,57200,4.014788
"127","GGT",2016-07-05,7.09,7.13,7.07,7.09,92900,4.003495
"128","GGT",2016-07-06,7.02,7.09,7,7.06,63500,3.986554
"129","GGT",2016-07-07,7.05,7.13,7.05,7.08,60900,3.997847
"130","GGT",2016-07-08,7.16,7.2,7.16,7.17,48100,4.048667
"131","GGT",2016-07-11,7.19,7.24,7.18,7.23,60100,4.082548
"132","GGT",2016-07-12,7.25,7.3,7.24,7.3,165500,4.122074
"133","GGT",2016-07-13,7.32,7.33,7.29,7.33,82800,4.139014
"134","GGT",2016-07-14,7.35,7.35,7.32,7.32,89500,4.133367
"135","GGT",2016-07-15,7.34,7.34,7.32,7.34,61500,4.14466
"136","GGT",2016-07-18,7.33,7.36,7.32,7.34,81000,4.14466
"137","GGT",2016-07-19,7.32,7.35,7.3,7.34,123700,4.14466
"138","GGT",2016-07-20,7.34,7.39,7.32,7.37,108600,4.161601
"139","GGT",2016-07-21,7.38,7.41,7.36,7.37,72700,4.161601
"140","GGT",2016-07-22,7.39,7.47,7.38,7.47,128100,4.218067
"141","GGT",2016-07-25,7.44,7.46,7.4,7.44,40900,4.201128
"142","GGT",2016-07-26,7.43,7.46,7.41,7.41,88800,4.184187
"143","GGT",2016-07-27,7.45,7.45,7.42,7.43,66700,4.19548
"144","GGT",2016-07-28,7.41,7.44,7.4,7.42,48700,4.189834
"145","GGT",2016-07-29,7.41,7.48,7.41,7.46,82200,4.21242
"146","GGT",2016-08-01,7.48,7.51,7.42,7.43,96400,4.19548
"147","GGT",2016-08-02,7.43,7.45,7.33,7.36,84300,4.155954
"148","GGT",2016-08-03,7.34,7.41,7.34,7.4,71000,4.178542
"149","GGT",2016-08-04,7.42,7.42,7.38,7.4,68500,4.178542
"150","GGT",2016-08-05,7.42,7.51,7.42,7.49,417500,4.229361
"151","GGT",2016-08-08,7.5,7.51,7.49,7.49,266100,4.229361
"152","GGT",2016-08-09,7.52,7.54,7.49,7.5,104600,4.235007
"153","GGT",2016-08-10,7.53,7.55,7.5,7.55,116300,4.263242
"154","GGT",2016-08-11,7.57,7.7,7.55,7.65,378100,4.319707
"155","GGT",2016-08-12,7.65,7.7,7.63,7.7,215800,4.347942
"156","GGT",2016-08-15,7.7,7.73,7.68,7.7,127000,4.347942
"157","GGT",2016-08-16,7.7,7.71,7.68,7.71,98900,4.353589
"158","GGT",2016-08-17,7.66,7.71,7.65,7.68,150100,4.336648
"159","GGT",2016-08-18,7.71,7.74,7.7,7.73,104000,4.364881
"160","GGT",2016-08-19,7.74,7.74,7.7,7.71,154100,4.353589
"161","GGT",2016-08-22,7.7,7.74,7.69,7.72,95100,4.359235
"162","GGT",2016-08-23,7.75,7.78,7.72,7.74,108700,4.370528
"163","GGT",2016-08-24,7.74,7.78,7.72,7.73,65400,4.364881
"164","GGT",2016-08-25,7.71,7.74,7.7,7.7,49700,4.347942
"165","GGT",2016-08-26,7.72,7.72,7.65,7.65,82900,4.319707
"166","GGT",2016-08-29,7.66,7.73,7.66,7.67,84800,4.331001
"167","GGT",2016-08-30,7.67,7.69,7.65,7.66,70300,4.325355
"168","GGT",2016-08-31,7.65,7.7,7.64,7.7,116100,4.347942
"169","GGT",2016-09-01,7.7,7.7,7.65,7.69,108800,4.342294
"170","GGT",2016-09-02,7.74,7.78,7.74,7.78,72200,4.393114
"171","GGT",2016-09-06,7.78,7.81,7.75,7.79,99700,4.398762
"172","GGT",2016-09-07,7.8,7.86,7.77,7.86,100100,4.438288
"173","GGT",2016-09-08,7.87,7.9,7.81,7.9,77600,4.460876
"174","GGT",2016-09-09,7.84,7.85,7.77,7.77,113000,4.387467
"175","GGT",2016-09-12,7.72,7.79,7.7,7.75,140600,4.376174
"176","GGT",2016-09-13,7.71,7.82,7.6,7.67,133800,4.331001
"177","GGT",2016-09-14,7.51,7.56,7.41,7.51,106100,4.365882
"178","GGT",2016-09-15,7.5,7.53,7.45,7.49,120200,4.354255
"179","GGT",2016-09-16,7.48,7.5,7.4,7.4,54800,4.301934
"180","GGT",2016-09-19,7.41,7.47,7.34,7.34,89100,4.267053
"181","GGT",2016-09-20,7.4,7.41,7.37,7.41,59900,4.307747
"182","GGT",2016-09-21,7.42,7.46,7.39,7.45,84000,4.331001
"183","GGT",2016-09-22,7.5,7.53,7.45,7.5,59500,4.360068
"184","GGT",2016-09-23,7.54,7.57,7.44,7.47,110900,4.342627
"185","GGT",2016-09-26,7.43,7.6,7.43,7.55,154400,4.389136
"186","GGT",2016-09-27,7.53,7.86,7.53,7.7,182300,4.476337
"187","GGT",2016-09-28,7.74,7.85,7.67,7.77,207400,4.517029
"188","GGT",2016-09-29,7.76,7.78,7.6,7.61,65100,4.424016
"189","GGT",2016-09-30,7.65,7.73,7.65,7.69,45900,4.470523
"190","GGT",2016-10-03,7.68,7.75,7.68,7.74,60600,4.49959
"191","GGT",2016-10-04,7.77,7.8,7.66,7.68,34000,4.46471
"192","GGT",2016-10-05,7.73,7.73,7.69,7.72,26700,4.487963
"193","GGT",2016-10-06,7.75,7.75,7.66,7.66,36600,4.453084
"194","GGT",2016-10-07,7.65,7.7,7.65,7.65,34400,4.447269
"195","GGT",2016-10-10,7.66,7.72,7.65,7.65,47000,4.447269
"196","GGT",2016-10-11,7.67,7.71,7.6,7.61,46900,4.424016
"197","GGT",2016-10-12,7.62,7.65,7.6,7.6,32900,4.418202
"198","GGT",2016-10-13,7.55,7.6,7.49,7.57,99000,4.400762
"199","GGT",2016-10-14,7.62,7.63,7.56,7.57,69700,4.400762
"200","GGT",2016-10-17,7.52,7.55,7.47,7.47,76100,4.342627
"201","GGT",2016-10-18,7.53,7.53,7.39,7.4,123400,4.301934
"202","GGT",2016-10-19,7.36,7.62,7.36,7.49,199500,4.354255
"203","GGT",2016-10-20,7.49,7.51,7.4,7.44,89600,4.325189
"204","GGT",2016-10-21,7.42,7.48,7.4,7.45,51700,4.331001
"205","GGT",2016-10-24,7.52,7.55,7.51,7.54,56300,4.383321
