"","symbol","date","open","high","low","close","volume","adjusted"
"1","GLOP",2016-01-04,14.12,14.83,13.94,14.25,143900,8.050276
"2","GLOP",2016-01-05,14.35,14.69,13.9,14.64,148400,8.270598
"3","GLOP",2016-01-06,14.41,14.41,13.98,14.16,57200,7.999431
"4","GLOP",2016-01-07,13.95,14.09,13.06,13.1,101600,7.400605
"5","GLOP",2016-01-08,13.19,13.56,12.801,12.91,104900,7.293269
"6","GLOP",2016-01-11,12.5,12.87,11.55,12.29,145200,6.943009
"7","GLOP",2016-01-12,12.43,12.45,11.31,11.99,167800,6.77353
"8","GLOP",2016-01-13,12.13,12.36,11.16,11.28,117300,6.372427
"9","GLOP",2016-01-14,11.4,11.73,10.72,11.53,188100,6.513661
"10","GLOP",2016-01-15,11.01,11.24,10.9,11.13,96900,6.287688
"11","GLOP",2016-01-19,11.47,11.47,10.5,10.53,140800,5.948729
"12","GLOP",2016-01-20,10.45,10.45,9.57,10,252500,5.649317
"13","GLOP",2016-01-21,9.9,10.75,9.9,10.55,126100,5.960029
"14","GLOP",2016-01-22,11,11.98,10.93,11.25,174700,6.35548
"15","GLOP",2016-01-25,11.09,11.93,11.03,11.36,60300,6.417622
"16","GLOP",2016-01-26,11.71,12,11.52,11.98,156100,6.767879
"17","GLOP",2016-01-27,12.1,12.7,11.85,12.02,148600,6.790479
"18","GLOP",2016-01-28,13.1,14.3,12.706,14.25,341600,8.050276
"19","GLOP",2016-01-29,14.65,14.9,13.96,14.3,306200,8.078522
"20","GLOP",2016-02-01,14.77,14.9,14.25,14.44,344900,8.157611
"21","GLOP",2016-02-02,14.49,14.84,14.07,14.21,268000,8.027678
"22","GLOP",2016-02-03,14.6,14.6,13.612,14.12,284200,7.976833
"23","GLOP",2016-02-04,13.83,14.24,13.52,13.99,102900,8.180318
"24","GLOP",2016-02-05,13.9,14.095,13.6,13.78,91500,8.057526
"25","GLOP",2016-02-08,13.61,13.73,12.16,13.65,208200,7.981511
"26","GLOP",2016-02-09,13.49,13.6,12.26,13.29,221200,7.771009
"27","GLOP",2016-02-10,13.22,13.65,12.96,13.29,200200,7.771009
"28","GLOP",2016-02-11,12.92,13.061,12.21,12.55,211400,7.338311
