"","symbol","date","open","high","low","close","volume","adjusted"
"1","GMAB",2016-01-04,13.45,13.45,13.336,13.446,28000,13.446
"2","GMAB",2016-01-05,13.27,13.29,13.186,13.186,20000,13.186
"3","GMAB",2016-01-06,13.156,13.173,13.092,13.13,39000,13.13
"4","GMAB",2016-01-07,13,13,12.956,12.956,9000,12.956
"5","GMAB",2016-01-08,12.766,12.792,12.766,12.766,8000,12.766
"6","GMAB",2016-01-11,12.473,12.473,12.138,12.138,69500,12.138
"7","GMAB",2016-01-12,12.554,12.586,12.554,12.586,6500,12.586
"8","GMAB",2016-01-13,12.8,12.8,12.56,12.56,31000,12.56
"9","GMAB",2016-01-14,12.56,12.56,12.56,12.56,0,12.56
"10","GMAB",2016-01-15,12.56,12.56,12.56,12.56,0,12.56
"11","GMAB",2016-01-19,12.134,12.325,12.128,12.325,29000,12.325
"12","GMAB",2016-01-20,11.8,11.8,11.662,11.8,31000,11.8
"13","GMAB",2016-01-21,11.772,11.86,11.772,11.86,3000,11.86
"14","GMAB",2016-01-22,12.198,12.292,12.08,12.26,20500,12.26
"15","GMAB",2016-01-25,12.547,12.672,12.547,12.672,12000,12.672
"16","GMAB",2016-01-26,12.63,12.695,12.63,12.695,3500,12.695
"17","GMAB",2016-01-27,12.64,12.64,12.64,12.64,2500,12.64
"18","GMAB",2016-01-28,12.506,12.506,12.362,12.364,9500,12.364
"19","GMAB",2016-01-29,12.46,12.49,12.458,12.49,3500,12.49
"20","GMAB",2016-02-01,12.49,12.49,12.49,12.49,0,12.49
"21","GMAB",2016-02-02,12.49,12.49,12.49,12.49,0,12.49
"22","GMAB",2016-02-03,12.357,12.357,12.357,12.357,2000,12.357
"23","GMAB",2016-02-04,11.896,11.896,11.823,11.823,9500,11.823
"24","GMAB",2016-02-05,11.31,11.332,11.06,11.07,52000,11.07
"25","GMAB",2016-02-08,10.102,10.102,9.946,9.982,3000,9.982
"26","GMAB",2016-02-09,9.23,9.776,9.23,9.7,6000,9.7
"27","GMAB",2016-02-10,10.042,10.114,10.042,10.11,5500,10.11
"28","GMAB",2016-02-11,10.11,10.11,10.11,10.11,0,10.11
"29","GMAB",2016-02-12,9.82,9.868,9.82,9.868,15000,9.868
"30","GMAB",2016-02-16,10.478,10.494,10.478,10.494,2500,10.494
"31","GMAB",2016-02-17,10.618,10.754,10.618,10.754,35500,10.754
"32","GMAB",2016-02-18,11.116,11.12,10.986,11.1,12500,11.1
"33","GMAB",2016-02-19,11.1,11.1,11.1,11.1,0,11.1
"34","GMAB",2016-02-22,11.1,11.1,11.1,11.1,0,11.1
"35","GMAB",2016-02-23,11.1,11.1,11.1,11.1,0,11.1
"36","GMAB",2016-02-24,11.472,11.472,11.472,11.472,1500,11.472
"37","GMAB",2016-02-25,12.132,12.2,12.132,12.2,8500,12.2
"38","GMAB",2016-02-26,12.2,12.2,12.2,12.2,0,12.2
"39","GMAB",2016-02-29,12.486,12.486,12.35,12.35,81500,12.35
"40","GMAB",2016-03-01,12.453,12.56,12.453,12.56,2000,12.56
"41","GMAB",2016-03-02,12.39,12.428,12.39,12.428,8500,12.428
"42","GMAB",2016-03-03,12.202,12.202,12.202,12.202,2000,12.202
"43","GMAB",2016-03-04,12.202,12.202,12.202,12.202,0,12.202
"44","GMAB",2016-03-07,11.98,11.98,11.98,11.98,2500,11.98
"45","GMAB",2016-03-08,11.994,11.994,11.976,11.976,2500,11.976
"46","GMAB",2016-03-09,11.88,11.97,11.88,11.97,1500,11.97
"47","GMAB",2016-03-10,11.914,11.914,11.914,11.914,2500,11.914
"48","GMAB",2016-03-11,12.02,12.044,12.02,12.044,2500,12.044
"49","GMAB",2016-03-14,12.398,12.41,12.342,12.371,8500,12.371
"50","GMAB",2016-03-15,12.33,12.33,12.33,12.33,1500,12.33
"51","GMAB",2016-03-16,12.33,12.4,12.33,12.4,1500,12.4
"52","GMAB",2016-03-17,12.4,12.4,12.4,12.4,0,12.4
