"","symbol","date","open","high","low","close","volume","adjusted"
"1","GME",2016-01-04,27.040001,28.459999,27.01,28.309999,4330400,21.848803
"2","GME",2016-01-05,28.59,29.01,28.059999,28.77,3416600,22.203817
"3","GME",2016-01-06,28.23,28.74,27.440001,28.370001,3756400,21.895107
"4","GME",2016-01-07,28.120001,28.77,27.74,28.450001,2662800,21.95685
"5","GME",2016-01-08,28.700001,28.790001,28.040001,28.370001,2699200,21.895107
"6","GME",2016-01-11,28.33,29.549999,27.99,29.379999,3256700,22.674595
"7","GME",2016-01-12,28.950001,29.219999,26.309999,27.879999,8089400,21.516941
"8","GME",2016-01-13,27.709999,27.82,26.48,26.940001,2921600,20.791475
"9","GME",2016-01-14,27.42,27.42,25.18,25.58,4589400,19.741869
"10","GME",2016-01-15,25.059999,25.940001,24.85,25.639999,3187700,19.788176
"11","GME",2016-01-19,25.959999,25.98,25.049999,25.51,2784500,19.687847
"12","GME",2016-01-20,25.209999,25.450001,24.33,25.190001,2236300,19.440882
"13","GME",2016-01-21,25.190001,25.940001,25.15,25.290001,2118300,19.518057
"14","GME",2016-01-22,25.73,26.030001,25.43,25.67,1763600,19.811331
"15","GME",2016-01-25,25.6,25.969999,24.91,25.059999,1445200,19.340549
"16","GME",2016-01-26,25.35,26.48,25.139999,26.059999,2769000,20.112316
"17","GME",2016-01-27,26.24,26.780001,25.82,26.15,2002900,20.18178
"18","GME",2016-01-28,26.49,26.610001,25.67,25.709999,1398900,19.842203
"19","GME",2016-01-29,25.76,26.25,25.610001,26.209999,2317800,20.228085
"20","GME",2016-02-01,26.200001,26.860001,25.85,26.809999,2787300,20.691145
"21","GME",2016-02-02,26.629999,26.709999,25.59,25.92,1840600,20.004272
"22","GME",2016-02-03,26.110001,26.280001,24.75,26.17,2223400,20.197214
"23","GME",2016-02-04,26.059999,27.190001,25.379999,27.01,2000200,20.845503
"24","GME",2016-02-05,27.01,27.18,26.43,26.83,1545800,20.706583
"25","GME",2016-02-08,26.549999,27.959999,26.5,27.889999,2944800,21.524658
"26","GME",2016-02-09,27.65,27.879999,26.709999,27.120001,3286800,20.930393
"27","GME",2016-02-10,27.200001,27.290001,26.620001,26.65,1370100,20.567663
"28","GME",2016-02-11,26.450001,26.950001,26.139999,26.67,1479700,20.583097
"29","GME",2016-02-12,26.77,27.379999,26.299999,26.98,2581800,20.822344
"30","GME",2016-02-16,27.33,28.049999,26.889999,28,1436000,21.609552
"31","GME",2016-02-17,28.219999,29,27.959999,28.74,1672400,22.18066
"32","GME",2016-02-18,28.799999,29.799999,28.67,29.24,2762000,22.566551
"33","GME",2016-02-19,29.219999,29.219999,27.780001,28.190001,2132500,21.756187
"34","GME",2016-02-22,28.530001,29.629999,28.43,29.209999,1680600,22.54339
"35","GME",2016-02-23,29.6,29.860001,28.98,29.440001,1264900,22.720901
"36","GME",2016-02-24,29.42,29.9,28.26,29.889999,1604200,23.068199
"37","GME",2016-02-25,29.6,30.059999,29.309999,29.959999,1528900,23.122217
"38","GME",2016-02-26,30.110001,30.610001,29.93,30.540001,1693900,23.569851
"39","GME",2016-02-29,30.440001,31.09,30.02,30.82,2350400,23.785946
"40","GME",2016-03-01,31.049999,31.24,30.49,30.940001,2130100,23.878555
"41","GME",2016-03-02,30.879999,31.68,29.16,31.290001,4113100,24.148676
"42","GME",2016-03-03,31.360001,32.950001,31.280001,32.709999,3549000,25.244589
"43","GME",2016-03-04,32.27,32.560001,31.190001,31.23,2530400,24.378126
"44","GME",2016-03-07,31.030001,31.700001,30.379999,30.74,2830300,23.995626
"45","GME",2016-03-08,30.889999,30.99,29.809999,30.120001,2328500,23.51166
"46","GME",2016-03-09,30.379999,31.57,30.16,31.290001,2594500,24.424959
"47","GME",2016-03-10,31.33,31.33,29.940001,30.440001,2049300,23.761448
"48","GME",2016-03-11,30.540001,31.09,30.440001,30.75,1619300,24.003435
"49","GME",2016-03-14,30.76,32.029999,30.719999,31.66,1730400,24.713778
"50","GME",2016-03-15,31.51,31.73,29.969999,30.780001,2027900,24.026854
"51","GME",2016-03-16,31.15,32.009998,30.82,31.91,1562400,24.908932
"52","GME",2016-03-17,32.18,32.220001,31.01,31.360001,3050200,24.479603
"53","GME",2016-03-18,31.58,32.290001,30.790001,30.83,5542700,24.065882
"54","GME",2016-03-21,30.92,31.66,30.049999,30.85,3358700,24.081493
"55","GME",2016-03-22,30.75,30.790001,30.01,30.18,2175000,23.558491
"56","GME",2016-03-23,30.18,30.809999,30.049999,30.370001,1969200,23.706808
"57","GME",2016-03-24,30.34,30.5,29.610001,30.27,4488100,23.62875
"58","GME",2016-03-28,28.950001,30.950001,28.4,30.09,8247200,23.488237
"59","GME",2016-03-29,30.18,31.93,30,31.51,3802500,24.596693
"60","GME",2016-03-30,31.57,31.969999,31,31.76,2522100,24.79184
"61","GME",2016-03-31,31.870001,32.43,31.67,31.73,2094000,24.768421
"62","GME",2016-04-01,31.73,31.76,30.709999,31.34,2135100,24.463987
"63","GME",2016-04-04,31.389999,31.42,30.709999,30.93,1491800,24.143946
"64","GME",2016-04-05,30.799999,31.08,30.219999,30.290001,1751000,23.644361
