"","symbol","date","open","high","low","close","volume","adjusted"
"1","GNRC",2016-01-04,29.280001,29.51,28.43,28.91,803200,28.91
"2","GNRC",2016-01-05,29.030001,29.030001,28.34,28.639999,626800,28.639999
"3","GNRC",2016-01-06,28.200001,28.889999,28.129999,28.58,659700,28.58
"4","GNRC",2016-01-07,28,28.299999,27.790001,28.030001,862000,28.030001
"5","GNRC",2016-01-08,28.25,28.530001,27.85,28,1157200,28
"6","GNRC",2016-01-11,28.190001,29.280001,28.1,29.040001,1445000,29.040001
"7","GNRC",2016-01-12,29.280001,30.23,29.24,30.200001,1717600,30.200001
"8","GNRC",2016-01-13,30.200001,30.709999,28.67,28.74,977300,28.74
"9","GNRC",2016-01-14,28.93,28.93,27.99,28.030001,813800,28.030001
"10","GNRC",2016-01-15,27.25,27.799999,26.889999,27.35,1319000,27.35
"11","GNRC",2016-01-19,27.709999,27.74,26.780001,27.27,1116400,27.27
"12","GNRC",2016-01-20,26.799999,28.68,26.290001,28.559999,1071900,28.559999
"13","GNRC",2016-01-21,28.74,29.690001,28.440001,29.16,1054100,29.16
"14","GNRC",2016-01-22,29.889999,30.690001,29.780001,30.57,1719900,30.57
"15","GNRC",2016-01-25,30,30.15,27.110001,27.26,1554800,27.26
"16","GNRC",2016-01-26,27.530001,28.059999,27.48,27.889999,812700,27.889999
"17","GNRC",2016-01-27,27.809999,28.389999,27.65,27.99,534700,27.99
"18","GNRC",2016-01-28,28.42,28.559999,27.639999,27.75,710200,27.75
"19","GNRC",2016-01-29,27.940001,28.42,27.690001,28.42,994900,28.42
"20","GNRC",2016-02-01,28.25,29.629999,27.959999,29.4,762600,29.4
"21","GNRC",2016-02-02,28.92,29.049999,28.16,28.26,436200,28.26
"22","GNRC",2016-02-03,28.469999,28.469999,27.280001,28.41,370100,28.41
"23","GNRC",2016-02-04,28.43,29.23,28.309999,29.139999,507700,29.139999
"24","GNRC",2016-02-05,29.01,29.129999,28.52,28.75,773700,28.75
"25","GNRC",2016-02-08,28.4,29.02,28.08,28.93,748700,28.93
"26","GNRC",2016-02-09,28.459999,28.51,27.799999,27.92,720100,27.92
"27","GNRC",2016-02-10,28.02,28.59,27.790001,27.969999,626000,27.969999
"28","GNRC",2016-02-11,27.42,28.450001,27.139999,28.280001,544600,28.280001
"29","GNRC",2016-02-12,28.48,28.549999,27.629999,27.91,1132900,27.91
"30","GNRC",2016-02-16,31.290001,32.82,29.34,32.75,3328400,32.75
"31","GNRC",2016-02-17,33.169998,35,31.92,32.669998,2258700,32.669998
"32","GNRC",2016-02-18,32.830002,34.07,32.380001,33.98,1132600,33.98
"33","GNRC",2016-02-19,33.779999,34.5,32.740002,34.049999,876000,34.049999
"34","GNRC",2016-02-22,34.419998,34.880001,33.900002,34.119999,844700,34.119999
"35","GNRC",2016-02-23,34.110001,34.669998,33.889999,34.639999,910000,34.639999
"36","GNRC",2016-02-24,34.23,34.68,33.720001,34.619999,827700,34.619999
"37","GNRC",2016-02-25,34.73,34.98,33.77,34.119999,864200,34.119999
"38","GNRC",2016-02-26,34.220001,34.950001,34.110001,34.830002,726500,34.830002
"39","GNRC",2016-02-29,34.900002,35.32,34.34,34.740002,892400,34.740002
"40","GNRC",2016-03-01,35.080002,35.48,34.529999,34.990002,664700,34.990002
"41","GNRC",2016-03-02,34.849998,35.029999,34.220001,34.610001,610800,34.610001
"42","GNRC",2016-03-03,34.68,35.419998,34.360001,35.34,582900,35.34
"43","GNRC",2016-03-04,35.200001,35.360001,34.580002,34.91,489000,34.91
"44","GNRC",2016-03-07,34.740002,35.990002,34.740002,35.959999,809800,35.959999
"45","GNRC",2016-03-08,35.599998,35.75,34.98,35.080002,328900,35.080002
"46","GNRC",2016-03-09,35.169998,35.669998,34.810001,34.919998,429000,34.919998
"47","GNRC",2016-03-10,35,35.169998,34.5,35.040001,360100,35.040001
"48","GNRC",2016-03-11,35.330002,35.82,35.200001,35.630001,292600,35.630001
"49","GNRC",2016-03-14,35.869999,37.09,35.869999,36.380001,745400,36.380001
"50","GNRC",2016-03-15,36.009998,36.619999,35.849998,36.400002,494700,36.400002
"51","GNRC",2016-03-16,36.290001,36.790001,36.029999,36.68,567800,36.68
"52","GNRC",2016-03-17,36.689999,38.200001,36.459999,38.040001,768900,38.040001
"53","GNRC",2016-03-18,38.25,38.619999,37.790001,38.509998,1117500,38.509998
"54","GNRC",2016-03-21,38.290001,38.48,37.720001,37.77,337800,37.77
"55","GNRC",2016-03-22,37.68,38.25,37.450001,37.990002,243900,37.990002
"56","GNRC",2016-03-23,37.779999,37.810001,37.119999,37.119999,527400,37.119999
"57","GNRC",2016-03-24,36.82,37.23,36.470001,36.720001,441000,36.720001
"58","GNRC",2016-03-28,36.790001,36.869999,35.799999,35.93,1064400,35.93
"59","GNRC",2016-03-29,35.830002,36.990002,35.75,36.68,1270500,36.68
"60","GNRC",2016-03-30,36.849998,37.939999,36.849998,37.619999,642300,37.619999
"61","GNRC",2016-03-31,37.59,37.810001,37.130001,37.240002,389100,37.240002
"62","GNRC",2016-04-01,36.869999,37.669998,36.41,37.639999,461900,37.639999
"63","GNRC",2016-04-04,37.59,37.73,36.689999,36.759998,406500,36.759998
"64","GNRC",2016-04-05,36.540001,36.900002,36.119999,36.470001,309700,36.470001
"65","GNRC",2016-04-06,36.450001,36.700001,35.950001,36.41,283000,36.41
"66","GNRC",2016-04-07,36.150002,36.779999,35.84,36.389999,426300,36.389999
"67","GNRC",2016-04-08,36.740002,37.77,36.48,36.610001,305700,36.610001
"68","GNRC",2016-04-11,36.779999,37.439999,36.580002,36.860001,232400,36.860001
"69","GNRC",2016-04-12,36.959999,37.310001,36.490002,37.040001,287500,37.040001
"70","GNRC",2016-04-13,37.290001,38.080002,37.290001,38.02,292400,38.02
"71","GNRC",2016-04-14,38,38.279999,37.709999,38.040001,368600,38.040001
"72","GNRC",2016-04-15,37.959999,38.549999,37.84,38.220001,262900,38.220001
"73","GNRC",2016-04-18,37.93,38.5,37.709999,38.220001,314800,38.220001
"74","GNRC",2016-04-19,38.43,38.669998,38.220001,38.490002,277000,38.490002
"75","GNRC",2016-04-20,38.599998,38.849998,38.240002,38.279999,291200,38.279999
"76","GNRC",2016-04-21,38.41,38.57,37.900002,38.18,356600,38.18
"77","GNRC",2016-04-22,38.049999,39.59,38.049999,39.25,518200,39.25
"78","GNRC",2016-04-25,39.049999,39.139999,37.650002,37.860001,361300,37.860001
"79","GNRC",2016-04-26,38.139999,38.34,37.860001,38.099998,468800,38.099998
"80","GNRC",2016-04-27,38.169998,38.93,38.16,38.740002,340800,38.740002
"81","GNRC",2016-04-28,38.400002,38.98,38.209999,38.369999,217400,38.369999
"82","GNRC",2016-04-29,38.299999,38.529999,37.619999,38.119999,326100,38.119999
"83","GNRC",2016-05-02,38.41,38.459999,37.720001,37.849998,261600,37.849998
"84","GNRC",2016-05-03,37.720001,37.919998,37.209999,37.43,694400,37.43
"85","GNRC",2016-05-04,37,37.369999,34.18,34.82,1478400,34.82
"86","GNRC",2016-05-05,34.93,35.18,33.779999,34.66,541400,34.66
"87","GNRC",2016-05-06,34.5,34.91,34.279999,34.790001,380300,34.790001
"88","GNRC",2016-05-09,34.68,35.009998,34.41,34.82,337900,34.82
"89","GNRC",2016-05-10,35.060001,35.360001,34.630001,35.290001,389500,35.290001
"90","GNRC",2016-05-11,35.240002,35.43,34.68,34.950001,574600,34.950001
"91","GNRC",2016-05-12,35.189999,35.880001,34.990002,35.48,464400,35.48
"92","GNRC",2016-05-13,35.32,35.75,35.099998,35.27,593600,35.27
"93","GNRC",2016-05-16,35.310001,36.700001,35.310001,36.639999,604300,36.639999
"94","GNRC",2016-05-17,36.540001,37.080002,35.16,35.389999,767100,35.389999
"95","GNRC",2016-05-18,35.209999,35.860001,35.029999,35.419998,273100,35.419998
"96","GNRC",2016-05-19,35.18,35.529999,34.68,35.040001,297700,35.040001
"97","GNRC",2016-05-20,35.130001,36.02,34.98,36.009998,418800,36.009998
"98","GNRC",2016-05-23,36.040001,37.27,35.860001,36.860001,640300,36.860001
"99","GNRC",2016-05-24,36.860001,37.880001,36.860001,37.790001,484700,37.790001
"100","GNRC",2016-05-25,37.82,37.98,37.240002,37.43,584200,37.43
"101","GNRC",2016-05-26,37.450001,37.790001,37.380001,37.580002,294600,37.580002
"102","GNRC",2016-05-27,37.57,37.75,37.110001,37.700001,333400,37.700001
"103","GNRC",2016-05-31,37.709999,38.130001,37.25,37.91,412300,37.91
"104","GNRC",2016-06-01,37.869999,38.139999,37.439999,37.779999,381700,37.779999
"105","GNRC",2016-06-02,37.66,37.720001,37.240002,37.580002,390700,37.580002
"106","GNRC",2016-06-03,37.5,37.91,37.119999,37.619999,252500,37.619999
"107","GNRC",2016-06-06,37.650002,38.459999,37.52,38.369999,367000,38.369999
"108","GNRC",2016-06-07,38.5,38.580002,38.220001,38.459999,304600,38.459999
"109","GNRC",2016-06-08,38.400002,39.110001,38.25,38.990002,279700,38.990002
"110","GNRC",2016-06-09,38.619999,38.639999,38.240002,38.52,254700,38.52
"111","GNRC",2016-06-10,38,38,37.490002,37.810001,300600,37.810001
"112","GNRC",2016-06-13,37.490002,38.09,37.259998,37.59,324500,37.59
"113","GNRC",2016-06-14,37.48,37.869999,37.07,37.700001,296600,37.700001
"114","GNRC",2016-06-15,37.950001,38.23,37.549999,37.59,207800,37.59
"115","GNRC",2016-06-16,37.32,37.369999,36.889999,36.990002,319600,36.990002
"116","GNRC",2016-06-17,37,37.310001,36.799999,37.040001,727700,37.040001
"117","GNRC",2016-06-20,37.68,38.189999,37.59,38.02,328800,38.02
"118","GNRC",2016-06-21,38.150002,38.150002,36.310001,36.5,392100,36.5
"119","GNRC",2016-06-22,36.529999,36.529999,35.669998,35.700001,483200,35.700001
"120","GNRC",2016-06-23,36.25,36.650002,36.169998,36.310001,284200,36.310001
"121","GNRC",2016-06-24,34.759998,35.34,34.610001,34.619999,1015000,34.619999
"122","GNRC",2016-06-27,34.169998,34.240002,33.139999,33.860001,461700,33.860001
"123","GNRC",2016-06-28,34.209999,34.419998,33.91,33.93,360000,33.93
"124","GNRC",2016-06-29,34.259998,34.599998,34.040001,34.25,268600,34.25
"125","GNRC",2016-06-30,34.330002,34.98,34.07,34.959999,374400,34.959999
"126","GNRC",2016-07-01,34.880001,35.540001,34.75,35.43,215500,35.43
"127","GNRC",2016-07-05,35.16,35.369999,34.25,34.470001,184300,34.470001
"128","GNRC",2016-07-06,34.380001,34.98,34.02,34.77,258700,34.77
"129","GNRC",2016-07-07,34.93,35.599998,34.759998,35.389999,215100,35.389999
"130","GNRC",2016-07-08,35.75,37.009998,35.639999,36.830002,668500,36.830002
"131","GNRC",2016-07-11,36.970001,37.66,36.970001,37.57,312800,37.57
"132","GNRC",2016-07-12,37.599998,37.91,37.52,37.57,294900,37.57
"133","GNRC",2016-07-13,37.57,37.720001,36.68,36.77,315900,36.77
"134","GNRC",2016-07-14,36.939999,37.27,36.830002,36.900002,313200,36.900002
"135","GNRC",2016-07-15,37.16,37.529999,36.779999,37.209999,337700,37.209999
"136","GNRC",2016-07-18,37.110001,37.310001,37.049999,37.240002,261400,37.240002
