"","symbol","date","open","high","low","close","volume","adjusted"
"1","GNTX",2016-01-04,15.73,15.83,15.52,15.76,2189700,14.034953
"2","GNTX",2016-01-05,15.74,15.76,15.22,15.24,2945600,13.645464
"3","GNTX",2016-01-06,15.09,15.09,14.59,14.63,4001400,13.099289
"4","GNTX",2016-01-07,14.18,14.5,14.13,14.14,3752700,12.660558
"5","GNTX",2016-01-08,14.23,14.39,14.02,14.06,5629500,12.588926
"6","GNTX",2016-01-11,14.18,14.23,13.85,14.19,6170400,12.705326
"7","GNTX",2016-01-12,14.34,14.37,14.1,14.28,3504200,12.785908
"8","GNTX",2016-01-13,14.46,14.46,13.6,13.74,4035200,12.302407
"9","GNTX",2016-01-14,13.74,13.82,13.31,13.6,6131400,12.177056
"10","GNTX",2016-01-15,13.24,13.46,13.13,13.41,4485700,12.006934
"11","GNTX",2016-01-19,13.49,13.74,13.4,13.59,4700200,12.168104
"12","GNTX",2016-01-20,13.47,13.59,13.12,13.48,3414600,12.069613
"13","GNTX",2016-01-21,13.57,13.74,13.32,13.36,3532500,11.962168
"14","GNTX",2016-01-22,13.59,13.99,13.34,13.64,3544000,12.212871
"15","GNTX",2016-01-25,13.65,13.68,13.35,13.45,2711800,12.042749
"16","GNTX",2016-01-26,13.56,13.93,13.51,13.91,4509000,12.454619
"17","GNTX",2016-01-27,13.56,13.75,13.15,13.34,8307500,11.944259
"18","GNTX",2016-01-28,14,14.49,12.93,13.37,8273000,11.971121
"19","GNTX",2016-01-29,13.2,13.69,13,13.69,5994000,12.257639
"20","GNTX",2016-02-01,13.55,13.96,13.37,13.86,3602900,12.409852
"21","GNTX",2016-02-02,13.8,14.01,13.59,13.72,4181900,12.284499
"22","GNTX",2016-02-03,13.87,13.9,13.27,13.71,4596800,12.275547
"23","GNTX",2016-02-04,13.63,13.96,13.5,13.62,3344000,12.194966
"24","GNTX",2016-02-05,13.53,13.61,13.25,13.33,3483500,11.935305
"25","GNTX",2016-02-08,13.14,13.38,13.02,13.31,3955100,11.917397
"26","GNTX",2016-02-09,13.14,13.67,13.14,13.52,4525900,12.105425
