"","symbol","date","open","high","low","close","volume","adjusted"
"1","GOLD",2016-01-04,7.69,7.87,7.6,7.75,16529200,7.110584
"2","GOLD",2016-01-05,7.8,7.83,7.59,7.65,10416400,7.018834
"3","GOLD",2016-01-06,7.83,8.06,7.82,7.94,27686600,7.284908
"4","GOLD",2016-01-07,8.23,8.83,8.22,8.75,38298500,8.028081
"5","GOLD",2016-01-08,8.48,8.69,8.29,8.42,23231100,7.725305
"6","GOLD",2016-01-11,8.46,8.52,7.95,8.15,23091600,7.477582
"7","GOLD",2016-01-12,8.04,8.05,7.71,7.9,21541400,7.248208
"8","GOLD",2016-01-13,7.82,8.25,7.8,8.04,20811200,7.376656
"9","GOLD",2016-01-14,7.9,8.08,7.44,7.58,24017100,6.95461
"10","GOLD",2016-01-15,7.99,8.04,7.77,7.9,33732400,7.248208
"11","GOLD",2016-01-19,7.96,7.98,7.39,7.59,30794000,6.963786
"12","GOLD",2016-01-20,7.8,8.25,7.77,8.11,29243000,7.440883
"13","GOLD",2016-01-21,7.92,8.35,7.82,8.33,23635200,7.642732
"14","GOLD",2016-01-22,8.1,8.64,8.09,8.58,23255200,7.872105
"15","GOLD",2016-01-25,8.74,9.34,8.69,9.27,36763000,8.505178
"16","GOLD",2016-01-26,9.41,9.57,9.29,9.53,28802200,8.743726
"17","GOLD",2016-01-27,9.29,9.88,9.23,9.84,29434100,9.028148
"18","GOLD",2016-01-28,9.53,9.94,9.3,9.66,24911200,8.862998
"19","GOLD",2016-01-29,9.5,9.95,9.5,9.91,17992800,9.092373
"20","GOLD",2016-02-01,10.03,10.3,9.88,10.07,16790300,9.239173
"21","GOLD",2016-02-02,9.9,10.05,9.65,9.86,12446400,9.046499
"22","GOLD",2016-02-03,9.98,10.8,9.96,10.73,23070200,9.844717
"23","GOLD",2016-02-04,10.91,11.44,10.84,11.18,33191400,10.257592
"24","GOLD",2016-02-05,10.82,11.64,10.61,11.64,23223800,10.679639
"25","GOLD",2016-02-08,11.93,12.47,11.79,11.91,39140300,10.927361
"26","GOLD",2016-02-09,12.05,12.17,11.18,11.22,32384900,10.294291
"27","GOLD",2016-02-10,10.92,11.6,10.57,11.58,27524600,10.624591
"28","GOLD",2016-02-11,12.61,12.66,11.91,11.97,33803700,10.98241
"29","GOLD",2016-02-12,11.69,12.32,11.62,12.25,18949000,11.23931
"30","GOLD",2016-02-16,11.56,12.04,11.49,11.59,24508800,10.633763
"31","GOLD",2016-02-17,11.73,12,11.5,11.89,22669300,10.909014
"32","GOLD",2016-02-18,11.76,12.67,11.68,12.63,32225300,11.587958
"33","GOLD",2016-02-19,12.46,12.94,12.4,12.56,23409000,11.523736
"34","GOLD",2016-02-22,12.16,13.13,12.12,12.82,24530800,11.76228
"35","GOLD",2016-02-23,12.95,13.57,12.9,13.54,34525200,12.422878
"36","GOLD",2016-02-24,13.92,14.45,13.16,13.48,40165000,12.367828
"37","GOLD",2016-02-25,13.35,13.87,13.35,13.58,21647900,12.478092
"38","GOLD",2016-02-26,13.03,13.6,13.03,13.53,18683000,12.432148
"39","GOLD",2016-02-29,13.64,14,13.6,13.89,17055200,12.762936
"40","GOLD",2016-03-01,14,14.02,13.1,13.27,21344000,12.193246
"41","GOLD",2016-03-02,13.3,13.6,13.23,13.58,14811300,12.478092
"42","GOLD",2016-03-03,13.57,14.09,13.57,13.91,20359000,12.781316
"43","GOLD",2016-03-04,14.05,14.8,13.61,13.72,31811200,12.606735
"44","GOLD",2016-03-07,13.97,14.67,13.61,13.86,31945100,12.735371
"45","GOLD",2016-03-08,14.14,14.32,13.14,13.33,25470200,12.248377
"46","GOLD",2016-03-09,12.89,13.79,12.64,13.69,38507200,12.579167
"47","GOLD",2016-03-10,13.97,14.36,13.86,14.17,23621900,13.020219
"48","GOLD",2016-03-11,14.1,14.34,13.87,13.95,15392900,12.818069
"49","GOLD",2016-03-14,14.07,14.28,13.66,13.67,18801100,12.560789
"50","GOLD",2016-03-15,13.78,14.25,13.63,14.19,26885600,13.038597
"51","GOLD",2016-03-16,13.96,15.22,13.74,15.18,30391900,13.948267
"52","GOLD",2016-03-17,15.25,15.52,14.75,14.78,31421100,13.580722
"53","GOLD",2016-03-18,14.67,15.02,14.55,14.74,23750500,13.543966
"54","GOLD",2016-03-21,14.63,14.91,14.54,14.69,15666400,13.498024
"55","GOLD",2016-03-22,14.98,15.07,14.42,14.5,16881300,13.323441
"56","GOLD",2016-03-23,13.93,13.93,13.23,13.27,31735300,12.193246
"57","GOLD",2016-03-24,13.38,13.67,13.24,13.56,13018800,12.459716
"58","GOLD",2016-03-28,13.56,13.69,13.34,13.61,9792300,12.505659
"59","GOLD",2016-03-29,13.71,14.15,13.54,14.05,18278900,12.909954
"60","GOLD",2016-03-30,13.94,14.04,13.5,13.74,15902000,12.625109
"61","GOLD",2016-03-31,13.96,14,13.57,13.58,11409000,12.478092
"62","GOLD",2016-04-01,13.21,13.7,13.04,13.65,14610600,12.542413
"63","GOLD",2016-04-04,13.58,13.69,13.39,13.5,11365500,12.404585
"64","GOLD",2016-04-05,13.9,14.05,13.52,14.01,13426100,12.873202
"65","GOLD",2016-04-06,13.91,14.1,13.8,13.97,17236900,12.836446
"66","GOLD",2016-04-07,14.28,14.68,14.25,14.52,23743400,13.34182
"67","GOLD",2016-04-08,14.61,15.32,14.61,15.18,20664500,13.948267
"68","GOLD",2016-04-11,15.45,16.370001,15.42,16.309999,26119900,14.986574
"69","GOLD",2016-04-12,16.280001,16.67,15.95,16.35,19119500,15.023332
"70","GOLD",2016-04-13,16.01,16.25,15.86,16.049999,15611000,14.747671
"71","GOLD",2016-04-14,16,16.139999,15.1,15.42,21159900,14.168793
"72","GOLD",2016-04-15,15.48,15.76,15.19,15.64,12919400,14.370939
"73","GOLD",2016-04-18,15.92,15.92,15.54,15.82,11413200,14.536337
"74","GOLD",2016-04-19,16.370001,16.57,16.1,16.32,20985800,14.995764
"75","GOLD",2016-04-20,16.309999,16.65,15.61,15.89,24826400,14.600655
"76","GOLD",2016-04-21,16.23,16.700001,16.02,16.34,24333400,15.014141
"77","GOLD",2016-04-22,16.139999,16.549999,15.81,16.120001,15879400,14.811995
"78","GOLD",2016-04-25,16.25,16.290001,16.01,16.110001,13938900,14.802802
"79","GOLD",2016-04-26,16.16,16.59,16.030001,16.48,15016300,15.142776
"80","GOLD",2016-04-27,16.59,16.719999,16.120001,16.610001,18355900,15.262235
"81","GOLD",2016-04-28,16.790001,17.65,16.76,17.549999,18314700,16.125956
"82","GOLD",2016-04-29,17.959999,19.4,17.950001,19.370001,35558300,17.798279
"83","GOLD",2016-05-02,19.459999,19.5,18.83,19.110001,32058600,17.559376
