"","symbol","date","open","high","low","close","volume","adjusted"
"1","GPS",2016-01-04,24.120001,25.610001,23.860001,25.51,10014400,21.272726
"2","GPS",2016-01-05,25.549999,26.43,25.43,26.280001,11496400,21.914831
"3","GPS",2016-01-06,25.91,26.280001,25.07,25.290001,6894700,21.08927
"4","GPS",2016-01-07,24.85,26.799999,24.809999,26.74,11851000,22.298426
"5","GPS",2016-01-08,25.040001,25.290001,22.629999,22.91,17615700,19.104593
"6","GPS",2016-01-11,23.01,23.040001,22.35,22.68,10141000,18.912796
"7","GPS",2016-01-12,22.85,23.219999,22.370001,22.85,6084700,19.05456
"8","GPS",2016-01-13,22.959999,23.209999,22.440001,22.48,5359800,18.746016
"9","GPS",2016-01-14,22.459999,23.629999,22.26,23.219999,7369200,19.363104
"10","GPS",2016-01-15,22.620001,23.709999,22.620001,23.26,8099000,19.396458
"11","GPS",2016-01-19,23.1,23.35,22.379999,22.700001,5368200,18.929474
"12","GPS",2016-01-20,22.360001,22.790001,21.57,22.450001,5914300,18.721003
"13","GPS",2016-01-21,22.610001,23.23,22.469999,23,5490400,19.179642
"14","GPS",2016-01-22,23.34,23.700001,23,23.66,5186400,19.730015
"15","GPS",2016-01-25,23.77,24.09,22.940001,23.059999,6190700,19.229675
"16","GPS",2016-01-26,23.09,24.200001,23.040001,23.889999,5627200,19.921808
"17","GPS",2016-01-27,23.75,24.290001,23.459999,23.76,4132900,19.813406
"18","GPS",2016-01-28,24.120001,24.209999,23.75,24.01,3274600,20.021879
"19","GPS",2016-01-29,24.26,24.809999,24.059999,24.719999,5833500,20.613947
"20","GPS",2016-02-01,24.49,24.860001,24.15,24.74,5387500,20.630625
"21","GPS",2016-02-02,24.5,25.059999,24.049999,24.290001,5907400,20.255369
"22","GPS",2016-02-03,24.48,24.690001,23.790001,24.450001,5943500,20.388796
"23","GPS",2016-02-04,23.870001,24.43,23.67,23.9,7390300,19.930155
"24","GPS",2016-02-05,23.82,24.030001,23.129999,23.77,6167100,19.821743
"25","GPS",2016-02-08,23.389999,24.08,23.33,23.99,8504200,20.005201
"26","GPS",2016-02-09,23.870001,24.76,23.07,23.27,8994100,19.404797
"27","GPS",2016-02-10,23.52,23.6,22.4,22.549999,8437100,18.804386
"28","GPS",2016-02-11,22.23,22.780001,22.030001,22.43,5086300,18.704327
"29","GPS",2016-02-12,22.68,23.77,22.58,23.73,3932200,19.788395
"30","GPS",2016-02-16,24.02,24.540001,23.4,24.52,6177500,20.447172
"31","GPS",2016-02-17,24.700001,25.75,24.66,25.450001,6088200,21.222691
"32","GPS",2016-02-18,25.530001,26.190001,25.01,26.18,5542700,21.831436
"33","GPS",2016-02-19,25.75,26.450001,25.16,26.24,6610500,21.881472
"34","GPS",2016-02-22,26.459999,27.27,26.370001,27.059999,5652300,22.565266
"35","GPS",2016-02-23,27.02,27.52,26.809999,27.26,4402500,22.732048
"36","GPS",2016-02-24,26.9,27.51,26.33,27.280001,9701000,22.74873
"37","GPS",2016-02-25,27.18,27.690001,26.639999,27.6,8379300,23.015572
"38","GPS",2016-02-26,27.1,27.940001,26.200001,27.23,9843500,22.707029
"39","GPS",2016-02-29,27.309999,27.91,27.15,27.65,6488700,23.057268
"40","GPS",2016-03-01,27.709999,28.25,27.700001,28.16,5577200,23.482552
"41","GPS",2016-03-02,28.200001,28.370001,27.93,28.370001,4126200,23.657671
"42","GPS",2016-03-03,28.290001,28.58,27.99,28.540001,4738300,23.799433
"43","GPS",2016-03-04,28.59,29.940001,28.549999,29.290001,8510900,24.424858
"44","GPS",2016-03-07,28.98,30.17,28.950001,29.440001,7224400,24.549942
"45","GPS",2016-03-08,29.780001,30.309999,29.59,29.68,10332100,24.750074
"46","GPS",2016-03-09,29.889999,30.09,29.49,29.700001,4250300,24.76676
"47","GPS",2016-03-10,29.92,30.25,29.139999,29.59,6023700,24.675028
"48","GPS",2016-03-11,30.040001,30.23,29.65,30.17,4674500,25.158688
"49","GPS",2016-03-14,30.030001,30.389999,29.940001,30.18,2943900,25.16703
"50","GPS",2016-03-15,30.07,30.17,29.059999,29.709999,7417400,24.775095
"51","GPS",2016-03-16,28.75,29.360001,28.65,29.280001,5996600,24.416521
"52","GPS",2016-03-17,29.34,29.959999,29.24,29.9,4223500,24.933538
"53","GPS",2016-03-18,30.040001,30.49,29.940001,30.389999,9182500,25.342142
"54","GPS",2016-03-21,30.32,30.389999,29.68,29.83,3285800,24.875164
"55","GPS",2016-03-22,29.82,29.92,29.040001,29.08,6690900,24.249743
"56","GPS",2016-03-23,29.17,29.17,28.65,28.719999,4047000,23.949537
"57","GPS",2016-03-24,28.73,28.799999,28.23,28.76,4748600,23.982893
"58","GPS",2016-03-28,28.940001,29.33,28.860001,29.030001,3341700,24.208046
"59","GPS",2016-03-29,29.08,29.59,28.879999,29.51,4454100,24.608318
"60","GPS",2016-03-30,29.709999,29.91,29.469999,29.66,4846900,24.733402
"61","GPS",2016-03-31,29.780001,30,29.33,29.4,5400700,24.516584
"62","GPS",2016-04-01,29.24,29.620001,29.030001,29.459999,4944900,24.566624
"63","GPS",2016-04-04,29.690001,30.1,29.35,29.52,6046100,24.810356
"64","GPS",2016-04-05,29.35,29.450001,28.68,28.690001,5401200,24.112776
"65","GPS",2016-04-06,28.76,29.1,28.440001,28.860001,4532100,24.255651
"66","GPS",2016-04-07,28.610001,28.860001,27.6,27.68,10302500,23.26391
"67","GPS",2016-04-08,27.68,27.68,23.51,23.85,33027800,20.044949
"68","GPS",2016-04-11,24,24.549999,23.530001,23.98,11029700,20.154209
"69","GPS",2016-04-12,23.940001,23.99,23.24,23.58,9255200,19.818026
"70","GPS",2016-04-13,23.74,24.059999,23.68,23.93,4806200,20.112186
"71","GPS",2016-04-14,23.719999,23.889999,23.469999,23.709999,3951100,19.927286
"72","GPS",2016-04-15,23.74,24.040001,23.58,23.91,4915500,20.095379
"73","GPS",2016-04-18,23.77,23.940001,23.4,23.879999,3623900,20.070164
"74","GPS",2016-04-19,24,24.110001,23.67,23.959999,5054900,20.137405
"75","GPS",2016-04-20,24.030001,24.379999,23.940001,24.059999,4508700,20.221445
"76","GPS",2016-04-21,24.16,24.27,23.75,23.83,3139000,20.028137
"77","GPS",2016-04-22,23.77,24.040001,23.75,23.959999,2779000,20.137405
"78","GPS",2016-04-25,23.82,23.91,23.27,23.41,3482800,19.675154
"79","GPS",2016-04-26,23.459999,23.879999,23.16,23.870001,3796900,20.061762
"80","GPS",2016-04-27,23.530001,24.02,23.25,23.969999,3469100,20.145803
"81","GPS",2016-04-28,23.85,23.91,23.48,23.530001,3897200,19.776005
"82","GPS",2016-04-29,23.530001,23.530001,23,23.18,3821600,19.481846
"83","GPS",2016-05-02,23.1,23.209999,22.700001,22.98,6291100,19.313751
"84","GPS",2016-05-03,22.85,22.889999,22.42,22.629999,6077400,19.019592
"85","GPS",2016-05-04,22.48,22.9,22.440001,22.74,4848000,19.112041
"86","GPS",2016-05-05,22.459999,22.5,21.690001,21.870001,7822100,18.38084
"87","GPS",2016-05-06,21.73,21.780001,21.110001,21.67,9943900,18.212749
"88","GPS",2016-05-09,21.700001,22.139999,21.700001,21.809999,5314900,18.330414
"89","GPS",2016-05-10,19.49,19.66,18.98,19.299999,30923000,16.220863
"90","GPS",2016-05-11,19.120001,19.43,18.549999,18.58,10071100,15.615735
"91","GPS",2016-05-12,18.120001,18.58,17.629999,17.860001,14379200,15.010602
"92","GPS",2016-05-13,17.610001,18.299999,17.34,17.620001,10112700,14.808891
"93","GPS",2016-05-16,17.57,17.879999,17.48,17.549999,9483500,14.750057
"94","GPS",2016-05-17,17.57,17.700001,17.24,17.33,6759200,14.565161
"95","GPS",2016-05-18,17.18,17.25,17,17.09,6182400,14.363448
"96","GPS",2016-05-19,17.309999,17.49,17,17.280001,10315700,14.523135
"97","GPS",2016-05-20,17.41,18.1,17.309999,18.01,15192100,15.136669
"98","GPS",2016-05-23,18.02,18.67,17.940001,18.41,17570800,15.472852
"99","GPS",2016-05-24,18.530001,18.73,18,18.09,9351600,15.203906
"100","GPS",2016-05-25,18.15,18.35,18.09,18.280001,8227200,15.363592
"101","GPS",2016-05-26,18.440001,18.48,18.02,18.059999,5918000,15.178695
"102","GPS",2016-05-27,18.1,18.280001,18.01,18.129999,5016300,15.237526
"103","GPS",2016-05-31,18.23,18.299999,17.719999,17.99,11231400,15.119858
"104","GPS",2016-06-01,17.940001,18.200001,17.73,17.870001,9361000,15.019007
"105","GPS",2016-06-02,17.879999,18.48,17.870001,18.33,9341800,15.40562
"106","GPS",2016-06-03,19,19.43,18.700001,19.09,10804800,16.044369
"107","GPS",2016-06-06,19.02,19.219999,18.83,19.049999,6142800,16.010746
"108","GPS",2016-06-07,19.15,19.57,19.059999,19.42,5342800,16.321718
"109","GPS",2016-06-08,19.530001,19.59,19.299999,19.530001,4373300,16.414169
"110","GPS",2016-06-09,19.459999,19.459999,19,19.309999,4508600,16.229267
"111","GPS",2016-06-10,18.82,19.040001,18.559999,18.92,4416100,15.901484
"112","GPS",2016-06-13,18.92,19.129999,18.77,18.91,4813200,15.893087
"113","GPS",2016-06-14,18.82,19.209999,18.690001,19.01,5042400,15.977131
"114","GPS",2016-06-15,19.08,19.790001,19.049999,19.33,5393600,16.246077
"115","GPS",2016-06-16,19.15,19.389999,18.93,19.34,4648600,16.25448
"116","GPS",2016-06-17,19.389999,20.43,19.379999,20.129999,10633100,16.918442
"117","GPS",2016-06-20,20.370001,21.040001,20.34,20.719999,14453000,17.41431
"118","GPS",2016-06-21,20.700001,20.700001,20.24,20.549999,5651900,17.271431
"119","GPS",2016-06-22,20.700001,20.98,20.58,20.610001,4132700,17.321867
"120","GPS",2016-06-23,20.879999,21.07,20.780001,20.93,4463800,17.590813
"121","GPS",2016-06-24,20.120001,20.58,20.1,20.4,9090600,17.145365
"122","GPS",2016-06-27,20.25,20.290001,19.33,20.07,7652400,16.868013
"123","GPS",2016-06-28,20.209999,20.99,20.16,20.74,6308300,17.431126
"124","GPS",2016-06-29,20.84,21.24,20.780001,21,5796800,17.649641
"125","GPS",2016-06-30,21.09,21.219999,20.59,21.219999,5681700,17.834543
"126","GPS",2016-07-01,20.969999,21.48,20.950001,21.4,5525600,18.182905
"127","GPS",2016-07-05,21.299999,21.42,20.73,21.27,6925400,18.072451
"128","GPS",2016-07-06,21.219999,21.85,21,21.790001,11881200,18.514278
"129","GPS",2016-07-07,21.75,21.889999,21.27,21.629999,11098300,18.378325
"130","GPS",2016-07-08,22.76,23.209999,22.610001,22.700001,13624200,19.287477
"131","GPS",2016-07-11,22.93,23.200001,22.68,22.9,7751300,19.457411
"132","GPS",2016-07-12,23.190001,23.43,23.01,23.370001,4234600,19.856756
"133","GPS",2016-07-13,23.35,23.379999,22.860001,23.280001,6088400,19.780289
"134","GPS",2016-07-14,23.49,23.540001,23.139999,23.209999,4070600,19.72081
"135","GPS",2016-07-15,23.32,23.51,23.209999,23.26,4170100,19.763292
"136","GPS",2016-07-18,23.360001,23.93,23.26,23.879999,5509900,20.290085
"137","GPS",2016-07-19,23.780001,24.08,23.780001,23.950001,6217700,20.34956
"138","GPS",2016-07-20,24.09,24.299999,23.870001,24.219999,3393300,20.578972
"139","GPS",2016-07-21,24.27,24.49,24.16,24.23,4495000,20.587473
"140","GPS",2016-07-22,24.24,24.360001,23.92,24.34,4524900,20.680935
"141","GPS",2016-07-25,24.91,25.299999,24.790001,25.129999,10516600,21.352171
"142","GPS",2016-07-26,25.23,25.940001,25.23,25.76,7326900,21.887465
"143","GPS",2016-07-27,25.799999,25.950001,25.219999,25.58,6944800,21.734522
"144","GPS",2016-07-28,25.6,25.629999,24.84,25.23,7145000,21.437138
"145","GPS",2016-07-29,25.25,25.799999,25.01,25.790001,6686600,21.912954
"146","GPS",2016-08-01,25.59,25.700001,25.23,25.559999,6969300,21.717529
"147","GPS",2016-08-02,25.559999,25.559999,24.17,24.209999,8826400,20.570471
"148","GPS",2016-08-03,23.860001,25.1,22.950001,25.01,8953300,21.25021
"149","GPS",2016-08-04,25.049999,25.469999,25,25.200001,8973800,21.411654
"150","GPS",2016-08-05,25.299999,25.82,25.24,25.639999,4820600,21.785496
"151","GPS",2016-08-08,25.68,25.870001,25.559999,25.620001,4165600,21.768511
"152","GPS",2016-08-09,25.15,25.200001,23.790001,24.01,11324000,20.400543
"153","GPS",2016-08-10,24.129999,24.559999,23.969999,24.030001,6133900,20.417538
"154","GPS",2016-08-11,24.68,25.16,24.620001,24.98,6866600,21.224718
"155","GPS",2016-08-12,25.030001,25.280001,24.860001,24.99,5659400,21.233213
"156","GPS",2016-08-15,25.16,25.549999,25.030001,25.389999,4661000,21.573082
"157","GPS",2016-08-16,25.299999,25.41,25.040001,25.139999,4454400,21.360666
"158","GPS",2016-08-17,24.9,25.51,24.889999,25.459999,5137900,21.632563
"159","GPS",2016-08-18,25.65,26,25.309999,25.879999,9550700,21.989422
"160","GPS",2016-08-19,25.9,26.940001,25.700001,26.889999,17698300,22.847586
"161","GPS",2016-08-22,26.799999,27.190001,26.629999,26.860001,7512700,22.822096
"162","GPS",2016-08-23,27,27.190001,26.809999,26.99,4902200,22.932556
"163","GPS",2016-08-24,26.85,27.030001,26.610001,26.629999,4492000,22.626678
"164","GPS",2016-08-25,26.629999,26.719999,26.23,26.389999,5549200,22.422752
"165","GPS",2016-08-26,26.5,26.780001,26.290001,26.48,3427300,22.499224
"166","GPS",2016-08-29,26.43,26.65,26.299999,26.48,3684100,22.499224
"167","GPS",2016-08-30,26.48,26.48,25.299999,25.34,6841500,21.530598
"168","GPS",2016-08-31,25.4,25.440001,24.639999,24.870001,7374500,21.13126
"169","GPS",2016-09-01,25,25.02,24.35,24.549999,7000500,20.859362
"170","GPS",2016-09-02,24,24.35,23.6,23.92,7254900,20.324068
"171","GPS",2016-09-06,23.959999,23.959999,23.34,23.43,7730900,19.907734
"172","GPS",2016-09-07,23.24,23.91,23.24,23.790001,6435100,20.213612
"173","GPS",2016-09-08,23.639999,23.9,23.6,23.719999,4244100,20.154139
"174","GPS",2016-09-09,23.6,23.639999,23.32,23.35,4212400,19.83976
"175","GPS",2016-09-12,23.23,23.950001,23.1,23.84,4914500,20.256102
"176","GPS",2016-09-13,23.6,23.799999,23.049999,23.049999,6557500,19.584862
"177","GPS",2016-09-14,23.09,23.32,22.950001,23.049999,4121100,19.584862
"178","GPS",2016-09-15,22.950001,23.59,22.809999,23.57,4398200,20.02669
"179","GPS",2016-09-16,23.459999,23.67,23.26,23.370001,5056200,19.856756
"180","GPS",2016-09-19,23.469999,23.639999,23.18,23.18,2967500,19.695316
"181","GPS",2016-09-20,22.950001,23.040001,22.49,22.59,7090400,19.194014
"182","GPS",2016-09-21,22.67,22.74,22.18,22.48,7539800,19.10055
"183","GPS",2016-09-22,22.610001,22.74,22.280001,22.58,5437900,19.185516
"184","GPS",2016-09-23,22.549999,22.950001,22.549999,22.620001,3662800,19.219503
"185","GPS",2016-09-26,22.559999,22.59,22.190001,22.23,3820300,18.888128
"186","GPS",2016-09-27,22.309999,22.440001,22.01,22.290001,4746600,18.939108
"187","GPS",2016-09-28,22.33,22.389999,21.85,22.059999,4041200,18.743687
"188","GPS",2016-09-29,22.08,22.219999,21.700001,21.700001,3643600,18.437807
"189","GPS",2016-09-30,21.870001,22.360001,21.780001,22.24,4257900,18.896629
"190","GPS",2016-10-03,21.889999,22.049999,21.57,21.82,5379800,18.733507
"191","GPS",2016-10-04,21.84,21.98,21.67,21.780001,3369600,18.699165
"192","GPS",2016-10-05,21.82,22.620001,21.82,22.530001,5621400,19.343075
"193","GPS",2016-10-06,22.42,22.889999,22.16,22.780001,7696200,19.557709
"194","GPS",2016-10-07,24.26,26.67,24.25,26.25,31862200,22.536873
"195","GPS",2016-10-10,26.4,26.870001,26.299999,26.42,8621200,22.682823
"196","GPS",2016-10-11,26.34,26.77,26.26,26.559999,4477300,22.803019
"197","GPS",2016-10-12,26.559999,26.940001,26.34,26.85,4852100,23.051996
